danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.833,0.691,3,-7.646,0,0.0617,0.183,0.00371,0.0798,0.693,119.97,audio_features,2hEV30dObDzShJ3MbR9mGQ,spotify:track:2hEV30dObDzShJ3MbR9mGQ,https://api.spotify.com/v1/tracks/2hEV30dObDzShJ3MbR9mGQ,https://api.spotify.com/v1/audio-analysis/2hEV30dObDzShJ3MbR9mGQ,156572,4,2023_deutschrap.csv
0.706,0.505,1,-8.242,1,0.0505,0.299,0.00578,0.101,0.227,132.58,audio_features,0oa3yysoeOsHiB0PBRHzG8,spotify:track:0oa3yysoeOsHiB0PBRHzG8,https://api.spotify.com/v1/tracks/0oa3yysoeOsHiB0PBRHzG8,https://api.spotify.com/v1/audio-analysis/0oa3yysoeOsHiB0PBRHzG8,195500,4,2023_deutschrap.csv
0.796,0.865,9,-6.76,0,0.0801,0.179,0.0114,0.0852,0.768,130.012,audio_features,4mVnqNiw2Kf5AHj9j0KD6u,spotify:track:4mVnqNiw2Kf5AHj9j0KD6u,https://api.spotify.com/v1/tracks/4mVnqNiw2Kf5AHj9j0KD6u,https://api.spotify.com/v1/audio-analysis/4mVnqNiw2Kf5AHj9j0KD6u,136988,4,2023_deutschrap.csv
0.845,0.723,9,-5.841,0,0.0641,0.165,0.00619,0.106,0.265,122.031,audio_features,5atei5eVpWKUJj5olSI32L,spotify:track:5atei5eVpWKUJj5olSI32L,https://api.spotify.com/v1/tracks/5atei5eVpWKUJj5olSI32L,https://api.spotify.com/v1/audio-analysis/5atei5eVpWKUJj5olSI32L,161704,4,2023_deutschrap.csv
0.767,0.539,4,-8.518,0,0.0629,0.364,0.0397,0.0772,0.368,128.055,audio_features,5YWu6dt50Nieq8qi572RF8,spotify:track:5YWu6dt50Nieq8qi572RF8,https://api.spotify.com/v1/tracks/5YWu6dt50Nieq8qi572RF8,https://api.spotify.com/v1/audio-analysis/5YWu6dt50Nieq8qi572RF8,131524,4,2023_deutschrap.csv
0.75,0.894,9,-6.278,0,0.101,0.19,0.00472,0.206,0.86,149.969,audio_features,4ISoGiS2XVfeFLO0PgVYAk,spotify:track:4ISoGiS2XVfeFLO0PgVYAk,https://api.spotify.com/v1/tracks/4ISoGiS2XVfeFLO0PgVYAk,https://api.spotify.com/v1/audio-analysis/4ISoGiS2XVfeFLO0PgVYAk,133000,4,2023_deutschrap.csv
0.752,0.571,2,-6.422,1,0.051,0.0723,0.529,0.314,0.492,169.155,audio_features,6FGPpwHlUBnl0TLGKyN4Nl,spotify:track:6FGPpwHlUBnl0TLGKyN4Nl,https://api.spotify.com/v1/tracks/6FGPpwHlUBnl0TLGKyN4Nl,https://api.spotify.com/v1/audio-analysis/6FGPpwHlUBnl0TLGKyN4Nl,83672,4,2023_deutschrap.csv
0.83,0.804,10,-7.573,0,0.0555,0.0114,1.45e-05,0.174,0.588,109.949,audio_features,5VMLNPuQCllntC7C5yfC4X,spotify:track:5VMLNPuQCllntC7C5yfC4X,https://api.spotify.com/v1/tracks/5VMLNPuQCllntC7C5yfC4X,https://api.spotify.com/v1/audio-analysis/5VMLNPuQCllntC7C5yfC4X,118910,4,2023_deutschrap.csv
0.726,0.671,8,-5.994,1,0.0898,0.27,0.00101,0.206,0.229,86.059,audio_features,4GUrzAwDBOyEMQTo42GGzf,spotify:track:4GUrzAwDBOyEMQTo42GGzf,https://api.spotify.com/v1/tracks/4GUrzAwDBOyEMQTo42GGzf,https://api.spotify.com/v1/audio-analysis/4GUrzAwDBOyEMQTo42GGzf,167821,4,2023_deutschrap.csv
0.774,0.7,1,-7.334,1,0.266,0.163,3.24e-05,0.169,0.624,81.99,audio_features,3ilgxZl5g7MOQCUiky3VOG,spotify:track:3ilgxZl5g7MOQCUiky3VOG,https://api.spotify.com/v1/tracks/3ilgxZl5g7MOQCUiky3VOG,https://api.spotify.com/v1/audio-analysis/3ilgxZl5g7MOQCUiky3VOG,147587,4,2023_deutschrap.csv
