danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.82,0.725,10,-5.065,0,0.0879,0.206,0.0,0.209,0.555,95.055,audio_features,7kp6XhIxrvNb8BgTwLjaEx,spotify:track:7kp6XhIxrvNb8BgTwLjaEx,https://api.spotify.com/v1/tracks/7kp6XhIxrvNb8BgTwLjaEx,https://api.spotify.com/v1/audio-analysis/7kp6XhIxrvNb8BgTwLjaEx,188333,4,2023_hiphop_mixtape.csv
0.868,0.53,10,-9.716,0,0.121,0.0282,0.000452,0.0864,0.556,135.004,audio_features,3puypQeebjOFKb9FeKdgAA,spotify:track:3puypQeebjOFKb9FeKdgAA,https://api.spotify.com/v1/tracks/3puypQeebjOFKb9FeKdgAA,https://api.spotify.com/v1/audio-analysis/3puypQeebjOFKb9FeKdgAA,158787,4,2023_hiphop_mixtape.csv
0.931,0.401,0,-8.756,1,0.158,0.399,2.05e-06,0.266,0.613,128.871,audio_features,3FjK86616FbluOfTxNK2gY,spotify:track:3FjK86616FbluOfTxNK2gY,https://api.spotify.com/v1/tracks/3FjK86616FbluOfTxNK2gY,https://api.spotify.com/v1/audio-analysis/3FjK86616FbluOfTxNK2gY,148928,4,2023_hiphop_mixtape.csv
0.815,0.644,2,-6.515,0,0.139,0.513,2.69e-06,0.0885,0.85,142.964,audio_features,1FuNxUJozvzMV2AvxFDCMo,spotify:track:1FuNxUJozvzMV2AvxFDCMo,https://api.spotify.com/v1/tracks/1FuNxUJozvzMV2AvxFDCMo,https://api.spotify.com/v1/audio-analysis/1FuNxUJozvzMV2AvxFDCMo,144204,4,2023_hiphop_mixtape.csv
0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,0.504,98.043,audio_features,0FZ4Dmg8jJJAPJnvBIzD9z,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z,https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z,228760,4,2023_hiphop_mixtape.csv
0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,audio_features,4xhsWYTOGcal8zt0J161CU,spotify:track:4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,138411,4,2023_hiphop_mixtape.csv
0.752,0.56,11,-5.375,1,0.122,0.295,0.0,0.114,0.848,120.015,audio_features,035MzEbx4z2DxuRDymHXbv,spotify:track:035MzEbx4z2DxuRDymHXbv,https://api.spotify.com/v1/tracks/035MzEbx4z2DxuRDymHXbv,https://api.spotify.com/v1/audio-analysis/035MzEbx4z2DxuRDymHXbv,245959,4,2023_hiphop_mixtape.csv
0.47,0.64,2,-7.779,1,0.32,0.0277,0.0,0.382,0.248,163.92,audio_features,7aqfrAY2p9BUSiupwk3svU,spotify:track:7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/tracks/7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/audio-analysis/7aqfrAY2p9BUSiupwk3svU,247444,4,2023_hiphop_mixtape.csv
0.8,0.429,1,-13.439,1,0.281,0.0724,0.0,0.356,0.493,143.918,audio_features,79gZiOMkdqpBquK2tClkbn,spotify:track:79gZiOMkdqpBquK2tClkbn,https://api.spotify.com/v1/tracks/79gZiOMkdqpBquK2tClkbn,https://api.spotify.com/v1/audio-analysis/79gZiOMkdqpBquK2tClkbn,194676,4,2023_hiphop_mixtape.csv
0.806,0.408,10,-8.827,0,0.286,0.189,1.1e-06,0.0622,0.479,145.131,audio_features,4HPihl5dbwlsp1c6SKNccd,spotify:track:4HPihl5dbwlsp1c6SKNccd,https://api.spotify.com/v1/tracks/4HPihl5dbwlsp1c6SKNccd,https://api.spotify.com/v1/audio-analysis/4HPihl5dbwlsp1c6SKNccd,136560,4,2023_hiphop_mixtape.csv
0.558,0.657,1,-4.853,1,0.232,0.132,0.0,0.147,0.5,91.306,audio_features,2hkcNrUwTVwKqjfUO1Kx3d,spotify:track:2hkcNrUwTVwKqjfUO1Kx3d,https://api.spotify.com/v1/tracks/2hkcNrUwTVwKqjfUO1Kx3d,https://api.spotify.com/v1/audio-analysis/2hkcNrUwTVwKqjfUO1Kx3d,177893,4,2023_hiphop_mixtape.csv
0.549,0.632,4,-8.665,1,0.415,0.0688,0.0,0.131,0.656,84.463,audio_features,24MVu7qCrmMsqoOhMadYqW,spotify:track:24MVu7qCrmMsqoOhMadYqW,https://api.spotify.com/v1/tracks/24MVu7qCrmMsqoOhMadYqW,https://api.spotify.com/v1/audio-analysis/24MVu7qCrmMsqoOhMadYqW,110571,5,2023_hiphop_mixtape.csv
0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,audio_features,2IGMVunIBsBLtEQyoI1Mu7,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,231750,4,2023_hiphop_mixtape.csv
0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,audio_features,4rXLjWdF2ZZpXCVTfWcshS,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,125040,4,2023_hiphop_mixtape.csv
0.465,0.7,10,-5.163,0,0.0893,0.203,0.0,0.299,0.276,120.854,audio_features,5Se32hEA9raeboZerywxka,spotify:track:5Se32hEA9raeboZerywxka,https://api.spotify.com/v1/tracks/5Se32hEA9raeboZerywxka,https://api.spotify.com/v1/audio-analysis/5Se32hEA9raeboZerywxka,230709,4,2023_hiphop_mixtape.csv
0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,audio_features,6wsqVwoiVH2kde4k4KKAFU,spotify:track:6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/tracks/6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/audio-analysis/6wsqVwoiVH2kde4k4KKAFU,211582,4,2023_hiphop_mixtape.csv
0.855,0.678,1,-6.276,1,0.189,0.0569,3.69e-05,0.412,0.852,99.029,audio_features,6WzRpISELf3YglGAh7TXcG,spotify:track:6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/tracks/6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/audio-analysis/6WzRpISELf3YglGAh7TXcG,215467,4,2023_hiphop_mixtape.csv
0.916,0.583,1,-8.067,1,0.241,0.186,0.0,0.0798,0.661,141.095,audio_features,2FDTHlrBguDzQkp7PVj16Q,spotify:track:2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/tracks/2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/audio-analysis/2FDTHlrBguDzQkp7PVj16Q,226383,4,2023_hiphop_mixtape.csv
0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,audio_features,7KA4W4McWYRpgf0fWsJZWB,spotify:track:7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,180387,4,2023_hiphop_mixtape.csv
0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,audio_features,2dHHgzDwk4BJdRwy9uXhTO,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/audio-analysis/2dHHgzDwk4BJdRwy9uXhTO,221520,4,2023_hiphop_mixtape.csv
0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,audio_features,68Dni7IE4VyPkTOH9mRWHr,spotify:track:68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,292799,4,2023_hiphop_mixtape.csv
0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,audio_features,561jH07mF1jHuk7KlaeF0s,spotify:track:561jH07mF1jHuk7KlaeF0s,https://api.spotify.com/v1/tracks/561jH07mF1jHuk7KlaeF0s,https://api.spotify.com/v1/audio-analysis/561jH07mF1jHuk7KlaeF0s,250760,4,2023_hiphop_mixtape.csv
0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701,4,2023_hiphop_mixtape.csv
0.663,0.67,8,-8.399,1,0.271,0.0464,8.92e-05,0.205,0.138,136.952,audio_features,2YSzYUF3jWqb9YP9VXmpjE,spotify:track:2YSzYUF3jWqb9YP9VXmpjE,https://api.spotify.com/v1/tracks/2YSzYUF3jWqb9YP9VXmpjE,https://api.spotify.com/v1/audio-analysis/2YSzYUF3jWqb9YP9VXmpjE,260111,4,2023_hiphop_mixtape.csv
0.56,0.784,1,-5.304,1,0.301,0.0508,0.0,0.221,0.25,78.161,audio_features,2ut4BOQSqxLpcX5MtPjzYa,spotify:track:2ut4BOQSqxLpcX5MtPjzYa,https://api.spotify.com/v1/tracks/2ut4BOQSqxLpcX5MtPjzYa,https://api.spotify.com/v1/audio-analysis/2ut4BOQSqxLpcX5MtPjzYa,227692,4,2023_hiphop_mixtape.csv
0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,audio_features,741UUVE2kuITl0c6zuqqbO,spotify:track:741UUVE2kuITl0c6zuqqbO,https://api.spotify.com/v1/tracks/741UUVE2kuITl0c6zuqqbO,https://api.spotify.com/v1/audio-analysis/741UUVE2kuITl0c6zuqqbO,109750,4,2023_hiphop_mixtape.csv
0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,audio_features,2Hh3ETdQKrmSI3QS0hme7g,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/tracks/2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/audio-analysis/2Hh3ETdQKrmSI3QS0hme7g,199920,4,2023_hiphop_mixtape.csv
0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,audio_features,5IgjP7X4th6nMNDh4akUHb,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613,4,2023_hiphop_mixtape.csv
0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,audio_features,6AQbmUe0Qwf5PZnt4HmTXv,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/tracks/6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/audio-analysis/6AQbmUe0Qwf5PZnt4HmTXv,131013,4,2023_hiphop_mixtape.csv
0.641,0.868,6,-8.257,1,0.538,0.245,0.0,0.0453,0.848,130.367,audio_features,4gioGwFuDOfkNuDPflzjad,spotify:track:4gioGwFuDOfkNuDPflzjad,https://api.spotify.com/v1/tracks/4gioGwFuDOfkNuDPflzjad,https://api.spotify.com/v1/audio-analysis/4gioGwFuDOfkNuDPflzjad,180000,5,2023_hiphop_mixtape.csv
0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,audio_features,67nepsnrcZkowTxMWigSbb,spotify:track:67nepsnrcZkowTxMWigSbb,https://api.spotify.com/v1/tracks/67nepsnrcZkowTxMWigSbb,https://api.spotify.com/v1/audio-analysis/67nepsnrcZkowTxMWigSbb,246134,4,2023_hiphop_mixtape.csv
0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,audio_features,7sO5G9EABYOXQKNPNiE9NR,spotify:track:7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,172800,4,2023_hiphop_mixtape.csv
0.727,0.66,2,-5.84,0,0.0655,0.221,2.35e-05,0.0896,0.83,74.977,audio_features,72EzFi8h1H2MImmS2ZoSTr,spotify:track:72EzFi8h1H2MImmS2ZoSTr,https://api.spotify.com/v1/tracks/72EzFi8h1H2MImmS2ZoSTr,https://api.spotify.com/v1/audio-analysis/72EzFi8h1H2MImmS2ZoSTr,175947,4,2023_hiphop_mixtape.csv
0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,audio_features,3F5CgOj3wFlRv51JsHbxhe,spotify:track:3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/tracks/3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/audio-analysis/3F5CgOj3wFlRv51JsHbxhe,218365,4,2023_hiphop_mixtape.csv
0.571,0.549,1,-7.38,0,0.404,0.18,0.0,0.168,0.447,119.497,audio_features,5wG3HvLhF6Y5KTGlK0IW3J,spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,https://api.spotify.com/v1/tracks/5wG3HvLhF6Y5KTGlK0IW3J,https://api.spotify.com/v1/audio-analysis/5wG3HvLhF6Y5KTGlK0IW3J,194787,4,2023_hiphop_mixtape.csv
0.458,0.535,5,-4.854,0,0.0281,0.575,0.0,0.168,0.216,82.826,audio_features,1i9lZvlaDdWDPyXEE95aiq,spotify:track:1i9lZvlaDdWDPyXEE95aiq,https://api.spotify.com/v1/tracks/1i9lZvlaDdWDPyXEE95aiq,https://api.spotify.com/v1/audio-analysis/1i9lZvlaDdWDPyXEE95aiq,353755,4,2023_hiphop_mixtape.csv
0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,audio_features,0O6u0VJ46W86TxN9wgyqDj,spotify:track:0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/tracks/0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/audio-analysis/0O6u0VJ46W86TxN9wgyqDj,192841,4,2023_hiphop_mixtape.csv
0.851,0.48,9,-9.177,0,0.13,0.674,0.000939,0.205,0.213,119.95,audio_features,4b2uxPwtAHsFd17cyZxX9Z,spotify:track:4b2uxPwtAHsFd17cyZxX9Z,https://api.spotify.com/v1/tracks/4b2uxPwtAHsFd17cyZxX9Z,https://api.spotify.com/v1/audio-analysis/4b2uxPwtAHsFd17cyZxX9Z,163918,4,2023_hiphop_mixtape.csv
0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,audio_features,5mHdCZtVyb4DcJw8799hZp,spotify:track:5mHdCZtVyb4DcJw8799hZp,https://api.spotify.com/v1/tracks/5mHdCZtVyb4DcJw8799hZp,https://api.spotify.com/v1/audio-analysis/5mHdCZtVyb4DcJw8799hZp,272373,4,2023_hiphop_mixtape.csv
0.731,0.667,7,-7.928,0,0.0815,0.134,0.0,0.114,0.485,123.042,audio_features,1xWkeSPhf3bZqHY7Ncz8vp,spotify:track:1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/tracks/1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/audio-analysis/1xWkeSPhf3bZqHY7Ncz8vp,144390,4,2023_hiphop_mixtape.csv
0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,audio_features,59nOXPmaKlBfGMDeOVGrIK,spotify:track:59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/tracks/59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/audio-analysis/59nOXPmaKlBfGMDeOVGrIK,189893,4,2023_hiphop_mixtape.csv
0.773,0.635,10,-5.06,1,0.0452,0.0585,0.0,0.132,0.476,121.879,audio_features,2Gk6fi0dqt91NKvlzGsmm7,spotify:track:2Gk6fi0dqt91NKvlzGsmm7,https://api.spotify.com/v1/tracks/2Gk6fi0dqt91NKvlzGsmm7,https://api.spotify.com/v1/audio-analysis/2Gk6fi0dqt91NKvlzGsmm7,173253,4,2023_hiphop_mixtape.csv
0.686,0.897,11,-7.18,0,0.0386,0.0103,0.103,0.153,0.355,129.975,audio_features,0FA4wrjDJvJTTU8AepZTup,spotify:track:0FA4wrjDJvJTTU8AepZTup,https://api.spotify.com/v1/tracks/0FA4wrjDJvJTTU8AepZTup,https://api.spotify.com/v1/audio-analysis/0FA4wrjDJvJTTU8AepZTup,163139,4,2023_hiphop_mixtape.csv
