danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003,audio_features,1hc9zsKiEnHCYDm7K6ZHHG,spotify:track:1hc9zsKiEnHCYDm7K6ZHHG,https://api.spotify.com/v1/tracks/1hc9zsKiEnHCYDm7K6ZHHG,https://api.spotify.com/v1/audio-analysis/1hc9zsKiEnHCYDm7K6ZHHG,248036,4,2023_house_techno.csv
0.771,0.729,7,-6.577,1,0.0408,0.00161,0.672,0.217,0.63,123.027,audio_features,54hA0ldJYyT1huGfSeOjdQ,spotify:track:54hA0ldJYyT1huGfSeOjdQ,https://api.spotify.com/v1/tracks/54hA0ldJYyT1huGfSeOjdQ,https://api.spotify.com/v1/audio-analysis/54hA0ldJYyT1huGfSeOjdQ,189268,4,2023_house_techno.csv
0.93,0.483,3,-9.925,1,0.0411,0.0289,0.00244,0.103,0.57,120.022,audio_features,1a8tAQAzHIPQ00OPBXGWPz,spotify:track:1a8tAQAzHIPQ00OPBXGWPz,https://api.spotify.com/v1/tracks/1a8tAQAzHIPQ00OPBXGWPz,https://api.spotify.com/v1/audio-analysis/1a8tAQAzHIPQ00OPBXGWPz,204992,4,2023_house_techno.csv
0.696,0.775,6,-6.539,1,0.0388,0.00393,0.104,0.378,0.435,126.979,audio_features,41TkFhNYljV7omolLJ6Squ,spotify:track:41TkFhNYljV7omolLJ6Squ,https://api.spotify.com/v1/tracks/41TkFhNYljV7omolLJ6Squ,https://api.spotify.com/v1/audio-analysis/41TkFhNYljV7omolLJ6Squ,156850,4,2023_house_techno.csv
0.87,0.657,9,-8.833,1,0.0746,0.00411,0.0722,0.834,0.297,126.016,audio_features,6A2fGSY2uZcidWpNosshqc,spotify:track:6A2fGSY2uZcidWpNosshqc,https://api.spotify.com/v1/tracks/6A2fGSY2uZcidWpNosshqc,https://api.spotify.com/v1/audio-analysis/6A2fGSY2uZcidWpNosshqc,245714,4,2023_house_techno.csv
0.707,0.881,10,-7.295,0,0.0525,0.00581,0.0015,0.353,0.854,120.0,audio_features,1j29DJ3SWu4fAtOeoPSYBL,spotify:track:1j29DJ3SWu4fAtOeoPSYBL,https://api.spotify.com/v1/tracks/1j29DJ3SWu4fAtOeoPSYBL,https://api.spotify.com/v1/audio-analysis/1j29DJ3SWu4fAtOeoPSYBL,340268,4,2023_house_techno.csv
0.674,0.73,11,-8.413,0,0.0557,0.0642,0.435,0.088,0.0979,123.01,audio_features,3QtGH1bBVIB4cKJZZSy4Bs,spotify:track:3QtGH1bBVIB4cKJZZSy4Bs,https://api.spotify.com/v1/tracks/3QtGH1bBVIB4cKJZZSy4Bs,https://api.spotify.com/v1/audio-analysis/3QtGH1bBVIB4cKJZZSy4Bs,212683,4,2023_house_techno.csv
0.672,0.898,4,-5.872,0,0.0583,0.00153,0.37,0.317,0.73,123.994,audio_features,6UuViQr0ADTto1yScpfxIh,spotify:track:6UuViQr0ADTto1yScpfxIh,https://api.spotify.com/v1/tracks/6UuViQr0ADTto1yScpfxIh,https://api.spotify.com/v1/audio-analysis/6UuViQr0ADTto1yScpfxIh,220645,4,2023_house_techno.csv
0.806,0.87,1,-4.344,1,0.0542,0.00225,0.78,0.123,0.785,124.01,audio_features,0pPDkWdfYUpG2zkQlNbiBE,spotify:track:0pPDkWdfYUpG2zkQlNbiBE,https://api.spotify.com/v1/tracks/0pPDkWdfYUpG2zkQlNbiBE,https://api.spotify.com/v1/audio-analysis/0pPDkWdfYUpG2zkQlNbiBE,175255,4,2023_house_techno.csv
0.751,0.817,0,-6.988,1,0.0492,0.00181,0.0303,0.34,0.527,126.03,audio_features,1tSlwo5NzDP6lcNmlA7QKL,spotify:track:1tSlwo5NzDP6lcNmlA7QKL,https://api.spotify.com/v1/tracks/1tSlwo5NzDP6lcNmlA7QKL,https://api.spotify.com/v1/audio-analysis/1tSlwo5NzDP6lcNmlA7QKL,188209,4,2023_house_techno.csv
