danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.641,0.954,9,-4.749,1,0.0402,0.00085,0.909,0.307,0.0372,125.983,audio_features,1LYZakxJhnSdrkyUoYbpt7,spotify:track:1LYZakxJhnSdrkyUoYbpt7,https://api.spotify.com/v1/tracks/1LYZakxJhnSdrkyUoYbpt7,https://api.spotify.com/v1/audio-analysis/1LYZakxJhnSdrkyUoYbpt7,198214,4,2023_tech_house.csv
0.678,0.935,2,-6.382,1,0.0592,0.0459,0.202,0.198,0.485,124.989,audio_features,5ooCfBqZyTB5CTdu1x7S77,spotify:track:5ooCfBqZyTB5CTdu1x7S77,https://api.spotify.com/v1/tracks/5ooCfBqZyTB5CTdu1x7S77,https://api.spotify.com/v1/audio-analysis/5ooCfBqZyTB5CTdu1x7S77,156218,4,2023_tech_house.csv
0.711,0.922,1,-4.342,1,0.0887,0.00363,0.033,0.334,0.432,128.035,audio_features,55NFZV4mg6VcXvoB0M65d0,spotify:track:55NFZV4mg6VcXvoB0M65d0,https://api.spotify.com/v1/tracks/55NFZV4mg6VcXvoB0M65d0,https://api.spotify.com/v1/audio-analysis/55NFZV4mg6VcXvoB0M65d0,191250,4,2023_tech_house.csv
0.658,0.963,0,-7.087,1,0.0487,0.00513,0.389,0.0667,0.373,129.994,audio_features,7rISI4OowAaN0ciRUPTsk8,spotify:track:7rISI4OowAaN0ciRUPTsk8,https://api.spotify.com/v1/tracks/7rISI4OowAaN0ciRUPTsk8,https://api.spotify.com/v1/audio-analysis/7rISI4OowAaN0ciRUPTsk8,141781,4,2023_tech_house.csv
0.838,0.936,2,-4.456,1,0.145,0.000138,0.381,0.0844,0.779,125.019,audio_features,0AsvLbA2fYMmq1jEgIcMhR,spotify:track:0AsvLbA2fYMmq1jEgIcMhR,https://api.spotify.com/v1/tracks/0AsvLbA2fYMmq1jEgIcMhR,https://api.spotify.com/v1/audio-analysis/0AsvLbA2fYMmq1jEgIcMhR,125760,4,2023_tech_house.csv
0.707,0.969,9,-5.181,1,0.0882,0.129,0.876,0.0913,0.251,129.984,audio_features,5HadIAY3Oray8VKuv3shgQ,spotify:track:5HadIAY3Oray8VKuv3shgQ,https://api.spotify.com/v1/tracks/5HadIAY3Oray8VKuv3shgQ,https://api.spotify.com/v1/audio-analysis/5HadIAY3Oray8VKuv3shgQ,145200,4,2023_tech_house.csv
0.789,0.967,8,-4.786,0,0.0781,0.022,0.146,0.129,0.506,128.042,audio_features,5yyrHJeFyumkLdk9TvfhiA,spotify:track:5yyrHJeFyumkLdk9TvfhiA,https://api.spotify.com/v1/tracks/5yyrHJeFyumkLdk9TvfhiA,https://api.spotify.com/v1/audio-analysis/5yyrHJeFyumkLdk9TvfhiA,243750,4,2023_tech_house.csv
0.692,0.944,5,-3.496,1,0.042,0.312,0.588,0.291,0.313,128.029,audio_features,0N4NGLRDj5ztzW47kBUkGX,spotify:track:0N4NGLRDj5ztzW47kBUkGX,https://api.spotify.com/v1/tracks/0N4NGLRDj5ztzW47kBUkGX,https://api.spotify.com/v1/audio-analysis/0N4NGLRDj5ztzW47kBUkGX,168960,4,2023_tech_house.csv
0.794,0.963,6,-8.655,0,0.0512,0.000933,0.87,0.0747,0.685,129.003,audio_features,0AjBHplZqmlKN2OzQxqT2R,spotify:track:0AjBHplZqmlKN2OzQxqT2R,https://api.spotify.com/v1/tracks/0AjBHplZqmlKN2OzQxqT2R,https://api.spotify.com/v1/audio-analysis/0AjBHplZqmlKN2OzQxqT2R,208372,4,2023_tech_house.csv
0.673,0.892,7,-7.592,1,0.0857,0.0251,0.00885,0.09,0.616,126.023,audio_features,1h9fBicKm7MMRyKvZyfWx7,spotify:track:1h9fBicKm7MMRyKvZyfWx7,https://api.spotify.com/v1/tracks/1h9fBicKm7MMRyKvZyfWx7,https://api.spotify.com/v1/audio-analysis/1h9fBicKm7MMRyKvZyfWx7,190476,4,2023_tech_house.csv
0.746,0.976,1,-5.722,1,0.0692,0.000187,0.239,0.319,0.907,127.966,audio_features,3pK4fPFvZkj8E59VP1bfYc,spotify:track:3pK4fPFvZkj8E59VP1bfYc,https://api.spotify.com/v1/tracks/3pK4fPFvZkj8E59VP1bfYc,https://api.spotify.com/v1/audio-analysis/3pK4fPFvZkj8E59VP1bfYc,195000,4,2023_tech_house.csv
0.773,0.781,7,-9.179,1,0.0472,0.0615,0.611,0.401,0.378,126.016,audio_features,6yfiBQbJQkwzetZFhVjNAp,spotify:track:6yfiBQbJQkwzetZFhVjNAp,https://api.spotify.com/v1/tracks/6yfiBQbJQkwzetZFhVjNAp,https://api.spotify.com/v1/audio-analysis/6yfiBQbJQkwzetZFhVjNAp,156417,4,2023_tech_house.csv
0.687,0.943,8,-6.658,1,0.0579,0.0104,0.701,0.0712,0.818,126.014,audio_features,50XmE7or0uLrY3fzL5atei,spotify:track:50XmE7or0uLrY3fzL5atei,https://api.spotify.com/v1/tracks/50XmE7or0uLrY3fzL5atei,https://api.spotify.com/v1/audio-analysis/50XmE7or0uLrY3fzL5atei,194377,4,2023_tech_house.csv
0.802,0.692,5,-8.867,0,0.0513,0.0493,0.878,0.0809,0.758,126.023,audio_features,2Q83cHedL1QaAWC3iMpmnr,spotify:track:2Q83cHedL1QaAWC3iMpmnr,https://api.spotify.com/v1/tracks/2Q83cHedL1QaAWC3iMpmnr,https://api.spotify.com/v1/audio-analysis/2Q83cHedL1QaAWC3iMpmnr,199683,4,2023_tech_house.csv
