danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.665,0.729,5,-4.595,0,0.25,0.212,0.0,0.118,0.516,159.809,audio_features,2DgnMNI9xAcrgKtQrygLJd,spotify:track:2DgnMNI9xAcrgKtQrygLJd,https://api.spotify.com/v1/tracks/2DgnMNI9xAcrgKtQrygLJd,https://api.spotify.com/v1/audio-analysis/2DgnMNI9xAcrgKtQrygLJd,174027,4,2023_the_dome.csv
0.537,0.421,5,-8.72,1,0.0285,0.827,0.0,0.138,0.524,98.224,audio_features,2HafqoJbgXdtjwCOvNEF14,spotify:track:2HafqoJbgXdtjwCOvNEF14,https://api.spotify.com/v1/tracks/2HafqoJbgXdtjwCOvNEF14,https://api.spotify.com/v1/audio-analysis/2HafqoJbgXdtjwCOvNEF14,184061,4,2023_the_dome.csv
0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,audio_features,4OMJGnvZfDvsePyCwRGO7X,spotify:track:4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/tracks/4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/audio-analysis/4OMJGnvZfDvsePyCwRGO7X,185918,4,2023_the_dome.csv
0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1,2023_the_dome.csv
0.442,0.605,4,-4.639,0,0.0284,0.238,6.44e-05,0.307,0.358,87.194,audio_features,4vziJcnB2Qyi9o4nIRUeN7,spotify:track:4vziJcnB2Qyi9o4nIRUeN7,https://api.spotify.com/v1/tracks/4vziJcnB2Qyi9o4nIRUeN7,https://api.spotify.com/v1/audio-analysis/4vziJcnB2Qyi9o4nIRUeN7,248333,4,2023_the_dome.csv
0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,audio_features,31nfdEooLEq7dn3UMcIeB5,spotify:track:31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/tracks/31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/audio-analysis/31nfdEooLEq7dn3UMcIeB5,178156,4,2023_the_dome.csv
0.708,0.804,7,-6.763,1,0.142,0.297,9.11e-05,0.111,0.827,170.944,audio_features,6WbDwAoc5xr0kFflHZW0A4,spotify:track:6WbDwAoc5xr0kFflHZW0A4,https://api.spotify.com/v1/tracks/6WbDwAoc5xr0kFflHZW0A4,https://api.spotify.com/v1/audio-analysis/6WbDwAoc5xr0kFflHZW0A4,181053,4,2023_the_dome.csv
0.796,0.865,9,-6.76,0,0.0801,0.179,0.0114,0.0852,0.768,130.012,audio_features,5qQLBOEAelSN7JWqX3RIIv,spotify:track:5qQLBOEAelSN7JWqX3RIIv,https://api.spotify.com/v1/tracks/5qQLBOEAelSN7JWqX3RIIv,https://api.spotify.com/v1/audio-analysis/5qQLBOEAelSN7JWqX3RIIv,136988,4,2023_the_dome.csv
0.819,0.538,4,-6.811,0,0.292,0.141,0.00209,0.138,0.542,125.026,audio_features,5jGcOhXpPE07vrSe23198B,spotify:track:5jGcOhXpPE07vrSe23198B,https://api.spotify.com/v1/tracks/5jGcOhXpPE07vrSe23198B,https://api.spotify.com/v1/audio-analysis/5jGcOhXpPE07vrSe23198B,173480,4,2023_the_dome.csv
0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,audio_features,59NraMJsLaMCVtwXTSia8i,spotify:track:59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/tracks/59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/audio-analysis/59NraMJsLaMCVtwXTSia8i,132359,4,2023_the_dome.csv
0.774,0.7,1,-7.334,1,0.266,0.163,3.24e-05,0.169,0.624,81.99,audio_features,3ilgxZl5g7MOQCUiky3VOG,spotify:track:3ilgxZl5g7MOQCUiky3VOG,https://api.spotify.com/v1/tracks/3ilgxZl5g7MOQCUiky3VOG,https://api.spotify.com/v1/audio-analysis/3ilgxZl5g7MOQCUiky3VOG,147587,4,2023_the_dome.csv
0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,audio_features,5mjYQaktjmjcMKcUIcqz4s,spotify:track:5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,172965,4,2023_the_dome.csv
0.776,0.714,1,-5.705,1,0.335,0.0283,0.0,0.227,0.433,161.015,audio_features,4rSmXn2TIKt6iBeBDM4uOs,spotify:track:4rSmXn2TIKt6iBeBDM4uOs,https://api.spotify.com/v1/tracks/4rSmXn2TIKt6iBeBDM4uOs,https://api.spotify.com/v1/audio-analysis/4rSmXn2TIKt6iBeBDM4uOs,149444,4,2023_the_dome.csv
0.914,0.489,9,-7.722,1,0.0858,0.12,0.0,0.0852,0.559,108.072,audio_features,3an1JVi8OsE0aG6dMS4Pes,spotify:track:3an1JVi8OsE0aG6dMS4Pes,https://api.spotify.com/v1/tracks/3an1JVi8OsE0aG6dMS4Pes,https://api.spotify.com/v1/audio-analysis/3an1JVi8OsE0aG6dMS4Pes,136360,4,2023_the_dome.csv
0.837,0.944,0,-6.516,1,0.352,0.108,8.46e-05,0.107,0.681,169.975,audio_features,7AOJcugo17Kr1WUheSI6Oq,spotify:track:7AOJcugo17Kr1WUheSI6Oq,https://api.spotify.com/v1/tracks/7AOJcugo17Kr1WUheSI6Oq,https://api.spotify.com/v1/audio-analysis/7AOJcugo17Kr1WUheSI6Oq,157059,4,2023_the_dome.csv
0.815,0.666,3,-7.087,0,0.109,0.0987,0.00353,0.102,0.533,119.964,audio_features,0qo8YDKpPXlUQqp0vesiln,spotify:track:0qo8YDKpPXlUQqp0vesiln,https://api.spotify.com/v1/tracks/0qo8YDKpPXlUQqp0vesiln,https://api.spotify.com/v1/audio-analysis/0qo8YDKpPXlUQqp0vesiln,146040,4,2023_the_dome.csv
0.693,0.535,5,-7.875,1,0.0579,0.348,0.0,0.222,0.442,98.092,audio_features,47mweMIEiVG1VTURjooVdU,spotify:track:47mweMIEiVG1VTURjooVdU,https://api.spotify.com/v1/tracks/47mweMIEiVG1VTURjooVdU,https://api.spotify.com/v1/audio-analysis/47mweMIEiVG1VTURjooVdU,123887,4,2023_the_dome.csv
0.767,0.539,4,-8.518,0,0.0629,0.364,0.0397,0.0772,0.368,128.055,audio_features,5YWu6dt50Nieq8qi572RF8,spotify:track:5YWu6dt50Nieq8qi572RF8,https://api.spotify.com/v1/tracks/5YWu6dt50Nieq8qi572RF8,https://api.spotify.com/v1/audio-analysis/5YWu6dt50Nieq8qi572RF8,131524,4,2023_the_dome.csv
