danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.351,0.24,0,-17.548,1,0.0377,0.925,0.921,0.0999,0.35,150.4,audio_features,4LxTAQIdKiMF0asyX2Byzw,spotify:track:4LxTAQIdKiMF0asyX2Byzw,https://api.spotify.com/v1/tracks/4LxTAQIdKiMF0asyX2Byzw,https://api.spotify.com/v1/audio-analysis/4LxTAQIdKiMF0asyX2Byzw,156000,4,best_of-classic.csv
0.515,0.11,7,-18.783,1,0.0587,0.968,0.659,0.0803,0.441,133.141,audio_features,4KLVPRo0f6XUJa4t4dnRW6,spotify:track:4KLVPRo0f6XUJa4t4dnRW6,https://api.spotify.com/v1/tracks/4KLVPRo0f6XUJa4t4dnRW6,https://api.spotify.com/v1/audio-analysis/4KLVPRo0f6XUJa4t4dnRW6,362907,4,best_of-classic.csv
0.557,0.0443,2,-26.022,1,0.0474,0.99,0.929,0.119,0.676,125.621,audio_features,0KEmfRpgNte11Y1q3JzhyM,spotify:track:0KEmfRpgNte11Y1q3JzhyM,https://api.spotify.com/v1/tracks/0KEmfRpgNte11Y1q3JzhyM,https://api.spotify.com/v1/audio-analysis/0KEmfRpgNte11Y1q3JzhyM,219082,4,best_of-classic.csv
0.303,0.0922,3,-21.376,1,0.0437,0.972,0.933,0.167,0.101,76.166,audio_features,4m1wWcmBfgyzsIRwtuUIWL,spotify:track:4m1wWcmBfgyzsIRwtuUIWL,https://api.spotify.com/v1/tracks/4m1wWcmBfgyzsIRwtuUIWL,https://api.spotify.com/v1/audio-analysis/4m1wWcmBfgyzsIRwtuUIWL,433935,4,best_of-classic.csv
0.382,0.257,7,-15.175,0,0.0327,0.959,0.83,0.0895,0.214,99.745,audio_features,2qhB0MjxHZV95QrORat7xe,spotify:track:2qhB0MjxHZV95QrORat7xe,https://api.spotify.com/v1/tracks/2qhB0MjxHZV95QrORat7xe,https://api.spotify.com/v1/audio-analysis/2qhB0MjxHZV95QrORat7xe,492983,4,best_of-classic.csv
0.281,0.411,10,-16.418,1,0.0315,0.856,0.41,0.183,0.282,85.926,audio_features,2IvWeZTLzLEpZ1kVGa0siE,spotify:track:2IvWeZTLzLEpZ1kVGa0siE,https://api.spotify.com/v1/tracks/2IvWeZTLzLEpZ1kVGa0siE,https://api.spotify.com/v1/audio-analysis/2IvWeZTLzLEpZ1kVGa0siE,101590,4,best_of-classic.csv
0.0972,0.184,2,-16.581,0,0.0362,0.564,0.657,0.128,0.168,88.063,audio_features,1i4jNPyX0jgYsvJ94IziwH,spotify:track:1i4jNPyX0jgYsvJ94IziwH,https://api.spotify.com/v1/tracks/1i4jNPyX0jgYsvJ94IziwH,https://api.spotify.com/v1/audio-analysis/1i4jNPyX0jgYsvJ94IziwH,531122,4,best_of-classic.csv
0.396,0.306,2,-15.765,0,0.0293,0.988,0.857,0.128,0.429,94.742,audio_features,1l2OYFaD8sCt5o8k2vNhum,spotify:track:1l2OYFaD8sCt5o8k2vNhum,https://api.spotify.com/v1/tracks/1l2OYFaD8sCt5o8k2vNhum,https://api.spotify.com/v1/audio-analysis/1l2OYFaD8sCt5o8k2vNhum,495071,4,best_of-classic.csv
0.572,0.302,7,-16.929,1,0.049,0.951,0.223,0.18,0.828,94.587,audio_features,7dbTyUSEDbIsAHn3EZpeYA,spotify:track:7dbTyUSEDbIsAHn3EZpeYA,https://api.spotify.com/v1/tracks/7dbTyUSEDbIsAHn3EZpeYA,https://api.spotify.com/v1/audio-analysis/7dbTyUSEDbIsAHn3EZpeYA,348805,4,best_of-classic.csv
0.111,0.0774,7,-24.978,1,0.0434,0.777,0.888,0.101,0.0578,90.949,audio_features,1y8gELdtDVvZ9jcxD5kROZ,spotify:track:1y8gELdtDVvZ9jcxD5kROZ,https://api.spotify.com/v1/tracks/1y8gELdtDVvZ9jcxD5kROZ,https://api.spotify.com/v1/audio-analysis/1y8gELdtDVvZ9jcxD5kROZ,212000,4,best_of-classic.csv
0.152,0.152,7,-16.79,1,0.0395,0.877,0.922,0.109,0.0512,77.263,audio_features,7mmFGUzqvXdGMKMREx19jy,spotify:track:7mmFGUzqvXdGMKMREx19jy,https://api.spotify.com/v1/tracks/7mmFGUzqvXdGMKMREx19jy,https://api.spotify.com/v1/audio-analysis/7mmFGUzqvXdGMKMREx19jy,257041,3,best_of-classic.csv
0.18,0.116,5,-19.104,1,0.0405,0.989,0.731,0.0965,0.0387,128.761,audio_features,3HuAdNRvyZnHAatob5Dqhd,spotify:track:3HuAdNRvyZnHAatob5Dqhd,https://api.spotify.com/v1/tracks/3HuAdNRvyZnHAatob5Dqhd,https://api.spotify.com/v1/audio-analysis/3HuAdNRvyZnHAatob5Dqhd,283776,4,best_of-classic.csv
0.172,0.11,2,-22.55,1,0.0422,0.347,0.886,0.126,0.0994,134.664,audio_features,5cPEcLcJjY5X3ayjuzDaly,spotify:track:5cPEcLcJjY5X3ayjuzDaly,https://api.spotify.com/v1/tracks/5cPEcLcJjY5X3ayjuzDaly,https://api.spotify.com/v1/audio-analysis/5cPEcLcJjY5X3ayjuzDaly,318127,4,best_of-classic.csv
0.288,0.0437,8,-25.054,1,0.0349,0.983,0.922,0.0739,0.0346,94.451,audio_features,4JsULKNv4gIyS62t7SCtoj,spotify:track:4JsULKNv4gIyS62t7SCtoj,https://api.spotify.com/v1/tracks/4JsULKNv4gIyS62t7SCtoj,https://api.spotify.com/v1/audio-analysis/4JsULKNv4gIyS62t7SCtoj,148037,5,best_of-classic.csv
0.362,0.00434,1,-31.883,1,0.0427,0.959,0.919,0.0987,0.0591,68.447,audio_features,7JEk7wwbklQ7hjLvkBq4QR,spotify:track:7JEk7wwbklQ7hjLvkBq4QR,https://api.spotify.com/v1/tracks/7JEk7wwbklQ7hjLvkBq4QR,https://api.spotify.com/v1/audio-analysis/7JEk7wwbklQ7hjLvkBq4QR,397500,3,best_of-classic.csv
0.319,0.0063,1,-32.571,0,0.0544,0.971,0.917,0.0627,0.231,134.288,audio_features,4FGS0GKe5JxZELhmAHkCnc,spotify:track:4FGS0GKe5JxZELhmAHkCnc,https://api.spotify.com/v1/tracks/4FGS0GKe5JxZELhmAHkCnc,https://api.spotify.com/v1/audio-analysis/4FGS0GKe5JxZELhmAHkCnc,285500,3,best_of-classic.csv
0.334,0.0036,3,-34.227,1,0.0489,0.991,0.933,0.0716,0.0934,71.484,audio_features,6O9buZz2DoPYhbxcl6rmZU,spotify:track:6O9buZz2DoPYhbxcl6rmZU,https://api.spotify.com/v1/tracks/6O9buZz2DoPYhbxcl6rmZU,https://api.spotify.com/v1/audio-analysis/6O9buZz2DoPYhbxcl6rmZU,330798,3,best_of-classic.csv
0.373,0.00328,1,-31.143,1,0.0623,0.969,0.902,0.0644,0.133,66.268,audio_features,17LjLKZRftc7tg37GQJ8JB,spotify:track:17LjLKZRftc7tg37GQJ8JB,https://api.spotify.com/v1/tracks/17LjLKZRftc7tg37GQJ8JB,https://api.spotify.com/v1/audio-analysis/17LjLKZRftc7tg37GQJ8JB,394159,4,best_of-classic.csv
0.331,0.147,7,-20.17,0,0.0388,0.974,0.91,0.102,0.0437,133.551,audio_features,2ke0tcasXoHwr4HyD5OKI1,spotify:track:2ke0tcasXoHwr4HyD5OKI1,https://api.spotify.com/v1/tracks/2ke0tcasXoHwr4HyD5OKI1,https://api.spotify.com/v1/audio-analysis/2ke0tcasXoHwr4HyD5OKI1,594000,3,best_of-classic.csv
0.263,0.121,10,-21.198,0,0.0442,0.983,0.864,0.0932,0.0434,66.02,audio_features,7kozTfDklVVV65v7t4LKCV,spotify:track:7kozTfDklVVV65v7t4LKCV,https://api.spotify.com/v1/tracks/7kozTfDklVVV65v7t4LKCV,https://api.spotify.com/v1/audio-analysis/7kozTfDklVVV65v7t4LKCV,747500,4,best_of-classic.csv
0.229,0.123,0,-21.395,0,0.03,0.99,0.878,0.125,0.12,60.169,audio_features,4WdSY7AT3EimUN5umANDHd,spotify:track:4WdSY7AT3EimUN5umANDHd,https://api.spotify.com/v1/tracks/4WdSY7AT3EimUN5umANDHd,https://api.spotify.com/v1/audio-analysis/4WdSY7AT3EimUN5umANDHd,173280,4,best_of-classic.csv
