danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.452,0.718,7,-6.972,1,0.341,0.136,0.0,0.121,0.758,109.454,audio_features,42wkLJPPut34BBByK3zqR1,spotify:track:42wkLJPPut34BBByK3zqR1,https://api.spotify.com/v1/tracks/42wkLJPPut34BBByK3zqR1,https://api.spotify.com/v1/audio-analysis/42wkLJPPut34BBByK3zqR1,246400,3,best_of_afrobeats.csv
0.535,0.63,11,-5.565,1,0.0752,0.232,1.31e-05,0.123,0.798,130.459,audio_features,47wpq9ChR1Oh4SgXuM0SwD,spotify:track:47wpq9ChR1Oh4SgXuM0SwD,https://api.spotify.com/v1/tracks/47wpq9ChR1Oh4SgXuM0SwD,https://api.spotify.com/v1/audio-analysis/47wpq9ChR1Oh4SgXuM0SwD,247454,5,best_of_afrobeats.csv
0.706,0.659,0,-4.216,1,0.0381,0.0928,3.11e-06,0.122,0.567,102.122,audio_features,4qOfbZChxf8ZLEaAxeotFB,spotify:track:4qOfbZChxf8ZLEaAxeotFB,https://api.spotify.com/v1/tracks/4qOfbZChxf8ZLEaAxeotFB,https://api.spotify.com/v1/audio-analysis/4qOfbZChxf8ZLEaAxeotFB,211765,4,best_of_afrobeats.csv
0.868,0.521,1,-6.902,0,0.0512,0.281,6.36e-05,0.0992,0.886,113.993,audio_features,1090OWoP6JTpYAaSSEBvGy,spotify:track:1090OWoP6JTpYAaSSEBvGy,https://api.spotify.com/v1/tracks/1090OWoP6JTpYAaSSEBvGy,https://api.spotify.com/v1/audio-analysis/1090OWoP6JTpYAaSSEBvGy,206316,4,best_of_afrobeats.csv
0.771,0.745,6,-5.549,0,0.0569,0.227,0.000227,0.0808,0.607,100.018,audio_features,6WNzBWGEGGNVQcSiAuWYdi,spotify:track:6WNzBWGEGGNVQcSiAuWYdi,https://api.spotify.com/v1/tracks/6WNzBWGEGGNVQcSiAuWYdi,https://api.spotify.com/v1/audio-analysis/6WNzBWGEGGNVQcSiAuWYdi,196800,4,best_of_afrobeats.csv
0.797,0.677,5,-6.575,0,0.0487,0.038,4.86e-06,0.0549,0.746,112.021,audio_features,7mBq0ZB8bjoMviXOGaGDZz,spotify:track:7mBq0ZB8bjoMviXOGaGDZz,https://api.spotify.com/v1/tracks/7mBq0ZB8bjoMviXOGaGDZz,https://api.spotify.com/v1/audio-analysis/7mBq0ZB8bjoMviXOGaGDZz,250000,4,best_of_afrobeats.csv
0.799,0.393,0,-19.917,0,0.071,0.127,0.00917,0.0637,0.94,125.041,audio_features,1GuLgNKd4lrI1vugkxMCAX,spotify:track:1GuLgNKd4lrI1vugkxMCAX,https://api.spotify.com/v1/tracks/1GuLgNKd4lrI1vugkxMCAX,https://api.spotify.com/v1/audio-analysis/1GuLgNKd4lrI1vugkxMCAX,224640,4,best_of_afrobeats.csv
0.822,0.833,2,-2.986,0,0.0665,0.101,0.112,0.0406,0.968,100.005,audio_features,6xhxjkhzbf4kfDSCOEYgqZ,spotify:track:6xhxjkhzbf4kfDSCOEYgqZ,https://api.spotify.com/v1/tracks/6xhxjkhzbf4kfDSCOEYgqZ,https://api.spotify.com/v1/audio-analysis/6xhxjkhzbf4kfDSCOEYgqZ,242442,4,best_of_afrobeats.csv
0.594,0.454,1,-10.013,1,0.295,0.18,0.00091,0.0987,0.739,66.555,audio_features,1XIPyyGqBSU20i4gSagsLV,spotify:track:1XIPyyGqBSU20i4gSagsLV,https://api.spotify.com/v1/tracks/1XIPyyGqBSU20i4gSagsLV,https://api.spotify.com/v1/audio-analysis/1XIPyyGqBSU20i4gSagsLV,168160,5,best_of_afrobeats.csv
0.829,0.717,9,-3.981,1,0.0575,0.361,1.63e-06,0.116,0.845,107.017,audio_features,2FvQPKHf7QBH0BcGn2c3ve,spotify:track:2FvQPKHf7QBH0BcGn2c3ve,https://api.spotify.com/v1/tracks/2FvQPKHf7QBH0BcGn2c3ve,https://api.spotify.com/v1/audio-analysis/2FvQPKHf7QBH0BcGn2c3ve,205368,4,best_of_afrobeats.csv
