danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.314,0.797,0,-9.026,1,0.038,0.0057,5.59e-05,0.0718,0.569,145.393,audio_features,2fXKyAyPrEa24c6PJyqznF,spotify:track:2fXKyAyPrEa24c6PJyqznF,https://api.spotify.com/v1/tracks/2fXKyAyPrEa24c6PJyqznF,https://api.spotify.com/v1/audio-analysis/2fXKyAyPrEa24c6PJyqznF,351627,4,best_of_britpop.csv
0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,audio_features,57iDDD9N9tTWe75x6qhStw,spotify:track:57iDDD9N9tTWe75x6qhStw,https://api.spotify.com/v1/tracks/57iDDD9N9tTWe75x6qhStw,https://api.spotify.com/v1/audio-analysis/57iDDD9N9tTWe75x6qhStw,357267,4,best_of_britpop.csv
0.32,0.94,0,-2.433,1,0.0556,0.0655,0.0,0.0845,0.311,162.844,audio_features,33XGVnpWeV4ulx8eXkytpp,spotify:track:33XGVnpWeV4ulx8eXkytpp,https://api.spotify.com/v1/tracks/33XGVnpWeV4ulx8eXkytpp,https://api.spotify.com/v1/audio-analysis/33XGVnpWeV4ulx8eXkytpp,293573,4,best_of_britpop.csv
0.546,0.572,5,-13.104,1,0.0319,0.0701,0.000731,0.079,0.529,113.312,audio_features,7ziicmUOzWXAkdPriOmFk9,spotify:track:7ziicmUOzWXAkdPriOmFk9,https://api.spotify.com/v1/tracks/7ziicmUOzWXAkdPriOmFk9,https://api.spotify.com/v1/audio-analysis/7ziicmUOzWXAkdPriOmFk9,238120,4,best_of_britpop.csv
0.397,0.581,5,-10.768,0,0.0745,0.143,5.49e-06,0.117,0.567,185.731,audio_features,4IvAP01vNQ5zAS2BNZ9MnT,spotify:track:4IvAP01vNQ5zAS2BNZ9MnT,https://api.spotify.com/v1/tracks/4IvAP01vNQ5zAS2BNZ9MnT,https://api.spotify.com/v1/audio-analysis/4IvAP01vNQ5zAS2BNZ9MnT,244032,4,best_of_britpop.csv
0.514,0.759,2,-4.557,1,0.0434,0.114,0.0,0.143,0.496,88.459,audio_features,3V24DFsFktPvOg2afee7Q5,spotify:track:3V24DFsFktPvOg2afee7Q5,https://api.spotify.com/v1/tracks/3V24DFsFktPvOg2afee7Q5,https://api.spotify.com/v1/audio-analysis/3V24DFsFktPvOg2afee7Q5,191787,4,best_of_britpop.csv
0.581,0.88,7,-4.39,1,0.0289,0.00105,2.74e-05,0.168,0.945,122.89,audio_features,2nSI7LcsLQnawLzZJqP457,spotify:track:2nSI7LcsLQnawLzZJqP457,https://api.spotify.com/v1/tracks/2nSI7LcsLQnawLzZJqP457,https://api.spotify.com/v1/audio-analysis/2nSI7LcsLQnawLzZJqP457,154840,4,best_of_britpop.csv
0.478,0.83,8,-6.902,1,0.0402,0.000385,0.0,0.0973,0.759,117.882,audio_features,22WUPpOkcQGwQU6hK1liXR,spotify:track:22WUPpOkcQGwQU6hK1liXR,https://api.spotify.com/v1/tracks/22WUPpOkcQGwQU6hK1liXR,https://api.spotify.com/v1/audio-analysis/22WUPpOkcQGwQU6hK1liXR,174787,4,best_of_britpop.csv
0.528,0.983,8,-5.231,0,0.0391,0.0896,0.0,0.406,0.835,99.049,audio_features,5yWVfYEeQRPuFtytvkOgU1,spotify:track:5yWVfYEeQRPuFtytvkOgU1,https://api.spotify.com/v1/tracks/5yWVfYEeQRPuFtytvkOgU1,https://api.spotify.com/v1/audio-analysis/5yWVfYEeQRPuFtytvkOgU1,230867,4,best_of_britpop.csv
0.467,0.481,11,-10.17,1,0.0233,0.034,0.0102,0.106,0.328,80.043,audio_features,3drQLSnECw7QSHMysFqFx7,spotify:track:3drQLSnECw7QSHMysFqFx7,https://api.spotify.com/v1/tracks/3drQLSnECw7QSHMysFqFx7,https://api.spotify.com/v1/audio-analysis/3drQLSnECw7QSHMysFqFx7,231733,4,best_of_britpop.csv
0.628,0.707,0,-6.184,1,0.0387,0.119,0.0,0.0948,0.685,141.991,audio_features,0GKuU9rtmaEtGfDfeLLN5t,spotify:track:0GKuU9rtmaEtGfDfeLLN5t,https://api.spotify.com/v1/tracks/0GKuU9rtmaEtGfDfeLLN5t,https://api.spotify.com/v1/audio-analysis/0GKuU9rtmaEtGfDfeLLN5t,181152,4,best_of_britpop.csv
0.247,0.764,9,-7.718,1,0.0472,0.00542,0.0,0.16,0.503,154.707,audio_features,0cA41ydiosNCgmmGiCST65,spotify:track:0cA41ydiosNCgmmGiCST65,https://api.spotify.com/v1/tracks/0cA41ydiosNCgmmGiCST65,https://api.spotify.com/v1/audio-analysis/0cA41ydiosNCgmmGiCST65,210200,4,best_of_britpop.csv
0.409,0.896,2,-4.36,1,0.0335,0.000785,0.0,0.209,0.678,174.624,audio_features,0dD4myangln1RRBzwWUcIQ,spotify:track:0dD4myangln1RRBzwWUcIQ,https://api.spotify.com/v1/tracks/0dD4myangln1RRBzwWUcIQ,https://api.spotify.com/v1/audio-analysis/0dD4myangln1RRBzwWUcIQ,258613,4,best_of_britpop.csv
0.494,0.862,4,-9.158,0,0.0273,0.012,0.213,0.228,0.59,112.596,audio_features,5D5cPDuQ6mLDKxrh5hMcwG,spotify:track:5D5cPDuQ6mLDKxrh5hMcwG,https://api.spotify.com/v1/tracks/5D5cPDuQ6mLDKxrh5hMcwG,https://api.spotify.com/v1/audio-analysis/5D5cPDuQ6mLDKxrh5hMcwG,292800,4,best_of_britpop.csv
0.596,0.885,2,-5.906,1,0.0345,2.94e-05,0.56,0.179,0.707,102.385,audio_features,2YawqESvdpHBZoafDP6i6U,spotify:track:2YawqESvdpHBZoafDP6i6U,https://api.spotify.com/v1/tracks/2YawqESvdpHBZoafDP6i6U,https://api.spotify.com/v1/audio-analysis/2YawqESvdpHBZoafDP6i6U,269223,4,best_of_britpop.csv
0.576,0.687,5,-7.434,1,0.0341,0.247,0.0,0.359,0.278,123.614,audio_features,5IaJ6YghsvtGBDyF7H6vkU,spotify:track:5IaJ6YghsvtGBDyF7H6vkU,https://api.spotify.com/v1/tracks/5IaJ6YghsvtGBDyF7H6vkU,https://api.spotify.com/v1/audio-analysis/5IaJ6YghsvtGBDyF7H6vkU,222440,4,best_of_britpop.csv
0.342,0.397,2,-7.294,1,0.0258,0.292,0.0025,0.34,0.289,188.242,audio_features,2h4XTmy55vMbRIfuK08YA3,spotify:track:2h4XTmy55vMbRIfuK08YA3,https://api.spotify.com/v1/tracks/2h4XTmy55vMbRIfuK08YA3,https://api.spotify.com/v1/audio-analysis/2h4XTmy55vMbRIfuK08YA3,313545,3,best_of_britpop.csv
0.267,0.81,0,-6.189,1,0.0418,0.00019,0.018,0.084,0.267,127.673,audio_features,2VmyLy2HQlkevZYboXHM5O,spotify:track:2VmyLy2HQlkevZYboXHM5O,https://api.spotify.com/v1/tracks/2VmyLy2HQlkevZYboXHM5O,https://api.spotify.com/v1/audio-analysis/2VmyLy2HQlkevZYboXHM5O,290960,5,best_of_britpop.csv
0.595,0.889,7,-7.163,1,0.0332,1.12e-05,0.551,0.118,0.45,105.153,audio_features,4gAU0cHQJFxj1n2ZDiEIzG,spotify:track:4gAU0cHQJFxj1n2ZDiEIzG,https://api.spotify.com/v1/tracks/4gAU0cHQJFxj1n2ZDiEIzG,https://api.spotify.com/v1/audio-analysis/4gAU0cHQJFxj1n2ZDiEIzG,318507,4,best_of_britpop.csv
0.693,0.875,7,-8.354,0,0.0315,0.00986,0.0,0.0601,0.899,120.048,audio_features,5CeL9C3bsoe4yzYS1Qz8cw,spotify:track:5CeL9C3bsoe4yzYS1Qz8cw,https://api.spotify.com/v1/tracks/5CeL9C3bsoe4yzYS1Qz8cw,https://api.spotify.com/v1/audio-analysis/5CeL9C3bsoe4yzYS1Qz8cw,259387,4,best_of_britpop.csv
0.508,0.826,1,-4.088,0,0.0405,0.018,0.0,0.28,0.404,120.854,audio_features,19IH1Vm1FFyoRLETb812AW,spotify:track:19IH1Vm1FFyoRLETb812AW,https://api.spotify.com/v1/tracks/19IH1Vm1FFyoRLETb812AW,https://api.spotify.com/v1/audio-analysis/19IH1Vm1FFyoRLETb812AW,205067,4,best_of_britpop.csv
0.431,0.903,2,-6.577,1,0.0406,0.02,4.95e-05,0.173,0.672,102.787,audio_features,3SyPTIK2xO4UhlpmKPsnK6,spotify:track:3SyPTIK2xO4UhlpmKPsnK6,https://api.spotify.com/v1/tracks/3SyPTIK2xO4UhlpmKPsnK6,https://api.spotify.com/v1/audio-analysis/3SyPTIK2xO4UhlpmKPsnK6,201133,4,best_of_britpop.csv
0.565,0.552,6,-14.957,0,0.0877,0.136,0.162,0.0852,0.856,164.03,audio_features,4Fv4pnOEm8MH9MadCwO8vI,spotify:track:4Fv4pnOEm8MH9MadCwO8vI,https://api.spotify.com/v1/tracks/4Fv4pnOEm8MH9MadCwO8vI,https://api.spotify.com/v1/audio-analysis/4Fv4pnOEm8MH9MadCwO8vI,207622,4,best_of_britpop.csv
0.467,0.958,4,-4.808,0,0.0775,0.000479,0.199,0.299,0.701,145.92,audio_features,5CQvKyzkWI7TnUu2oB9QZ0,spotify:track:5CQvKyzkWI7TnUu2oB9QZ0,https://api.spotify.com/v1/tracks/5CQvKyzkWI7TnUu2oB9QZ0,https://api.spotify.com/v1/audio-analysis/5CQvKyzkWI7TnUu2oB9QZ0,180880,4,best_of_britpop.csv
