danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.891,0.62,7,-7.463,1,0.244,0.139,1.61e-05,0.0805,0.404,98.094,audio_features,0btB1fHGwvipD4IUmyh1vL,spotify:track:0btB1fHGwvipD4IUmyh1vL,https://api.spotify.com/v1/tracks/0btB1fHGwvipD4IUmyh1vL,https://api.spotify.com/v1/audio-analysis/0btB1fHGwvipD4IUmyh1vL,204500,4,best_of_dancehall.csv
0.812,0.693,0,-3.914,0,0.367,0.0382,0.0,0.104,0.853,90.12,audio_features,6IFDy0imCdhDpHj98GczEX,spotify:track:6IFDy0imCdhDpHj98GczEX,https://api.spotify.com/v1/tracks/6IFDy0imCdhDpHj98GczEX,https://api.spotify.com/v1/audio-analysis/6IFDy0imCdhDpHj98GczEX,153213,4,best_of_dancehall.csv
0.816,0.875,7,-2.499,1,0.184,0.187,0.0,0.0346,0.952,100.967,audio_features,30mNHDOw7qD5SF8tBeuPpu,spotify:track:30mNHDOw7qD5SF8tBeuPpu,https://api.spotify.com/v1/tracks/30mNHDOw7qD5SF8tBeuPpu,https://api.spotify.com/v1/audio-analysis/30mNHDOw7qD5SF8tBeuPpu,173465,4,best_of_dancehall.csv
0.699,0.675,9,-5.383,1,0.387,0.0654,0.0,0.143,0.442,105.151,audio_features,5o5yQsdZblzaqzgBFDVJTv,spotify:track:5o5yQsdZblzaqzgBFDVJTv,https://api.spotify.com/v1/tracks/5o5yQsdZblzaqzgBFDVJTv,https://api.spotify.com/v1/audio-analysis/5o5yQsdZblzaqzgBFDVJTv,217200,4,best_of_dancehall.csv
0.69,0.621,8,-3.583,1,0.06,0.321,2.81e-05,0.0884,0.497,66.858,audio_features,0j55p8YRAPG8yajtNyjt6A,spotify:track:0j55p8YRAPG8yajtNyjt6A,https://api.spotify.com/v1/tracks/0j55p8YRAPG8yajtNyjt6A,https://api.spotify.com/v1/audio-analysis/0j55p8YRAPG8yajtNyjt6A,233253,3,best_of_dancehall.csv
0.817,0.699,10,-5.379,0,0.355,0.216,0.000112,0.115,0.664,101.101,audio_features,4tw57jakL7TFEdZ4bUohP1,spotify:track:4tw57jakL7TFEdZ4bUohP1,https://api.spotify.com/v1/tracks/4tw57jakL7TFEdZ4bUohP1,https://api.spotify.com/v1/audio-analysis/4tw57jakL7TFEdZ4bUohP1,168751,4,best_of_dancehall.csv
0.883,0.733,11,-9.153,0,0.128,0.161,0.00026,0.334,0.947,95.103,audio_features,1HGyhNaRUFEDBiVLbvtbL6,spotify:track:1HGyhNaRUFEDBiVLbvtbL6,https://api.spotify.com/v1/tracks/1HGyhNaRUFEDBiVLbvtbL6,https://api.spotify.com/v1/audio-analysis/1HGyhNaRUFEDBiVLbvtbL6,245000,4,best_of_dancehall.csv
0.599,0.683,7,-3.812,1,0.464,0.448,0.0,0.0463,0.75,211.958,audio_features,2c3e6W36veH8GSBkoMKX24,spotify:track:2c3e6W36veH8GSBkoMKX24,https://api.spotify.com/v1/tracks/2c3e6W36veH8GSBkoMKX24,https://api.spotify.com/v1/audio-analysis/2c3e6W36veH8GSBkoMKX24,150280,4,best_of_dancehall.csv
0.887,0.765,2,-5.207,1,0.0669,0.00915,0.000872,0.0907,0.456,102.958,audio_features,5X5YDBavdU5RjYMlxqwlCm,spotify:track:5X5YDBavdU5RjYMlxqwlCm,https://api.spotify.com/v1/tracks/5X5YDBavdU5RjYMlxqwlCm,https://api.spotify.com/v1/audio-analysis/5X5YDBavdU5RjYMlxqwlCm,177186,4,best_of_dancehall.csv
0.741,0.79,2,-5.056,1,0.284,0.000755,0.0,0.0345,0.806,185.779,audio_features,3WU2blK7YBcugEEU9CATvF,spotify:track:3WU2blK7YBcugEEU9CATvF,https://api.spotify.com/v1/tracks/3WU2blK7YBcugEEU9CATvF,https://api.spotify.com/v1/audio-analysis/3WU2blK7YBcugEEU9CATvF,188200,4,best_of_dancehall.csv
