danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.803,0.606,5,-6.795,0,0.0533,0.0801,0.87,0.0739,0.655,119.949,audio_features,2JwDtoxgzFqaWk1VksowA6,spotify:track:2JwDtoxgzFqaWk1VksowA6,https://api.spotify.com/v1/tracks/2JwDtoxgzFqaWk1VksowA6,https://api.spotify.com/v1/audio-analysis/2JwDtoxgzFqaWk1VksowA6,416000,4,best_of_deep_house.csv
0.85,0.634,7,-10.332,0,0.0772,0.0011,0.734,0.0467,0.731,120.004,audio_features,3GZyxtCb3KiN1Hm0AqhF8d,spotify:track:3GZyxtCb3KiN1Hm0AqhF8d,https://api.spotify.com/v1/tracks/3GZyxtCb3KiN1Hm0AqhF8d,https://api.spotify.com/v1/audio-analysis/3GZyxtCb3KiN1Hm0AqhF8d,425070,4,best_of_deep_house.csv
0.869,0.497,0,-9.334,0,0.0788,0.0105,0.45,0.115,0.69,120.007,audio_features,6rZvRicNswP1ix34XC5nBC,spotify:track:6rZvRicNswP1ix34XC5nBC,https://api.spotify.com/v1/tracks/6rZvRicNswP1ix34XC5nBC,https://api.spotify.com/v1/audio-analysis/6rZvRicNswP1ix34XC5nBC,494000,4,best_of_deep_house.csv
0.74,0.809,10,-6.617,0,0.0566,0.000844,0.448,0.123,0.145,120.991,audio_features,6uJWGe8QnEZHbfawyqszbj,spotify:track:6uJWGe8QnEZHbfawyqszbj,https://api.spotify.com/v1/tracks/6uJWGe8QnEZHbfawyqszbj,https://api.spotify.com/v1/audio-analysis/6uJWGe8QnEZHbfawyqszbj,360992,4,best_of_deep_house.csv
0.81,0.693,5,-8.792,0,0.0486,0.0018,0.646,0.041,0.829,117.985,audio_features,605K7OY1kSdsstfq83kC2y,spotify:track:605K7OY1kSdsstfq83kC2y,https://api.spotify.com/v1/tracks/605K7OY1kSdsstfq83kC2y,https://api.spotify.com/v1/audio-analysis/605K7OY1kSdsstfq83kC2y,362034,4,best_of_deep_house.csv
0.783,0.463,1,-9.814,1,0.0517,0.0265,0.329,0.365,0.472,120.997,audio_features,0CguK2DB2StNvzTR8d0PAZ,spotify:track:0CguK2DB2StNvzTR8d0PAZ,https://api.spotify.com/v1/tracks/0CguK2DB2StNvzTR8d0PAZ,https://api.spotify.com/v1/audio-analysis/0CguK2DB2StNvzTR8d0PAZ,380438,4,best_of_deep_house.csv
0.815,0.612,1,-8.284,1,0.0461,0.00217,0.408,0.0653,0.504,118.019,audio_features,4J4t9PkjbpiilDGMldPRK2,spotify:track:4J4t9PkjbpiilDGMldPRK2,https://api.spotify.com/v1/tracks/4J4t9PkjbpiilDGMldPRK2,https://api.spotify.com/v1/audio-analysis/4J4t9PkjbpiilDGMldPRK2,396694,4,best_of_deep_house.csv
0.877,0.756,2,-11.631,1,0.176,0.00019,0.485,0.552,0.65,120.01,audio_features,5DZa8TlhPYYBd7gspvw5Hj,spotify:track:5DZa8TlhPYYBd7gspvw5Hj,https://api.spotify.com/v1/tracks/5DZa8TlhPYYBd7gspvw5Hj,https://api.spotify.com/v1/audio-analysis/5DZa8TlhPYYBd7gspvw5Hj,508000,4,best_of_deep_house.csv
0.778,0.649,5,-7.549,0,0.037,0.0288,0.189,0.315,0.407,119.996,audio_features,0rDkA0tJDoTi6TVMzYtHdC,spotify:track:0rDkA0tJDoTi6TVMzYtHdC,https://api.spotify.com/v1/tracks/0rDkA0tJDoTi6TVMzYtHdC,https://api.spotify.com/v1/audio-analysis/0rDkA0tJDoTi6TVMzYtHdC,441957,4,best_of_deep_house.csv
0.814,0.754,0,-9.952,1,0.0531,0.00123,0.908,0.104,0.592,122.009,audio_features,0xkgFxq6f8aoRv0yl1cJO0,spotify:track:0xkgFxq6f8aoRv0yl1cJO0,https://api.spotify.com/v1/tracks/0xkgFxq6f8aoRv0yl1cJO0,https://api.spotify.com/v1/audio-analysis/0xkgFxq6f8aoRv0yl1cJO0,394876,4,best_of_deep_house.csv
