danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,audio_features,1LzNfuep1bnAUR9skqdHCK,spotify:track:1LzNfuep1bnAUR9skqdHCK,https://api.spotify.com/v1/tracks/1LzNfuep1bnAUR9skqdHCK,https://api.spotify.com/v1/audio-analysis/1LzNfuep1bnAUR9skqdHCK,295600,3,best_of_dreampop.csv
0.507,0.79,0,-7.307,0,0.0294,0.233,0.139,0.145,0.6,147.065,audio_features,1ZgMsA55GIY7ICkQh5MILA,spotify:track:1ZgMsA55GIY7ICkQh5MILA,https://api.spotify.com/v1/tracks/1ZgMsA55GIY7ICkQh5MILA,https://api.spotify.com/v1/audio-analysis/1ZgMsA55GIY7ICkQh5MILA,320467,4,best_of_dreampop.csv
0.33,0.532,2,-11.764,1,0.0263,0.00101,0.709,0.101,0.218,93.512,audio_features,0oxYB9GoOIDrdzniNdKC44,spotify:track:0oxYB9GoOIDrdzniNdKC44,https://api.spotify.com/v1/tracks/0oxYB9GoOIDrdzniNdKC44,https://api.spotify.com/v1/audio-analysis/0oxYB9GoOIDrdzniNdKC44,285907,4,best_of_dreampop.csv
0.49,0.652,2,-5.813,1,0.0274,0.00196,6.24e-05,0.0991,0.339,90.085,audio_features,37pKTyMwalomKCZjxTc2QZ,spotify:track:37pKTyMwalomKCZjxTc2QZ,https://api.spotify.com/v1/tracks/37pKTyMwalomKCZjxTc2QZ,https://api.spotify.com/v1/audio-analysis/37pKTyMwalomKCZjxTc2QZ,192467,4,best_of_dreampop.csv
0.518,0.496,10,-11.607,1,0.0292,0.41,0.1,0.0999,0.281,143.921,audio_features,190IqlryWu91WBKeDgZqZz,spotify:track:190IqlryWu91WBKeDgZqZz,https://api.spotify.com/v1/tracks/190IqlryWu91WBKeDgZqZz,https://api.spotify.com/v1/audio-analysis/190IqlryWu91WBKeDgZqZz,170893,4,best_of_dreampop.csv
0.34,0.737,8,-4.681,1,0.0582,0.000105,0.762,0.0699,0.499,172.022,audio_features,4V0x90QcMh4ZxwHzEWOdtK,spotify:track:4V0x90QcMh4ZxwHzEWOdtK,https://api.spotify.com/v1/tracks/4V0x90QcMh4ZxwHzEWOdtK,https://api.spotify.com/v1/audio-analysis/4V0x90QcMh4ZxwHzEWOdtK,192080,4,best_of_dreampop.csv
0.444,0.591,7,-9.004,0,0.0316,0.319,0.77,0.107,0.0771,137.865,audio_features,26iu1k7U1NT2i8Sz7mDPGa,spotify:track:26iu1k7U1NT2i8Sz7mDPGa,https://api.spotify.com/v1/tracks/26iu1k7U1NT2i8Sz7mDPGa,https://api.spotify.com/v1/audio-analysis/26iu1k7U1NT2i8Sz7mDPGa,216038,4,best_of_dreampop.csv
0.225,0.511,4,-9.316,1,0.0339,0.506,0.918,0.108,0.117,114.255,audio_features,0dcu28YT8cXZH7JTIraszp,spotify:track:0dcu28YT8cXZH7JTIraszp,https://api.spotify.com/v1/tracks/0dcu28YT8cXZH7JTIraszp,https://api.spotify.com/v1/audio-analysis/0dcu28YT8cXZH7JTIraszp,304240,4,best_of_dreampop.csv
0.5,0.47,0,-9.995,0,0.0395,0.798,0.88,0.0899,0.0766,141.454,audio_features,6lvJDlBrtabJWiBlMTGxKs,spotify:track:6lvJDlBrtabJWiBlMTGxKs,https://api.spotify.com/v1/tracks/6lvJDlBrtabJWiBlMTGxKs,https://api.spotify.com/v1/audio-analysis/6lvJDlBrtabJWiBlMTGxKs,157000,4,best_of_dreampop.csv
0.202,0.804,7,-5.465,1,0.0383,6.97e-05,0.00775,0.081,0.418,179.911,audio_features,0AxZUYeQ9bZwSdt1LmZuok,spotify:track:0AxZUYeQ9bZwSdt1LmZuok,https://api.spotify.com/v1/tracks/0AxZUYeQ9bZwSdt1LmZuok,https://api.spotify.com/v1/audio-analysis/0AxZUYeQ9bZwSdt1LmZuok,298400,4,best_of_dreampop.csv
