danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.85,0.68,3,-6.18,0,0.338,0.732,0.0,0.0964,0.694,144.006,audio_features,4D0GT8zWuA7Z2em6dpajAn,spotify:track:4D0GT8zWuA7Z2em6dpajAn,https://api.spotify.com/v1/tracks/4D0GT8zWuA7Z2em6dpajAn,https://api.spotify.com/v1/audio-analysis/4D0GT8zWuA7Z2em6dpajAn,173333,1,best_of_drill.csv
0.883,0.674,11,-8.043,0,0.357,0.21,0.0,0.0678,0.73,141.02,audio_features,6uvMKqNlrSvcC4NaKnrwjZ,spotify:track:6uvMKqNlrSvcC4NaKnrwjZ,https://api.spotify.com/v1/tracks/6uvMKqNlrSvcC4NaKnrwjZ,https://api.spotify.com/v1/audio-analysis/6uvMKqNlrSvcC4NaKnrwjZ,278085,4,best_of_drill.csv
0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,audio_features,3LtpKP5abr2qqjunvjlX5i,spotify:track:3LtpKP5abr2qqjunvjlX5i,https://api.spotify.com/v1/tracks/3LtpKP5abr2qqjunvjlX5i,https://api.spotify.com/v1/audio-analysis/3LtpKP5abr2qqjunvjlX5i,97393,4,best_of_drill.csv
0.863,0.471,6,-9.545,1,0.478,0.251,0.0,0.121,0.644,140.969,audio_features,5wIjM4q7oIgiLqn8Qfoyxh,spotify:track:5wIjM4q7oIgiLqn8Qfoyxh,https://api.spotify.com/v1/tracks/5wIjM4q7oIgiLqn8Qfoyxh,https://api.spotify.com/v1/audio-analysis/5wIjM4q7oIgiLqn8Qfoyxh,252907,4,best_of_drill.csv
0.746,0.825,3,-4.457,1,0.0435,0.192,0.0,0.365,0.904,143.062,audio_features,4oxGI8yyghLuMV7ybRG3kg,spotify:track:4oxGI8yyghLuMV7ybRG3kg,https://api.spotify.com/v1/tracks/4oxGI8yyghLuMV7ybRG3kg,https://api.spotify.com/v1/audio-analysis/4oxGI8yyghLuMV7ybRG3kg,108651,4,best_of_drill.csv
0.807,0.75,11,-4.396,1,0.237,0.17,0.0,0.164,0.961,141.176,audio_features,6A3SB2C4U6JtCavQOXLYNN,spotify:track:6A3SB2C4U6JtCavQOXLYNN,https://api.spotify.com/v1/tracks/6A3SB2C4U6JtCavQOXLYNN,https://api.spotify.com/v1/audio-analysis/6A3SB2C4U6JtCavQOXLYNN,139574,4,best_of_drill.csv
0.905,0.571,2,-7.979,1,0.357,0.228,0.0,0.113,0.757,144.892,audio_features,1o6x7iRcDQPEEg8YPgLeVA,spotify:track:1o6x7iRcDQPEEg8YPgLeVA,https://api.spotify.com/v1/tracks/1o6x7iRcDQPEEg8YPgLeVA,https://api.spotify.com/v1/audio-analysis/1o6x7iRcDQPEEg8YPgLeVA,188690,4,best_of_drill.csv
0.871,0.519,2,-6.549,1,0.258,0.313,8.14e-06,0.0869,0.532,140.013,audio_features,2oUwMN5VfdGX10XeQJLBBi,spotify:track:2oUwMN5VfdGX10XeQJLBBi,https://api.spotify.com/v1/tracks/2oUwMN5VfdGX10XeQJLBBi,https://api.spotify.com/v1/audio-analysis/2oUwMN5VfdGX10XeQJLBBi,251733,4,best_of_drill.csv
0.8,0.71,5,-6.403,0,0.295,0.463,0.0,0.339,0.795,147.171,audio_features,5w3CtwPT5e0k8zg2LyjvNN,spotify:track:5w3CtwPT5e0k8zg2LyjvNN,https://api.spotify.com/v1/tracks/5w3CtwPT5e0k8zg2LyjvNN,https://api.spotify.com/v1/audio-analysis/5w3CtwPT5e0k8zg2LyjvNN,150664,4,best_of_drill.csv
0.821,0.666,1,-7.237,1,0.342,0.0954,0.0,0.319,0.739,145.066,audio_features,3B0WbRucJ6ZIla2G9IVt2E,spotify:track:3B0WbRucJ6ZIla2G9IVt2E,https://api.spotify.com/v1/tracks/3B0WbRucJ6ZIla2G9IVt2E,https://api.spotify.com/v1/audio-analysis/3B0WbRucJ6ZIla2G9IVt2E,178138,4,best_of_drill.csv
