danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.74,0.826,5,-5.913,0,0.06,0.313,0.00678,0.226,0.695,119.975,audio_features,0hPLh77jQo9DFNVP2YPKUD,spotify:track:0hPLh77jQo9DFNVP2YPKUD,https://api.spotify.com/v1/tracks/0hPLh77jQo9DFNVP2YPKUD,https://api.spotify.com/v1/audio-analysis/0hPLh77jQo9DFNVP2YPKUD,202000,4,best_of_electro_swing.csv
0.772,0.887,9,-4.809,0,0.0747,0.0639,0.342,0.241,0.659,128.973,audio_features,1rf0ygWQvBS2mpXFtO63fl,spotify:track:1rf0ygWQvBS2mpXFtO63fl,https://api.spotify.com/v1/tracks/1rf0ygWQvBS2mpXFtO63fl,https://api.spotify.com/v1/audio-analysis/1rf0ygWQvBS2mpXFtO63fl,167442,4,best_of_electro_swing.csv
0.741,0.936,11,-4.648,0,0.067,0.000867,0.396,0.0759,0.578,124.94,audio_features,14dBfw4aHUITzrYbIHHVLx,spotify:track:14dBfw4aHUITzrYbIHHVLx,https://api.spotify.com/v1/tracks/14dBfw4aHUITzrYbIHHVLx,https://api.spotify.com/v1/audio-analysis/14dBfw4aHUITzrYbIHHVLx,160500,4,best_of_electro_swing.csv
0.721,0.657,8,-7.869,1,0.0393,0.424,0.504,0.327,0.482,140.107,audio_features,4jh5PSI9w9109PFON7Xl9d,spotify:track:4jh5PSI9w9109PFON7Xl9d,https://api.spotify.com/v1/tracks/4jh5PSI9w9109PFON7Xl9d,https://api.spotify.com/v1/audio-analysis/4jh5PSI9w9109PFON7Xl9d,167143,4,best_of_electro_swing.csv
0.747,0.913,11,-4.372,0,0.103,0.0769,0.00148,0.299,0.899,123.032,audio_features,2JAYRs8g4Lp860x8Mla0a1,spotify:track:2JAYRs8g4Lp860x8Mla0a1,https://api.spotify.com/v1/tracks/2JAYRs8g4Lp860x8Mla0a1,https://api.spotify.com/v1/audio-analysis/2JAYRs8g4Lp860x8Mla0a1,188546,4,best_of_electro_swing.csv
0.879,0.849,9,-6.115,0,0.182,0.00844,0.371,0.0689,0.732,120.995,audio_features,35nsl8YiBIYw1YdNmkmhnk,spotify:track:35nsl8YiBIYw1YdNmkmhnk,https://api.spotify.com/v1/tracks/35nsl8YiBIYw1YdNmkmhnk,https://api.spotify.com/v1/audio-analysis/35nsl8YiBIYw1YdNmkmhnk,186545,4,best_of_electro_swing.csv
0.782,0.926,0,-5.719,1,0.108,0.145,0.0154,0.229,0.437,129.982,audio_features,4UgzfeqWIcvMSPwrHMYsk5,spotify:track:4UgzfeqWIcvMSPwrHMYsk5,https://api.spotify.com/v1/tracks/4UgzfeqWIcvMSPwrHMYsk5,https://api.spotify.com/v1/audio-analysis/4UgzfeqWIcvMSPwrHMYsk5,195315,4,best_of_electro_swing.csv
0.665,0.875,5,-5.816,0,0.0787,0.268,0.00118,0.0707,0.727,125.925,audio_features,3hNQ0g8nsjj4Cf1GIAgp6a,spotify:track:3hNQ0g8nsjj4Cf1GIAgp6a,https://api.spotify.com/v1/tracks/3hNQ0g8nsjj4Cf1GIAgp6a,https://api.spotify.com/v1/audio-analysis/3hNQ0g8nsjj4Cf1GIAgp6a,209524,4,best_of_electro_swing.csv
0.735,0.823,4,-6.259,0,0.0881,0.101,2.52e-05,0.114,0.368,127.935,audio_features,2ERX8OsW2XCm5OoctkbHqF,spotify:track:2ERX8OsW2XCm5OoctkbHqF,https://api.spotify.com/v1/tracks/2ERX8OsW2XCm5OoctkbHqF,https://api.spotify.com/v1/audio-analysis/2ERX8OsW2XCm5OoctkbHqF,212647,4,best_of_electro_swing.csv
0.893,0.569,3,-6.214,0,0.102,0.159,1.88e-05,0.248,0.465,120.082,audio_features,4Xv0OEuS4178t2vEVzdDQO,spotify:track:4Xv0OEuS4178t2vEVzdDQO,https://api.spotify.com/v1/tracks/4Xv0OEuS4178t2vEVzdDQO,https://api.spotify.com/v1/audio-analysis/4Xv0OEuS4178t2vEVzdDQO,212000,4,best_of_electro_swing.csv
0.758,0.808,11,-6.208,0,0.0933,0.023,0.449,0.302,0.577,124.025,audio_features,33yLH412tgEXEoLkxbY5tq,spotify:track:33yLH412tgEXEoLkxbY5tq,https://api.spotify.com/v1/tracks/33yLH412tgEXEoLkxbY5tq,https://api.spotify.com/v1/audio-analysis/33yLH412tgEXEoLkxbY5tq,178518,4,best_of_electro_swing.csv
0.854,0.879,5,-3.52,0,0.113,0.229,0.0115,0.0452,0.96,127.045,audio_features,0yPknNRKEFVAU4HkvE70Ga,spotify:track:0yPknNRKEFVAU4HkvE70Ga,https://api.spotify.com/v1/tracks/0yPknNRKEFVAU4HkvE70Ga,https://api.spotify.com/v1/audio-analysis/0yPknNRKEFVAU4HkvE70Ga,253067,4,best_of_electro_swing.csv
0.753,0.828,9,-6.489,0,0.128,0.137,0.00199,0.167,0.855,117.922,audio_features,0wOhiQLMavRdsBn0t8Nt2C,spotify:track:0wOhiQLMavRdsBn0t8Nt2C,https://api.spotify.com/v1/tracks/0wOhiQLMavRdsBn0t8Nt2C,https://api.spotify.com/v1/audio-analysis/0wOhiQLMavRdsBn0t8Nt2C,170379,4,best_of_electro_swing.csv
0.874,0.647,0,-6.99,1,0.0964,0.00118,0.63,0.602,0.713,124.026,audio_features,5xqVBEdPfunVN9WYJTJmve,spotify:track:5xqVBEdPfunVN9WYJTJmve,https://api.spotify.com/v1/tracks/5xqVBEdPfunVN9WYJTJmve,https://api.spotify.com/v1/audio-analysis/5xqVBEdPfunVN9WYJTJmve,352259,4,best_of_electro_swing.csv
0.782,0.665,6,-7.592,0,0.0605,0.0652,1.52e-05,0.126,0.726,126.985,audio_features,5KdJVf0tqurkIDdBEbIJVG,spotify:track:5KdJVf0tqurkIDdBEbIJVG,https://api.spotify.com/v1/tracks/5KdJVf0tqurkIDdBEbIJVG,https://api.spotify.com/v1/audio-analysis/5KdJVf0tqurkIDdBEbIJVG,210709,4,best_of_electro_swing.csv
0.91,0.743,8,-6.374,1,0.0435,0.0225,0.0417,0.0516,0.733,120.037,audio_features,5LbcLznIJI07UI98KnWtVs,spotify:track:5LbcLznIJI07UI98KnWtVs,https://api.spotify.com/v1/tracks/5LbcLznIJI07UI98KnWtVs,https://api.spotify.com/v1/audio-analysis/5LbcLznIJI07UI98KnWtVs,210000,4,best_of_electro_swing.csv
0.821,0.9,2,-6.962,1,0.0661,0.0219,0.759,0.036,0.578,127.981,audio_features,7GVMQa516ocresqjZ7XrfJ,spotify:track:7GVMQa516ocresqjZ7XrfJ,https://api.spotify.com/v1/tracks/7GVMQa516ocresqjZ7XrfJ,https://api.spotify.com/v1/audio-analysis/7GVMQa516ocresqjZ7XrfJ,238240,4,best_of_electro_swing.csv
0.731,0.916,1,-5.365,1,0.0565,0.00428,0.00176,0.643,0.405,120.004,audio_features,1rBapPZ9Tk5Mng5lWbVTVy,spotify:track:1rBapPZ9Tk5Mng5lWbVTVy,https://api.spotify.com/v1/tracks/1rBapPZ9Tk5Mng5lWbVTVy,https://api.spotify.com/v1/audio-analysis/1rBapPZ9Tk5Mng5lWbVTVy,192500,4,best_of_electro_swing.csv
0.868,0.796,8,-6.692,1,0.0723,0.386,0.424,0.104,0.956,122.954,audio_features,0Q5ZeTsHkpNsRrvPlRztsj,spotify:track:0Q5ZeTsHkpNsRrvPlRztsj,https://api.spotify.com/v1/tracks/0Q5ZeTsHkpNsRrvPlRztsj,https://api.spotify.com/v1/audio-analysis/0Q5ZeTsHkpNsRrvPlRztsj,151220,4,best_of_electro_swing.csv
0.816,0.697,11,-7.458,0,0.0387,0.203,0.581,0.168,0.221,125.004,audio_features,1rGT81mxdtxxY6YUrmqEuO,spotify:track:1rGT81mxdtxxY6YUrmqEuO,https://api.spotify.com/v1/tracks/1rGT81mxdtxxY6YUrmqEuO,https://api.spotify.com/v1/audio-analysis/1rGT81mxdtxxY6YUrmqEuO,157524,4,best_of_electro_swing.csv
0.698,0.898,1,-5.435,1,0.0907,0.000596,0.00955,0.0882,0.37,129.946,audio_features,3ehxGScGRFvH7qoK0gt1ft,spotify:track:3ehxGScGRFvH7qoK0gt1ft,https://api.spotify.com/v1/tracks/3ehxGScGRFvH7qoK0gt1ft,https://api.spotify.com/v1/audio-analysis/3ehxGScGRFvH7qoK0gt1ft,182512,4,best_of_electro_swing.csv
0.749,0.941,9,-5.493,1,0.0364,0.0885,0.000562,0.311,0.979,126.028,audio_features,2yNfs7f9Vwi56hIXtwajPl,spotify:track:2yNfs7f9Vwi56hIXtwajPl,https://api.spotify.com/v1/tracks/2yNfs7f9Vwi56hIXtwajPl,https://api.spotify.com/v1/audio-analysis/2yNfs7f9Vwi56hIXtwajPl,160976,4,best_of_electro_swing.csv
0.611,0.86,8,-6.198,1,0.217,0.205,0.161,0.245,0.939,203.914,audio_features,6NBwYT8zIO8MP1n82BKkij,spotify:track:6NBwYT8zIO8MP1n82BKkij,https://api.spotify.com/v1/tracks/6NBwYT8zIO8MP1n82BKkij,https://api.spotify.com/v1/audio-analysis/6NBwYT8zIO8MP1n82BKkij,151176,4,best_of_electro_swing.csv
0.883,0.737,0,-6.71,0,0.22,0.0105,0.0239,0.194,0.785,129.05,audio_features,5Zv9UsaU3sx8HHRemqYr0k,spotify:track:5Zv9UsaU3sx8HHRemqYr0k,https://api.spotify.com/v1/tracks/5Zv9UsaU3sx8HHRemqYr0k,https://api.spotify.com/v1/audio-analysis/5Zv9UsaU3sx8HHRemqYr0k,175153,4,best_of_electro_swing.csv
0.78,0.953,1,-3.989,1,0.2,0.446,0.00489,0.273,0.706,105.959,audio_features,69R1HdSdsFklxxZzSiVfYc,spotify:track:69R1HdSdsFklxxZzSiVfYc,https://api.spotify.com/v1/tracks/69R1HdSdsFklxxZzSiVfYc,https://api.spotify.com/v1/audio-analysis/69R1HdSdsFklxxZzSiVfYc,192213,4,best_of_electro_swing.csv
0.763,0.71,0,-8.522,0,0.211,0.713,0.0,0.0803,0.689,119.883,audio_features,4sAM69vbKRnbhDs0ESUUK6,spotify:track:4sAM69vbKRnbhDs0ESUUK6,https://api.spotify.com/v1/tracks/4sAM69vbKRnbhDs0ESUUK6,https://api.spotify.com/v1/audio-analysis/4sAM69vbKRnbhDs0ESUUK6,179077,4,best_of_electro_swing.csv
0.775,0.81,6,-6.278,0,0.0523,0.00141,0.0455,0.0959,0.654,129.025,audio_features,2Y6dVNYKzjDoc5gvPDHxFV,spotify:track:2Y6dVNYKzjDoc5gvPDHxFV,https://api.spotify.com/v1/tracks/2Y6dVNYKzjDoc5gvPDHxFV,https://api.spotify.com/v1/audio-analysis/2Y6dVNYKzjDoc5gvPDHxFV,150353,4,best_of_electro_swing.csv
0.81,0.86,1,-6.375,1,0.0583,0.0211,0.534,0.204,0.46,123.0,audio_features,39oE8Pt9LnzEJsKQZznRMY,spotify:track:39oE8Pt9LnzEJsKQZznRMY,https://api.spotify.com/v1/tracks/39oE8Pt9LnzEJsKQZznRMY,https://api.spotify.com/v1/audio-analysis/39oE8Pt9LnzEJsKQZznRMY,126829,4,best_of_electro_swing.csv
0.773,0.791,1,-6.666,1,0.0533,0.0165,3.52e-05,0.141,0.579,128.06,audio_features,0o2y64jHIjh6eEaL5NsZlT,spotify:track:0o2y64jHIjh6eEaL5NsZlT,https://api.spotify.com/v1/tracks/0o2y64jHIjh6eEaL5NsZlT,https://api.spotify.com/v1/audio-analysis/0o2y64jHIjh6eEaL5NsZlT,213596,4,best_of_electro_swing.csv
0.75,0.83,11,-6.101,0,0.0374,0.0808,0.00411,0.0791,0.815,118.011,audio_features,2PWOPWm4Ley4SyeubXEgLG,spotify:track:2PWOPWm4Ley4SyeubXEgLG,https://api.spotify.com/v1/tracks/2PWOPWm4Ley4SyeubXEgLG,https://api.spotify.com/v1/audio-analysis/2PWOPWm4Ley4SyeubXEgLG,159661,4,best_of_electro_swing.csv
0.801,0.597,0,-6.983,1,0.0559,0.0746,0.38,0.0856,0.72,120.012,audio_features,36kaImsnzRzsU6L4cvWP6s,spotify:track:36kaImsnzRzsU6L4cvWP6s,https://api.spotify.com/v1/tracks/36kaImsnzRzsU6L4cvWP6s,https://api.spotify.com/v1/audio-analysis/36kaImsnzRzsU6L4cvWP6s,344000,4,best_of_electro_swing.csv
