danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.793,0.5,6,-13.108,0,0.0319,0.028,1.96e-05,0.186,0.833,123.017,audio_features,1EWsVHU4FNAdtN4R8FETag,spotify:track:1EWsVHU4FNAdtN4R8FETag,https://api.spotify.com/v1/tracks/1EWsVHU4FNAdtN4R8FETag,https://api.spotify.com/v1/audio-analysis/1EWsVHU4FNAdtN4R8FETag,243160,4,best_of_eurodance.csv
0.616,0.942,9,-5.349,0,0.0416,0.0126,0.00402,0.36,0.907,137.964,audio_features,3AOAZESLFvbM2D3nfIcLNt,spotify:track:3AOAZESLFvbM2D3nfIcLNt,https://api.spotify.com/v1/tracks/3AOAZESLFvbM2D3nfIcLNt,https://api.spotify.com/v1/audio-analysis/3AOAZESLFvbM2D3nfIcLNt,219600,4,best_of_eurodance.csv
0.69,0.805,5,-11.522,0,0.0336,0.000232,0.739,0.095,0.799,127.808,audio_features,3L9RIFcNF9IDGPRE96EO7N,spotify:track:3L9RIFcNF9IDGPRE96EO7N,https://api.spotify.com/v1/tracks/3L9RIFcNF9IDGPRE96EO7N,https://api.spotify.com/v1/audio-analysis/3L9RIFcNF9IDGPRE96EO7N,264280,4,best_of_eurodance.csv
0.811,0.833,5,-4.259,1,0.153,0.014,2.06e-05,0.0769,0.567,120.258,audio_features,4t0UsYzmmmZRMTWn77jiGF,spotify:track:4t0UsYzmmmZRMTWn77jiGF,https://api.spotify.com/v1/tracks/4t0UsYzmmmZRMTWn77jiGF,https://api.spotify.com/v1/audio-analysis/4t0UsYzmmmZRMTWn77jiGF,252107,4,best_of_eurodance.csv
0.65,0.985,5,-14.404,0,0.0445,0.00872,0.00422,0.0485,0.757,141.047,audio_features,7voHUmPNDuYZ1SW1mwRu26,spotify:track:7voHUmPNDuYZ1SW1mwRu26,https://api.spotify.com/v1/tracks/7voHUmPNDuYZ1SW1mwRu26,https://api.spotify.com/v1/audio-analysis/7voHUmPNDuYZ1SW1mwRu26,224221,4,best_of_eurodance.csv
0.863,0.781,5,-8.546,0,0.0785,0.0394,0.000292,0.125,0.764,122.938,audio_features,4l2ljvyXOCVNbD5ff7NpM7,spotify:track:4l2ljvyXOCVNbD5ff7NpM7,https://api.spotify.com/v1/tracks/4l2ljvyXOCVNbD5ff7NpM7,https://api.spotify.com/v1/audio-analysis/4l2ljvyXOCVNbD5ff7NpM7,230760,4,best_of_eurodance.csv
0.588,0.929,9,-9.278,0,0.0778,0.013,0.000783,0.231,0.175,130.103,audio_features,1PrlCxehcEi0KvIwKzJuOl,spotify:track:1PrlCxehcEi0KvIwKzJuOl,https://api.spotify.com/v1/tracks/1PrlCxehcEi0KvIwKzJuOl,https://api.spotify.com/v1/audio-analysis/1PrlCxehcEi0KvIwKzJuOl,211733,4,best_of_eurodance.csv
0.764,0.713,2,-8.9,0,0.0311,0.128,0.00058,0.145,0.67,132.993,audio_features,2foOeJLKSvepjHEkb4NR8N,spotify:track:2foOeJLKSvepjHEkb4NR8N,https://api.spotify.com/v1/tracks/2foOeJLKSvepjHEkb4NR8N,https://api.spotify.com/v1/audio-analysis/2foOeJLKSvepjHEkb4NR8N,260973,4,best_of_eurodance.csv
0.663,0.925,9,-6.775,1,0.0449,0.00683,0.703,0.185,0.843,132.687,audio_features,3UPBOL5UtCZmJRwioMkfLD,spotify:track:3UPBOL5UtCZmJRwioMkfLD,https://api.spotify.com/v1/tracks/3UPBOL5UtCZmJRwioMkfLD,https://api.spotify.com/v1/audio-analysis/3UPBOL5UtCZmJRwioMkfLD,221160,4,best_of_eurodance.csv
0.597,0.892,9,-5.79,0,0.0284,0.00346,0.0317,0.069,0.637,134.002,audio_features,0juz4iKEbAAKHfPzqgixRK,spotify:track:0juz4iKEbAAKHfPzqgixRK,https://api.spotify.com/v1/tracks/0juz4iKEbAAKHfPzqgixRK,https://api.spotify.com/v1/audio-analysis/0juz4iKEbAAKHfPzqgixRK,269707,4,best_of_eurodance.csv
