danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.389,0.396,7,-7.999,1,0.0332,0.887,0.0,0.0828,0.585,171.86,audio_features,52vA3CYKZqZVdQnzRrdZt6,spotify:track:52vA3CYKZqZVdQnzRrdZt6,https://api.spotify.com/v1/tracks/52vA3CYKZqZVdQnzRrdZt6,https://api.spotify.com/v1/audio-analysis/52vA3CYKZqZVdQnzRrdZt6,192053,3,best_of_folk.csv
0.561,0.732,7,-6.178,1,0.0281,0.329,0.000228,0.0755,0.671,118.975,audio_features,0YMFcrMtBowDdD5bPz0cgy,spotify:track:0YMFcrMtBowDdD5bPz0cgy,https://api.spotify.com/v1/tracks/0YMFcrMtBowDdD5bPz0cgy,https://api.spotify.com/v1/audio-analysis/0YMFcrMtBowDdD5bPz0cgy,161600,4,best_of_folk.csv
0.541,0.459,4,-10.433,0,0.0297,0.189,0.0274,0.099,0.803,171.165,audio_features,1Q1b8eVkUPGlpSArl8JAVw,spotify:track:1Q1b8eVkUPGlpSArl8JAVw,https://api.spotify.com/v1/tracks/1Q1b8eVkUPGlpSArl8JAVw,https://api.spotify.com/v1/audio-analysis/1Q1b8eVkUPGlpSArl8JAVw,187013,4,best_of_folk.csv
0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,audio_features,2ihCaVdNZmnHZWt0fvAM7B,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/tracks/2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/audio-analysis/2ihCaVdNZmnHZWt0fvAM7B,266600,4,best_of_folk.csv
0.48,0.542,0,-8.51,1,0.0348,0.345,0.000609,0.113,0.567,152.853,audio_features,7mjSHL2Eb0kAwiKbvNNyD9,spotify:track:7mjSHL2Eb0kAwiKbvNNyD9,https://api.spotify.com/v1/tracks/7mjSHL2Eb0kAwiKbvNNyD9,https://api.spotify.com/v1/audio-analysis/7mjSHL2Eb0kAwiKbvNNyD9,200560,4,best_of_folk.csv
0.682,0.471,0,-9.182,1,0.0301,0.765,0.0,0.0908,0.421,79.907,audio_features,1K3LRUEcUz5FMtPYyg0F45,spotify:track:1K3LRUEcUz5FMtPYyg0F45,https://api.spotify.com/v1/tracks/1K3LRUEcUz5FMtPYyg0F45,https://api.spotify.com/v1/audio-analysis/1K3LRUEcUz5FMtPYyg0F45,163133,4,best_of_folk.csv
0.402,0.102,6,-21.048,0,0.0401,0.938,0.000278,0.112,0.307,132.248,audio_features,50LqU2nhdE3fmWOuqOjpjz,spotify:track:50LqU2nhdE3fmWOuqOjpjz,https://api.spotify.com/v1/tracks/50LqU2nhdE3fmWOuqOjpjz,https://api.spotify.com/v1/audio-analysis/50LqU2nhdE3fmWOuqOjpjz,227200,4,best_of_folk.csv
0.71,0.484,2,-7.415,1,0.049,0.22,3.93e-06,0.0879,0.576,109.95,audio_features,49CP2usyaN98EdtrOWXnal,spotify:track:49CP2usyaN98EdtrOWXnal,https://api.spotify.com/v1/tracks/49CP2usyaN98EdtrOWXnal,https://api.spotify.com/v1/audio-analysis/49CP2usyaN98EdtrOWXnal,183667,4,best_of_folk.csv
0.525,0.216,6,-13.551,1,0.0301,0.837,0.0,0.107,0.328,106.761,audio_features,5y788ya4NvwhBznoDIcXwK,spotify:track:5y788ya4NvwhBznoDIcXwK,https://api.spotify.com/v1/tracks/5y788ya4NvwhBznoDIcXwK,https://api.spotify.com/v1/audio-analysis/5y788ya4NvwhBznoDIcXwK,185413,4,best_of_folk.csv
0.519,0.494,5,-8.03,1,0.0275,0.0287,3.34e-05,0.0892,0.482,138.524,audio_features,3QjpO5xOB9ErJ95AxT0h0r,spotify:track:3QjpO5xOB9ErJ95AxT0h0r,https://api.spotify.com/v1/tracks/3QjpO5xOB9ErJ95AxT0h0r,https://api.spotify.com/v1/audio-analysis/3QjpO5xOB9ErJ95AxT0h0r,247000,4,best_of_folk.csv
