danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.564,0.446,7,-10.474,0,0.363,0.225,0.0,0.114,0.112,121.841,audio_features,6Ex1f0wNa3kkol50oTsvzC,spotify:track:6Ex1f0wNa3kkol50oTsvzC,https://api.spotify.com/v1/tracks/6Ex1f0wNa3kkol50oTsvzC,https://api.spotify.com/v1/audio-analysis/6Ex1f0wNa3kkol50oTsvzC,192795,4,best_of_grime.csv
0.765,0.468,6,-11.39,0,0.245,0.616,0.000206,0.095,0.447,141.042,audio_features,1rIfxUG9VNJQVwICfppLnS,spotify:track:1rIfxUG9VNJQVwICfppLnS,https://api.spotify.com/v1/tracks/1rIfxUG9VNJQVwICfppLnS,https://api.spotify.com/v1/audio-analysis/1rIfxUG9VNJQVwICfppLnS,163404,4,best_of_grime.csv
0.72,0.458,1,-10.53,1,0.469,0.159,0.0,0.273,0.796,91.774,audio_features,6SiHE9HwrbEmv4X7ilDzlz,spotify:track:6SiHE9HwrbEmv4X7ilDzlz,https://api.spotify.com/v1/tracks/6SiHE9HwrbEmv4X7ilDzlz,https://api.spotify.com/v1/audio-analysis/6SiHE9HwrbEmv4X7ilDzlz,264081,4,best_of_grime.csv
0.488,0.63,6,-7.788,1,0.532,0.0702,0.0,0.174,0.327,93.263,audio_features,5HQc6EqNQk4q3fxl7f2jfM,spotify:track:5HQc6EqNQk4q3fxl7f2jfM,https://api.spotify.com/v1/tracks/5HQc6EqNQk4q3fxl7f2jfM,https://api.spotify.com/v1/audio-analysis/5HQc6EqNQk4q3fxl7f2jfM,176170,4,best_of_grime.csv
0.663,0.613,4,-5.349,0,0.331,0.121,0.0,0.0849,0.334,159.874,audio_features,2aDoBbj4MkgwQQR6HJ7G4Y,spotify:track:2aDoBbj4MkgwQQR6HJ7G4Y,https://api.spotify.com/v1/tracks/2aDoBbj4MkgwQQR6HJ7G4Y,https://api.spotify.com/v1/audio-analysis/2aDoBbj4MkgwQQR6HJ7G4Y,195584,4,best_of_grime.csv
0.386,0.788,10,-4.927,0,0.211,0.382,0.0,0.096,0.156,139.434,audio_features,5cyEVII0Gbg8DHQC7OfAPL,spotify:track:5cyEVII0Gbg8DHQC7OfAPL,https://api.spotify.com/v1/tracks/5cyEVII0Gbg8DHQC7OfAPL,https://api.spotify.com/v1/audio-analysis/5cyEVII0Gbg8DHQC7OfAPL,221773,4,best_of_grime.csv
0.525,0.822,6,-4.707,0,0.0821,0.203,0.0,0.149,0.344,140.846,audio_features,5b1b7JZWJj4Lg2PizgvbY0,spotify:track:5b1b7JZWJj4Lg2PizgvbY0,https://api.spotify.com/v1/tracks/5b1b7JZWJj4Lg2PizgvbY0,https://api.spotify.com/v1/audio-analysis/5b1b7JZWJj4Lg2PizgvbY0,211339,4,best_of_grime.csv
0.836,0.614,8,-4.543,0,0.311,0.345,9.86e-05,0.088,0.603,101.97,audio_features,11RIJRbBfyLlJut96itSFd,spotify:track:11RIJRbBfyLlJut96itSFd,https://api.spotify.com/v1/tracks/11RIJRbBfyLlJut96itSFd,https://api.spotify.com/v1/audio-analysis/11RIJRbBfyLlJut96itSFd,199521,4,best_of_grime.csv
0.474,0.8,11,-6.641,0,0.268,0.239,0.0,0.0906,0.409,143.25,audio_features,5YmmqeU1a7KsNzvbj4aCGS,spotify:track:5YmmqeU1a7KsNzvbj4aCGS,https://api.spotify.com/v1/tracks/5YmmqeU1a7KsNzvbj4aCGS,https://api.spotify.com/v1/audio-analysis/5YmmqeU1a7KsNzvbj4aCGS,270267,4,best_of_grime.csv
0.793,0.67,1,-8.728,0,0.157,0.0995,2.18e-06,0.0763,0.837,109.969,audio_features,5AnqitwMClMhtECj6yJ0Dz,spotify:track:5AnqitwMClMhtECj6yJ0Dz,https://api.spotify.com/v1/tracks/5AnqitwMClMhtECj6yJ0Dz,https://api.spotify.com/v1/audio-analysis/5AnqitwMClMhtECj6yJ0Dz,215440,4,best_of_grime.csv
0.728,0.679,5,-3.736,0,0.247,0.0977,1.33e-06,0.188,0.641,171.796,audio_features,28qdL1yHti3BSu6AdLzWbg,spotify:track:28qdL1yHti3BSu6AdLzWbg,https://api.spotify.com/v1/tracks/28qdL1yHti3BSu6AdLzWbg,https://api.spotify.com/v1/audio-analysis/28qdL1yHti3BSu6AdLzWbg,205107,4,best_of_grime.csv
0.812,0.496,9,-5.969,0,0.297,0.271,0.0,0.0955,0.55,109.979,audio_features,3z4CGd63tpUn9a6oQSG0CI,spotify:track:3z4CGd63tpUn9a6oQSG0CI,https://api.spotify.com/v1/tracks/3z4CGd63tpUn9a6oQSG0CI,https://api.spotify.com/v1/audio-analysis/3z4CGd63tpUn9a6oQSG0CI,241293,4,best_of_grime.csv
0.892,0.621,2,-7.67,1,0.0949,0.496,0.0,0.109,0.638,124.015,audio_features,59PUOc7B0WCNNx8Nr4qaA4,spotify:track:59PUOc7B0WCNNx8Nr4qaA4,https://api.spotify.com/v1/tracks/59PUOc7B0WCNNx8Nr4qaA4,https://api.spotify.com/v1/audio-analysis/59PUOc7B0WCNNx8Nr4qaA4,205720,4,best_of_grime.csv
0.497,0.491,11,-10.133,0,0.461,0.543,0.0,0.448,0.522,84.268,audio_features,7l1P6WtVtq1zQMq6qazNA4,spotify:track:7l1P6WtVtq1zQMq6qazNA4,https://api.spotify.com/v1/tracks/7l1P6WtVtq1zQMq6qazNA4,https://api.spotify.com/v1/audio-analysis/7l1P6WtVtq1zQMq6qazNA4,202733,4,best_of_grime.csv
