danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.763,0.608,5,-8.1,0,0.035,0.262,2.5e-05,0.12,0.393,121.02,audio_features,6zdArlh7xbeWvrLtTkKRFV,spotify:track:6zdArlh7xbeWvrLtTkKRFV,https://api.spotify.com/v1/tracks/6zdArlh7xbeWvrLtTkKRFV,https://api.spotify.com/v1/audio-analysis/6zdArlh7xbeWvrLtTkKRFV,138013,4,best_of_house.csv
0.618,0.659,0,-8.477,1,0.0504,0.12,0.0,0.454,0.334,120.089,audio_features,533VuLZyjGxuEdiiRTNRyr,spotify:track:533VuLZyjGxuEdiiRTNRyr,https://api.spotify.com/v1/tracks/533VuLZyjGxuEdiiRTNRyr,https://api.spotify.com/v1/audio-analysis/533VuLZyjGxuEdiiRTNRyr,149009,4,best_of_house.csv
0.706,0.524,6,-8.804,1,0.026,0.127,0.00129,0.109,0.296,111.991,audio_features,4w5Grfxx5Rpup6mo5v6bW0,spotify:track:4w5Grfxx5Rpup6mo5v6bW0,https://api.spotify.com/v1/tracks/4w5Grfxx5Rpup6mo5v6bW0,https://api.spotify.com/v1/audio-analysis/4w5Grfxx5Rpup6mo5v6bW0,183183,4,best_of_house.csv
0.782,0.685,4,-6.237,1,0.0309,0.166,1.18e-05,0.16,0.603,118.016,audio_features,7vFoFDWqTX0mHzLfrF1Cfy,spotify:track:7vFoFDWqTX0mHzLfrF1Cfy,https://api.spotify.com/v1/tracks/7vFoFDWqTX0mHzLfrF1Cfy,https://api.spotify.com/v1/audio-analysis/7vFoFDWqTX0mHzLfrF1Cfy,180566,4,best_of_house.csv
0.638,0.93,7,-3.984,1,0.0982,0.0265,4.74e-06,0.0688,0.364,124.008,audio_features,16zNh8y0J3A4eWI9CZD6cd,spotify:track:16zNh8y0J3A4eWI9CZD6cd,https://api.spotify.com/v1/tracks/16zNh8y0J3A4eWI9CZD6cd,https://api.spotify.com/v1/audio-analysis/16zNh8y0J3A4eWI9CZD6cd,172721,4,best_of_house.csv
0.818,0.913,4,-3.06,0,0.0426,0.093,3.69e-05,0.161,0.536,119.986,audio_features,1vvNmPOiUuyCbgWmtc6yfm,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,https://api.spotify.com/v1/tracks/1vvNmPOiUuyCbgWmtc6yfm,https://api.spotify.com/v1/audio-analysis/1vvNmPOiUuyCbgWmtc6yfm,219160,4,best_of_house.csv
0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,audio_features,2V65y3PX4DkRhy1djlxd9p,spotify:track:2V65y3PX4DkRhy1djlxd9p,https://api.spotify.com/v1/tracks/2V65y3PX4DkRhy1djlxd9p,https://api.spotify.com/v1/audio-analysis/2V65y3PX4DkRhy1djlxd9p,212862,4,best_of_house.csv
0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,audio_features,2Zr5zgU9qEoOPvJbU0GScq,spotify:track:2Zr5zgU9qEoOPvJbU0GScq,https://api.spotify.com/v1/tracks/2Zr5zgU9qEoOPvJbU0GScq,https://api.spotify.com/v1/audio-analysis/2Zr5zgU9qEoOPvJbU0GScq,230613,4,best_of_house.csv
0.583,0.695,9,-5.336,1,0.0423,0.0141,0.0,0.0527,0.224,104.879,audio_features,0g5EKLgdKvNlln7TNqBByK,spotify:track:0g5EKLgdKvNlln7TNqBByK,https://api.spotify.com/v1/tracks/0g5EKLgdKvNlln7TNqBByK,https://api.spotify.com/v1/audio-analysis/0g5EKLgdKvNlln7TNqBByK,220573,4,best_of_house.csv
0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,audio_features,2LEF1A8DOZ9wRYikWgVlZ8,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8,https://api.spotify.com/v1/tracks/2LEF1A8DOZ9wRYikWgVlZ8,https://api.spotify.com/v1/audio-analysis/2LEF1A8DOZ9wRYikWgVlZ8,248133,4,best_of_house.csv
