danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.457,0.219,8,-15.325,0,0.0385,0.545,0.00098,0.0681,0.62,168.55,audio_features,5p6me2mwQrGfH30eExHn6v,spotify:track:5p6me2mwQrGfH30eExHn6v,https://api.spotify.com/v1/tracks/5p6me2mwQrGfH30eExHn6v,https://api.spotify.com/v1/audio-analysis/5p6me2mwQrGfH30eExHn6v,323067,5,best_of_jazz.csv
0.532,0.151,0,-17.266,1,0.0376,0.706,0.00136,0.116,0.211,136.759,audio_features,4vLYewWIvqHfKtJDk8c8tq,spotify:track:4vLYewWIvqHfKtJDk8c8tq,https://api.spotify.com/v1/tracks/4vLYewWIvqHfKtJDk8c8tq,https://api.spotify.com/v1/audio-analysis/4vLYewWIvqHfKtJDk8c8tq,562640,4,best_of_jazz.csv
0.313,0.0437,6,-22.627,1,0.0315,0.989,0.148,0.209,0.0625,100.827,audio_features,1CTex49P0iWwzUGsMNjgaV,spotify:track:1CTex49P0iWwzUGsMNjgaV,https://api.spotify.com/v1/tracks/1CTex49P0iWwzUGsMNjgaV,https://api.spotify.com/v1/audio-analysis/1CTex49P0iWwzUGsMNjgaV,192867,1,best_of_jazz.csv
0.37,0.586,5,-13.468,0,0.0581,0.485,1.96e-06,0.348,0.519,121.573,audio_features,0CLbmkYmQIWiEwnsbOkLpd,spotify:track:0CLbmkYmQIWiEwnsbOkLpd,https://api.spotify.com/v1/tracks/0CLbmkYmQIWiEwnsbOkLpd,https://api.spotify.com/v1/audio-analysis/0CLbmkYmQIWiEwnsbOkLpd,462867,4,best_of_jazz.csv
0.585,0.565,0,-12.139,1,0.0372,0.484,0.0226,0.0808,0.577,156.208,audio_features,7nJc3vqcU2em6FH0c3Geox,spotify:track:7nJc3vqcU2em6FH0c3Geox,https://api.spotify.com/v1/tracks/7nJc3vqcU2em6FH0c3Geox,https://api.spotify.com/v1/audio-analysis/7nJc3vqcU2em6FH0c3Geox,358400,4,best_of_jazz.csv
0.271,0.165,5,-20.652,1,0.0351,0.729,1.6e-06,0.118,0.203,77.082,audio_features,29U7stRjqHU6rMiS8BfaI9,spotify:track:29U7stRjqHU6rMiS8BfaI9,https://api.spotify.com/v1/tracks/29U7stRjqHU6rMiS8BfaI9,https://api.spotify.com/v1/audio-analysis/29U7stRjqHU6rMiS8BfaI9,139227,4,best_of_jazz.csv
0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,audio_features,6Rqn2GFlmvmV4w9Ala0I1e,spotify:track:6Rqn2GFlmvmV4w9Ala0I1e,https://api.spotify.com/v1/tracks/6Rqn2GFlmvmV4w9Ala0I1e,https://api.spotify.com/v1/audio-analysis/6Rqn2GFlmvmV4w9Ala0I1e,174000,4,best_of_jazz.csv
0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,audio_features,4Hhv2vrOTy89HFRcjU3QOx,spotify:track:4Hhv2vrOTy89HFRcjU3QOx,https://api.spotify.com/v1/tracks/4Hhv2vrOTy89HFRcjU3QOx,https://api.spotify.com/v1/audio-analysis/4Hhv2vrOTy89HFRcjU3QOx,179693,3,best_of_jazz.csv
0.542,0.32,8,-9.975,1,0.0387,0.907,0.649,0.0609,0.206,116.648,audio_features,1wl5b2lw3YagQtZiYZbQWP,spotify:track:1wl5b2lw3YagQtZiYZbQWP,https://api.spotify.com/v1/tracks/1wl5b2lw3YagQtZiYZbQWP,https://api.spotify.com/v1/audio-analysis/1wl5b2lw3YagQtZiYZbQWP,193840,4,best_of_jazz.csv
0.653,0.149,10,-17.866,0,0.0392,0.867,0.000983,0.0986,0.481,130.359,audio_features,7znjbX9XdoQayIrVNdd50Z,spotify:track:7znjbX9XdoQayIrVNdd50Z,https://api.spotify.com/v1/tracks/7znjbX9XdoQayIrVNdd50Z,https://api.spotify.com/v1/audio-analysis/7znjbX9XdoQayIrVNdd50Z,320253,4,best_of_jazz.csv
0.356,0.0937,8,-16.64,0,0.0353,0.957,0.096,0.209,0.278,86.669,audio_features,3PJMsxg6rz9FOo6xNiASXz,spotify:track:3PJMsxg6rz9FOo6xNiASXz,https://api.spotify.com/v1/tracks/3PJMsxg6rz9FOo6xNiASXz,https://api.spotify.com/v1/audio-analysis/3PJMsxg6rz9FOo6xNiASXz,342373,3,best_of_jazz.csv
0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.229,audio_features,0E8q2Fx2XuzXCO2NSAppkR,spotify:track:0E8q2Fx2XuzXCO2NSAppkR,https://api.spotify.com/v1/tracks/0E8q2Fx2XuzXCO2NSAppkR,https://api.spotify.com/v1/audio-analysis/0E8q2Fx2XuzXCO2NSAppkR,255227,4,best_of_jazz.csv
0.438,0.00756,0,-26.44,0,0.0382,0.941,0.00643,0.109,0.277,133.32,audio_features,4l9hml2UCnxoNI3yCdL1BW,spotify:track:4l9hml2UCnxoNI3yCdL1BW,https://api.spotify.com/v1/tracks/4l9hml2UCnxoNI3yCdL1BW,https://api.spotify.com/v1/audio-analysis/4l9hml2UCnxoNI3yCdL1BW,141133,4,best_of_jazz.csv
0.62,0.67,2,-11.575,0,0.0591,0.853,0.896,0.156,0.295,113.492,audio_features,5L8ta4ECl5zeA6bGqY7G38,spotify:track:5L8ta4ECl5zeA6bGqY7G38,https://api.spotify.com/v1/tracks/5L8ta4ECl5zeA6bGqY7G38,https://api.spotify.com/v1/audio-analysis/5L8ta4ECl5zeA6bGqY7G38,520293,4,best_of_jazz.csv
0.659,0.113,10,-16.756,0,0.0569,0.976,0.88,0.179,0.738,95.063,audio_features,2xm9ihELo6xwrRKrBbPql9,spotify:track:2xm9ihELo6xwrRKrBbPql9,https://api.spotify.com/v1/tracks/2xm9ihELo6xwrRKrBbPql9,https://api.spotify.com/v1/audio-analysis/2xm9ihELo6xwrRKrBbPql9,182360,4,best_of_jazz.csv
0.515,0.583,0,-8.182,0,0.0284,0.749,0.000294,0.123,0.414,116.11,audio_features,0sCeNwt8xRCMR4NhKpMyBe,spotify:track:0sCeNwt8xRCMR4NhKpMyBe,https://api.spotify.com/v1/tracks/0sCeNwt8xRCMR4NhKpMyBe,https://api.spotify.com/v1/audio-analysis/0sCeNwt8xRCMR4NhKpMyBe,333947,4,best_of_jazz.csv
0.614,0.233,5,-18.964,0,0.0568,0.827,0.198,0.13,0.448,126.256,audio_features,4Tq2fWpX1nLCkMSOPkYb1Y,spotify:track:4Tq2fWpX1nLCkMSOPkYb1Y,https://api.spotify.com/v1/tracks/4Tq2fWpX1nLCkMSOPkYb1Y,https://api.spotify.com/v1/audio-analysis/4Tq2fWpX1nLCkMSOPkYb1Y,576173,4,best_of_jazz.csv
0.611,0.405,7,-10.607,1,0.0819,0.461,0.596,0.06,0.543,110.744,audio_features,5kMhXgQGUDIf84aXoNjYj7,spotify:track:5kMhXgQGUDIf84aXoNjYj7,https://api.spotify.com/v1/tracks/5kMhXgQGUDIf84aXoNjYj7,https://api.spotify.com/v1/audio-analysis/5kMhXgQGUDIf84aXoNjYj7,235827,4,best_of_jazz.csv
0.74,0.454,5,-14.339,0,0.0383,0.515,0.00117,0.1,0.699,127.103,audio_features,5klynmZw7TdqVsGvaxQH57,spotify:track:5klynmZw7TdqVsGvaxQH57,https://api.spotify.com/v1/tracks/5klynmZw7TdqVsGvaxQH57,https://api.spotify.com/v1/audio-analysis/5klynmZw7TdqVsGvaxQH57,437960,4,best_of_jazz.csv
0.535,0.258,7,-9.499,0,0.033,0.768,8.95e-05,0.115,0.281,110.953,audio_features,0X5DcGkbxCXSadgj01ZXd7,spotify:track:0X5DcGkbxCXSadgj01ZXd7,https://api.spotify.com/v1/tracks/0X5DcGkbxCXSadgj01ZXd7,https://api.spotify.com/v1/audio-analysis/0X5DcGkbxCXSadgj01ZXd7,659520,4,best_of_jazz.csv
