danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.769,0.688,7,-4.378,1,0.0501,0.00215,0.107,0.088,0.387,130.026,audio_features,1bFgMkoazsyZGSflpCzYm6,spotify:track:1bFgMkoazsyZGSflpCzYm6,https://api.spotify.com/v1/tracks/1bFgMkoazsyZGSflpCzYm6,https://api.spotify.com/v1/audio-analysis/1bFgMkoazsyZGSflpCzYm6,223385,4,best_of_latin.csv
0.814,0.813,2,-3.023,0,0.0561,0.03,9.33e-05,0.255,0.839,79.997,audio_features,6Za3190Sbw39BBC77WSS1C,spotify:track:6Za3190Sbw39BBC77WSS1C,https://api.spotify.com/v1/tracks/6Za3190Sbw39BBC77WSS1C,https://api.spotify.com/v1/audio-analysis/6Za3190Sbw39BBC77WSS1C,232550,4,best_of_latin.csv
0.636,0.796,9,-3.34,0,0.0663,0.0232,9.56e-06,0.339,0.772,179.943,audio_features,2Fx0LAWyXGEspSqb0LW48V,spotify:track:2Fx0LAWyXGEspSqb0LW48V,https://api.spotify.com/v1/tracks/2Fx0LAWyXGEspSqb0LW48V,https://api.spotify.com/v1/audio-analysis/2Fx0LAWyXGEspSqb0LW48V,168840,4,best_of_latin.csv
0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,audio_features,58q2HKrzhC3ozto2nDdN4z,spotify:track:58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,253390,4,best_of_latin.csv
0.761,0.838,4,-3.073,0,0.0502,0.4,0.0,0.176,0.71,93.974,audio_features,3AEZUABDXNtecAOSC1qTfo,spotify:track:3AEZUABDXNtecAOSC1qTfo,https://api.spotify.com/v1/tracks/3AEZUABDXNtecAOSC1qTfo,https://api.spotify.com/v1/audio-analysis/3AEZUABDXNtecAOSC1qTfo,222560,4,best_of_latin.csv
0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,audio_features,6osaMSJh9NguagEDQcZaKx,spotify:track:6osaMSJh9NguagEDQcZaKx,https://api.spotify.com/v1/tracks/6osaMSJh9NguagEDQcZaKx,https://api.spotify.com/v1/audio-analysis/6osaMSJh9NguagEDQcZaKx,185195,4,best_of_latin.csv
0.903,0.675,11,-3.445,0,0.214,0.543,1.29e-05,0.0595,0.442,96.507,audio_features,3X5M53Xi5k1SijRtZMM3TA,spotify:track:3X5M53Xi5k1SijRtZMM3TA,https://api.spotify.com/v1/tracks/3X5M53Xi5k1SijRtZMM3TA,https://api.spotify.com/v1/audio-analysis/3X5M53Xi5k1SijRtZMM3TA,417920,4,best_of_latin.csv
0.832,0.608,6,-6.042,0,0.0385,0.282,0.0,0.0761,0.589,94.013,audio_features,5Fim1gaXBgsiFfsQAfQSDS,spotify:track:5Fim1gaXBgsiFfsQAfQSDS,https://api.spotify.com/v1/tracks/5Fim1gaXBgsiFfsQAfQSDS,https://api.spotify.com/v1/audio-analysis/5Fim1gaXBgsiFfsQAfQSDS,198707,4,best_of_latin.csv
0.808,0.661,0,-6.237,0,0.0395,0.0358,0.0,0.138,0.804,107.992,audio_features,1m0UFnuTktOkksvjbF9z0m,spotify:track:1m0UFnuTktOkksvjbF9z0m,https://api.spotify.com/v1/tracks/1m0UFnuTktOkksvjbF9z0m,https://api.spotify.com/v1/audio-analysis/1m0UFnuTktOkksvjbF9z0m,235556,4,best_of_latin.csv
0.785,0.572,2,-7.504,1,0.123,0.0598,0.0,0.218,0.49,100.016,audio_features,7mWFF4gPADjTQjC97CgFVt,spotify:track:7mWFF4gPADjTQjC97CgFVt,https://api.spotify.com/v1/tracks/7mWFF4gPADjTQjC97CgFVt,https://api.spotify.com/v1/audio-analysis/7mWFF4gPADjTQjC97CgFVt,235284,4,best_of_latin.csv
0.628,0.69,8,-5.83,1,0.0511,0.443,0.0,0.113,0.66,179.908,audio_features,7qCAVkHWZkF44OzOUKf8Cr,spotify:track:7qCAVkHWZkF44OzOUKf8Cr,https://api.spotify.com/v1/tracks/7qCAVkHWZkF44OzOUKf8Cr,https://api.spotify.com/v1/audio-analysis/7qCAVkHWZkF44OzOUKf8Cr,205907,4,best_of_latin.csv
0.704,0.83,11,-3.139,1,0.0297,0.0489,0.0,0.111,0.957,127.103,audio_features,0u4N6w5lBw5xMrzJitRWUo,spotify:track:0u4N6w5lBw5xMrzJitRWUo,https://api.spotify.com/v1/tracks/0u4N6w5lBw5xMrzJitRWUo,https://api.spotify.com/v1/audio-analysis/0u4N6w5lBw5xMrzJitRWUo,211453,4,best_of_latin.csv
0.842,0.783,0,-5.301,1,0.204,0.0408,1.11e-06,0.109,0.629,126.848,audio_features,18B3AG7KK2hSjL0UY6EjUB,spotify:track:18B3AG7KK2hSjL0UY6EjUB,https://api.spotify.com/v1/tracks/18B3AG7KK2hSjL0UY6EjUB,https://api.spotify.com/v1/audio-analysis/18B3AG7KK2hSjL0UY6EjUB,232422,4,best_of_latin.csv
0.792,0.793,5,-5.731,0,0.102,0.358,1.1e-06,0.13,0.945,110.874,audio_features,1yOt3NUFWpYbnFW6ISj59h,spotify:track:1yOt3NUFWpYbnFW6ISj59h,https://api.spotify.com/v1/tracks/1yOt3NUFWpYbnFW6ISj59h,https://api.spotify.com/v1/audio-analysis/1yOt3NUFWpYbnFW6ISj59h,178001,4,best_of_latin.csv
0.68,0.895,2,-7.144,1,0.0378,0.0156,0.000374,0.145,0.824,93.037,audio_features,6GKGoi0FHzldk1ZRQoV1fv,spotify:track:6GKGoi0FHzldk1ZRQoV1fv,https://api.spotify.com/v1/tracks/6GKGoi0FHzldk1ZRQoV1fv,https://api.spotify.com/v1/audio-analysis/6GKGoi0FHzldk1ZRQoV1fv,189375,4,best_of_latin.csv
0.73,0.867,7,-1.946,1,0.0325,0.0749,6.81e-06,0.0712,0.929,130.02,audio_features,07p0kLnvfQQ2bLujHyzSGK,spotify:track:07p0kLnvfQQ2bLujHyzSGK,https://api.spotify.com/v1/tracks/07p0kLnvfQQ2bLujHyzSGK,https://api.spotify.com/v1/audio-analysis/07p0kLnvfQQ2bLujHyzSGK,223200,4,best_of_latin.csv
0.732,0.684,9,-8.973,0,0.186,0.0336,0.0,0.0822,0.495,91.001,audio_features,2Vo80ZYBooIIbcDWpCLFS7,spotify:track:2Vo80ZYBooIIbcDWpCLFS7,https://api.spotify.com/v1/tracks/2Vo80ZYBooIIbcDWpCLFS7,https://api.spotify.com/v1/audio-analysis/2Vo80ZYBooIIbcDWpCLFS7,208221,4,best_of_latin.csv
0.574,0.734,1,-2.697,1,0.0728,0.241,0.00806,0.0962,0.769,98.023,audio_features,2SbzdGpOKlH3HIAGTWTbwU,spotify:track:2SbzdGpOKlH3HIAGTWTbwU,https://api.spotify.com/v1/tracks/2SbzdGpOKlH3HIAGTWTbwU,https://api.spotify.com/v1/audio-analysis/2SbzdGpOKlH3HIAGTWTbwU,255507,4,best_of_latin.csv
0.852,0.797,0,-6.543,1,0.0614,0.322,2.69e-06,0.0845,0.741,96.008,audio_features,228BxWXUYQPJrJYHDLOHkj,spotify:track:228BxWXUYQPJrJYHDLOHkj,https://api.spotify.com/v1/tracks/228BxWXUYQPJrJYHDLOHkj,https://api.spotify.com/v1/audio-analysis/228BxWXUYQPJrJYHDLOHkj,192600,4,best_of_latin.csv
0.816,0.538,6,-6.354,0,0.0617,0.0142,0.000496,0.099,0.156,97.054,audio_features,3gE4eQH3K83Sght0ZLvuBK,spotify:track:3gE4eQH3K83Sght0ZLvuBK,https://api.spotify.com/v1/tracks/3gE4eQH3K83Sght0ZLvuBK,https://api.spotify.com/v1/audio-analysis/3gE4eQH3K83Sght0ZLvuBK,210368,4,best_of_latin.csv
0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,audio_features,5w9c2J52mkdntKOmRLeM2m,spotify:track:5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,193227,4,best_of_latin.csv
0.594,0.749,9,-5.298,0,0.056,0.0338,0.00106,0.3,0.694,179.968,audio_features,5YUyW9opqNsMSEzzecZih1,spotify:track:5YUyW9opqNsMSEzzecZih1,https://api.spotify.com/v1/tracks/5YUyW9opqNsMSEzzecZih1,https://api.spotify.com/v1/audio-analysis/5YUyW9opqNsMSEzzecZih1,172854,4,best_of_latin.csv
0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,audio_features,6mICuAdrwEjh6Y6lroV2Kg,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,https://api.spotify.com/v1/tracks/6mICuAdrwEjh6Y6lroV2Kg,https://api.spotify.com/v1/audio-analysis/6mICuAdrwEjh6Y6lroV2Kg,195840,4,best_of_latin.csv
0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,audio_features,0KoiMHhqKLoL4xM54rcWYY,spotify:track:0KoiMHhqKLoL4xM54rcWYY,https://api.spotify.com/v1/tracks/0KoiMHhqKLoL4xM54rcWYY,https://api.spotify.com/v1/audio-analysis/0KoiMHhqKLoL4xM54rcWYY,212500,4,best_of_latin.csv
0.811,0.797,5,-5.428,1,0.165,0.0617,0.0,0.112,0.541,97.988,audio_features,7sKDftgGirHWTVFMtJoDoh,spotify:track:7sKDftgGirHWTVFMtJoDoh,https://api.spotify.com/v1/tracks/7sKDftgGirHWTVFMtJoDoh,https://api.spotify.com/v1/audio-analysis/7sKDftgGirHWTVFMtJoDoh,171133,4,best_of_latin.csv
0.663,0.696,9,-4.957,0,0.103,0.0561,3.77e-05,0.0778,0.738,180.113,audio_features,6JjPBQfI2Y8nIjnm65X6Pw,spotify:track:6JjPBQfI2Y8nIjnm65X6Pw,https://api.spotify.com/v1/tracks/6JjPBQfI2Y8nIjnm65X6Pw,https://api.spotify.com/v1/audio-analysis/6JjPBQfI2Y8nIjnm65X6Pw,235747,4,best_of_latin.csv
0.802,0.719,4,-4.271,0,0.0792,0.081,0.0,0.141,0.336,101.971,audio_features,1YHjRAptXqPdsdx3g6FNJL,spotify:track:1YHjRAptXqPdsdx3g6FNJL,https://api.spotify.com/v1/tracks/1YHjRAptXqPdsdx3g6FNJL,https://api.spotify.com/v1/audio-analysis/1YHjRAptXqPdsdx3g6FNJL,181919,4,best_of_latin.csv
0.708,0.782,2,-4.687,1,0.0674,0.00772,0.0,0.107,0.484,119.997,audio_features,3ggtU1ZOKO8ZNiqPNyXGcm,spotify:track:3ggtU1ZOKO8ZNiqPNyXGcm,https://api.spotify.com/v1/tracks/3ggtU1ZOKO8ZNiqPNyXGcm,https://api.spotify.com/v1/audio-analysis/3ggtU1ZOKO8ZNiqPNyXGcm,160880,4,best_of_latin.csv
0.921,0.927,11,-3.025,1,0.104,0.284,0.0033,0.72,0.797,129.971,audio_features,4zTSSrtsaVVjT3RZKQ1Gqn,spotify:track:4zTSSrtsaVVjT3RZKQ1Gqn,https://api.spotify.com/v1/tracks/4zTSSrtsaVVjT3RZKQ1Gqn,https://api.spotify.com/v1/audio-analysis/4zTSSrtsaVVjT3RZKQ1Gqn,219000,4,best_of_latin.csv
0.841,0.644,9,-3.284,0,0.083,0.594,0.00402,0.142,0.881,108.003,audio_features,1KpBtWSI9dlv0RjtzvF1BD,spotify:track:1KpBtWSI9dlv0RjtzvF1BD,https://api.spotify.com/v1/tracks/1KpBtWSI9dlv0RjtzvF1BD,https://api.spotify.com/v1/audio-analysis/1KpBtWSI9dlv0RjtzvF1BD,255608,4,best_of_latin.csv
0.653,0.816,2,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.085,audio_features,6rPO02ozF3bM7NnOV4h6s2,spotify:track:6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/audio-analysis/6rPO02ozF3bM7NnOV4h6s2,228827,4,best_of_latin.csv
