danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.423,0.981,5,-4.071,0,0.0909,8.58e-05,0.918,0.275,0.294,143.977,audio_features,1uFOYtsFwV4BoUncy8fNrL,spotify:track:1uFOYtsFwV4BoUncy8fNrL,https://api.spotify.com/v1/tracks/1uFOYtsFwV4BoUncy8fNrL,https://api.spotify.com/v1/audio-analysis/1uFOYtsFwV4BoUncy8fNrL,296400,4,best_of_melodic_death_metal.csv
0.379,0.98,11,-5.866,1,0.146,3.18e-06,0.73,0.361,0.213,132.427,audio_features,4NwRLiDiAdhfUNqlS3rnOT,spotify:track:4NwRLiDiAdhfUNqlS3rnOT,https://api.spotify.com/v1/tracks/4NwRLiDiAdhfUNqlS3rnOT,https://api.spotify.com/v1/audio-analysis/4NwRLiDiAdhfUNqlS3rnOT,221253,3,best_of_melodic_death_metal.csv
0.131,0.975,7,-7.228,1,0.118,1.61e-06,0.914,0.0862,0.393,79.467,audio_features,2Vy4z1ZUN7RvN7syWI2yef,spotify:track:2Vy4z1ZUN7RvN7syWI2yef,https://api.spotify.com/v1/tracks/2Vy4z1ZUN7RvN7syWI2yef,https://api.spotify.com/v1/audio-analysis/2Vy4z1ZUN7RvN7syWI2yef,183093,4,best_of_melodic_death_metal.csv
0.349,0.978,11,-3.659,1,0.087,0.000125,0.0201,0.113,0.297,200.003,audio_features,2N9dS1XnGMlLDB3BYjcH8V,spotify:track:2N9dS1XnGMlLDB3BYjcH8V,https://api.spotify.com/v1/tracks/2N9dS1XnGMlLDB3BYjcH8V,https://api.spotify.com/v1/audio-analysis/2N9dS1XnGMlLDB3BYjcH8V,363947,4,best_of_melodic_death_metal.csv
0.104,0.992,11,-5.725,0,0.155,1.73e-06,0.912,0.311,0.0403,189.131,audio_features,1BjwSyq9atUodrIxPbJ1vq,spotify:track:1BjwSyq9atUodrIxPbJ1vq,https://api.spotify.com/v1/tracks/1BjwSyq9atUodrIxPbJ1vq,https://api.spotify.com/v1/audio-analysis/1BjwSyq9atUodrIxPbJ1vq,219960,4,best_of_melodic_death_metal.csv
0.428,0.936,2,-4.047,1,0.0453,4.02e-06,0.864,0.2,0.491,105.044,audio_features,4eU58097GrLRHhVgxLVmV5,spotify:track:4eU58097GrLRHhVgxLVmV5,https://api.spotify.com/v1/tracks/4eU58097GrLRHhVgxLVmV5,https://api.spotify.com/v1/audio-analysis/4eU58097GrLRHhVgxLVmV5,215867,4,best_of_melodic_death_metal.csv
0.237,0.888,1,-6.259,0,0.125,9.53e-05,0.0264,0.59,0.247,95.041,audio_features,53MioEYzWW6wxFS70qGKeG,spotify:track:53MioEYzWW6wxFS70qGKeG,https://api.spotify.com/v1/tracks/53MioEYzWW6wxFS70qGKeG,https://api.spotify.com/v1/audio-analysis/53MioEYzWW6wxFS70qGKeG,235560,4,best_of_melodic_death_metal.csv
0.436,0.925,5,-4.889,1,0.0549,6.53e-06,0.00295,0.0819,0.268,92.986,audio_features,3b2iU3IjNpZVYLjvAuuUlY,spotify:track:3b2iU3IjNpZVYLjvAuuUlY,https://api.spotify.com/v1/tracks/3b2iU3IjNpZVYLjvAuuUlY,https://api.spotify.com/v1/audio-analysis/3b2iU3IjNpZVYLjvAuuUlY,274933,4,best_of_melodic_death_metal.csv
0.248,0.989,2,-4.639,1,0.277,5.21e-06,0.0792,0.206,0.155,138.567,audio_features,5uf1SijWLlk3YmSQN8O2b7,spotify:track:5uf1SijWLlk3YmSQN8O2b7,https://api.spotify.com/v1/tracks/5uf1SijWLlk3YmSQN8O2b7,https://api.spotify.com/v1/audio-analysis/5uf1SijWLlk3YmSQN8O2b7,281280,3,best_of_melodic_death_metal.csv
0.466,0.988,1,-5.883,0,0.0747,4.71e-06,0.0776,0.0482,0.292,105.763,audio_features,5HyJUbwpXAwN9aCEmVwnLL,spotify:track:5HyJUbwpXAwN9aCEmVwnLL,https://api.spotify.com/v1/tracks/5HyJUbwpXAwN9aCEmVwnLL,https://api.spotify.com/v1/audio-analysis/5HyJUbwpXAwN9aCEmVwnLL,197880,4,best_of_melodic_death_metal.csv
0.4,0.871,2,-6.584,0,0.0657,2.25e-06,0.0537,0.178,0.226,111.464,audio_features,0tEA8vx1V2mJoxSIqapi0H,spotify:track:0tEA8vx1V2mJoxSIqapi0H,https://api.spotify.com/v1/tracks/0tEA8vx1V2mJoxSIqapi0H,https://api.spotify.com/v1/audio-analysis/0tEA8vx1V2mJoxSIqapi0H,423320,3,best_of_melodic_death_metal.csv
0.259,0.975,11,-3.098,0,0.177,0.000621,0.333,0.0843,0.378,98.723,audio_features,2huAKD578Ctod0J8s2FiI5,spotify:track:2huAKD578Ctod0J8s2FiI5,https://api.spotify.com/v1/tracks/2huAKD578Ctod0J8s2FiI5,https://api.spotify.com/v1/audio-analysis/2huAKD578Ctod0J8s2FiI5,174693,4,best_of_melodic_death_metal.csv
0.415,0.87,5,-3.762,1,0.0342,7.53e-06,0.151,0.137,0.176,92.02,audio_features,67fUSDbtsDQGtS09Dwsp0p,spotify:track:67fUSDbtsDQGtS09Dwsp0p,https://api.spotify.com/v1/tracks/67fUSDbtsDQGtS09Dwsp0p,https://api.spotify.com/v1/audio-analysis/67fUSDbtsDQGtS09Dwsp0p,313733,4,best_of_melodic_death_metal.csv
0.328,0.986,5,-4.944,0,0.117,1.97e-05,0.835,0.3,0.276,176.015,audio_features,31mcY0ozVICuIRoTEiB612,spotify:track:31mcY0ozVICuIRoTEiB612,https://api.spotify.com/v1/tracks/31mcY0ozVICuIRoTEiB612,https://api.spotify.com/v1/audio-analysis/31mcY0ozVICuIRoTEiB612,243640,4,best_of_melodic_death_metal.csv
0.426,0.951,4,-4.345,0,0.084,5.85e-06,0.779,0.31,0.214,102.159,audio_features,1GgC6Y4oWzNZIog68M8GmQ,spotify:track:1GgC6Y4oWzNZIog68M8GmQ,https://api.spotify.com/v1/tracks/1GgC6Y4oWzNZIog68M8GmQ,https://api.spotify.com/v1/audio-analysis/1GgC6Y4oWzNZIog68M8GmQ,264867,3,best_of_melodic_death_metal.csv
0.414,0.994,2,-3.075,0,0.144,0.000577,0.278,0.551,0.0671,105.024,audio_features,6NX5NzHFCQmmeJRrHmo3o0,spotify:track:6NX5NzHFCQmmeJRrHmo3o0,https://api.spotify.com/v1/tracks/6NX5NzHFCQmmeJRrHmo3o0,https://api.spotify.com/v1/audio-analysis/6NX5NzHFCQmmeJRrHmo3o0,339413,4,best_of_melodic_death_metal.csv
0.273,0.973,9,-2.744,0,0.0776,0.000144,4.68e-05,0.14,0.323,113.076,audio_features,5VZQ6xowlqvt6XZ96YBgus,spotify:track:5VZQ6xowlqvt6XZ96YBgus,https://api.spotify.com/v1/tracks/5VZQ6xowlqvt6XZ96YBgus,https://api.spotify.com/v1/audio-analysis/5VZQ6xowlqvt6XZ96YBgus,311147,4,best_of_melodic_death_metal.csv
0.484,0.988,2,-2.667,1,0.0568,1.15e-05,0.00124,0.356,0.0964,97.705,audio_features,0f7cfZx3Uj4ee9lwm3DMI6,spotify:track:0f7cfZx3Uj4ee9lwm3DMI6,https://api.spotify.com/v1/tracks/0f7cfZx3Uj4ee9lwm3DMI6,https://api.spotify.com/v1/audio-analysis/0f7cfZx3Uj4ee9lwm3DMI6,212893,4,best_of_melodic_death_metal.csv
0.448,0.981,9,-4.988,1,0.119,5.73e-06,0.00107,0.368,0.222,149.99,audio_features,4AtlDD3RsqgL1iBQKcSreO,spotify:track:4AtlDD3RsqgL1iBQKcSreO,https://api.spotify.com/v1/tracks/4AtlDD3RsqgL1iBQKcSreO,https://api.spotify.com/v1/audio-analysis/4AtlDD3RsqgL1iBQKcSreO,221813,4,best_of_melodic_death_metal.csv
0.509,0.964,5,-5.249,1,0.0643,0.000418,0.0709,0.419,0.353,120.108,audio_features,5RBXAMfah5lQZZaOn0U6KP,spotify:track:5RBXAMfah5lQZZaOn0U6KP,https://api.spotify.com/v1/tracks/5RBXAMfah5lQZZaOn0U6KP,https://api.spotify.com/v1/audio-analysis/5RBXAMfah5lQZZaOn0U6KP,306200,4,best_of_melodic_death_metal.csv
0.447,0.977,2,-3.491,1,0.0582,7.66e-05,0.411,0.103,0.415,93.997,audio_features,4WkdoleJNVD46dOS03j821,spotify:track:4WkdoleJNVD46dOS03j821,https://api.spotify.com/v1/tracks/4WkdoleJNVD46dOS03j821,https://api.spotify.com/v1/audio-analysis/4WkdoleJNVD46dOS03j821,284733,4,best_of_melodic_death_metal.csv
0.232,0.995,2,-3.691,0,0.09,1.93e-06,0.0309,0.731,0.0513,169.891,audio_features,2f2EbaH1y8URzgVuLenw2u,spotify:track:2f2EbaH1y8URzgVuLenw2u,https://api.spotify.com/v1/tracks/2f2EbaH1y8URzgVuLenw2u,https://api.spotify.com/v1/audio-analysis/2f2EbaH1y8URzgVuLenw2u,282693,4,best_of_melodic_death_metal.csv
