danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.636,0.467,4,-10.1,1,0.0421,0.0915,1.7e-06,0.117,0.58,96.639,audio_features,2IJftBfq7pJ43tfnOR0RB3,spotify:track:2IJftBfq7pJ43tfnOR0RB3,https://api.spotify.com/v1/tracks/2IJftBfq7pJ43tfnOR0RB3,https://api.spotify.com/v1/audio-analysis/2IJftBfq7pJ43tfnOR0RB3,231467,4,best_of_neue_deutsche_welle.csv
0.61,0.817,4,-9.45,0,0.133,0.296,0.00336,0.0884,0.89,176.735,audio_features,0DfG1ltJnZyq4Tx3ZLL7ZU,spotify:track:0DfG1ltJnZyq4Tx3ZLL7ZU,https://api.spotify.com/v1/tracks/0DfG1ltJnZyq4Tx3ZLL7ZU,https://api.spotify.com/v1/audio-analysis/0DfG1ltJnZyq4Tx3ZLL7ZU,202236,4,best_of_neue_deutsche_welle.csv
0.532,0.593,3,-13.014,1,0.0329,0.211,0.0,0.207,0.364,88.83,audio_features,7JM1dFLOa1kI5MqGnDufiY,spotify:track:7JM1dFLOa1kI5MqGnDufiY,https://api.spotify.com/v1/tracks/7JM1dFLOa1kI5MqGnDufiY,https://api.spotify.com/v1/audio-analysis/7JM1dFLOa1kI5MqGnDufiY,247493,4,best_of_neue_deutsche_welle.csv
0.823,0.659,0,-12.54,1,0.0373,0.646,0.0698,0.0788,0.82,137.009,audio_features,7sgbBeINoJ4TDUDIloK9li,spotify:track:7sgbBeINoJ4TDUDIloK9li,https://api.spotify.com/v1/tracks/7sgbBeINoJ4TDUDIloK9li,https://api.spotify.com/v1/audio-analysis/7sgbBeINoJ4TDUDIloK9li,279893,4,best_of_neue_deutsche_welle.csv
0.529,0.82,9,-7.863,1,0.0703,0.0346,0.0975,0.113,0.946,190.492,audio_features,79hX0z70ufkP63Ocr4Jz4K,spotify:track:79hX0z70ufkP63Ocr4Jz4K,https://api.spotify.com/v1/tracks/79hX0z70ufkP63Ocr4Jz4K,https://api.spotify.com/v1/audio-analysis/79hX0z70ufkP63Ocr4Jz4K,186840,4,best_of_neue_deutsche_welle.csv
0.737,0.735,2,-7.814,1,0.0697,0.199,0.0,0.0193,0.971,165.731,audio_features,7KvP2ZTaarTcejYyR8KWPs,spotify:track:7KvP2ZTaarTcejYyR8KWPs,https://api.spotify.com/v1/tracks/7KvP2ZTaarTcejYyR8KWPs,https://api.spotify.com/v1/audio-analysis/7KvP2ZTaarTcejYyR8KWPs,182333,4,best_of_neue_deutsche_welle.csv
0.327,0.825,7,-7.053,1,0.072,0.00387,5.18e-06,0.293,0.577,203.528,audio_features,5i30V8zohIAzKiu617O3cL,spotify:track:5i30V8zohIAzKiu617O3cL,https://api.spotify.com/v1/tracks/5i30V8zohIAzKiu617O3cL,https://api.spotify.com/v1/audio-analysis/5i30V8zohIAzKiu617O3cL,249707,4,best_of_neue_deutsche_welle.csv
0.679,0.629,4,-8.074,0,0.0329,0.00453,0.799,0.0946,0.896,124.003,audio_features,3VwLD5o1r0YBLkjUfgSEYg,spotify:track:3VwLD5o1r0YBLkjUfgSEYg,https://api.spotify.com/v1/tracks/3VwLD5o1r0YBLkjUfgSEYg,https://api.spotify.com/v1/audio-analysis/3VwLD5o1r0YBLkjUfgSEYg,219606,4,best_of_neue_deutsche_welle.csv
0.791,0.469,4,-10.782,0,0.063,0.146,0.0187,0.108,0.862,163.065,audio_features,2epRW3O5YLwiqcxOdaI4Mm,spotify:track:2epRW3O5YLwiqcxOdaI4Mm,https://api.spotify.com/v1/tracks/2epRW3O5YLwiqcxOdaI4Mm,https://api.spotify.com/v1/audio-analysis/2epRW3O5YLwiqcxOdaI4Mm,299560,4,best_of_neue_deutsche_welle.csv
0.93,0.607,7,-10.389,1,0.0457,0.0526,5.22e-06,0.039,0.95,118.242,audio_features,3TBRJsLCcwroEkA3tD4u2N,spotify:track:3TBRJsLCcwroEkA3tD4u2N,https://api.spotify.com/v1/tracks/3TBRJsLCcwroEkA3tD4u2N,https://api.spotify.com/v1/audio-analysis/3TBRJsLCcwroEkA3tD4u2N,232588,4,best_of_neue_deutsche_welle.csv
0.478,0.944,9,-10.555,1,0.0432,0.109,0.0,0.15,0.702,168.134,audio_features,4Hg99jQ6zjks47xaH8eK40,spotify:track:4Hg99jQ6zjks47xaH8eK40,https://api.spotify.com/v1/tracks/4Hg99jQ6zjks47xaH8eK40,https://api.spotify.com/v1/audio-analysis/4Hg99jQ6zjks47xaH8eK40,210827,4,best_of_neue_deutsche_welle.csv
0.847,0.428,9,-17.763,0,0.159,0.00224,0.0323,0.0478,0.816,135.857,audio_features,7MU1uNaZzTkwHQV8sRNB3l,spotify:track:7MU1uNaZzTkwHQV8sRNB3l,https://api.spotify.com/v1/tracks/7MU1uNaZzTkwHQV8sRNB3l,https://api.spotify.com/v1/audio-analysis/7MU1uNaZzTkwHQV8sRNB3l,259267,4,best_of_neue_deutsche_welle.csv
0.658,0.405,4,-14.884,1,0.0284,0.831,0.000327,0.346,0.471,121.805,audio_features,7Ibka09YMWKIDMql9c98Pl,spotify:track:7Ibka09YMWKIDMql9c98Pl,https://api.spotify.com/v1/tracks/7Ibka09YMWKIDMql9c98Pl,https://api.spotify.com/v1/audio-analysis/7Ibka09YMWKIDMql9c98Pl,214267,4,best_of_neue_deutsche_welle.csv
0.542,0.81,7,-7.96,1,0.0304,0.0763,4.26e-06,0.0683,0.92,177.052,audio_features,0ukySDr4uEzZE36s7t7X8E,spotify:track:0ukySDr4uEzZE36s7t7X8E,https://api.spotify.com/v1/tracks/0ukySDr4uEzZE36s7t7X8E,https://api.spotify.com/v1/audio-analysis/0ukySDr4uEzZE36s7t7X8E,222613,4,best_of_neue_deutsche_welle.csv
0.61,0.472,11,-14.66,1,0.081,0.000917,2.43e-05,0.0752,0.685,96.154,audio_features,4LI4YCdKH2fLjyhtbtHXrY,spotify:track:4LI4YCdKH2fLjyhtbtHXrY,https://api.spotify.com/v1/tracks/4LI4YCdKH2fLjyhtbtHXrY,https://api.spotify.com/v1/audio-analysis/4LI4YCdKH2fLjyhtbtHXrY,154827,4,best_of_neue_deutsche_welle.csv
0.526,0.631,7,-11.806,1,0.0284,0.0214,0.0,0.647,0.654,100.785,audio_features,05MArDzHlmGFezNMU2BR3S,spotify:track:05MArDzHlmGFezNMU2BR3S,https://api.spotify.com/v1/tracks/05MArDzHlmGFezNMU2BR3S,https://api.spotify.com/v1/audio-analysis/05MArDzHlmGFezNMU2BR3S,164467,4,best_of_neue_deutsche_welle.csv
0.803,0.549,1,-7.613,0,0.0476,0.0317,0.0207,0.328,0.566,129.392,audio_features,6dO3t1e3pb7sxyDQbDyVNX,spotify:track:6dO3t1e3pb7sxyDQbDyVNX,https://api.spotify.com/v1/tracks/6dO3t1e3pb7sxyDQbDyVNX,https://api.spotify.com/v1/audio-analysis/6dO3t1e3pb7sxyDQbDyVNX,288306,4,best_of_neue_deutsche_welle.csv
0.8,0.627,5,-7.535,0,0.0529,0.418,0.0,0.656,0.83,139.814,audio_features,37iEpva6cGnP0swmDZCBdT,spotify:track:37iEpva6cGnP0swmDZCBdT,https://api.spotify.com/v1/tracks/37iEpva6cGnP0swmDZCBdT,https://api.spotify.com/v1/audio-analysis/37iEpva6cGnP0swmDZCBdT,205773,4,best_of_neue_deutsche_welle.csv
0.579,0.606,0,-10.613,1,0.0415,0.0189,0.00216,0.0368,0.415,115.287,audio_features,4s5c5vqVno63R0QvWCiDMN,spotify:track:4s5c5vqVno63R0QvWCiDMN,https://api.spotify.com/v1/tracks/4s5c5vqVno63R0QvWCiDMN,https://api.spotify.com/v1/audio-analysis/4s5c5vqVno63R0QvWCiDMN,194400,4,best_of_neue_deutsche_welle.csv
0.595,0.478,10,-12.417,1,0.0365,0.0551,0.0406,0.0699,0.811,111.848,audio_features,2PgzS3iVWHXBW8sBwQC4Ug,spotify:track:2PgzS3iVWHXBW8sBwQC4Ug,https://api.spotify.com/v1/tracks/2PgzS3iVWHXBW8sBwQC4Ug,https://api.spotify.com/v1/audio-analysis/2PgzS3iVWHXBW8sBwQC4Ug,322200,4,best_of_neue_deutsche_welle.csv
0.752,0.349,7,-10.432,1,0.0582,0.0978,7.48e-05,0.118,0.953,163.861,audio_features,3CtuGidVS3Tt6vDG25rRdz,spotify:track:3CtuGidVS3Tt6vDG25rRdz,https://api.spotify.com/v1/tracks/3CtuGidVS3Tt6vDG25rRdz,https://api.spotify.com/v1/audio-analysis/3CtuGidVS3Tt6vDG25rRdz,217293,4,best_of_neue_deutsche_welle.csv
0.56,0.836,3,-5.666,1,0.0493,0.352,0.000391,0.275,0.822,91.358,audio_features,2pCPSNMAsw0R5FQkkvr6ry,spotify:track:2pCPSNMAsw0R5FQkkvr6ry,https://api.spotify.com/v1/tracks/2pCPSNMAsw0R5FQkkvr6ry,https://api.spotify.com/v1/audio-analysis/2pCPSNMAsw0R5FQkkvr6ry,209760,4,best_of_neue_deutsche_welle.csv
0.83,0.826,0,-4.338,1,0.0882,0.0589,0.000491,0.0721,0.862,125.752,audio_features,6mMUoEgOl1yuGMJ6dfHzh6,spotify:track:6mMUoEgOl1yuGMJ6dfHzh6,https://api.spotify.com/v1/tracks/6mMUoEgOl1yuGMJ6dfHzh6,https://api.spotify.com/v1/audio-analysis/6mMUoEgOl1yuGMJ6dfHzh6,173560,4,best_of_neue_deutsche_welle.csv
0.549,0.521,1,-15.138,0,0.143,0.0112,0.0,0.0533,0.856,153.613,audio_features,3OQFhcQYcCUGVExGaNPrUf,spotify:track:3OQFhcQYcCUGVExGaNPrUf,https://api.spotify.com/v1/tracks/3OQFhcQYcCUGVExGaNPrUf,https://api.spotify.com/v1/audio-analysis/3OQFhcQYcCUGVExGaNPrUf,227427,4,best_of_neue_deutsche_welle.csv
0.601,0.598,9,-14.991,1,0.0404,0.000597,1.45e-05,0.0624,0.688,130.913,audio_features,5nshHPZBuAn0kndDRsjeX5,spotify:track:5nshHPZBuAn0kndDRsjeX5,https://api.spotify.com/v1/tracks/5nshHPZBuAn0kndDRsjeX5,https://api.spotify.com/v1/audio-analysis/5nshHPZBuAn0kndDRsjeX5,174027,4,best_of_neue_deutsche_welle.csv
0.584,0.398,5,-14.288,1,0.0872,0.121,0.000168,0.181,0.705,119.656,audio_features,0Ivmp9TKs3lupVoqygFaIS,spotify:track:0Ivmp9TKs3lupVoqygFaIS,https://api.spotify.com/v1/tracks/0Ivmp9TKs3lupVoqygFaIS,https://api.spotify.com/v1/audio-analysis/0Ivmp9TKs3lupVoqygFaIS,236133,4,best_of_neue_deutsche_welle.csv
0.725,0.161,5,-18.981,1,0.0383,0.909,0.00307,0.0939,0.492,130.604,audio_features,5rhj4ur4UtmzNmRK4MnZxS,spotify:track:5rhj4ur4UtmzNmRK4MnZxS,https://api.spotify.com/v1/tracks/5rhj4ur4UtmzNmRK4MnZxS,https://api.spotify.com/v1/audio-analysis/5rhj4ur4UtmzNmRK4MnZxS,175893,4,best_of_neue_deutsche_welle.csv
0.692,0.859,5,-6.333,0,0.0835,0.175,0.000417,0.279,0.924,161.617,audio_features,0MVrs90dQpFmSIkPiNCV3N,spotify:track:0MVrs90dQpFmSIkPiNCV3N,https://api.spotify.com/v1/tracks/0MVrs90dQpFmSIkPiNCV3N,https://api.spotify.com/v1/audio-analysis/0MVrs90dQpFmSIkPiNCV3N,213560,4,best_of_neue_deutsche_welle.csv
0.791,0.914,5,-6.718,0,0.0455,0.00379,0.0324,0.0448,0.968,132.244,audio_features,1vfoYJQQ9w6T66OgpbQuxn,spotify:track:1vfoYJQQ9w6T66OgpbQuxn,https://api.spotify.com/v1/tracks/1vfoYJQQ9w6T66OgpbQuxn,https://api.spotify.com/v1/audio-analysis/1vfoYJQQ9w6T66OgpbQuxn,392200,4,best_of_neue_deutsche_welle.csv
0.398,0.638,10,-7.684,1,0.111,0.221,3.62e-05,0.114,0.672,174.022,audio_features,1HEv8TneVZHKhtZxSvctDp,spotify:track:1HEv8TneVZHKhtZxSvctDp,https://api.spotify.com/v1/tracks/1HEv8TneVZHKhtZxSvctDp,https://api.spotify.com/v1/audio-analysis/1HEv8TneVZHKhtZxSvctDp,212253,4,best_of_neue_deutsche_welle.csv
0.705,0.538,0,-10.875,1,0.0326,0.467,0.000245,0.141,0.576,147.031,audio_features,7HyAIKz7frBvOVtjIUZlzA,spotify:track:7HyAIKz7frBvOVtjIUZlzA,https://api.spotify.com/v1/tracks/7HyAIKz7frBvOVtjIUZlzA,https://api.spotify.com/v1/audio-analysis/7HyAIKz7frBvOVtjIUZlzA,157667,4,best_of_neue_deutsche_welle.csv
0.783,0.905,8,-8.338,1,0.0587,0.241,0.00122,0.0397,0.966,165.171,audio_features,1zwQD4iVzmqgDBUZwVggbf,spotify:track:1zwQD4iVzmqgDBUZwVggbf,https://api.spotify.com/v1/tracks/1zwQD4iVzmqgDBUZwVggbf,https://api.spotify.com/v1/audio-analysis/1zwQD4iVzmqgDBUZwVggbf,186760,4,best_of_neue_deutsche_welle.csv
0.58,0.936,4,-9.14,1,0.0592,0.327,4.7e-05,0.131,0.78,102.98,audio_features,46fLCB8cIhNlL2o097sXop,spotify:track:46fLCB8cIhNlL2o097sXop,https://api.spotify.com/v1/tracks/46fLCB8cIhNlL2o097sXop,https://api.spotify.com/v1/audio-analysis/46fLCB8cIhNlL2o097sXop,194240,4,best_of_neue_deutsche_welle.csv
0.672,0.887,10,-8.126,1,0.0826,0.154,0.0462,0.382,0.771,184.276,audio_features,1zYWHAaAxcuACnPVCEdEFq,spotify:track:1zYWHAaAxcuACnPVCEdEFq,https://api.spotify.com/v1/tracks/1zYWHAaAxcuACnPVCEdEFq,https://api.spotify.com/v1/audio-analysis/1zYWHAaAxcuACnPVCEdEFq,185160,4,best_of_neue_deutsche_welle.csv
0.866,0.554,4,-10.389,0,0.209,0.16,1.68e-06,0.319,0.819,123.269,audio_features,4pb3BjxWxXr67rUJNlItEt,spotify:track:4pb3BjxWxXr67rUJNlItEt,https://api.spotify.com/v1/tracks/4pb3BjxWxXr67rUJNlItEt,https://api.spotify.com/v1/audio-analysis/4pb3BjxWxXr67rUJNlItEt,282893,4,best_of_neue_deutsche_welle.csv
0.683,0.636,9,-6.681,1,0.0659,0.147,0.000437,0.036,0.968,164.911,audio_features,3LkTl6TgMVTg1v4JprNIMo,spotify:track:3LkTl6TgMVTg1v4JprNIMo,https://api.spotify.com/v1/tracks/3LkTl6TgMVTg1v4JprNIMo,https://api.spotify.com/v1/audio-analysis/3LkTl6TgMVTg1v4JprNIMo,229387,4,best_of_neue_deutsche_welle.csv
0.756,0.67,0,-10.977,0,0.0477,0.663,0.00029,0.0697,0.943,149.717,audio_features,2XWHBAqnTThOH60c2XuZEE,spotify:track:2XWHBAqnTThOH60c2XuZEE,https://api.spotify.com/v1/tracks/2XWHBAqnTThOH60c2XuZEE,https://api.spotify.com/v1/audio-analysis/2XWHBAqnTThOH60c2XuZEE,170453,4,best_of_neue_deutsche_welle.csv
0.917,0.757,11,-8.846,0,0.0664,0.239,0.0246,0.0489,0.969,133.532,audio_features,08YGmoEDfdFxMdNyXxU7Ld,spotify:track:08YGmoEDfdFxMdNyXxU7Ld,https://api.spotify.com/v1/tracks/08YGmoEDfdFxMdNyXxU7Ld,https://api.spotify.com/v1/audio-analysis/08YGmoEDfdFxMdNyXxU7Ld,237833,4,best_of_neue_deutsche_welle.csv
0.931,0.571,9,-14.051,1,0.0765,0.0226,0.00905,0.096,0.835,131.256,audio_features,7p5hKfwynPA6exrzXz0yKM,spotify:track:7p5hKfwynPA6exrzXz0yKM,https://api.spotify.com/v1/tracks/7p5hKfwynPA6exrzXz0yKM,https://api.spotify.com/v1/audio-analysis/7p5hKfwynPA6exrzXz0yKM,285600,4,best_of_neue_deutsche_welle.csv
0.489,0.932,11,-6.929,0,0.0577,0.00214,0.0602,0.189,0.469,181.087,audio_features,69PQyRYSP5NYue7aOafkqa,spotify:track:69PQyRYSP5NYue7aOafkqa,https://api.spotify.com/v1/tracks/69PQyRYSP5NYue7aOafkqa,https://api.spotify.com/v1/audio-analysis/69PQyRYSP5NYue7aOafkqa,262733,4,best_of_neue_deutsche_welle.csv
