danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.432,0.757,9,-6.349,0,0.0341,0.193,0.0354,0.106,0.288,175.967,audio_features,5wKbMe5VA8t0uWXrTb6D3V,spotify:track:5wKbMe5VA8t0uWXrTb6D3V,https://api.spotify.com/v1/tracks/5wKbMe5VA8t0uWXrTb6D3V,https://api.spotify.com/v1/audio-analysis/5wKbMe5VA8t0uWXrTb6D3V,246640,4,best_of_new_age.csv
0.422,0.773,7,-7.921,0,0.0371,0.0524,0.0166,0.107,0.186,99.004,audio_features,5gPdjsmYkLm5FWT2PXIhnF,spotify:track:5gPdjsmYkLm5FWT2PXIhnF,https://api.spotify.com/v1/tracks/5gPdjsmYkLm5FWT2PXIhnF,https://api.spotify.com/v1/audio-analysis/5gPdjsmYkLm5FWT2PXIhnF,275200,4,best_of_new_age.csv
0.352,0.538,1,-8.077,0,0.0363,0.0741,0.874,0.0826,0.0399,149.818,audio_features,3KkniN0T3CSgxY0glpJsaH,spotify:track:3KkniN0T3CSgxY0glpJsaH,https://api.spotify.com/v1/tracks/3KkniN0T3CSgxY0glpJsaH,https://api.spotify.com/v1/audio-analysis/3KkniN0T3CSgxY0glpJsaH,246240,4,best_of_new_age.csv
0.617,0.594,10,-9.477,1,0.0227,0.0283,0.11,0.0812,0.267,103.075,audio_features,63bScZkVm7Y1BWKFhhTXG8,spotify:track:63bScZkVm7Y1BWKFhhTXG8,https://api.spotify.com/v1/tracks/63bScZkVm7Y1BWKFhhTXG8,https://api.spotify.com/v1/audio-analysis/63bScZkVm7Y1BWKFhhTXG8,295787,4,best_of_new_age.csv
0.374,0.637,4,-9.138,0,0.0321,0.127,0.879,0.38,0.233,180.04,audio_features,3Ol5wxMu9HiiMCVZpY2x9B,spotify:track:3Ol5wxMu9HiiMCVZpY2x9B,https://api.spotify.com/v1/tracks/3Ol5wxMu9HiiMCVZpY2x9B,https://api.spotify.com/v1/audio-analysis/3Ol5wxMu9HiiMCVZpY2x9B,224267,4,best_of_new_age.csv
0.691,0.701,11,-9.779,0,0.0532,0.384,0.00539,0.15,0.397,110.011,audio_features,03EuOXTUV944AJJxJUunPp,spotify:track:03EuOXTUV944AJJxJUunPp,https://api.spotify.com/v1/tracks/03EuOXTUV944AJJxJUunPp,https://api.spotify.com/v1/audio-analysis/03EuOXTUV944AJJxJUunPp,241493,4,best_of_new_age.csv
0.592,0.726,1,-7.695,1,0.0438,0.448,0.395,0.123,0.18,107.035,audio_features,299PN5eNhlZvM0BH88XYt6,spotify:track:299PN5eNhlZvM0BH88XYt6,https://api.spotify.com/v1/tracks/299PN5eNhlZvM0BH88XYt6,https://api.spotify.com/v1/audio-analysis/299PN5eNhlZvM0BH88XYt6,254400,3,best_of_new_age.csv
0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,audio_features,6FLwmdmW77N1Pxb1aWsZmO,spotify:track:6FLwmdmW77N1Pxb1aWsZmO,https://api.spotify.com/v1/tracks/6FLwmdmW77N1Pxb1aWsZmO,https://api.spotify.com/v1/audio-analysis/6FLwmdmW77N1Pxb1aWsZmO,218547,4,best_of_new_age.csv
0.603,0.836,9,-8.162,1,0.0368,0.292,0.132,0.107,0.209,103.019,audio_features,294ZZx4MQpdqJX6HnvdGeK,spotify:track:294ZZx4MQpdqJX6HnvdGeK,https://api.spotify.com/v1/tracks/294ZZx4MQpdqJX6HnvdGeK,https://api.spotify.com/v1/audio-analysis/294ZZx4MQpdqJX6HnvdGeK,300707,4,best_of_new_age.csv
0.458,0.683,7,-9.823,0,0.0319,0.0793,0.0252,0.137,0.15,99.009,audio_features,2Zdd1LBFZaiKq5e5k2W2eW,spotify:track:2Zdd1LBFZaiKq5e5k2W2eW,https://api.spotify.com/v1/tracks/2Zdd1LBFZaiKq5e5k2W2eW,https://api.spotify.com/v1/audio-analysis/2Zdd1LBFZaiKq5e5k2W2eW,300027,4,best_of_new_age.csv
0.718,0.78,6,-13.268,0,0.0319,0.0384,0.754,0.0936,0.687,109.971,audio_features,2yAbtkEhv4FrotzAz14LX2,spotify:track:2yAbtkEhv4FrotzAz14LX2,https://api.spotify.com/v1/tracks/2yAbtkEhv4FrotzAz14LX2,https://api.spotify.com/v1/audio-analysis/2yAbtkEhv4FrotzAz14LX2,266033,4,best_of_new_age.csv
0.558,0.65,9,-9.409,0,0.0306,0.204,0.000473,0.106,0.111,111.958,audio_features,79FV2mXhWXRHuK3791cJSA,spotify:track:79FV2mXhWXRHuK3791cJSA,https://api.spotify.com/v1/tracks/79FV2mXhWXRHuK3791cJSA,https://api.spotify.com/v1/audio-analysis/79FV2mXhWXRHuK3791cJSA,346827,4,best_of_new_age.csv
0.599,0.701,2,-10.482,1,0.0319,0.0887,0.756,0.115,0.255,120.008,audio_features,2iZdBOrFDEGXfOozYbMEgb,spotify:track:2iZdBOrFDEGXfOozYbMEgb,https://api.spotify.com/v1/tracks/2iZdBOrFDEGXfOozYbMEgb,https://api.spotify.com/v1/audio-analysis/2iZdBOrFDEGXfOozYbMEgb,283200,4,best_of_new_age.csv
0.772,0.619,7,-8.092,1,0.0294,0.56,0.0423,0.105,0.338,109.753,audio_features,2aE4cIKXiR4jFdxHK0n75M,spotify:track:2aE4cIKXiR4jFdxHK0n75M,https://api.spotify.com/v1/tracks/2aE4cIKXiR4jFdxHK0n75M,https://api.spotify.com/v1/audio-analysis/2aE4cIKXiR4jFdxHK0n75M,220920,4,best_of_new_age.csv
0.443,0.667,0,-9.363,0,0.0345,0.375,0.97,0.288,0.151,92.003,audio_features,4wyXoDIrymLua6lAGuj0b8,spotify:track:4wyXoDIrymLua6lAGuj0b8,https://api.spotify.com/v1/tracks/4wyXoDIrymLua6lAGuj0b8,https://api.spotify.com/v1/audio-analysis/4wyXoDIrymLua6lAGuj0b8,241627,4,best_of_new_age.csv
0.705,0.559,5,-7.297,0,0.0428,0.553,0.817,0.147,0.826,153.995,audio_features,0opBvErC788Af2rDGfuGWL,spotify:track:0opBvErC788Af2rDGfuGWL,https://api.spotify.com/v1/tracks/0opBvErC788Af2rDGfuGWL,https://api.spotify.com/v1/audio-analysis/0opBvErC788Af2rDGfuGWL,261440,4,best_of_new_age.csv
0.577,0.503,2,-12.784,1,0.0378,0.313,0.714,0.342,0.414,90.083,audio_features,1jICgYoQuukOtDI2jnGcJC,spotify:track:1jICgYoQuukOtDI2jnGcJC,https://api.spotify.com/v1/tracks/1jICgYoQuukOtDI2jnGcJC,https://api.spotify.com/v1/audio-analysis/1jICgYoQuukOtDI2jnGcJC,230973,4,best_of_new_age.csv
0.207,0.303,4,-16.274,1,0.0366,0.858,0.927,0.0935,0.0394,174.111,audio_features,4ysEZGzrJho1cykJLujMB0,spotify:track:4ysEZGzrJho1cykJLujMB0,https://api.spotify.com/v1/tracks/4ysEZGzrJho1cykJLujMB0,https://api.spotify.com/v1/audio-analysis/4ysEZGzrJho1cykJLujMB0,299507,4,best_of_new_age.csv
0.693,0.396,9,-9.428,1,0.0298,0.826,0.803,0.0847,0.499,93.875,audio_features,3WdBXPv7WUY9fZ6YyTpX6M,spotify:track:3WdBXPv7WUY9fZ6YyTpX6M,https://api.spotify.com/v1/tracks/3WdBXPv7WUY9fZ6YyTpX6M,https://api.spotify.com/v1/audio-analysis/3WdBXPv7WUY9fZ6YyTpX6M,215453,4,best_of_new_age.csv
0.196,0.478,8,-9.859,1,0.0328,0.00561,0.0285,0.17,0.107,95.019,audio_features,1Yw6EKVloRBdWc9T1glw4N,spotify:track:1Yw6EKVloRBdWc9T1glw4N,https://api.spotify.com/v1/tracks/1Yw6EKVloRBdWc9T1glw4N,https://api.spotify.com/v1/audio-analysis/1Yw6EKVloRBdWc9T1glw4N,207533,4,best_of_new_age.csv
0.629,0.749,5,-9.05,0,0.0294,0.236,0.921,0.12,0.322,100.028,audio_features,4v4JieSB5knRhxnB4RfXWV,spotify:track:4v4JieSB5knRhxnB4RfXWV,https://api.spotify.com/v1/tracks/4v4JieSB5knRhxnB4RfXWV,https://api.spotify.com/v1/audio-analysis/4v4JieSB5knRhxnB4RfXWV,243775,4,best_of_new_age.csv
0.209,0.224,9,-12.318,0,0.0413,0.746,0.0285,0.181,0.191,79.365,audio_features,4ohvcnPB3dj5dWD80WPvsG,spotify:track:4ohvcnPB3dj5dWD80WPvsG,https://api.spotify.com/v1/tracks/4ohvcnPB3dj5dWD80WPvsG,https://api.spotify.com/v1/audio-analysis/4ohvcnPB3dj5dWD80WPvsG,256880,4,best_of_new_age.csv
0.699,0.784,1,-5.864,0,0.0292,0.153,0.00964,0.102,0.538,119.701,audio_features,2Qi1x5rzcISJAgUNi3YtZu,spotify:track:2Qi1x5rzcISJAgUNi3YtZu,https://api.spotify.com/v1/tracks/2Qi1x5rzcISJAgUNi3YtZu,https://api.spotify.com/v1/audio-analysis/2Qi1x5rzcISJAgUNi3YtZu,228973,4,best_of_new_age.csv
0.605,0.532,1,-10.872,0,0.0337,0.0919,0.000576,0.0762,0.139,102.804,audio_features,7mfvOqsvzZaUl7sfbcNk4E,spotify:track:7mfvOqsvzZaUl7sfbcNk4E,https://api.spotify.com/v1/tracks/7mfvOqsvzZaUl7sfbcNk4E,https://api.spotify.com/v1/audio-analysis/7mfvOqsvzZaUl7sfbcNk4E,235227,4,best_of_new_age.csv
0.368,0.733,7,-8.044,0,0.0357,0.26,0.962,0.102,0.0457,89.979,audio_features,5mGrfSMupNZ3F1LNC1dupV,spotify:track:5mGrfSMupNZ3F1LNC1dupV,https://api.spotify.com/v1/tracks/5mGrfSMupNZ3F1LNC1dupV,https://api.spotify.com/v1/audio-analysis/5mGrfSMupNZ3F1LNC1dupV,262373,4,best_of_new_age.csv
0.6,0.637,7,-9.576,1,0.0336,0.245,0.00808,0.106,0.3,108.002,audio_features,0hIomgHdYgZ1lHHN1tJL0Y,spotify:track:0hIomgHdYgZ1lHHN1tJL0Y,https://api.spotify.com/v1/tracks/0hIomgHdYgZ1lHHN1tJL0Y,https://api.spotify.com/v1/audio-analysis/0hIomgHdYgZ1lHHN1tJL0Y,242440,4,best_of_new_age.csv
0.547,0.612,0,-10.51,1,0.0467,0.542,0.00037,0.101,0.421,101.53,audio_features,1tCbvLrtYt8Kw6UZmSe5O8,spotify:track:1tCbvLrtYt8Kw6UZmSe5O8,https://api.spotify.com/v1/tracks/1tCbvLrtYt8Kw6UZmSe5O8,https://api.spotify.com/v1/audio-analysis/1tCbvLrtYt8Kw6UZmSe5O8,264000,4,best_of_new_age.csv
0.474,0.397,5,-8.101,0,0.0286,0.395,1.6e-05,0.112,0.305,75.123,audio_features,16Mb4szkNR7tVKCmQ5mx7Y,spotify:track:16Mb4szkNR7tVKCmQ5mx7Y,https://api.spotify.com/v1/tracks/16Mb4szkNR7tVKCmQ5mx7Y,https://api.spotify.com/v1/audio-analysis/16Mb4szkNR7tVKCmQ5mx7Y,326440,4,best_of_new_age.csv
0.588,0.573,9,-9.246,0,0.0315,0.226,0.0293,0.275,0.124,122.018,audio_features,1yamVq62irBg2FnKctxmDq,spotify:track:1yamVq62irBg2FnKctxmDq,https://api.spotify.com/v1/tracks/1yamVq62irBg2FnKctxmDq,https://api.spotify.com/v1/audio-analysis/1yamVq62irBg2FnKctxmDq,275000,4,best_of_new_age.csv
0.586,0.688,1,-9.691,1,0.0255,0.123,0.736,0.244,0.71,110.046,audio_features,22gg2fReKFxJTvuKk1gWJY,spotify:track:22gg2fReKFxJTvuKk1gWJY,https://api.spotify.com/v1/tracks/22gg2fReKFxJTvuKk1gWJY,https://api.spotify.com/v1/audio-analysis/22gg2fReKFxJTvuKk1gWJY,267840,4,best_of_new_age.csv
0.634,0.692,5,-8.255,1,0.0273,0.116,0.000161,0.113,0.344,114.979,audio_features,5TLehplE6ffqeQAJ665nUv,spotify:track:5TLehplE6ffqeQAJ665nUv,https://api.spotify.com/v1/tracks/5TLehplE6ffqeQAJ665nUv,https://api.spotify.com/v1/audio-analysis/5TLehplE6ffqeQAJ665nUv,246893,4,best_of_new_age.csv
0.655,0.724,0,-6.808,0,0.0347,0.164,0.0478,0.0938,0.748,120.172,audio_features,2BOhzBdKt6dxsiqKD20WU8,spotify:track:2BOhzBdKt6dxsiqKD20WU8,https://api.spotify.com/v1/tracks/2BOhzBdKt6dxsiqKD20WU8,https://api.spotify.com/v1/audio-analysis/2BOhzBdKt6dxsiqKD20WU8,240146,4,best_of_new_age.csv
0.55,0.892,8,-8.74,1,0.0575,0.061,0.768,0.131,0.24,116.007,audio_features,0PssyWTqMl8fmyHnqBI2dk,spotify:track:0PssyWTqMl8fmyHnqBI2dk,https://api.spotify.com/v1/tracks/0PssyWTqMl8fmyHnqBI2dk,https://api.spotify.com/v1/audio-analysis/0PssyWTqMl8fmyHnqBI2dk,481600,4,best_of_new_age.csv
0.549,0.607,9,-10.606,0,0.0321,0.306,0.00882,0.0852,0.234,97.905,audio_features,6WuBtCCjG0T2irgaeBkPDu,spotify:track:6WuBtCCjG0T2irgaeBkPDu,https://api.spotify.com/v1/tracks/6WuBtCCjG0T2irgaeBkPDu,https://api.spotify.com/v1/audio-analysis/6WuBtCCjG0T2irgaeBkPDu,393760,4,best_of_new_age.csv
0.576,0.694,2,-8.058,1,0.0359,0.014,0.905,0.0777,0.278,95.02,audio_features,22CiZTSSpSXCokWPpEj5jw,spotify:track:22CiZTSSpSXCokWPpEj5jw,https://api.spotify.com/v1/tracks/22CiZTSSpSXCokWPpEj5jw,https://api.spotify.com/v1/audio-analysis/22CiZTSSpSXCokWPpEj5jw,301507,4,best_of_new_age.csv
0.469,0.838,7,-13.095,1,0.131,0.641,0.884,0.358,0.154,104.267,audio_features,2rrNRHUf7JqQkY9w8nafxb,spotify:track:2rrNRHUf7JqQkY9w8nafxb,https://api.spotify.com/v1/tracks/2rrNRHUf7JqQkY9w8nafxb,https://api.spotify.com/v1/audio-analysis/2rrNRHUf7JqQkY9w8nafxb,293987,4,best_of_new_age.csv
0.544,0.455,8,-15.111,0,0.0259,0.0944,0.951,0.109,0.0761,102.968,audio_features,6BMcl6dX5jQGHSl0euOimF,spotify:track:6BMcl6dX5jQGHSl0euOimF,https://api.spotify.com/v1/tracks/6BMcl6dX5jQGHSl0euOimF,https://api.spotify.com/v1/audio-analysis/6BMcl6dX5jQGHSl0euOimF,275203,4,best_of_new_age.csv
0.588,0.778,0,-7.57,1,0.0356,0.000774,0.428,0.115,0.0916,94.01,audio_features,0E8HVV1wIiA2EtzojTYyyK,spotify:track:0E8HVV1wIiA2EtzojTYyyK,https://api.spotify.com/v1/tracks/0E8HVV1wIiA2EtzojTYyyK,https://api.spotify.com/v1/audio-analysis/0E8HVV1wIiA2EtzojTYyyK,288027,4,best_of_new_age.csv
0.671,0.571,0,-9.207,0,0.0346,0.267,0.177,0.113,0.519,120.212,audio_features,5RHcBbi9TvOKvU5TUpeFa9,spotify:track:5RHcBbi9TvOKvU5TUpeFa9,https://api.spotify.com/v1/tracks/5RHcBbi9TvOKvU5TUpeFa9,https://api.spotify.com/v1/audio-analysis/5RHcBbi9TvOKvU5TUpeFa9,319733,4,best_of_new_age.csv
0.174,0.113,6,-15.221,1,0.0409,0.958,0.000127,0.118,0.0996,81.556,audio_features,4edunTZK6KcLzfPJU6mohK,spotify:track:4edunTZK6KcLzfPJU6mohK,https://api.spotify.com/v1/tracks/4edunTZK6KcLzfPJU6mohK,https://api.spotify.com/v1/audio-analysis/4edunTZK6KcLzfPJU6mohK,229347,4,best_of_new_age.csv
0.713,0.503,7,-9.799,0,0.0271,0.455,0.157,0.102,0.483,113.818,audio_features,17roC1P0akCIgTEUMarJuh,spotify:track:17roC1P0akCIgTEUMarJuh,https://api.spotify.com/v1/tracks/17roC1P0akCIgTEUMarJuh,https://api.spotify.com/v1/audio-analysis/17roC1P0akCIgTEUMarJuh,198653,4,best_of_new_age.csv
0.423,0.778,7,-7.347,0,0.0427,0.0454,0.0354,0.605,0.186,98.981,audio_features,3pOYm3CKUP9iaFgdz2uU2O,spotify:track:3pOYm3CKUP9iaFgdz2uU2O,https://api.spotify.com/v1/tracks/3pOYm3CKUP9iaFgdz2uU2O,https://api.spotify.com/v1/audio-analysis/3pOYm3CKUP9iaFgdz2uU2O,290200,4,best_of_new_age.csv
0.657,0.744,0,-9.283,1,0.054,0.287,0.444,0.313,0.167,96.03,audio_features,3uSjEHNZnThFAbKhUZUPoZ,spotify:track:3uSjEHNZnThFAbKhUZUPoZ,https://api.spotify.com/v1/tracks/3uSjEHNZnThFAbKhUZUPoZ,https://api.spotify.com/v1/audio-analysis/3uSjEHNZnThFAbKhUZUPoZ,254987,4,best_of_new_age.csv
0.55,0.676,1,-10.174,0,0.0378,0.00331,0.926,0.137,0.354,106.935,audio_features,5l2BFbmDyQimGbZ0pca9K9,spotify:track:5l2BFbmDyQimGbZ0pca9K9,https://api.spotify.com/v1/tracks/5l2BFbmDyQimGbZ0pca9K9,https://api.spotify.com/v1/audio-analysis/5l2BFbmDyQimGbZ0pca9K9,206453,4,best_of_new_age.csv
0.514,0.692,3,-9.371,0,0.0296,0.00186,0.797,0.0842,0.277,104.037,audio_features,57v1YEZZcnx4n4qug8GAP7,spotify:track:57v1YEZZcnx4n4qug8GAP7,https://api.spotify.com/v1/tracks/57v1YEZZcnx4n4qug8GAP7,https://api.spotify.com/v1/audio-analysis/57v1YEZZcnx4n4qug8GAP7,432533,4,best_of_new_age.csv
0.498,0.461,0,-16.296,0,0.0532,0.934,0.821,0.0809,0.0368,119.998,audio_features,1XL4uJAU8BL1RWgP1GCgwQ,spotify:track:1XL4uJAU8BL1RWgP1GCgwQ,https://api.spotify.com/v1/tracks/1XL4uJAU8BL1RWgP1GCgwQ,https://api.spotify.com/v1/audio-analysis/1XL4uJAU8BL1RWgP1GCgwQ,221160,3,best_of_new_age.csv
0.46,0.647,1,-8.887,1,0.032,0.0807,0.88,0.0787,0.21,100.008,audio_features,6RZ5al0ehjna3EYgIZHoQe,spotify:track:6RZ5al0ehjna3EYgIZHoQe,https://api.spotify.com/v1/tracks/6RZ5al0ehjna3EYgIZHoQe,https://api.spotify.com/v1/audio-analysis/6RZ5al0ehjna3EYgIZHoQe,295971,4,best_of_new_age.csv
0.524,0.487,5,-13.575,1,0.0357,0.0657,0.879,0.139,0.39,166.033,audio_features,55HvQDTk9tXzmmioTuBMsV,spotify:track:55HvQDTk9tXzmmioTuBMsV,https://api.spotify.com/v1/tracks/55HvQDTk9tXzmmioTuBMsV,https://api.spotify.com/v1/audio-analysis/55HvQDTk9tXzmmioTuBMsV,213200,4,best_of_new_age.csv
0.464,0.71,6,-5.529,0,0.0304,0.27,0.172,0.371,0.217,165.772,audio_features,3Ui20LM8Cxkho7F299VzAM,spotify:track:3Ui20LM8Cxkho7F299VzAM,https://api.spotify.com/v1/tracks/3Ui20LM8Cxkho7F299VzAM,https://api.spotify.com/v1/audio-analysis/3Ui20LM8Cxkho7F299VzAM,240000,4,best_of_new_age.csv
