danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.795,0.663,10,-7.833,0,0.0502,0.00914,0.857,0.0507,0.428,120.011,audio_features,28dUMngL4plJ4rG0pb92C6,spotify:track:28dUMngL4plJ4rG0pb92C6,https://api.spotify.com/v1/tracks/28dUMngL4plJ4rG0pb92C6,https://api.spotify.com/v1/audio-analysis/28dUMngL4plJ4rG0pb92C6,369000,4,best_of_organic_house.csv
0.807,0.446,10,-9.611,1,0.0598,0.0603,0.652,0.1,0.333,118.002,audio_features,1fDMaPbKIteuRRykf8EnGG,spotify:track:1fDMaPbKIteuRRykf8EnGG,https://api.spotify.com/v1/tracks/1fDMaPbKIteuRRykf8EnGG,https://api.spotify.com/v1/audio-analysis/1fDMaPbKIteuRRykf8EnGG,197288,4,best_of_organic_house.csv
0.801,0.63,2,-9.789,1,0.042,0.0455,0.867,0.098,0.231,116.007,audio_features,6T6prTkN0PgnGPdW7lZ7Jv,spotify:track:6T6prTkN0PgnGPdW7lZ7Jv,https://api.spotify.com/v1/tracks/6T6prTkN0PgnGPdW7lZ7Jv,https://api.spotify.com/v1/audio-analysis/6T6prTkN0PgnGPdW7lZ7Jv,416189,4,best_of_organic_house.csv
0.74,0.816,7,-6.886,0,0.041,0.0104,0.933,0.0762,0.533,122.0,audio_features,0DbzOtR6qoqGcgcaznOGS0,spotify:track:0DbzOtR6qoqGcgcaznOGS0,https://api.spotify.com/v1/tracks/0DbzOtR6qoqGcgcaznOGS0,https://api.spotify.com/v1/audio-analysis/0DbzOtR6qoqGcgcaznOGS0,254754,4,best_of_organic_house.csv
0.81,0.678,7,-6.599,1,0.0543,0.00551,0.832,0.043,0.401,123.017,audio_features,3ZSINKOsHPDMp39Ttqqjee,spotify:track:3ZSINKOsHPDMp39Ttqqjee,https://api.spotify.com/v1/tracks/3ZSINKOsHPDMp39Ttqqjee,https://api.spotify.com/v1/audio-analysis/3ZSINKOsHPDMp39Ttqqjee,515122,4,best_of_organic_house.csv
0.699,0.622,7,-8.776,0,0.0408,0.238,0.82,0.0954,0.259,109.999,audio_features,5IClGNKbGgLaHoB11MNEBN,spotify:track:5IClGNKbGgLaHoB11MNEBN,https://api.spotify.com/v1/tracks/5IClGNKbGgLaHoB11MNEBN,https://api.spotify.com/v1/audio-analysis/5IClGNKbGgLaHoB11MNEBN,276300,4,best_of_organic_house.csv
0.747,0.841,9,-8.169,0,0.0389,0.00289,0.832,0.344,0.231,118.006,audio_features,03smeGQTAsC1BEbz3LqGzk,spotify:track:03smeGQTAsC1BEbz3LqGzk,https://api.spotify.com/v1/tracks/03smeGQTAsC1BEbz3LqGzk,https://api.spotify.com/v1/audio-analysis/03smeGQTAsC1BEbz3LqGzk,222898,4,best_of_organic_house.csv
0.682,0.763,11,-8.134,0,0.0353,0.000212,0.751,0.2,0.0472,120.038,audio_features,7CLpKb0QakvqLFUznZ4yTz,spotify:track:7CLpKb0QakvqLFUznZ4yTz,https://api.spotify.com/v1/tracks/7CLpKb0QakvqLFUznZ4yTz,https://api.spotify.com/v1/audio-analysis/7CLpKb0QakvqLFUznZ4yTz,464594,4,best_of_organic_house.csv
0.814,0.767,4,-8.002,0,0.0665,0.00443,0.775,0.0497,0.655,122.007,audio_features,6hFG73dv6MfVRjVoeZFJQj,spotify:track:6hFG73dv6MfVRjVoeZFJQj,https://api.spotify.com/v1/tracks/6hFG73dv6MfVRjVoeZFJQj,https://api.spotify.com/v1/audio-analysis/6hFG73dv6MfVRjVoeZFJQj,456885,4,best_of_organic_house.csv
0.578,0.938,10,-7.248,0,0.0411,0.0142,0.967,0.106,0.0761,119.989,audio_features,5YxYMQuVIG8moSoDm02Wi5,spotify:track:5YxYMQuVIG8moSoDm02Wi5,https://api.spotify.com/v1/tracks/5YxYMQuVIG8moSoDm02Wi5,https://api.spotify.com/v1/audio-analysis/5YxYMQuVIG8moSoDm02Wi5,231689,4,best_of_organic_house.csv
0.807,0.714,10,-9.391,0,0.0873,0.0053,0.9,0.0782,0.609,123.008,audio_features,4rKjc7imRb8G7DWHuUcccH,spotify:track:4rKjc7imRb8G7DWHuUcccH,https://api.spotify.com/v1/tracks/4rKjc7imRb8G7DWHuUcccH,https://api.spotify.com/v1/audio-analysis/4rKjc7imRb8G7DWHuUcccH,405841,4,best_of_organic_house.csv
0.945,0.653,8,-8.458,0,0.0356,0.252,0.88,0.0823,0.501,105.004,audio_features,6nv7sDQtRxp0JeH2sFUuwE,spotify:track:6nv7sDQtRxp0JeH2sFUuwE,https://api.spotify.com/v1/tracks/6nv7sDQtRxp0JeH2sFUuwE,https://api.spotify.com/v1/audio-analysis/6nv7sDQtRxp0JeH2sFUuwE,187852,4,best_of_organic_house.csv
0.791,0.544,1,-9.518,1,0.0558,0.0439,0.907,0.052,0.56,118.002,audio_features,2ZJCTvq9x4uFl8iVe05JqB,spotify:track:2ZJCTvq9x4uFl8iVe05JqB,https://api.spotify.com/v1/tracks/2ZJCTvq9x4uFl8iVe05JqB,https://api.spotify.com/v1/audio-analysis/2ZJCTvq9x4uFl8iVe05JqB,468197,4,best_of_organic_house.csv
0.796,0.587,4,-9.183,1,0.0512,0.00165,0.817,0.0418,0.21,122.022,audio_features,5ClxAzprojFOLUBxLWRXn4,spotify:track:5ClxAzprojFOLUBxLWRXn4,https://api.spotify.com/v1/tracks/5ClxAzprojFOLUBxLWRXn4,https://api.spotify.com/v1/audio-analysis/5ClxAzprojFOLUBxLWRXn4,425622,4,best_of_organic_house.csv
0.801,0.57,1,-10.988,1,0.0531,0.265,0.872,0.127,0.322,104.008,audio_features,4AyHuAzcc1wlVV3kuLb5uM,spotify:track:4AyHuAzcc1wlVV3kuLb5uM,https://api.spotify.com/v1/tracks/4AyHuAzcc1wlVV3kuLb5uM,https://api.spotify.com/v1/audio-analysis/4AyHuAzcc1wlVV3kuLb5uM,413077,4,best_of_organic_house.csv
0.776,0.747,0,-7.004,1,0.0378,0.000546,0.836,0.0974,0.599,120.039,audio_features,69KLFbJcOmPov4AC0UwguV,spotify:track:69KLFbJcOmPov4AC0UwguV,https://api.spotify.com/v1/tracks/69KLFbJcOmPov4AC0UwguV,https://api.spotify.com/v1/audio-analysis/69KLFbJcOmPov4AC0UwguV,222000,4,best_of_organic_house.csv
0.729,0.854,11,-8.922,1,0.0468,0.091,0.853,0.0985,0.478,100.002,audio_features,3LDeHAM7L0MZqQH5nuFPoM,spotify:track:3LDeHAM7L0MZqQH5nuFPoM,https://api.spotify.com/v1/tracks/3LDeHAM7L0MZqQH5nuFPoM,https://api.spotify.com/v1/audio-analysis/3LDeHAM7L0MZqQH5nuFPoM,408000,4,best_of_organic_house.csv
0.809,0.558,10,-10.27,0,0.0891,0.000493,0.857,0.0575,0.535,122.009,audio_features,4A6vWru7hRAUwZV8ySuTCh,spotify:track:4A6vWru7hRAUwZV8ySuTCh,https://api.spotify.com/v1/tracks/4A6vWru7hRAUwZV8ySuTCh,https://api.spotify.com/v1/audio-analysis/4A6vWru7hRAUwZV8ySuTCh,367131,4,best_of_organic_house.csv
