danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4,best_of_pop.csv
0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,audio_features,32OlwWuMpZ6b0aN2RZOeMS,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,269667,4,best_of_pop.csv
0.619,0.458,7,-7.88,1,0.0251,0.547,0.0,0.137,0.391,135.914,audio_features,1k6r6F3hdLtWvNjVZdlRHw,spotify:track:1k6r6F3hdLtWvNjVZdlRHw,https://api.spotify.com/v1/tracks/1k6r6F3hdLtWvNjVZdlRHw,https://api.spotify.com/v1/audio-analysis/1k6r6F3hdLtWvNjVZdlRHw,168840,4,best_of_pop.csv
0.494,0.667,4,-7.234,1,0.0336,0.363,0.000104,0.0992,0.282,79.993,audio_features,2IQg4g8vZfNr5AlZnkNqb4,spotify:track:2IQg4g8vZfNr5AlZnkNqb4,https://api.spotify.com/v1/tracks/2IQg4g8vZfNr5AlZnkNqb4,https://api.spotify.com/v1/audio-analysis/2IQg4g8vZfNr5AlZnkNqb4,344227,4,best_of_pop.csv
0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,audio_features,494OU6M7NOf4ICYb4zWCf5,spotify:track:494OU6M7NOf4ICYb4zWCf5,https://api.spotify.com/v1/tracks/494OU6M7NOf4ICYb4zWCf5,https://api.spotify.com/v1/audio-analysis/494OU6M7NOf4ICYb4zWCf5,235493,4,best_of_pop.csv
0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.118,0.477,122.016,audio_features,2tpWsVSb9UEmDRxAl1zhX1,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,https://api.spotify.com/v1/tracks/2tpWsVSb9UEmDRxAl1zhX1,https://api.spotify.com/v1/audio-analysis/2tpWsVSb9UEmDRxAl1zhX1,257267,4,best_of_pop.csv
0.704,0.818,3,-5.907,0,0.0518,0.0731,0.102,0.272,0.644,124.969,audio_features,3tEaG6sQONXxHNdiPo7gni,spotify:track:3tEaG6sQONXxHNdiPo7gni,https://api.spotify.com/v1/tracks/3tEaG6sQONXxHNdiPo7gni,https://api.spotify.com/v1/audio-analysis/3tEaG6sQONXxHNdiPo7gni,160800,4,best_of_pop.csv
0.684,0.817,0,-5.499,1,0.0308,0.0222,2.19e-05,0.439,0.623,118.061,audio_features,2ExKb6Ag2WXob6FpkSeXhE,spotify:track:2ExKb6Ag2WXob6FpkSeXhE,https://api.spotify.com/v1/tracks/2ExKb6Ag2WXob6FpkSeXhE,https://api.spotify.com/v1/audio-analysis/2ExKb6Ag2WXob6FpkSeXhE,215627,4,best_of_pop.csv
0.671,0.771,7,-4.821,0,0.0316,0.00492,7.28e-06,0.354,0.436,90.003,audio_features,27tNWlhdAryQY04Gb2ZhUI,spotify:track:27tNWlhdAryQY04Gb2ZhUI,https://api.spotify.com/v1/tracks/27tNWlhdAryQY04Gb2ZhUI,https://api.spotify.com/v1/audio-analysis/27tNWlhdAryQY04Gb2ZhUI,223546,4,best_of_pop.csv
0.713,0.539,8,-6.177,1,0.0247,0.45,0.0,0.332,0.637,106.982,audio_features,48SvNuHhUaAun1jAxtayw9,spotify:track:48SvNuHhUaAun1jAxtayw9,https://api.spotify.com/v1/tracks/48SvNuHhUaAun1jAxtayw9,https://api.spotify.com/v1/audio-analysis/48SvNuHhUaAun1jAxtayw9,242664,4,best_of_pop.csv
0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,audio_features,09CtPGIpYB4BrO8qb1RGsF,spotify:track:09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/audio-analysis/09CtPGIpYB4BrO8qb1RGsF,200787,4,best_of_pop.csv
0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,audio_features,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,281560,4,best_of_pop.csv
0.645,0.585,6,-6.122,1,0.0513,0.00314,0.0,0.165,0.353,131.931,audio_features,5jrdCoLpJSvHHorevXBATy,spotify:track:5jrdCoLpJSvHHorevXBATy,https://api.spotify.com/v1/tracks/5jrdCoLpJSvHHorevXBATy,https://api.spotify.com/v1/audio-analysis/5jrdCoLpJSvHHorevXBATy,215672,4,best_of_pop.csv
0.8,0.478,9,-9.16,0,0.0739,0.0209,0.158,0.104,0.556,125.031,audio_features,1SxtJ1p2EH3TC8dVzDlN33,spotify:track:1SxtJ1p2EH3TC8dVzDlN33,https://api.spotify.com/v1/tracks/1SxtJ1p2EH3TC8dVzDlN33,https://api.spotify.com/v1/audio-analysis/1SxtJ1p2EH3TC8dVzDlN33,151040,4,best_of_pop.csv
0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,audio_features,7DSAEUvxU8FajXtRloy8M0,spotify:track:7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,200600,4,best_of_pop.csv
0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,audio_features,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,263400,3,best_of_pop.csv
0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897,audio_features,5rEvuW4YhwobKwGL1HPrXA,spotify:track:5rEvuW4YhwobKwGL1HPrXA,https://api.spotify.com/v1/tracks/5rEvuW4YhwobKwGL1HPrXA,https://api.spotify.com/v1/audio-analysis/5rEvuW4YhwobKwGL1HPrXA,252733,4,best_of_pop.csv
0.602,0.827,7,-7.374,1,0.0293,0.00241,0.0,0.34,0.358,89.994,audio_features,3uXAQhJLXi7VtJDjKIe9pS,spotify:track:3uXAQhJLXi7VtJDjKIe9pS,https://api.spotify.com/v1/tracks/3uXAQhJLXi7VtJDjKIe9pS,https://api.spotify.com/v1/audio-analysis/3uXAQhJLXi7VtJDjKIe9pS,254132,4,best_of_pop.csv
0.679,0.622,2,-7.636,0,0.0487,0.0183,6.81e-05,0.0371,0.281,124.088,audio_features,71UL6pUMZUlU2u10gnhqPf,spotify:track:71UL6pUMZUlU2u10gnhqPf,https://api.spotify.com/v1/tracks/71UL6pUMZUlU2u10gnhqPf,https://api.spotify.com/v1/audio-analysis/71UL6pUMZUlU2u10gnhqPf,174194,4,best_of_pop.csv
