danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,audio_features,7j31rVgGX9Q2blT92VBEA0,spotify:track:7j31rVgGX9Q2blT92VBEA0,https://api.spotify.com/v1/tracks/7j31rVgGX9Q2blT92VBEA0,https://api.spotify.com/v1/audio-analysis/7j31rVgGX9Q2blT92VBEA0,161920,4,best_of_punk.csv
0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,audio_features,6L89mwZXSOwYl76YXfX13s,spotify:track:6L89mwZXSOwYl76YXfX13s,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s,https://api.spotify.com/v1/audio-analysis/6L89mwZXSOwYl76YXfX13s,181533,4,best_of_punk.csv
0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,audio_features,4EchqUKQ3qAQuRNKmeIpnf,spotify:track:4EchqUKQ3qAQuRNKmeIpnf,https://api.spotify.com/v1/tracks/4EchqUKQ3qAQuRNKmeIpnf,https://api.spotify.com/v1/audio-analysis/4EchqUKQ3qAQuRNKmeIpnf,180160,4,best_of_punk.csv
0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,audio_features,2m1hi0nfMR9vdGC8UcrnwU,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/tracks/2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/audio-analysis/2m1hi0nfMR9vdGC8UcrnwU,167067,4,best_of_punk.csv
0.304,0.901,9,-7.756,1,0.0602,0.00105,0.000376,0.158,0.541,147.199,audio_features,2mHchPRtQWet3iIS3jANr1,spotify:track:2mHchPRtQWet3iIS3jANr1,https://api.spotify.com/v1/tracks/2mHchPRtQWet3iIS3jANr1,https://api.spotify.com/v1/audio-analysis/2mHchPRtQWet3iIS3jANr1,199453,4,best_of_punk.csv
0.436,0.935,2,-3.946,1,0.0538,0.000129,0.000141,0.0821,0.901,194.902,audio_features,6cL7NCFSvqWrBH5r4mkvVV,spotify:track:6cL7NCFSvqWrBH5r4mkvVV,https://api.spotify.com/v1/tracks/6cL7NCFSvqWrBH5r4mkvVV,https://api.spotify.com/v1/audio-analysis/6cL7NCFSvqWrBH5r4mkvVV,185600,4,best_of_punk.csv
0.331,0.92,7,-8.1,1,0.05,0.21,0.000178,0.347,0.333,107.271,audio_features,0HKbXwW3g9FS6nRZtoLhbE,spotify:track:0HKbXwW3g9FS6nRZtoLhbE,https://api.spotify.com/v1/tracks/0HKbXwW3g9FS6nRZtoLhbE,https://api.spotify.com/v1/audio-analysis/0HKbXwW3g9FS6nRZtoLhbE,184000,4,best_of_punk.csv
0.309,0.962,2,-5.347,1,0.159,0.000192,0.00251,0.372,0.387,97.755,audio_features,1Fdpc0bQPj3bAunS7IzXFS,spotify:track:1Fdpc0bQPj3bAunS7IzXFS,https://api.spotify.com/v1/tracks/1Fdpc0bQPj3bAunS7IzXFS,https://api.spotify.com/v1/audio-analysis/1Fdpc0bQPj3bAunS7IzXFS,55627,3,best_of_punk.csv
0.425,0.922,7,-8.182,1,0.0444,0.00319,2.79e-05,0.0994,0.706,113.273,audio_features,31WRr9gwan8jYqrvDHY082,spotify:track:31WRr9gwan8jYqrvDHY082,https://api.spotify.com/v1/tracks/31WRr9gwan8jYqrvDHY082,https://api.spotify.com/v1/audio-analysis/31WRr9gwan8jYqrvDHY082,119667,4,best_of_punk.csv
0.645,0.809,11,-6.12,1,0.0385,0.00921,0.00108,0.106,0.966,138.978,audio_features,3oyc1mIdCBGaU55wX7otqM,spotify:track:3oyc1mIdCBGaU55wX7otqM,https://api.spotify.com/v1/tracks/3oyc1mIdCBGaU55wX7otqM,https://api.spotify.com/v1/audio-analysis/3oyc1mIdCBGaU55wX7otqM,196680,4,best_of_punk.csv
0.481,0.922,0,-3.439,1,0.0534,0.0282,6.93e-06,0.536,0.709,134.785,audio_features,6pkv89yzv9kw6Vxhz8nSIH,spotify:track:6pkv89yzv9kw6Vxhz8nSIH,https://api.spotify.com/v1/tracks/6pkv89yzv9kw6Vxhz8nSIH,https://api.spotify.com/v1/audio-analysis/6pkv89yzv9kw6Vxhz8nSIH,280827,4,best_of_punk.csv
0.383,0.986,9,-2.796,1,0.0617,0.000287,0.0,0.179,0.578,157.871,audio_features,3KLkRy9l3us98SIp6mmxkk,spotify:track:3KLkRy9l3us98SIp6mmxkk,https://api.spotify.com/v1/tracks/3KLkRy9l3us98SIp6mmxkk,https://api.spotify.com/v1/audio-analysis/3KLkRy9l3us98SIp6mmxkk,163227,4,best_of_punk.csv
0.345,0.811,1,-11.948,0,0.0654,0.0606,0.0466,0.357,0.625,142.834,audio_features,5mSZLysuAtdNA21mbOm0sx,spotify:track:5mSZLysuAtdNA21mbOm0sx,https://api.spotify.com/v1/tracks/5mSZLysuAtdNA21mbOm0sx,https://api.spotify.com/v1/audio-analysis/5mSZLysuAtdNA21mbOm0sx,183824,4,best_of_punk.csv
