danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,audio_features,33ZXjLCpiINn8eQIDYEPTD,spotify:track:33ZXjLCpiINn8eQIDYEPTD,https://api.spotify.com/v1/tracks/33ZXjLCpiINn8eQIDYEPTD,https://api.spotify.com/v1/audio-analysis/33ZXjLCpiINn8eQIDYEPTD,325507,4,best_of_rap.csv
0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,audio_features,4xkOaSrkexMciUUogZKVTS,spotify:track:4xkOaSrkexMciUUogZKVTS,https://api.spotify.com/v1/tracks/4xkOaSrkexMciUUogZKVTS,https://api.spotify.com/v1/audio-analysis/4xkOaSrkexMciUUogZKVTS,297787,4,best_of_rap.csv
0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,audio_features,503OTo2dSqe7qk76rgsbep,spotify:track:503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/tracks/503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/audio-analysis/503OTo2dSqe7qk76rgsbep,270587,4,best_of_rap.csv
0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,audio_features,6gBFPUFcJLzWGx4lenP6h2,spotify:track:6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,243837,4,best_of_rap.csv
0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,audio_features,78QR3Wp35dqAhFEc2qAGjE,spotify:track:78QR3Wp35dqAhFEc2qAGjE,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,145543,4,best_of_rap.csv
0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,audio_features,3ee8Jmje8o58CHK66QrVC2,spotify:track:3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,166606,4,best_of_rap.csv
0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,audio_features,7ycWLEP1GsNjVvcjawXz3z,spotify:track:7ycWLEP1GsNjVvcjawXz3z,https://api.spotify.com/v1/tracks/7ycWLEP1GsNjVvcjawXz3z,https://api.spotify.com/v1/audio-analysis/7ycWLEP1GsNjVvcjawXz3z,205040,4,best_of_rap.csv
0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,audio_features,7GX5flRQZVHRAGd6B4TmDO,spotify:track:7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO,182707,4,best_of_rap.csv
0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,audio_features,0e7ipj03S05BNilyu5bRzt,spotify:track:0e7ipj03S05BNilyu5bRzt,https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt,https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt,218147,4,best_of_rap.csv
0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,audio_features,1e1JKLEDKP7hEQzJfNAgPl,spotify:track:1e1JKLEDKP7hEQzJfNAgPl,https://api.spotify.com/v1/tracks/1e1JKLEDKP7hEQzJfNAgPl,https://api.spotify.com/v1/audio-analysis/1e1JKLEDKP7hEQzJfNAgPl,181812,4,best_of_rap.csv
0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985,audio_features,119c93MHjrDLJTApCVGpvx,spotify:track:119c93MHjrDLJTApCVGpvx,https://api.spotify.com/v1/tracks/119c93MHjrDLJTApCVGpvx,https://api.spotify.com/v1/audio-analysis/119c93MHjrDLJTApCVGpvx,252187,4,best_of_rap.csv
0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,audio_features,2U5WueTLIK5WJLD7mvDODv,spotify:track:2U5WueTLIK5WJLD7mvDODv,https://api.spotify.com/v1/tracks/2U5WueTLIK5WJLD7mvDODv,https://api.spotify.com/v1/audio-analysis/2U5WueTLIK5WJLD7mvDODv,194621,4,best_of_rap.csv
0.843,0.39,2,-7.899,1,0.0846,0.178,0.0,0.137,0.495,129.972,audio_features,51Fjme0JiitpyXKuyQiCDo,spotify:track:51Fjme0JiitpyXKuyQiCDo,https://api.spotify.com/v1/tracks/51Fjme0JiitpyXKuyQiCDo,https://api.spotify.com/v1/audio-analysis/51Fjme0JiitpyXKuyQiCDo,160627,4,best_of_rap.csv
0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,audio_features,4tqcoej1zPvwePZCzuAjJd,spotify:track:4tqcoej1zPvwePZCzuAjJd,https://api.spotify.com/v1/tracks/4tqcoej1zPvwePZCzuAjJd,https://api.spotify.com/v1/audio-analysis/4tqcoej1zPvwePZCzuAjJd,239267,4,best_of_rap.csv
0.76,0.81,11,-4.311,0,0.394,0.27,0.0,0.051,0.769,141.806,audio_features,6wHgUWX3xTlD1rnRymlMbA,spotify:track:6wHgUWX3xTlD1rnRymlMbA,https://api.spotify.com/v1/tracks/6wHgUWX3xTlD1rnRymlMbA,https://api.spotify.com/v1/audio-analysis/6wHgUWX3xTlD1rnRymlMbA,120000,4,best_of_rap.csv
