danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,audio_features,5O4erNlJ74PIF6kGol1ZrC,spotify:track:5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/tracks/5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/audio-analysis/5O4erNlJ74PIF6kGol1ZrC,237000,4,best_of_reggae.csv
0.857,0.298,1,-15.611,1,0.0616,0.00217,1.08e-05,0.209,0.825,89.124,audio_features,4POgt5ayni68MeLqclubcC,spotify:track:4POgt5ayni68MeLqclubcC,https://api.spotify.com/v1/tracks/4POgt5ayni68MeLqclubcC,https://api.spotify.com/v1/audio-analysis/4POgt5ayni68MeLqclubcC,183800,4,best_of_reggae.csv
0.824,0.366,7,-10.96,1,0.145,0.039,0.106,0.0403,0.895,73.949,audio_features,4DQttwipnILl88cru3BRZx,spotify:track:4DQttwipnILl88cru3BRZx,https://api.spotify.com/v1/tracks/4DQttwipnILl88cru3BRZx,https://api.spotify.com/v1/audio-analysis/4DQttwipnILl88cru3BRZx,249533,4,best_of_reggae.csv
0.81,0.618,7,-10.581,1,0.0382,0.0139,0.000254,0.0296,0.804,120.063,audio_features,2RcbRwAFUxaiO3rszuEqsz,spotify:track:2RcbRwAFUxaiO3rszuEqsz,https://api.spotify.com/v1/tracks/2RcbRwAFUxaiO3rszuEqsz,https://api.spotify.com/v1/audio-analysis/2RcbRwAFUxaiO3rszuEqsz,194723,4,best_of_reggae.csv
0.586,0.663,4,-6.547,0,0.0825,0.161,0.0,0.198,0.693,170.743,audio_features,4abVwdCy5QUcyI3KS2lMJK,spotify:track:4abVwdCy5QUcyI3KS2lMJK,https://api.spotify.com/v1/tracks/4abVwdCy5QUcyI3KS2lMJK,https://api.spotify.com/v1/audio-analysis/4abVwdCy5QUcyI3KS2lMJK,217200,4,best_of_reggae.csv
0.754,0.458,9,-10.558,0,0.163,0.157,5.86e-06,0.106,0.744,84.603,audio_features,14uaxEtvwwTR2WnnvAfaj9,spotify:track:14uaxEtvwwTR2WnnvAfaj9,https://api.spotify.com/v1/tracks/14uaxEtvwwTR2WnnvAfaj9,https://api.spotify.com/v1/audio-analysis/14uaxEtvwwTR2WnnvAfaj9,262000,4,best_of_reggae.csv
0.826,0.49,9,-10.477,1,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,audio_features,75FYqcxt1YEAtqDLrOeIJn,spotify:track:75FYqcxt1YEAtqDLrOeIJn,https://api.spotify.com/v1/tracks/75FYqcxt1YEAtqDLrOeIJn,https://api.spotify.com/v1/audio-analysis/75FYqcxt1YEAtqDLrOeIJn,180267,4,best_of_reggae.csv
0.749,0.849,4,-5.761,0,0.0544,0.0299,0.000168,0.115,0.959,145.169,audio_features,5uPYEStMW3KsXnnLV7iCTw,spotify:track:5uPYEStMW3KsXnnLV7iCTw,https://api.spotify.com/v1/tracks/5uPYEStMW3KsXnnLV7iCTw,https://api.spotify.com/v1/audio-analysis/5uPYEStMW3KsXnnLV7iCTw,244253,4,best_of_reggae.csv
0.881,0.553,1,-7.376,1,0.0487,0.075,0.0,0.0639,0.835,99.022,audio_features,0sgx4UjoIrLB8rFURf3tIr,spotify:track:0sgx4UjoIrLB8rFURf3tIr,https://api.spotify.com/v1/tracks/0sgx4UjoIrLB8rFURf3tIr,https://api.spotify.com/v1/audio-analysis/0sgx4UjoIrLB8rFURf3tIr,225093,4,best_of_reggae.csv
0.801,0.548,11,-5.482,0,0.0516,0.0854,0.000232,0.387,0.627,92.059,audio_features,4paJ10JPNCyOaLtz2cY928,spotify:track:4paJ10JPNCyOaLtz2cY928,https://api.spotify.com/v1/tracks/4paJ10JPNCyOaLtz2cY928,https://api.spotify.com/v1/audio-analysis/4paJ10JPNCyOaLtz2cY928,188086,4,best_of_reggae.csv
