danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.545,0.913,8,-5.75,1,0.0308,0.00733,0.0025,0.311,0.767,202.073,audio_features,43gcln3SnwBCpKjy2gPOwN,spotify:track:43gcln3SnwBCpKjy2gPOwN,https://api.spotify.com/v1/tracks/43gcln3SnwBCpKjy2gPOwN,https://api.spotify.com/v1/audio-analysis/43gcln3SnwBCpKjy2gPOwN,190893,4,best_of_ska.csv
0.682,0.765,1,-5.021,0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807,audio_features,2hnMS47jN0etwvFPzYk11f,spotify:track:2hnMS47jN0etwvFPzYk11f,https://api.spotify.com/v1/tracks/2hnMS47jN0etwvFPzYk11f,https://api.spotify.com/v1/audio-analysis/2hnMS47jN0etwvFPzYk11f,182747,4,best_of_ska.csv
0.876,0.793,2,-7.975,0,0.0357,0.388,0.722,0.0959,0.976,122.276,audio_features,3kxFEgQ9piaonniyXIOXJR,spotify:track:3kxFEgQ9piaonniyXIOXJR,https://api.spotify.com/v1/tracks/3kxFEgQ9piaonniyXIOXJR,https://api.spotify.com/v1/audio-analysis/3kxFEgQ9piaonniyXIOXJR,190867,4,best_of_ska.csv
0.525,0.865,6,-6.013,0,0.0427,0.0106,0.000379,0.096,0.617,152.958,audio_features,7D823Ok1jHreqNkVwic81R,spotify:track:7D823Ok1jHreqNkVwic81R,https://api.spotify.com/v1/tracks/7D823Ok1jHreqNkVwic81R,https://api.spotify.com/v1/audio-analysis/7D823Ok1jHreqNkVwic81R,280294,4,best_of_ska.csv
0.664,0.765,10,-9.454,0,0.0507,0.0493,0.333,0.113,0.907,73.676,audio_features,6ewN9MaFbi78oDLT9wYDgn,spotify:track:6ewN9MaFbi78oDLT9wYDgn,https://api.spotify.com/v1/tracks/6ewN9MaFbi78oDLT9wYDgn,https://api.spotify.com/v1/audio-analysis/6ewN9MaFbi78oDLT9wYDgn,219307,4,best_of_ska.csv
0.62,0.787,9,-6.436,1,0.0434,0.0706,0.00183,0.268,0.74,173.087,audio_features,6HetWMoIuWJpTRuhk82x5U,spotify:track:6HetWMoIuWJpTRuhk82x5U,https://api.spotify.com/v1/tracks/6HetWMoIuWJpTRuhk82x5U,https://api.spotify.com/v1/audio-analysis/6HetWMoIuWJpTRuhk82x5U,213217,4,best_of_ska.csv
0.546,0.65,4,-17.176,1,0.0535,0.0447,0.000659,0.117,0.725,90.67,audio_features,3a3EDrWejkryzeGFkPypOR,spotify:track:3a3EDrWejkryzeGFkPypOR,https://api.spotify.com/v1/tracks/3a3EDrWejkryzeGFkPypOR,https://api.spotify.com/v1/audio-analysis/3a3EDrWejkryzeGFkPypOR,195195,4,best_of_ska.csv
0.705,0.728,7,-7.233,0,0.0475,0.0581,0.0,0.241,0.725,123.802,audio_features,2VOPWmLCCfSKDtxiQBxKsx,spotify:track:2VOPWmLCCfSKDtxiQBxKsx,https://api.spotify.com/v1/tracks/2VOPWmLCCfSKDtxiQBxKsx,https://api.spotify.com/v1/audio-analysis/2VOPWmLCCfSKDtxiQBxKsx,267347,4,best_of_ska.csv
0.69,0.681,9,-5.653,1,0.0379,0.0623,0.0,0.137,0.911,75.034,audio_features,2PdIo7ewQPuAsP99LVg9uy,spotify:track:2PdIo7ewQPuAsP99LVg9uy,https://api.spotify.com/v1/tracks/2PdIo7ewQPuAsP99LVg9uy,https://api.spotify.com/v1/audio-analysis/2PdIo7ewQPuAsP99LVg9uy,136147,4,best_of_ska.csv
0.724,0.622,8,-5.907,0,0.031,0.0333,0.00738,0.295,0.837,97.999,audio_features,1xI1flFEJ1M2h5SxeqfNdV,spotify:track:1xI1flFEJ1M2h5SxeqfNdV,https://api.spotify.com/v1/tracks/1xI1flFEJ1M2h5SxeqfNdV,https://api.spotify.com/v1/audio-analysis/1xI1flFEJ1M2h5SxeqfNdV,226941,4,best_of_ska.csv
