danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.592,0.355,9,-14.051,1,0.0352,0.478,0.0,0.0585,0.499,133.032,audio_features,3NfxSdJnVdon1axzloJgba,spotify:track:3NfxSdJnVdon1axzloJgba,https://api.spotify.com/v1/tracks/3NfxSdJnVdon1axzloJgba,https://api.spotify.com/v1/audio-analysis/3NfxSdJnVdon1axzloJgba,216773,4,best_of_soul.csv
0.683,0.525,8,-9.656,1,0.0436,0.138,0.00482,0.105,0.678,120.585,audio_features,5lsycQ7w61ZCXpE7Edhi3v,spotify:track:5lsycQ7w61ZCXpE7Edhi3v,https://api.spotify.com/v1/tracks/5lsycQ7w61ZCXpE7Edhi3v,https://api.spotify.com/v1/audio-analysis/5lsycQ7w61ZCXpE7Edhi3v,314227,4,best_of_soul.csv
0.832,0.553,7,-13.705,1,0.0487,0.0422,0.00356,0.249,0.89,119.825,audio_features,6Lphpr9Z6H282Sguw0dUWa,spotify:track:6Lphpr9Z6H282Sguw0dUWa,https://api.spotify.com/v1/tracks/6Lphpr9Z6H282Sguw0dUWa,https://api.spotify.com/v1/audio-analysis/6Lphpr9Z6H282Sguw0dUWa,215693,4,best_of_soul.csv
0.415,0.305,4,-12.833,1,0.031,0.337,0.000172,0.208,0.434,76.743,audio_features,3lv9TUA15PFRHtMaPhjKKj,spotify:track:3lv9TUA15PFRHtMaPhjKKj,https://api.spotify.com/v1/tracks/3lv9TUA15PFRHtMaPhjKKj,https://api.spotify.com/v1/audio-analysis/3lv9TUA15PFRHtMaPhjKKj,210133,4,best_of_soul.csv
0.658,0.756,10,-8.751,0,0.0456,0.0904,0.00747,0.188,0.811,107.415,audio_features,4CWUGKyUi4aJOq7tF6HAIF,spotify:track:4CWUGKyUi4aJOq7tF6HAIF,https://api.spotify.com/v1/tracks/4CWUGKyUi4aJOq7tF6HAIF,https://api.spotify.com/v1/audio-analysis/4CWUGKyUi4aJOq7tF6HAIF,256613,4,best_of_soul.csv
0.86,0.498,3,-9.026,1,0.0415,0.641,0.000964,0.31,0.963,105.693,audio_features,61xW0GqeX38uF0elO3jjql,spotify:track:61xW0GqeX38uF0elO3jjql,https://api.spotify.com/v1/tracks/61xW0GqeX38uF0elO3jjql,https://api.spotify.com/v1/audio-analysis/61xW0GqeX38uF0elO3jjql,210280,4,best_of_soul.csv
0.835,0.765,1,-7.831,1,0.0681,0.475,0.0692,0.12,0.855,110.282,audio_features,5gaUkg5JNk8c4mr2jnpX8H,spotify:track:5gaUkg5JNk8c4mr2jnpX8H,https://api.spotify.com/v1/tracks/5gaUkg5JNk8c4mr2jnpX8H,https://api.spotify.com/v1/audio-analysis/5gaUkg5JNk8c4mr2jnpX8H,301026,4,best_of_soul.csv
0.865,0.652,5,-9.046,1,0.143,0.566,0.000919,0.0833,0.829,90.081,audio_features,6uqTETWok9npbL4c9cuLVh,spotify:track:6uqTETWok9npbL4c9cuLVh,https://api.spotify.com/v1/tracks/6uqTETWok9npbL4c9cuLVh,https://api.spotify.com/v1/audio-analysis/6uqTETWok9npbL4c9cuLVh,169533,4,best_of_soul.csv
0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621,audio_features,3zBhihYUHBmGd2bcQIobrF,spotify:track:3zBhihYUHBmGd2bcQIobrF,https://api.spotify.com/v1/tracks/3zBhihYUHBmGd2bcQIobrF,https://api.spotify.com/v1/audio-analysis/3zBhihYUHBmGd2bcQIobrF,163756,4,best_of_soul.csv
0.721,0.567,10,-9.516,1,0.0389,0.221,0.0,0.465,0.914,116.643,audio_features,2oZmMp5M6L0Rh7G84Um2tF,spotify:track:2oZmMp5M6L0Rh7G84Um2tF,https://api.spotify.com/v1/tracks/2oZmMp5M6L0Rh7G84Um2tF,https://api.spotify.com/v1/audio-analysis/2oZmMp5M6L0Rh7G84Um2tF,167067,4,best_of_soul.csv
