danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.626,0.707,0,-7.333,1,0.0269,0.00113,0.00254,0.222,0.377,113.994,audio_features,4PMmwowVLOajPdiKnrU1vK,spotify:track:4PMmwowVLOajPdiKnrU1vK,https://api.spotify.com/v1/tracks/4PMmwowVLOajPdiKnrU1vK,https://api.spotify.com/v1/audio-analysis/4PMmwowVLOajPdiKnrU1vK,326521,4,best_of_synthwave.csv
0.506,0.871,8,-4.091,1,0.0313,0.00499,9.15e-06,0.127,0.382,129.98,audio_features,3lS99gJJAWuxKxQfXArvvx,spotify:track:3lS99gJJAWuxKxQfXArvvx,https://api.spotify.com/v1/tracks/3lS99gJJAWuxKxQfXArvvx,https://api.spotify.com/v1/audio-analysis/3lS99gJJAWuxKxQfXArvvx,232846,4,best_of_synthwave.csv
0.569,0.844,9,-5.511,0,0.0297,0.105,3.56e-05,0.0909,0.53,125.013,audio_features,0d3O2HCMzSblmSsWd9Lgh2,spotify:track:0d3O2HCMzSblmSsWd9Lgh2,https://api.spotify.com/v1/tracks/0d3O2HCMzSblmSsWd9Lgh2,https://api.spotify.com/v1/audio-analysis/0d3O2HCMzSblmSsWd9Lgh2,349507,4,best_of_synthwave.csv
0.708,0.863,0,-5.954,1,0.03,0.00255,0.0103,0.179,0.961,125.012,audio_features,55ACS6JsMV0OXSaLswoIEw,spotify:track:55ACS6JsMV0OXSaLswoIEw,https://api.spotify.com/v1/tracks/55ACS6JsMV0OXSaLswoIEw,https://api.spotify.com/v1/audio-analysis/55ACS6JsMV0OXSaLswoIEw,209280,4,best_of_synthwave.csv
0.583,0.647,5,-8.517,1,0.0341,0.0184,0.0262,0.0833,0.24,110.02,audio_features,6Nk98O5xKc1pMavB4aPIy6,spotify:track:6Nk98O5xKc1pMavB4aPIy6,https://api.spotify.com/v1/tracks/6Nk98O5xKc1pMavB4aPIy6,https://api.spotify.com/v1/audio-analysis/6Nk98O5xKc1pMavB4aPIy6,273818,4,best_of_synthwave.csv
0.475,0.683,9,-6.387,1,0.0326,0.0877,0.0,0.115,0.111,90.044,audio_features,3peTrZjg0aSPa1wXwaeNFo,spotify:track:3peTrZjg0aSPa1wXwaeNFo,https://api.spotify.com/v1/tracks/3peTrZjg0aSPa1wXwaeNFo,https://api.spotify.com/v1/audio-analysis/3peTrZjg0aSPa1wXwaeNFo,206333,4,best_of_synthwave.csv
0.531,0.782,5,-5.812,1,0.0459,0.00599,0.000267,0.152,0.472,129.941,audio_features,5UqvhEIhVrnT4mTYFfEjhP,spotify:track:5UqvhEIhVrnT4mTYFfEjhP,https://api.spotify.com/v1/tracks/5UqvhEIhVrnT4mTYFfEjhP,https://api.spotify.com/v1/audio-analysis/5UqvhEIhVrnT4mTYFfEjhP,255253,4,best_of_synthwave.csv
0.404,0.743,1,-10.083,1,0.0339,0.00451,0.0402,0.172,0.523,168.009,audio_features,2U9xilwDVbl5upU99insIn,spotify:track:2U9xilwDVbl5upU99insIn,https://api.spotify.com/v1/tracks/2U9xilwDVbl5upU99insIn,https://api.spotify.com/v1/audio-analysis/2U9xilwDVbl5upU99insIn,286041,4,best_of_synthwave.csv
0.585,0.779,6,-7.012,1,0.0291,0.00875,0.000468,0.0608,0.677,123.997,audio_features,2vLT61EGvTsl0MSuTznbP7,spotify:track:2vLT61EGvTsl0MSuTznbP7,https://api.spotify.com/v1/tracks/2vLT61EGvTsl0MSuTznbP7,https://api.spotify.com/v1/audio-analysis/2vLT61EGvTsl0MSuTznbP7,307734,4,best_of_synthwave.csv
0.491,0.762,4,-6.62,0,0.0307,0.000626,0.00954,0.109,0.0743,125.977,audio_features,3MZUkmgyud2Q3omp4FVIBE,spotify:track:3MZUkmgyud2Q3omp4FVIBE,https://api.spotify.com/v1/tracks/3MZUkmgyud2Q3omp4FVIBE,https://api.spotify.com/v1/audio-analysis/3MZUkmgyud2Q3omp4FVIBE,297143,4,best_of_synthwave.csv
0.528,0.897,3,-5.034,1,0.0389,0.000297,0.104,0.109,0.0688,95.017,audio_features,0rZ25sw5NLyAVUNePGrbSH,spotify:track:0rZ25sw5NLyAVUNePGrbSH,https://api.spotify.com/v1/tracks/0rZ25sw5NLyAVUNePGrbSH,https://api.spotify.com/v1/audio-analysis/0rZ25sw5NLyAVUNePGrbSH,308210,4,best_of_synthwave.csv
0.529,0.706,5,-8.724,0,0.0399,0.000543,0.0274,0.14,0.48,121.977,audio_features,0b37q3gES2jYdXcJhsqWf9,spotify:track:0b37q3gES2jYdXcJhsqWf9,https://api.spotify.com/v1/tracks/0b37q3gES2jYdXcJhsqWf9,https://api.spotify.com/v1/audio-analysis/0b37q3gES2jYdXcJhsqWf9,268653,4,best_of_synthwave.csv
0.465,0.659,6,-7.963,1,0.0345,0.0478,0.0169,0.0806,0.278,94.984,audio_features,2I9xqWbXuniLAL2UdlzhT7,spotify:track:2I9xqWbXuniLAL2UdlzhT7,https://api.spotify.com/v1/tracks/2I9xqWbXuniLAL2UdlzhT7,https://api.spotify.com/v1/audio-analysis/2I9xqWbXuniLAL2UdlzhT7,247579,4,best_of_synthwave.csv
0.668,0.61,10,-8.668,1,0.0233,0.0547,0.489,0.312,0.211,107.002,audio_features,45kjQR14aIKLgA8j6sIGIM,spotify:track:45kjQR14aIKLgA8j6sIGIM,https://api.spotify.com/v1/tracks/45kjQR14aIKLgA8j6sIGIM,https://api.spotify.com/v1/audio-analysis/45kjQR14aIKLgA8j6sIGIM,260261,4,best_of_synthwave.csv
0.346,0.93,0,-6.565,1,0.0413,0.00342,0.0961,0.143,0.188,180.043,audio_features,3ql9pbNNbAmGcA9EmdirgE,spotify:track:3ql9pbNNbAmGcA9EmdirgE,https://api.spotify.com/v1/tracks/3ql9pbNNbAmGcA9EmdirgE,https://api.spotify.com/v1/audio-analysis/3ql9pbNNbAmGcA9EmdirgE,278000,4,best_of_synthwave.csv
0.564,0.4,9,-11.391,1,0.0348,0.2,0.554,0.131,0.191,99.972,audio_features,5po5tBY5thMSZb1Z0bFqFc,spotify:track:5po5tBY5thMSZb1Z0bFqFc,https://api.spotify.com/v1/tracks/5po5tBY5thMSZb1Z0bFqFc,https://api.spotify.com/v1/audio-analysis/5po5tBY5thMSZb1Z0bFqFc,213422,4,best_of_synthwave.csv
