danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,audio_features,7GX5flRQZVHRAGd6B4TmDO,spotify:track:7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO,182707,4,best_of_trap.csv
0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,audio_features,0VgkVdmE4gld66l8iyGjgx,spotify:track:0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,204600,4,best_of_trap.csv
0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,audio_features,6gBFPUFcJLzWGx4lenP6h2,spotify:track:6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,243837,4,best_of_trap.csv
0.793,0.524,8,-7.827,1,0.156,0.0319,0.0,0.156,0.579,86.325,audio_features,5DI9jxTHrEiFAhStG7VA8E,spotify:track:5DI9jxTHrEiFAhStG7VA8E,https://api.spotify.com/v1/tracks/5DI9jxTHrEiFAhStG7VA8E,https://api.spotify.com/v1/audio-analysis/5DI9jxTHrEiFAhStG7VA8E,174133,4,best_of_trap.csv
0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,audio_features,0yhMmqax6HRAZxI7udEask,spotify:track:0yhMmqax6HRAZxI7udEask,https://api.spotify.com/v1/tracks/0yhMmqax6HRAZxI7udEask,https://api.spotify.com/v1/audio-analysis/0yhMmqax6HRAZxI7udEask,310720,4,best_of_trap.csv
0.716,0.485,1,-7.745,1,0.404,0.123,2.69e-05,0.604,0.26,74.132,audio_features,3VYzbU22BooAROigHHwycs,spotify:track:3VYzbU22BooAROigHHwycs,https://api.spotify.com/v1/tracks/3VYzbU22BooAROigHHwycs,https://api.spotify.com/v1/audio-analysis/3VYzbU22BooAROigHHwycs,313787,4,best_of_trap.csv
0.608,0.45,0,-12.683,1,0.105,0.366,0.000327,0.195,0.132,149.981,audio_features,5eNXKNIsUkjgL2pBr4OaAJ,spotify:track:5eNXKNIsUkjgL2pBr4OaAJ,https://api.spotify.com/v1/tracks/5eNXKNIsUkjgL2pBr4OaAJ,https://api.spotify.com/v1/audio-analysis/5eNXKNIsUkjgL2pBr4OaAJ,179149,4,best_of_trap.csv
0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,audio_features,1wHZx0LgzFHyeIZkUydNXq,spotify:track:1wHZx0LgzFHyeIZkUydNXq,https://api.spotify.com/v1/tracks/1wHZx0LgzFHyeIZkUydNXq,https://api.spotify.com/v1/audio-analysis/1wHZx0LgzFHyeIZkUydNXq,262693,4,best_of_trap.csv
0.747,0.571,11,-7.916,1,0.478,0.38,0.0,0.534,0.553,172.104,audio_features,79XrkTOfV1AqySNjVlygpW,spotify:track:79XrkTOfV1AqySNjVlygpW,https://api.spotify.com/v1/tracks/79XrkTOfV1AqySNjVlygpW,https://api.spotify.com/v1/audio-analysis/79XrkTOfV1AqySNjVlygpW,181933,4,best_of_trap.csv
0.779,0.448,11,-14.17,0,0.167,0.268,0.0,0.424,0.783,142.045,audio_features,39SkkcZWdAtvxaIP2lLpUE,spotify:track:39SkkcZWdAtvxaIP2lLpUE,https://api.spotify.com/v1/tracks/39SkkcZWdAtvxaIP2lLpUE,https://api.spotify.com/v1/audio-analysis/39SkkcZWdAtvxaIP2lLpUE,150420,4,best_of_trap.csv
0.926,0.666,11,-5.314,1,0.244,0.0611,0.0,0.123,0.168,127.079,audio_features,0M9ydKzuF3oZTfYYPfaGX1,spotify:track:0M9ydKzuF3oZTfYYPfaGX1,https://api.spotify.com/v1/tracks/0M9ydKzuF3oZTfYYPfaGX1,https://api.spotify.com/v1/audio-analysis/0M9ydKzuF3oZTfYYPfaGX1,343150,4,best_of_trap.csv
0.679,0.324,0,-15.503,1,0.119,0.462,6.84e-06,0.681,0.138,89.997,audio_features,1Jvl7hgWFeX3zBApIRHNgN,spotify:track:1Jvl7hgWFeX3zBApIRHNgN,https://api.spotify.com/v1/tracks/1Jvl7hgWFeX3zBApIRHNgN,https://api.spotify.com/v1/audio-analysis/1Jvl7hgWFeX3zBApIRHNgN,355541,4,best_of_trap.csv
0.823,0.375,9,-16.978,0,0.292,0.278,0.00974,0.0735,0.302,75.019,audio_features,5tH83RQsUMeQHRQmb6pnsl,spotify:track:5tH83RQsUMeQHRQmb6pnsl,https://api.spotify.com/v1/tracks/5tH83RQsUMeQHRQmb6pnsl,https://api.spotify.com/v1/audio-analysis/5tH83RQsUMeQHRQmb6pnsl,222800,4,best_of_trap.csv
0.794,0.632,0,-6.163,1,0.0649,0.142,0.0,0.128,0.355,145.926,audio_features,6fujklziTHa8uoM5OQSfIo,spotify:track:6fujklziTHa8uoM5OQSfIo,https://api.spotify.com/v1/tracks/6fujklziTHa8uoM5OQSfIo,https://api.spotify.com/v1/audio-analysis/6fujklziTHa8uoM5OQSfIo,291893,4,best_of_trap.csv
0.801,0.311,7,-17.446,1,0.0985,0.719,0.0576,0.0836,0.137,124.016,audio_features,6QcEHBNGspUzMKVMSTVg3G,spotify:track:6QcEHBNGspUzMKVMSTVg3G,https://api.spotify.com/v1/tracks/6QcEHBNGspUzMKVMSTVg3G,https://api.spotify.com/v1/audio-analysis/6QcEHBNGspUzMKVMSTVg3G,358306,4,best_of_trap.csv
0.78,0.575,1,-5.628,0,0.139,0.106,0.0,0.129,0.273,81.502,audio_features,0SGkqnVQo9KPytSri1H6cF,spotify:track:0SGkqnVQo9KPytSri1H6cF,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,https://api.spotify.com/v1/audio-analysis/0SGkqnVQo9KPytSri1H6cF,222360,4,best_of_trap.csv
0.576,0.766,10,-4.943,0,0.449,0.028,1.68e-06,0.366,0.236,144.833,audio_features,5YEOzOojehCqxGQCcQiyR4,spotify:track:5YEOzOojehCqxGQCcQiyR4,https://api.spotify.com/v1/tracks/5YEOzOojehCqxGQCcQiyR4,https://api.spotify.com/v1/audio-analysis/5YEOzOojehCqxGQCcQiyR4,246761,4,best_of_trap.csv
0.926,0.422,8,-11.295,1,0.111,0.0611,0.00284,0.0831,0.126,115.997,audio_features,0UEoVK4I4ptBzXIXmUeHRG,spotify:track:0UEoVK4I4ptBzXIXmUeHRG,https://api.spotify.com/v1/tracks/0UEoVK4I4ptBzXIXmUeHRG,https://api.spotify.com/v1/audio-analysis/0UEoVK4I4ptBzXIXmUeHRG,237209,4,best_of_trap.csv
0.824,0.733,1,-5.474,1,0.0613,0.0362,0.0,0.325,0.395,97.972,audio_features,7FYH5AW3bVfZHJIQpq3UOA,spotify:track:7FYH5AW3bVfZHJIQpq3UOA,https://api.spotify.com/v1/tracks/7FYH5AW3bVfZHJIQpq3UOA,https://api.spotify.com/v1/audio-analysis/7FYH5AW3bVfZHJIQpq3UOA,284387,4,best_of_trap.csv
