danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.669,0.694,10,-9.546,0,0.0426,0.191,0.826,0.269,0.205,89.902,audio_features,6qcsUJIHJE9VNLtJAS7V1n,spotify:track:6qcsUJIHJE9VNLtJAS7V1n,https://api.spotify.com/v1/tracks/6qcsUJIHJE9VNLtJAS7V1n,https://api.spotify.com/v1/audio-analysis/6qcsUJIHJE9VNLtJAS7V1n,445560,4,best_of_trip_hop.csv
0.841,0.854,1,-12.368,0,0.0578,0.00029,0.919,0.0575,0.41,94.958,audio_features,104q4jNsYaZCG1avo1Y9JI,spotify:track:104q4jNsYaZCG1avo1Y9JI,https://api.spotify.com/v1/tracks/104q4jNsYaZCG1avo1Y9JI,https://api.spotify.com/v1/audio-analysis/104q4jNsYaZCG1avo1Y9JI,379600,4,best_of_trip_hop.csv
0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,audio_features,67Hna13dNDkZvBpTXRIaOJ,spotify:track:67Hna13dNDkZvBpTXRIaOJ,https://api.spotify.com/v1/tracks/67Hna13dNDkZvBpTXRIaOJ,https://api.spotify.com/v1/audio-analysis/67Hna13dNDkZvBpTXRIaOJ,330773,4,best_of_trip_hop.csv
0.845,0.595,11,-9.522,0,0.292,0.0836,0.385,0.34,0.805,159.836,audio_features,0S4oXreSfLxymoK2rRsT6I,spotify:track:0S4oXreSfLxymoK2rRsT6I,https://api.spotify.com/v1/tracks/0S4oXreSfLxymoK2rRsT6I,https://api.spotify.com/v1/audio-analysis/0S4oXreSfLxymoK2rRsT6I,395867,4,best_of_trip_hop.csv
0.855,0.496,5,-10.572,1,0.0824,0.0778,0.451,0.12,0.947,95.494,audio_features,4tVhBXOhSlqYCL2IjyoUNu,spotify:track:4tVhBXOhSlqYCL2IjyoUNu,https://api.spotify.com/v1/tracks/4tVhBXOhSlqYCL2IjyoUNu,https://api.spotify.com/v1/audio-analysis/4tVhBXOhSlqYCL2IjyoUNu,261827,4,best_of_trip_hop.csv
0.821,0.354,10,-9.917,0,0.0691,0.0955,0.33,0.544,0.627,85.011,audio_features,7fLYbSf0aSDIqdodWuLgUS,spotify:track:7fLYbSf0aSDIqdodWuLgUS,https://api.spotify.com/v1/tracks/7fLYbSf0aSDIqdodWuLgUS,https://api.spotify.com/v1/audio-analysis/7fLYbSf0aSDIqdodWuLgUS,368728,4,best_of_trip_hop.csv
0.713,0.461,1,-12.782,1,0.0439,0.0111,0.706,0.218,0.244,95.913,audio_features,7wULNOKU99VregJA264okG,spotify:track:7wULNOKU99VregJA264okG,https://api.spotify.com/v1/tracks/7wULNOKU99VregJA264okG,https://api.spotify.com/v1/audio-analysis/7wULNOKU99VregJA264okG,285933,4,best_of_trip_hop.csv
0.799,0.729,4,-6.143,0,0.0731,0.446,0.000324,0.103,0.848,137.98,audio_features,6a0NIzMJ2ph8koRovXjeQI,spotify:track:6a0NIzMJ2ph8koRovXjeQI,https://api.spotify.com/v1/tracks/6a0NIzMJ2ph8koRovXjeQI,https://api.spotify.com/v1/audio-analysis/6a0NIzMJ2ph8koRovXjeQI,256600,4,best_of_trip_hop.csv
0.813,0.596,2,-13.035,1,0.226,0.412,0.765,0.0965,0.77,82.266,audio_features,0EZwXw5ZG0RSnrpzYHLkX1,spotify:track:0EZwXw5ZG0RSnrpzYHLkX1,https://api.spotify.com/v1/tracks/0EZwXw5ZG0RSnrpzYHLkX1,https://api.spotify.com/v1/audio-analysis/0EZwXw5ZG0RSnrpzYHLkX1,269267,4,best_of_trip_hop.csv
0.595,0.557,2,-11.903,0,0.0912,0.351,0.81,0.0468,0.396,179.798,audio_features,4NsBEdmbgu9u8cH21ycyBv,spotify:track:4NsBEdmbgu9u8cH21ycyBv,https://api.spotify.com/v1/tracks/4NsBEdmbgu9u8cH21ycyBv,https://api.spotify.com/v1/audio-analysis/4NsBEdmbgu9u8cH21ycyBv,359600,4,best_of_trip_hop.csv
0.638,0.648,10,-8.409,0,0.0404,0.184,0.657,0.115,0.96,90.026,audio_features,6MHCHK92gmaAzdEqoXmfam,spotify:track:6MHCHK92gmaAzdEqoXmfam,https://api.spotify.com/v1/tracks/6MHCHK92gmaAzdEqoXmfam,https://api.spotify.com/v1/audio-analysis/6MHCHK92gmaAzdEqoXmfam,366867,4,best_of_trip_hop.csv
0.587,0.678,1,-8.651,0,0.0524,0.0319,0.16,0.116,0.429,169.947,audio_features,3UtGz5qWgIv4jJNYGvAvdB,spotify:track:3UtGz5qWgIv4jJNYGvAvdB,https://api.spotify.com/v1/tracks/3UtGz5qWgIv4jJNYGvAvdB,https://api.spotify.com/v1/audio-analysis/3UtGz5qWgIv4jJNYGvAvdB,228840,4,best_of_trip_hop.csv
0.573,0.54,10,-12.315,1,0.16,0.327,0.00404,0.162,0.507,119.806,audio_features,04hr5vtWbtWaN0qehBfBCL,spotify:track:04hr5vtWbtWaN0qehBfBCL,https://api.spotify.com/v1/tracks/04hr5vtWbtWaN0qehBfBCL,https://api.spotify.com/v1/audio-analysis/04hr5vtWbtWaN0qehBfBCL,226960,4,best_of_trip_hop.csv
0.628,0.625,5,-9.224,0,0.0465,0.0758,0.645,0.48,0.148,172.154,audio_features,1GaYqv2NMMlVbG3ewJQ4A6,spotify:track:1GaYqv2NMMlVbG3ewJQ4A6,https://api.spotify.com/v1/tracks/1GaYqv2NMMlVbG3ewJQ4A6,https://api.spotify.com/v1/audio-analysis/1GaYqv2NMMlVbG3ewJQ4A6,332760,4,best_of_trip_hop.csv
0.728,0.794,7,-11.277,1,0.12,4.61e-05,0.344,0.278,0.431,99.919,audio_features,7JfRAOsaYKPiBBi1ibzSK3,spotify:track:7JfRAOsaYKPiBBi1ibzSK3,https://api.spotify.com/v1/tracks/7JfRAOsaYKPiBBi1ibzSK3,https://api.spotify.com/v1/audio-analysis/7JfRAOsaYKPiBBi1ibzSK3,333667,4,best_of_trip_hop.csv
0.708,0.642,8,-10.918,0,0.0833,0.0986,0.288,0.0923,0.821,94.149,audio_features,44ZVjpEvhtAM74LE3ZskAX,spotify:track:44ZVjpEvhtAM74LE3ZskAX,https://api.spotify.com/v1/tracks/44ZVjpEvhtAM74LE3ZskAX,https://api.spotify.com/v1/audio-analysis/44ZVjpEvhtAM74LE3ZskAX,349560,4,best_of_trip_hop.csv
0.783,0.411,8,-19.591,0,0.087,0.0973,0.697,0.0599,0.85,100.897,audio_features,0oP2XkRvW12u8gCxpBfVVU,spotify:track:0oP2XkRvW12u8gCxpBfVVU,https://api.spotify.com/v1/tracks/0oP2XkRvW12u8gCxpBfVVU,https://api.spotify.com/v1/audio-analysis/0oP2XkRvW12u8gCxpBfVVU,386267,4,best_of_trip_hop.csv
