danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.635,0.911,0,-6.607,1,0.0347,0.81,2.66e-05,0.147,0.877,82.006,audio_features,4UP2cLNgUjPzCHKS92pp2U,spotify:track:4UP2cLNgUjPzCHKS92pp2U,https://api.spotify.com/v1/tracks/4UP2cLNgUjPzCHKS92pp2U,https://api.spotify.com/v1/audio-analysis/4UP2cLNgUjPzCHKS92pp2U,259107,4,best_of_world.csv
0.635,0.487,1,-8.674,0,0.0514,0.676,0.0,0.11,0.701,80.057,audio_features,1bhld9Fgp9UClF0xHCPFpB,spotify:track:1bhld9Fgp9UClF0xHCPFpB,https://api.spotify.com/v1/tracks/1bhld9Fgp9UClF0xHCPFpB,https://api.spotify.com/v1/audio-analysis/1bhld9Fgp9UClF0xHCPFpB,442547,4,best_of_world.csv
0.551,0.488,4,-11.583,0,0.0321,0.804,0.0,0.264,0.855,156.152,audio_features,3TPr2Em1i454nDS8UJbaFW,spotify:track:3TPr2Em1i454nDS8UJbaFW,https://api.spotify.com/v1/tracks/3TPr2Em1i454nDS8UJbaFW,https://api.spotify.com/v1/audio-analysis/3TPr2Em1i454nDS8UJbaFW,224507,4,best_of_world.csv
0.721,0.435,10,-9.476,1,0.0438,0.872,0.000104,0.108,0.944,116.865,audio_features,795HmjjJWGQUMfL3foScIr,spotify:track:795HmjjJWGQUMfL3foScIr,https://api.spotify.com/v1/tracks/795HmjjJWGQUMfL3foScIr,https://api.spotify.com/v1/audio-analysis/795HmjjJWGQUMfL3foScIr,124055,4,best_of_world.csv
0.725,0.266,2,-15.384,1,0.0403,0.828,0.000531,0.303,0.617,86.727,audio_features,5zWd3igj3YbzlrWPLMzgqZ,spotify:track:5zWd3igj3YbzlrWPLMzgqZ,https://api.spotify.com/v1/tracks/5zWd3igj3YbzlrWPLMzgqZ,https://api.spotify.com/v1/audio-analysis/5zWd3igj3YbzlrWPLMzgqZ,523453,4,best_of_world.csv
0.481,0.0422,9,-20.427,0,0.0351,0.982,0.00434,0.0877,0.447,110.456,audio_features,2mWhsRPJT8r5BVY8GbOJsN,spotify:track:2mWhsRPJT8r5BVY8GbOJsN,https://api.spotify.com/v1/tracks/2mWhsRPJT8r5BVY8GbOJsN,https://api.spotify.com/v1/audio-analysis/2mWhsRPJT8r5BVY8GbOJsN,337160,3,best_of_world.csv
0.824,0.39,4,-10.565,0,0.133,0.365,0.717,0.104,0.688,108.325,audio_features,71nsM1z5YtkwjoxKxeslWF,spotify:track:71nsM1z5YtkwjoxKxeslWF,https://api.spotify.com/v1/tracks/71nsM1z5YtkwjoxKxeslWF,https://api.spotify.com/v1/audio-analysis/71nsM1z5YtkwjoxKxeslWF,187787,4,best_of_world.csv
0.546,0.136,5,-21.089,1,0.0324,0.82,0.465,0.112,0.297,94.781,audio_features,2F9aMslwYQurvgv7DGS7S5,spotify:track:2F9aMslwYQurvgv7DGS7S5,https://api.spotify.com/v1/tracks/2F9aMslwYQurvgv7DGS7S5,https://api.spotify.com/v1/audio-analysis/2F9aMslwYQurvgv7DGS7S5,300307,4,best_of_world.csv
0.349,0.44,5,-13.135,0,0.0422,0.528,0.866,0.111,0.31,169.356,audio_features,7dHowm9WlK1gOuEuM0bd7m,spotify:track:7dHowm9WlK1gOuEuM0bd7m,https://api.spotify.com/v1/tracks/7dHowm9WlK1gOuEuM0bd7m,https://api.spotify.com/v1/audio-analysis/7dHowm9WlK1gOuEuM0bd7m,492320,4,best_of_world.csv
0.823,0.8,8,-7.198,1,0.0419,0.614,0.0,0.0934,0.969,126.315,audio_features,1BLXxFPDL2BT37nHKD7KrA,spotify:track:1BLXxFPDL2BT37nHKD7KrA,https://api.spotify.com/v1/tracks/1BLXxFPDL2BT37nHKD7KrA,https://api.spotify.com/v1/audio-analysis/1BLXxFPDL2BT37nHKD7KrA,180174,4,best_of_world.csv
0.607,0.415,2,-13.883,0,0.0356,0.799,0.0215,0.387,0.373,121.101,audio_features,3mnSq0DGKWTZcU3ccymC79,spotify:track:3mnSq0DGKWTZcU3ccymC79,https://api.spotify.com/v1/tracks/3mnSq0DGKWTZcU3ccymC79,https://api.spotify.com/v1/audio-analysis/3mnSq0DGKWTZcU3ccymC79,255360,4,best_of_world.csv
0.731,0.591,7,-7.232,1,0.0255,0.815,0.00999,0.208,0.415,108.998,audio_features,0Jt2HSGLDJmUje0kIkq5hj,spotify:track:0Jt2HSGLDJmUje0kIkq5hj,https://api.spotify.com/v1/tracks/0Jt2HSGLDJmUje0kIkq5hj,https://api.spotify.com/v1/audio-analysis/0Jt2HSGLDJmUje0kIkq5hj,131133,4,best_of_world.csv
0.623,0.359,9,-9.93,0,0.173,0.436,0.0,0.165,0.3,106.043,audio_features,1AScQHvOOjfz5U1JOc9wrx,spotify:track:1AScQHvOOjfz5U1JOc9wrx,https://api.spotify.com/v1/tracks/1AScQHvOOjfz5U1JOc9wrx,https://api.spotify.com/v1/audio-analysis/1AScQHvOOjfz5U1JOc9wrx,186662,4,best_of_world.csv
0.77,0.47,8,-12.034,1,0.0479,0.687,1.02e-05,0.0533,0.867,105.794,audio_features,52vMWINBrhwuTaTg1tTVLa,spotify:track:52vMWINBrhwuTaTg1tTVLa,https://api.spotify.com/v1/tracks/52vMWINBrhwuTaTg1tTVLa,https://api.spotify.com/v1/audio-analysis/52vMWINBrhwuTaTg1tTVLa,270267,4,best_of_world.csv
0.512,0.298,5,-14.151,0,0.123,0.737,1.29e-06,0.12,0.488,98.286,audio_features,2sOFev055yiH02kfz7gkoN,spotify:track:2sOFev055yiH02kfz7gkoN,https://api.spotify.com/v1/tracks/2sOFev055yiH02kfz7gkoN,https://api.spotify.com/v1/audio-analysis/2sOFev055yiH02kfz7gkoN,144333,4,best_of_world.csv
0.604,0.579,5,-8.3,0,0.045,0.474,8.9e-06,0.531,0.793,75.942,audio_features,59hH7GJFrSd5v9FwgSZEw8,spotify:track:59hH7GJFrSd5v9FwgSZEw8,https://api.spotify.com/v1/tracks/59hH7GJFrSd5v9FwgSZEw8,https://api.spotify.com/v1/audio-analysis/59hH7GJFrSd5v9FwgSZEw8,277013,4,best_of_world.csv
0.702,0.269,10,-15.172,0,0.0365,0.626,0.0406,0.125,0.397,99.747,audio_features,05CF4ATpqROLTQVYABNZ3W,spotify:track:05CF4ATpqROLTQVYABNZ3W,https://api.spotify.com/v1/tracks/05CF4ATpqROLTQVYABNZ3W,https://api.spotify.com/v1/audio-analysis/05CF4ATpqROLTQVYABNZ3W,386973,4,best_of_world.csv
0.584,0.339,11,-11.25,0,0.079,0.779,0.879,0.0864,0.275,129.096,audio_features,5FU96SFEwMyiKnLsPhoNuh,spotify:track:5FU96SFEwMyiKnLsPhoNuh,https://api.spotify.com/v1/tracks/5FU96SFEwMyiKnLsPhoNuh,https://api.spotify.com/v1/audio-analysis/5FU96SFEwMyiKnLsPhoNuh,296853,4,best_of_world.csv
0.804,0.54,1,-7.788,1,0.0558,0.466,0.000549,0.348,0.902,164.963,audio_features,2Nu7LrhiXlYZn3acB4bWGq,spotify:track:2Nu7LrhiXlYZn3acB4bWGq,https://api.spotify.com/v1/tracks/2Nu7LrhiXlYZn3acB4bWGq,https://api.spotify.com/v1/audio-analysis/2Nu7LrhiXlYZn3acB4bWGq,203920,4,best_of_world.csv
0.844,0.572,9,-6.813,0,0.0555,0.624,0.0,0.102,0.941,119.971,audio_features,2HEr6PARUW822o9VLx25mg,spotify:track:2HEr6PARUW822o9VLx25mg,https://api.spotify.com/v1/tracks/2HEr6PARUW822o9VLx25mg,https://api.spotify.com/v1/audio-analysis/2HEr6PARUW822o9VLx25mg,169080,4,best_of_world.csv
