danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.718,0.767,10,-8.157,0,0.048,0.0147,0.847,0.088,0.0699,125.005,audio_features,3hGXZKj3lYKKRQtKE8XN55,spotify:track:3hGXZKj3lYKKRQtKE8XN55,https://api.spotify.com/v1/tracks/3hGXZKj3lYKKRQtKE8XN55,https://api.spotify.com/v1/audio-analysis/3hGXZKj3lYKKRQtKE8XN55,197823,3,handpicked_afterlife.csv
0.633,0.961,4,-3.975,0,0.0503,0.000968,0.808,0.145,0.0433,125.033,audio_features,6kkf975GwERykpvOTu7IXZ,spotify:track:6kkf975GwERykpvOTu7IXZ,https://api.spotify.com/v1/tracks/6kkf975GwERykpvOTu7IXZ,https://api.spotify.com/v1/audio-analysis/6kkf975GwERykpvOTu7IXZ,239586,4,handpicked_afterlife.csv
0.706,0.8,7,-7.252,0,0.0417,0.0864,0.689,0.337,0.0512,121.97,audio_features,58kUEj9sd9Z2XIPh3BhJRR,spotify:track:58kUEj9sd9Z2XIPh3BhJRR,https://api.spotify.com/v1/tracks/58kUEj9sd9Z2XIPh3BhJRR,https://api.spotify.com/v1/audio-analysis/58kUEj9sd9Z2XIPh3BhJRR,213496,4,handpicked_afterlife.csv
0.341,0.918,5,-6.401,0,0.0548,0.00983,0.335,0.455,0.0411,124.994,audio_features,7hV8vZMezoQdSdvsi70Ioa,spotify:track:7hV8vZMezoQdSdvsi70Ioa,https://api.spotify.com/v1/tracks/7hV8vZMezoQdSdvsi70Ioa,https://api.spotify.com/v1/audio-analysis/7hV8vZMezoQdSdvsi70Ioa,245280,4,handpicked_afterlife.csv
0.652,0.818,10,-6.001,0,0.0275,0.00249,0.297,0.201,0.0966,122.003,audio_features,3M1r9ilL53PLcrLdIuyZ4J,spotify:track:3M1r9ilL53PLcrLdIuyZ4J,https://api.spotify.com/v1/tracks/3M1r9ilL53PLcrLdIuyZ4J,https://api.spotify.com/v1/audio-analysis/3M1r9ilL53PLcrLdIuyZ4J,236066,4,handpicked_afterlife.csv
0.706,0.906,11,-6.793,0,0.0528,0.00084,0.545,0.179,0.292,124.015,audio_features,4xpRs7geTFykkr9Ehp66Fg,spotify:track:4xpRs7geTFykkr9Ehp66Fg,https://api.spotify.com/v1/tracks/4xpRs7geTFykkr9Ehp66Fg,https://api.spotify.com/v1/audio-analysis/4xpRs7geTFykkr9Ehp66Fg,220887,4,handpicked_afterlife.csv
0.439,0.773,9,-8.019,0,0.0427,0.00529,0.233,0.169,0.0333,123.951,audio_features,2g2Sy0FDOM6B5O8qcGeVnU,spotify:track:2g2Sy0FDOM6B5O8qcGeVnU,https://api.spotify.com/v1/tracks/2g2Sy0FDOM6B5O8qcGeVnU,https://api.spotify.com/v1/audio-analysis/2g2Sy0FDOM6B5O8qcGeVnU,263226,4,handpicked_afterlife.csv
0.606,0.861,1,-6.332,1,0.0406,0.00316,0.844,0.113,0.313,125.005,audio_features,1GBBbKOarAJ38HwIfLcOji,spotify:track:1GBBbKOarAJ38HwIfLcOji,https://api.spotify.com/v1/tracks/1GBBbKOarAJ38HwIfLcOji,https://api.spotify.com/v1/audio-analysis/1GBBbKOarAJ38HwIfLcOji,186240,4,handpicked_afterlife.csv
0.767,0.7,2,-7.887,1,0.0597,0.0144,0.419,0.0946,0.0383,123.984,audio_features,2Nq06gpBMrjYnBLpi0cNYy,spotify:track:2Nq06gpBMrjYnBLpi0cNYy,https://api.spotify.com/v1/tracks/2Nq06gpBMrjYnBLpi0cNYy,https://api.spotify.com/v1/audio-analysis/2Nq06gpBMrjYnBLpi0cNYy,418528,4,handpicked_afterlife.csv
0.692,0.67,0,-10.248,0,0.0447,0.0313,0.835,0.111,0.0924,124.001,audio_features,5iHWFnGYTJ3Rdl2HOYxT0J,spotify:track:5iHWFnGYTJ3Rdl2HOYxT0J,https://api.spotify.com/v1/tracks/5iHWFnGYTJ3Rdl2HOYxT0J,https://api.spotify.com/v1/audio-analysis/5iHWFnGYTJ3Rdl2HOYxT0J,377419,4,handpicked_afterlife.csv
