danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.826,0.513,2,-11.564,1,0.0404,0.00397,0.0433,0.134,0.0962,123.047,audio_features,6ZMvunZhqQbcZTUxrHU9GU,spotify:track:6ZMvunZhqQbcZTUxrHU9GU,https://api.spotify.com/v1/tracks/6ZMvunZhqQbcZTUxrHU9GU,https://api.spotify.com/v1/audio-analysis/6ZMvunZhqQbcZTUxrHU9GU,206495,4,handpicked_be_svendsen.csv
0.795,0.609,10,-10.536,1,0.0613,0.074,0.762,0.0572,0.595,114.005,audio_features,4pKcy4dZzal1PTAOBGWr8N,spotify:track:4pKcy4dZzal1PTAOBGWr8N,https://api.spotify.com/v1/tracks/4pKcy4dZzal1PTAOBGWr8N,https://api.spotify.com/v1/audio-analysis/4pKcy4dZzal1PTAOBGWr8N,406117,4,handpicked_be_svendsen.csv
0.879,0.778,10,-10.709,0,0.0557,0.251,0.849,0.0884,0.199,110.003,audio_features,1W2eqS5HYJXHIhn7T8lWDZ,spotify:track:1W2eqS5HYJXHIhn7T8lWDZ,https://api.spotify.com/v1/tracks/1W2eqS5HYJXHIhn7T8lWDZ,https://api.spotify.com/v1/audio-analysis/1W2eqS5HYJXHIhn7T8lWDZ,537164,4,handpicked_be_svendsen.csv
0.711,0.727,2,-7.068,0,0.0327,0.00445,0.533,0.0327,0.571,125.009,audio_features,62yiFhZWfKhG6ZmmGNmZQ5,spotify:track:62yiFhZWfKhG6ZmmGNmZQ5,https://api.spotify.com/v1/tracks/62yiFhZWfKhG6ZmmGNmZQ5,https://api.spotify.com/v1/audio-analysis/62yiFhZWfKhG6ZmmGNmZQ5,372639,4,handpicked_be_svendsen.csv
0.738,0.649,4,-8.157,0,0.0387,0.182,0.868,0.177,0.482,117.994,audio_features,29A54bY2rjNImKOxt7oKhs,spotify:track:29A54bY2rjNImKOxt7oKhs,https://api.spotify.com/v1/tracks/29A54bY2rjNImKOxt7oKhs,https://api.spotify.com/v1/audio-analysis/29A54bY2rjNImKOxt7oKhs,400713,4,handpicked_be_svendsen.csv
0.738,0.363,10,-16.432,0,0.0454,0.824,0.915,0.104,0.0663,106.008,audio_features,5fSFt5Z9vlUG09LaHtQX6J,spotify:track:5fSFt5Z9vlUG09LaHtQX6J,https://api.spotify.com/v1/tracks/5fSFt5Z9vlUG09LaHtQX6J,https://api.spotify.com/v1/audio-analysis/5fSFt5Z9vlUG09LaHtQX6J,274681,4,handpicked_be_svendsen.csv
0.808,0.775,7,-9.595,1,0.0433,0.0272,0.86,0.117,0.0451,116.011,audio_features,6WVvJAAzcrcYJhimrjqEIh,spotify:track:6WVvJAAzcrcYJhimrjqEIh,https://api.spotify.com/v1/tracks/6WVvJAAzcrcYJhimrjqEIh,https://api.spotify.com/v1/audio-analysis/6WVvJAAzcrcYJhimrjqEIh,469336,4,handpicked_be_svendsen.csv
0.771,0.544,5,-10.261,0,0.0331,0.0126,0.841,0.0895,0.39,122.019,audio_features,4qtTxFUtIZw8FL0COXrkbz,spotify:track:4qtTxFUtIZw8FL0COXrkbz,https://api.spotify.com/v1/tracks/4qtTxFUtIZw8FL0COXrkbz,https://api.spotify.com/v1/audio-analysis/4qtTxFUtIZw8FL0COXrkbz,453497,4,handpicked_be_svendsen.csv
0.791,0.749,4,-9.758,0,0.0675,0.114,0.887,0.33,0.194,108.011,audio_features,3UVj0QFwXzsvVnZFh8ABNJ,spotify:track:3UVj0QFwXzsvVnZFh8ABNJ,https://api.spotify.com/v1/tracks/3UVj0QFwXzsvVnZFh8ABNJ,https://api.spotify.com/v1/audio-analysis/3UVj0QFwXzsvVnZFh8ABNJ,600097,4,handpicked_be_svendsen.csv
0.798,0.482,5,-12.156,0,0.0369,0.767,0.852,0.102,0.698,119.987,audio_features,7aLYuBHTBjQr9hFjIwpNeU,spotify:track:7aLYuBHTBjQr9hFjIwpNeU,https://api.spotify.com/v1/tracks/7aLYuBHTBjQr9hFjIwpNeU,https://api.spotify.com/v1/audio-analysis/7aLYuBHTBjQr9hFjIwpNeU,228969,4,handpicked_be_svendsen.csv
