danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.65,0.834,11,-8.301,1,0.19,0.101,1.77e-06,0.107,0.786,145.854,audio_features,1AyEqlN3Xj1b7DJKuYy3L8,spotify:track:1AyEqlN3Xj1b7DJKuYy3L8,https://api.spotify.com/v1/tracks/1AyEqlN3Xj1b7DJKuYy3L8,https://api.spotify.com/v1/audio-analysis/1AyEqlN3Xj1b7DJKuYy3L8,229000,4,handpicked_berlin.csv
0.585,0.777,7,-10.368,1,0.0412,1.63e-05,0.516,0.0533,0.687,128.833,audio_features,01E97908af7cRmFC9XXekH,spotify:track:01E97908af7cRmFC9XXekH,https://api.spotify.com/v1/tracks/01E97908af7cRmFC9XXekH,https://api.spotify.com/v1/audio-analysis/01E97908af7cRmFC9XXekH,276160,4,handpicked_berlin.csv
0.58,0.936,4,-9.14,1,0.0592,0.327,4.7e-05,0.131,0.78,102.98,audio_features,46fLCB8cIhNlL2o097sXop,spotify:track:46fLCB8cIhNlL2o097sXop,https://api.spotify.com/v1/tracks/46fLCB8cIhNlL2o097sXop,https://api.spotify.com/v1/audio-analysis/46fLCB8cIhNlL2o097sXop,194240,4,handpicked_berlin.csv
0.657,0.548,5,-12.231,0,0.035,0.0574,4.95e-05,0.148,0.648,122.646,audio_features,6UEzGV76d96lYTA68iBO0B,spotify:track:6UEzGV76d96lYTA68iBO0B,https://api.spotify.com/v1/tracks/6UEzGV76d96lYTA68iBO0B,https://api.spotify.com/v1/audio-analysis/6UEzGV76d96lYTA68iBO0B,360133,4,handpicked_berlin.csv
0.477,0.36,7,-13.21,1,0.0524,0.929,0.115,0.384,0.152,105.422,audio_features,1cOW6wP4Fov8H7JvFcbsx3,spotify:track:1cOW6wP4Fov8H7JvFcbsx3,https://api.spotify.com/v1/tracks/1cOW6wP4Fov8H7JvFcbsx3,https://api.spotify.com/v1/audio-analysis/1cOW6wP4Fov8H7JvFcbsx3,204373,4,handpicked_berlin.csv
0.836,0.495,9,-10.834,0,0.0476,0.00241,0.844,0.0783,0.508,124.994,audio_features,54Ouh41CWAFULtChxDc2P3,spotify:track:54Ouh41CWAFULtChxDc2P3,https://api.spotify.com/v1/tracks/54Ouh41CWAFULtChxDc2P3,https://api.spotify.com/v1/audio-analysis/54Ouh41CWAFULtChxDc2P3,370333,4,handpicked_berlin.csv
0.727,0.798,5,-6.512,0,0.083,0.162,1.23e-05,0.297,0.872,161.622,audio_features,1vlzhoQJKTmEVDmSXcFT4a,spotify:track:1vlzhoQJKTmEVDmSXcFT4a,https://api.spotify.com/v1/tracks/1vlzhoQJKTmEVDmSXcFT4a,https://api.spotify.com/v1/audio-analysis/1vlzhoQJKTmEVDmSXcFT4a,212467,4,handpicked_berlin.csv
0.163,0.338,10,-14.569,1,0.0429,0.889,0.864,0.197,0.0392,75.753,audio_features,5ZOitdISR9foFR6QrcZFCa,spotify:track:5ZOitdISR9foFR6QrcZFCa,https://api.spotify.com/v1/tracks/5ZOitdISR9foFR6QrcZFCa,https://api.spotify.com/v1/audio-analysis/5ZOitdISR9foFR6QrcZFCa,274560,4,handpicked_berlin.csv
0.239,0.896,3,-5.037,1,0.116,0.51,5.34e-05,0.352,0.474,129.913,audio_features,05EBQ0Z7oHHRGBKCqY2xwv,spotify:track:05EBQ0Z7oHHRGBKCqY2xwv,https://api.spotify.com/v1/tracks/05EBQ0Z7oHHRGBKCqY2xwv,https://api.spotify.com/v1/audio-analysis/05EBQ0Z7oHHRGBKCqY2xwv,226733,3,handpicked_berlin.csv
0.477,0.91,6,-3.694,0,0.0574,0.000173,0.000138,0.171,0.644,153.067,audio_features,0XcC71H8QAjrW0NUqXHX1A,spotify:track:0XcC71H8QAjrW0NUqXHX1A,https://api.spotify.com/v1/tracks/0XcC71H8QAjrW0NUqXHX1A,https://api.spotify.com/v1/audio-analysis/0XcC71H8QAjrW0NUqXHX1A,202427,4,handpicked_berlin.csv
0.473,0.165,5,-8.961,1,0.0394,0.903,0.0,0.104,0.317,86.815,audio_features,58CItiUB9n3sv8Y7nBHmwg,spotify:track:58CItiUB9n3sv8Y7nBHmwg,https://api.spotify.com/v1/tracks/58CItiUB9n3sv8Y7nBHmwg,https://api.spotify.com/v1/audio-analysis/58CItiUB9n3sv8Y7nBHmwg,185933,4,handpicked_berlin.csv
0.66,0.721,7,-13.189,1,0.0504,0.000504,0.000547,0.192,0.69,114.751,audio_features,6GZgQYvDG5zrkA2uG7raVx,spotify:track:6GZgQYvDG5zrkA2uG7raVx,https://api.spotify.com/v1/tracks/6GZgQYvDG5zrkA2uG7raVx,https://api.spotify.com/v1/audio-analysis/6GZgQYvDG5zrkA2uG7raVx,235867,4,handpicked_berlin.csv
0.479,0.537,4,-10.208,0,0.0326,0.21,0.00547,0.158,0.524,162.846,audio_features,5BsCsk09Ekw5BxYz01i5fB,spotify:track:5BsCsk09Ekw5BxYz01i5fB,https://api.spotify.com/v1/tracks/5BsCsk09Ekw5BxYz01i5fB,https://api.spotify.com/v1/audio-analysis/5BsCsk09Ekw5BxYz01i5fB,298107,4,handpicked_berlin.csv
0.467,0.415,7,-9.884,1,0.0323,0.282,0.0,0.186,0.595,109.052,audio_features,357Cf19XAi0HGQr2pCtMwD,spotify:track:357Cf19XAi0HGQr2pCtMwD,https://api.spotify.com/v1/tracks/357Cf19XAi0HGQr2pCtMwD,https://api.spotify.com/v1/audio-analysis/357Cf19XAi0HGQr2pCtMwD,193907,1,handpicked_berlin.csv
0.624,0.306,5,-10.074,1,0.0396,0.67,0.0,0.131,0.609,113.035,audio_features,2BfFtpN1fOJueLJpkBZvq7,spotify:track:2BfFtpN1fOJueLJpkBZvq7,https://api.spotify.com/v1/tracks/2BfFtpN1fOJueLJpkBZvq7,https://api.spotify.com/v1/audio-analysis/2BfFtpN1fOJueLJpkBZvq7,140493,4,handpicked_berlin.csv
0.6,0.752,7,-4.695,0,0.028,0.000969,0.00348,0.373,0.27,133.995,audio_features,0vyQzGo4ZhrOvp0zMkpyLP,spotify:track:0vyQzGo4ZhrOvp0zMkpyLP,https://api.spotify.com/v1/tracks/0vyQzGo4ZhrOvp0zMkpyLP,https://api.spotify.com/v1/audio-analysis/0vyQzGo4ZhrOvp0zMkpyLP,254613,4,handpicked_berlin.csv
0.407,0.529,0,-13.091,1,0.0397,0.00891,3.22e-05,0.354,0.503,156.581,audio_features,3B6KfYd7H12wGXcTPxrXvU,spotify:track:3B6KfYd7H12wGXcTPxrXvU,https://api.spotify.com/v1/tracks/3B6KfYd7H12wGXcTPxrXvU,https://api.spotify.com/v1/audio-analysis/3B6KfYd7H12wGXcTPxrXvU,165733,4,handpicked_berlin.csv
0.576,0.165,7,-9.925,0,0.028,0.923,5.4e-05,0.226,0.254,100.057,audio_features,0n2bz5rXgDP0icurYLAxfV,spotify:track:0n2bz5rXgDP0icurYLAxfV,https://api.spotify.com/v1/tracks/0n2bz5rXgDP0icurYLAxfV,https://api.spotify.com/v1/audio-analysis/0n2bz5rXgDP0icurYLAxfV,166773,3,handpicked_berlin.csv
0.291,0.833,4,-4.591,0,0.0601,0.000127,8.31e-06,0.355,0.651,158.868,audio_features,3EeqcgY1I6eEeN05PlbKuw,spotify:track:3EeqcgY1I6eEeN05PlbKuw,https://api.spotify.com/v1/tracks/3EeqcgY1I6eEeN05PlbKuw,https://api.spotify.com/v1/audio-analysis/3EeqcgY1I6eEeN05PlbKuw,164240,4,handpicked_berlin.csv
0.72,0.747,6,-5.616,0,0.146,0.00823,1.21e-06,0.102,0.466,94.967,audio_features,4hdfCtMykWnAmvNtLMtsAQ,spotify:track:4hdfCtMykWnAmvNtLMtsAQ,https://api.spotify.com/v1/tracks/4hdfCtMykWnAmvNtLMtsAQ,https://api.spotify.com/v1/audio-analysis/4hdfCtMykWnAmvNtLMtsAQ,204013,4,handpicked_berlin.csv
0.602,0.933,2,-4.935,1,0.0348,0.055,0.00037,0.215,0.872,95.307,audio_features,6zNCCTvJXrgubHDReayP9t,spotify:track:6zNCCTvJXrgubHDReayP9t,https://api.spotify.com/v1/tracks/6zNCCTvJXrgubHDReayP9t,https://api.spotify.com/v1/audio-analysis/6zNCCTvJXrgubHDReayP9t,155507,4,handpicked_berlin.csv
0.637,0.604,8,-5.197,1,0.329,0.0194,0.0,0.108,0.238,162.088,audio_features,1Fjz0ME9pzk553wH86m3ZZ,spotify:track:1Fjz0ME9pzk553wH86m3ZZ,https://api.spotify.com/v1/tracks/1Fjz0ME9pzk553wH86m3ZZ,https://api.spotify.com/v1/audio-analysis/1Fjz0ME9pzk553wH86m3ZZ,215800,4,handpicked_berlin.csv
0.695,0.628,0,-8.624,1,0.0327,0.0325,0.167,0.132,0.814,129.138,audio_features,5a5DPFOmP4mhLNI6Qdi8Gq,spotify:track:5a5DPFOmP4mhLNI6Qdi8Gq,https://api.spotify.com/v1/tracks/5a5DPFOmP4mhLNI6Qdi8Gq,https://api.spotify.com/v1/audio-analysis/5a5DPFOmP4mhLNI6Qdi8Gq,286195,4,handpicked_berlin.csv
0.397,0.0666,7,-20.405,1,0.0383,0.963,0.158,0.107,0.0389,137.313,audio_features,1ZVbf755wkzFApNhrGNek3,spotify:track:1ZVbf755wkzFApNhrGNek3,https://api.spotify.com/v1/tracks/1ZVbf755wkzFApNhrGNek3,https://api.spotify.com/v1/audio-analysis/1ZVbf755wkzFApNhrGNek3,174172,4,handpicked_berlin.csv
0.785,0.765,0,-9.247,1,0.0722,0.514,0.0,0.114,0.947,116.651,audio_features,5qOYc31qWwrF4suUBcA9Aj,spotify:track:5qOYc31qWwrF4suUBcA9Aj,https://api.spotify.com/v1/tracks/5qOYc31qWwrF4suUBcA9Aj,https://api.spotify.com/v1/audio-analysis/5qOYc31qWwrF4suUBcA9Aj,204693,4,handpicked_berlin.csv
0.681,0.601,2,-9.544,1,0.0714,0.819,0.0,0.152,0.91,130.243,audio_features,2dd2IfWJ1ayQMj4XuwIexm,spotify:track:2dd2IfWJ1ayQMj4XuwIexm,https://api.spotify.com/v1/tracks/2dd2IfWJ1ayQMj4XuwIexm,https://api.spotify.com/v1/audio-analysis/2dd2IfWJ1ayQMj4XuwIexm,219200,4,handpicked_berlin.csv
0.449,0.67,11,-15.695,1,0.0611,0.0599,0.0302,0.756,0.607,168.886,audio_features,6YlU0ySpqVm22KfRmkXOzf,spotify:track:6YlU0ySpqVm22KfRmkXOzf,https://api.spotify.com/v1/tracks/6YlU0ySpqVm22KfRmkXOzf,https://api.spotify.com/v1/audio-analysis/6YlU0ySpqVm22KfRmkXOzf,293267,4,handpicked_berlin.csv
0.551,0.635,9,-6.691,0,0.0523,0.426,0.0,0.0402,0.665,130.63,audio_features,4xmyL7o4tJFc2WvmrKGxED,spotify:track:4xmyL7o4tJFc2WvmrKGxED,https://api.spotify.com/v1/tracks/4xmyL7o4tJFc2WvmrKGxED,https://api.spotify.com/v1/audio-analysis/4xmyL7o4tJFc2WvmrKGxED,165213,4,handpicked_berlin.csv
0.66,0.245,4,-16.069,1,0.0372,0.704,0.000804,0.322,0.415,90.011,audio_features,60mUWdxpgVHOWINrMRLwRD,spotify:track:60mUWdxpgVHOWINrMRLwRD,https://api.spotify.com/v1/tracks/60mUWdxpgVHOWINrMRLwRD,https://api.spotify.com/v1/audio-analysis/60mUWdxpgVHOWINrMRLwRD,381893,4,handpicked_berlin.csv
0.506,0.538,11,-7.464,0,0.0255,0.544,4.31e-05,0.81,0.373,164.234,audio_features,1Za8CMYs6BM4HERegfb2Ce,spotify:track:1Za8CMYs6BM4HERegfb2Ce,https://api.spotify.com/v1/tracks/1Za8CMYs6BM4HERegfb2Ce,https://api.spotify.com/v1/audio-analysis/1Za8CMYs6BM4HERegfb2Ce,283453,4,handpicked_berlin.csv
0.714,0.501,11,-9.8,1,0.0329,0.0505,0.00205,0.0825,0.448,94.093,audio_features,14FtkdQPxIy3KGC6xJYNNm,spotify:track:14FtkdQPxIy3KGC6xJYNNm,https://api.spotify.com/v1/tracks/14FtkdQPxIy3KGC6xJYNNm,https://api.spotify.com/v1/audio-analysis/14FtkdQPxIy3KGC6xJYNNm,261360,4,handpicked_berlin.csv
0.669,0.597,8,-7.467,1,0.0966,0.0216,5.62e-06,0.222,0.145,116.96,audio_features,39BTiINea9cVs4sgnxRAce,spotify:track:39BTiINea9cVs4sgnxRAce,https://api.spotify.com/v1/tracks/39BTiINea9cVs4sgnxRAce,https://api.spotify.com/v1/audio-analysis/39BTiINea9cVs4sgnxRAce,263427,4,handpicked_berlin.csv
0.474,0.705,4,-6.911,1,0.0272,0.0265,0.00211,0.195,0.556,111.949,audio_features,4Ac0zYZxX3e25Zl4Omspx6,spotify:track:4Ac0zYZxX3e25Zl4Omspx6,https://api.spotify.com/v1/tracks/4Ac0zYZxX3e25Zl4Omspx6,https://api.spotify.com/v1/audio-analysis/4Ac0zYZxX3e25Zl4Omspx6,238440,4,handpicked_berlin.csv
0.458,0.465,8,-10.877,0,0.0352,0.057,0.000453,0.128,0.235,108.039,audio_features,4NRmTXCy5G2XEXJ0eFg31e,spotify:track:4NRmTXCy5G2XEXJ0eFg31e,https://api.spotify.com/v1/tracks/4NRmTXCy5G2XEXJ0eFg31e,https://api.spotify.com/v1/audio-analysis/4NRmTXCy5G2XEXJ0eFg31e,241000,4,handpicked_berlin.csv
0.451,0.175,2,-12.379,1,0.0406,0.689,0.0,0.0783,0.157,138.352,audio_features,2MD0uOnC3E5Z7DFboH6Wws,spotify:track:2MD0uOnC3E5Z7DFboH6Wws,https://api.spotify.com/v1/tracks/2MD0uOnC3E5Z7DFboH6Wws,https://api.spotify.com/v1/audio-analysis/2MD0uOnC3E5Z7DFboH6Wws,279493,3,handpicked_berlin.csv
0.434,0.479,9,-7.994,0,0.037,0.284,5.85e-05,0.136,0.587,114.762,audio_features,02WjEQl1ckeRCUzB027nf2,spotify:track:02WjEQl1ckeRCUzB027nf2,https://api.spotify.com/v1/tracks/02WjEQl1ckeRCUzB027nf2,https://api.spotify.com/v1/audio-analysis/02WjEQl1ckeRCUzB027nf2,237560,3,handpicked_berlin.csv
0.638,0.739,0,-4.71,1,0.0263,0.143,0.0,0.167,0.591,120.006,audio_features,0HQOUiYrcwv9B1RVd7bZBJ,spotify:track:0HQOUiYrcwv9B1RVd7bZBJ,https://api.spotify.com/v1/tracks/0HQOUiYrcwv9B1RVd7bZBJ,https://api.spotify.com/v1/audio-analysis/0HQOUiYrcwv9B1RVd7bZBJ,197667,4,handpicked_berlin.csv
0.638,0.809,0,-2.927,1,0.23,0.0691,0.0,0.661,0.702,89.968,audio_features,2vy1sb9A7G23WPW6fHmYXt,spotify:track:2vy1sb9A7G23WPW6fHmYXt,https://api.spotify.com/v1/tracks/2vy1sb9A7G23WPW6fHmYXt,https://api.spotify.com/v1/audio-analysis/2vy1sb9A7G23WPW6fHmYXt,181401,4,handpicked_berlin.csv
0.387,0.366,0,-13.034,0,0.0344,0.949,0.425,0.881,0.882,99.941,audio_features,2EDieNc5tiWGiwxhyypAdk,spotify:track:2EDieNc5tiWGiwxhyypAdk,https://api.spotify.com/v1/tracks/2EDieNc5tiWGiwxhyypAdk,https://api.spotify.com/v1/audio-analysis/2EDieNc5tiWGiwxhyypAdk,165520,4,handpicked_berlin.csv
0.494,0.318,8,-9.349,0,0.0589,0.778,0.0,0.105,0.496,139.554,audio_features,4Ey0OFncibA2GoNsKLFMpp,spotify:track:4Ey0OFncibA2GoNsKLFMpp,https://api.spotify.com/v1/tracks/4Ey0OFncibA2GoNsKLFMpp,https://api.spotify.com/v1/audio-analysis/4Ey0OFncibA2GoNsKLFMpp,181227,3,handpicked_berlin.csv
0.603,0.886,0,-6.052,1,0.101,0.00486,6.92e-06,0.0854,0.604,115.403,audio_features,5ER0obE6wtThLsAuDgbXUE,spotify:track:5ER0obE6wtThLsAuDgbXUE,https://api.spotify.com/v1/tracks/5ER0obE6wtThLsAuDgbXUE,https://api.spotify.com/v1/audio-analysis/5ER0obE6wtThLsAuDgbXUE,174480,4,handpicked_berlin.csv
0.659,0.487,5,-6.684,0,0.0658,0.832,0.0,0.0897,0.878,124.216,audio_features,0ySe2ILW2AspWQNpEW813P,spotify:track:0ySe2ILW2AspWQNpEW813P,https://api.spotify.com/v1/tracks/0ySe2ILW2AspWQNpEW813P,https://api.spotify.com/v1/audio-analysis/0ySe2ILW2AspWQNpEW813P,204200,4,handpicked_berlin.csv
