danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.688,0.284,4,-13.577,1,0.0574,0.359,0.0,0.127,0.482,83.433,audio_features,0eifvmNPHWaSh4IKNR4Xva,spotify:track:0eifvmNPHWaSh4IKNR4Xva,https://api.spotify.com/v1/tracks/0eifvmNPHWaSh4IKNR4Xva,https://api.spotify.com/v1/audio-analysis/0eifvmNPHWaSh4IKNR4Xva,208080,4,handpicked_bravo_hits.csv
0.655,0.933,7,-7.703,1,0.0536,0.00328,0.0358,0.0983,0.472,128.699,audio_features,4TOGkYS141L15SkVosAp7Z,spotify:track:4TOGkYS141L15SkVosAp7Z,https://api.spotify.com/v1/tracks/4TOGkYS141L15SkVosAp7Z,https://api.spotify.com/v1/audio-analysis/4TOGkYS141L15SkVosAp7Z,239933,4,handpicked_bravo_hits.csv
0.787,0.728,0,-7.705,1,0.218,0.0124,0.0,0.157,0.94,173.026,audio_features,1SssFw74DdHVjRa6ADggdD,spotify:track:1SssFw74DdHVjRa6ADggdD,https://api.spotify.com/v1/tracks/1SssFw74DdHVjRa6ADggdD,https://api.spotify.com/v1/audio-analysis/1SssFw74DdHVjRa6ADggdD,227067,4,handpicked_bravo_hits.csv
0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,audio_features,5Z8EDau8uNcP1E8JvmfkZe,spotify:track:5Z8EDau8uNcP1E8JvmfkZe,https://api.spotify.com/v1/tracks/5Z8EDau8uNcP1E8JvmfkZe,https://api.spotify.com/v1/audio-analysis/5Z8EDau8uNcP1E8JvmfkZe,210107,4,handpicked_bravo_hits.csv
0.852,0.833,1,-6.569,1,0.188,0.136,3.6e-05,0.091,0.576,97.759,audio_features,0LFq9xNDSgspBQlmaFfpat,spotify:track:0LFq9xNDSgspBQlmaFfpat,https://api.spotify.com/v1/tracks/0LFq9xNDSgspBQlmaFfpat,https://api.spotify.com/v1/audio-analysis/0LFq9xNDSgspBQlmaFfpat,250747,4,handpicked_bravo_hits.csv
0.757,0.652,9,-14.916,0,0.0333,0.214,0.257,0.0903,0.862,124.369,audio_features,5uFYYOyT3EclOVhiFzPJSz,spotify:track:5uFYYOyT3EclOVhiFzPJSz,https://api.spotify.com/v1/tracks/5uFYYOyT3EclOVhiFzPJSz,https://api.spotify.com/v1/audio-analysis/5uFYYOyT3EclOVhiFzPJSz,332230,4,handpicked_bravo_hits.csv
0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,audio_features,3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0,264307,4,handpicked_bravo_hits.csv
0.629,0.726,11,-8.161,0,0.0251,0.0578,0.0115,0.355,0.892,104.114,audio_features,5Njrdd3SA4fOsDMPVphxSb,spotify:track:5Njrdd3SA4fOsDMPVphxSb,https://api.spotify.com/v1/tracks/5Njrdd3SA4fOsDMPVphxSb,https://api.spotify.com/v1/audio-analysis/5Njrdd3SA4fOsDMPVphxSb,240440,4,handpicked_bravo_hits.csv
0.858,0.633,1,-7.401,1,0.0416,0.014,0.000229,0.0652,0.912,115.957,audio_features,6ysAmsBZAC57LnoArN1V0y,spotify:track:6ysAmsBZAC57LnoArN1V0y,https://api.spotify.com/v1/tracks/6ysAmsBZAC57LnoArN1V0y,https://api.spotify.com/v1/audio-analysis/6ysAmsBZAC57LnoArN1V0y,274885,4,handpicked_bravo_hits.csv
0.735,0.618,11,-8.451,0,0.036,0.429,0.0,0.0411,0.723,101.077,audio_features,1XFyebjye69ZVGR2WOze2U,spotify:track:1XFyebjye69ZVGR2WOze2U,https://api.spotify.com/v1/tracks/1XFyebjye69ZVGR2WOze2U,https://api.spotify.com/v1/audio-analysis/1XFyebjye69ZVGR2WOze2U,223707,4,handpicked_bravo_hits.csv
