danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.581,0.7,7,-10.723,0,0.0377,0.107,0.0031,0.118,0.924,182.415,audio_features,3AgvZyLH4sWkII5bnU80aQ,spotify:track:3AgvZyLH4sWkII5bnU80aQ,https://api.spotify.com/v1/tracks/3AgvZyLH4sWkII5bnU80aQ,https://api.spotify.com/v1/audio-analysis/3AgvZyLH4sWkII5bnU80aQ,233533,4,handpicked_bremer_partymix.csv
0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,audio_features,5T8EDUDqKcs6OSOwEsfqG7,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/audio-analysis/5T8EDUDqKcs6OSOwEsfqG7,209413,4,handpicked_bremer_partymix.csv
0.5,0.501,0,-8.284,0,0.0376,0.462,0.0,0.26,0.623,144.438,audio_features,0cGG2EouYCEEC3xfa0tDFV,spotify:track:0cGG2EouYCEEC3xfa0tDFV,https://api.spotify.com/v1/tracks/0cGG2EouYCEEC3xfa0tDFV,https://api.spotify.com/v1/audio-analysis/0cGG2EouYCEEC3xfa0tDFV,153800,4,handpicked_bremer_partymix.csv
0.671,0.707,2,-6.58,0,0.0297,0.111,0.0,0.261,0.675,126.004,audio_features,0FHOsVoIME9NILYoxtZMxN,spotify:track:0FHOsVoIME9NILYoxtZMxN,https://api.spotify.com/v1/tracks/0FHOsVoIME9NILYoxtZMxN,https://api.spotify.com/v1/audio-analysis/0FHOsVoIME9NILYoxtZMxN,230467,4,handpicked_bremer_partymix.csv
0.7,0.62,2,-9.36,1,0.0797,0.0175,3.3e-06,0.0891,0.739,173.998,audio_features,2oHsYkh2Vc9OXRyLXLUinC,spotify:track:2oHsYkh2Vc9OXRyLXLUinC,https://api.spotify.com/v1/tracks/2oHsYkh2Vc9OXRyLXLUinC,https://api.spotify.com/v1/audio-analysis/2oHsYkh2Vc9OXRyLXLUinC,240893,4,handpicked_bremer_partymix.csv
0.578,0.553,6,-7.601,1,0.0619,0.00885,0.0,0.0827,0.607,166.984,audio_features,3yptl2unUgzsFP59xECMht,spotify:track:3yptl2unUgzsFP59xECMht,https://api.spotify.com/v1/tracks/3yptl2unUgzsFP59xECMht,https://api.spotify.com/v1/audio-analysis/3yptl2unUgzsFP59xECMht,176125,4,handpicked_bremer_partymix.csv
0.89,0.521,6,-7.048,0,0.169,0.078,0.0,0.0958,0.646,139.981,audio_features,6yeZM8gyykjaf8w0GqRfK4,spotify:track:6yeZM8gyykjaf8w0GqRfK4,https://api.spotify.com/v1/tracks/6yeZM8gyykjaf8w0GqRfK4,https://api.spotify.com/v1/audio-analysis/6yeZM8gyykjaf8w0GqRfK4,131893,4,handpicked_bremer_partymix.csv
0.591,0.704,6,-6.324,0,0.0299,0.00161,0.0143,0.164,0.636,149.974,audio_features,6dQPQikamiuTl8WoUWJ7vi,spotify:track:6dQPQikamiuTl8WoUWJ7vi,https://api.spotify.com/v1/tracks/6dQPQikamiuTl8WoUWJ7vi,https://api.spotify.com/v1/audio-analysis/6dQPQikamiuTl8WoUWJ7vi,198045,4,handpicked_bremer_partymix.csv
0.903,0.719,1,-8.054,1,0.052,0.514,7.67e-05,0.743,0.639,118.036,audio_features,4YxZQd3I4rj1nqkXgvpCk4,spotify:track:4YxZQd3I4rj1nqkXgvpCk4,https://api.spotify.com/v1/tracks/4YxZQd3I4rj1nqkXgvpCk4,https://api.spotify.com/v1/audio-analysis/4YxZQd3I4rj1nqkXgvpCk4,230829,4,handpicked_bremer_partymix.csv
0.845,0.768,6,-5.448,1,0.188,0.00733,5.04e-06,0.0575,0.96,100.0,audio_features,7LqjznQwfrax7MjQXmxqdQ,spotify:track:7LqjznQwfrax7MjQXmxqdQ,https://api.spotify.com/v1/tracks/7LqjznQwfrax7MjQXmxqdQ,https://api.spotify.com/v1/audio-analysis/7LqjznQwfrax7MjQXmxqdQ,187840,4,handpicked_bremer_partymix.csv
0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,audio_features,2nLtzopw4rPReszdYBJU6h,spotify:track:2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,185587,4,handpicked_bremer_partymix.csv
0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,audio_features,1DIXPcTDzTj8ZMHt3PDt8p,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,https://api.spotify.com/v1/tracks/1DIXPcTDzTj8ZMHt3PDt8p,https://api.spotify.com/v1/audio-analysis/1DIXPcTDzTj8ZMHt3PDt8p,240693,4,handpicked_bremer_partymix.csv
0.488,0.949,10,-5.521,1,0.0581,0.00117,2.11e-05,0.327,0.277,133.079,audio_features,5S3K25NtSmKRZWbM4WN8IW,spotify:track:5S3K25NtSmKRZWbM4WN8IW,https://api.spotify.com/v1/tracks/5S3K25NtSmKRZWbM4WN8IW,https://api.spotify.com/v1/audio-analysis/5S3K25NtSmKRZWbM4WN8IW,214882,4,handpicked_bremer_partymix.csv
0.752,0.522,1,-5.993,1,0.0507,0.0193,0.0,0.105,0.65,139.936,audio_features,3udCid1W2whR6CQrVpsKUh,spotify:track:3udCid1W2whR6CQrVpsKUh,https://api.spotify.com/v1/tracks/3udCid1W2whR6CQrVpsKUh,https://api.spotify.com/v1/audio-analysis/3udCid1W2whR6CQrVpsKUh,173103,3,handpicked_bremer_partymix.csv
