danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.637,0.62,4,-9.69,0,0.0479,0.614,0.00108,0.327,0.211,108.993,audio_features,79L9OUY14ifdFUPn7KBeqU,spotify:track:79L9OUY14ifdFUPn7KBeqU,https://api.spotify.com/v1/tracks/79L9OUY14ifdFUPn7KBeqU,https://api.spotify.com/v1/audio-analysis/79L9OUY14ifdFUPn7KBeqU,227002,4,handpicked_faber.csv
0.596,0.684,6,-8.904,0,0.053,0.449,6.3e-06,0.177,0.493,100.984,audio_features,1K29Kg3INLK0gX2nDzblw5,spotify:track:1K29Kg3INLK0gX2nDzblw5,https://api.spotify.com/v1/tracks/1K29Kg3INLK0gX2nDzblw5,https://api.spotify.com/v1/audio-analysis/1K29Kg3INLK0gX2nDzblw5,182747,3,handpicked_faber.csv
0.69,0.429,5,-10.529,0,0.0392,0.405,3.79e-06,0.125,0.284,133.024,audio_features,2P9OKiFiDDwHcMkdGVuqcd,spotify:track:2P9OKiFiDDwHcMkdGVuqcd,https://api.spotify.com/v1/tracks/2P9OKiFiDDwHcMkdGVuqcd,https://api.spotify.com/v1/audio-analysis/2P9OKiFiDDwHcMkdGVuqcd,209311,4,handpicked_faber.csv
0.502,0.431,9,-11.848,0,0.147,0.479,0.000407,0.102,0.324,116.985,audio_features,6Lla7ZgAY8yvofXQDc4cu3,spotify:track:6Lla7ZgAY8yvofXQDc4cu3,https://api.spotify.com/v1/tracks/6Lla7ZgAY8yvofXQDc4cu3,https://api.spotify.com/v1/audio-analysis/6Lla7ZgAY8yvofXQDc4cu3,245915,4,handpicked_faber.csv
0.534,0.61,0,-10.389,1,0.035,0.208,0.118,0.126,0.408,125.573,audio_features,2nIaxZvSPPoU0DUFgFRX98,spotify:track:2nIaxZvSPPoU0DUFgFRX98,https://api.spotify.com/v1/tracks/2nIaxZvSPPoU0DUFgFRX98,https://api.spotify.com/v1/audio-analysis/2nIaxZvSPPoU0DUFgFRX98,186331,4,handpicked_faber.csv
0.225,0.148,5,-15.002,0,0.0347,0.949,0.0211,0.119,0.092,83.18,audio_features,5FsCyZUYz6hRBUIbUaG8kO,spotify:track:5FsCyZUYz6hRBUIbUaG8kO,https://api.spotify.com/v1/tracks/5FsCyZUYz6hRBUIbUaG8kO,https://api.spotify.com/v1/audio-analysis/5FsCyZUYz6hRBUIbUaG8kO,223543,4,handpicked_faber.csv
0.496,0.136,11,-13.113,0,0.0512,0.919,0.0,0.109,0.251,136.839,audio_features,3CQhvsj9uYVR5Me05ZvPBC,spotify:track:3CQhvsj9uYVR5Me05ZvPBC,https://api.spotify.com/v1/tracks/3CQhvsj9uYVR5Me05ZvPBC,https://api.spotify.com/v1/audio-analysis/3CQhvsj9uYVR5Me05ZvPBC,208176,4,handpicked_faber.csv
0.18,0.0953,2,-22.748,1,0.0464,0.949,0.53,0.157,0.0331,73.17,audio_features,15Mh3Lv3asduM9UO19d8yg,spotify:track:15Mh3Lv3asduM9UO19d8yg,https://api.spotify.com/v1/tracks/15Mh3Lv3asduM9UO19d8yg,https://api.spotify.com/v1/audio-analysis/15Mh3Lv3asduM9UO19d8yg,68125,4,handpicked_faber.csv
0.441,0.417,0,-11.813,0,0.0544,0.825,0.00118,0.0997,0.0663,116.931,audio_features,0znvfexRdvqw1L4HeC4rUN,spotify:track:0znvfexRdvqw1L4HeC4rUN,https://api.spotify.com/v1/tracks/0znvfexRdvqw1L4HeC4rUN,https://api.spotify.com/v1/audio-analysis/0znvfexRdvqw1L4HeC4rUN,173466,4,handpicked_faber.csv
0.444,0.582,9,-8.86,0,0.0554,0.27,0.00173,0.299,0.44,135.053,audio_features,0JWWONWErvsmlAQUgAhEjO,spotify:track:0JWWONWErvsmlAQUgAhEjO,https://api.spotify.com/v1/tracks/0JWWONWErvsmlAQUgAhEjO,https://api.spotify.com/v1/audio-analysis/0JWWONWErvsmlAQUgAhEjO,181560,4,handpicked_faber.csv
0.751,0.64,8,-10.285,1,0.0354,0.375,0.0029,0.17,0.599,130.003,audio_features,5Qt9nyg9UFZJ5iqFsKA4pM,spotify:track:5Qt9nyg9UFZJ5iqFsKA4pM,https://api.spotify.com/v1/tracks/5Qt9nyg9UFZJ5iqFsKA4pM,https://api.spotify.com/v1/audio-analysis/5Qt9nyg9UFZJ5iqFsKA4pM,191585,4,handpicked_faber.csv
0.426,0.305,8,-9.813,0,0.0338,0.588,2.08e-05,0.239,0.245,127.019,audio_features,54tRb1DxdMzkbXjA4VM9aw,spotify:track:54tRb1DxdMzkbXjA4VM9aw,https://api.spotify.com/v1/tracks/54tRb1DxdMzkbXjA4VM9aw,https://api.spotify.com/v1/audio-analysis/54tRb1DxdMzkbXjA4VM9aw,224140,3,handpicked_faber.csv
0.18,0.134,0,-20.022,1,0.0388,0.869,0.721,0.119,0.0382,33.301,audio_features,63mur555sxhvGlxu9pQNSh,spotify:track:63mur555sxhvGlxu9pQNSh,https://api.spotify.com/v1/tracks/63mur555sxhvGlxu9pQNSh,https://api.spotify.com/v1/audio-analysis/63mur555sxhvGlxu9pQNSh,71392,4,handpicked_faber.csv
0.458,0.191,5,-12.55,1,0.032,0.615,0.0541,0.083,0.0731,105.444,audio_features,6UXFVtX2LQ9d94Gi2cPoCG,spotify:track:6UXFVtX2LQ9d94Gi2cPoCG,https://api.spotify.com/v1/tracks/6UXFVtX2LQ9d94Gi2cPoCG,https://api.spotify.com/v1/audio-analysis/6UXFVtX2LQ9d94Gi2cPoCG,379666,3,handpicked_faber.csv
0.371,0.109,8,-14.906,0,0.0376,0.95,0.0,0.117,0.243,95.044,audio_features,1t4wtjaPlnpIYlFD8I4hpX,spotify:track:1t4wtjaPlnpIYlFD8I4hpX,https://api.spotify.com/v1/tracks/1t4wtjaPlnpIYlFD8I4hpX,https://api.spotify.com/v1/audio-analysis/1t4wtjaPlnpIYlFD8I4hpX,172945,4,handpicked_faber.csv
0.351,0.185,5,-12.437,1,0.0361,0.924,0.932,0.268,0.197,108.843,audio_features,3O6XQaXNFsWP9g1USbmVHK,spotify:track:3O6XQaXNFsWP9g1USbmVHK,https://api.spotify.com/v1/tracks/3O6XQaXNFsWP9g1USbmVHK,https://api.spotify.com/v1/audio-analysis/3O6XQaXNFsWP9g1USbmVHK,60013,4,handpicked_faber.csv
0.607,0.788,5,-7.21,0,0.0393,0.199,0.0,0.172,0.781,99.212,audio_features,44uSEFOc1en3qKCL7k2Lfq,spotify:track:44uSEFOc1en3qKCL7k2Lfq,https://api.spotify.com/v1/tracks/44uSEFOc1en3qKCL7k2Lfq,https://api.spotify.com/v1/audio-analysis/44uSEFOc1en3qKCL7k2Lfq,181667,4,handpicked_faber.csv
0.678,0.787,7,-6.187,1,0.0498,0.328,9.87e-06,0.0643,0.835,102.97,audio_features,2W7nMKupO83NI2eih8l1qv,spotify:track:2W7nMKupO83NI2eih8l1qv,https://api.spotify.com/v1/tracks/2W7nMKupO83NI2eih8l1qv,https://api.spotify.com/v1/audio-analysis/2W7nMKupO83NI2eih8l1qv,207080,4,handpicked_faber.csv
0.645,0.66,4,-8.215,0,0.0494,0.135,0.0163,0.123,0.469,92.733,audio_features,1Bb1ozRO67sKo6HcDea6xa,spotify:track:1Bb1ozRO67sKo6HcDea6xa,https://api.spotify.com/v1/tracks/1Bb1ozRO67sKo6HcDea6xa,https://api.spotify.com/v1/audio-analysis/1Bb1ozRO67sKo6HcDea6xa,248747,4,handpicked_faber.csv
0.326,0.17,7,-14.493,0,0.0323,0.948,0.0185,0.104,0.0725,142.813,audio_features,6bu7Pqp4CydBGAzhZzrULY,spotify:track:6bu7Pqp4CydBGAzhZzrULY,https://api.spotify.com/v1/tracks/6bu7Pqp4CydBGAzhZzrULY,https://api.spotify.com/v1/audio-analysis/6bu7Pqp4CydBGAzhZzrULY,228387,4,handpicked_faber.csv
0.256,0.516,9,-6.578,1,0.0347,0.485,0.00473,0.133,0.125,201.441,audio_features,1U2wl5X6q30jafPmOZsi0F,spotify:track:1U2wl5X6q30jafPmOZsi0F,https://api.spotify.com/v1/tracks/1U2wl5X6q30jafPmOZsi0F,https://api.spotify.com/v1/audio-analysis/1U2wl5X6q30jafPmOZsi0F,234547,3,handpicked_faber.csv
0.546,0.604,4,-7.293,0,0.0368,0.542,1.59e-05,0.12,0.556,99.091,audio_features,5py37gwCt6c7xDs7dlcr9E,spotify:track:5py37gwCt6c7xDs7dlcr9E,https://api.spotify.com/v1/tracks/5py37gwCt6c7xDs7dlcr9E,https://api.spotify.com/v1/audio-analysis/5py37gwCt6c7xDs7dlcr9E,240520,4,handpicked_faber.csv
0.523,0.342,8,-9.611,0,0.0291,0.843,0.000338,0.11,0.485,115.388,audio_features,67SVg7nelLF3y5TMTGtJpz,spotify:track:67SVg7nelLF3y5TMTGtJpz,https://api.spotify.com/v1/tracks/67SVg7nelLF3y5TMTGtJpz,https://api.spotify.com/v1/audio-analysis/67SVg7nelLF3y5TMTGtJpz,253213,4,handpicked_faber.csv
0.542,0.736,5,-7.205,0,0.0421,0.131,9.16e-05,0.17,0.612,100.689,audio_features,44Ox0Eb2nkJNOMs0N1LS3D,spotify:track:44Ox0Eb2nkJNOMs0N1LS3D,https://api.spotify.com/v1/tracks/44Ox0Eb2nkJNOMs0N1LS3D,https://api.spotify.com/v1/audio-analysis/44Ox0Eb2nkJNOMs0N1LS3D,199787,4,handpicked_faber.csv
0.475,0.166,4,-13.359,0,0.0521,0.937,2.32e-06,0.107,0.195,106.995,audio_features,6aDtnW1GZiKpS5waaEGwl5,spotify:track:6aDtnW1GZiKpS5waaEGwl5,https://api.spotify.com/v1/tracks/6aDtnW1GZiKpS5waaEGwl5,https://api.spotify.com/v1/audio-analysis/6aDtnW1GZiKpS5waaEGwl5,163960,4,handpicked_faber.csv
0.371,0.598,9,-7.53,0,0.067,0.147,0.0302,0.0878,0.111,123.214,audio_features,6tl1zHZo4N5RsoMW4anhNr,spotify:track:6tl1zHZo4N5RsoMW4anhNr,https://api.spotify.com/v1/tracks/6tl1zHZo4N5RsoMW4anhNr,https://api.spotify.com/v1/audio-analysis/6tl1zHZo4N5RsoMW4anhNr,354080,3,handpicked_faber.csv
0.457,0.82,4,-6.446,1,0.0779,0.185,4.4e-05,0.177,0.62,135.832,audio_features,467vE4WuhrF8apzTQsQqxs,spotify:track:467vE4WuhrF8apzTQsQqxs,https://api.spotify.com/v1/tracks/467vE4WuhrF8apzTQsQqxs,https://api.spotify.com/v1/audio-analysis/467vE4WuhrF8apzTQsQqxs,182507,4,handpicked_faber.csv
0.411,0.15,9,-15.013,0,0.0398,0.945,0.00161,0.113,0.274,92.912,audio_features,3GEu6lPTjGx8IKXZtzwP7Q,spotify:track:3GEu6lPTjGx8IKXZtzwP7Q,https://api.spotify.com/v1/tracks/3GEu6lPTjGx8IKXZtzwP7Q,https://api.spotify.com/v1/audio-analysis/3GEu6lPTjGx8IKXZtzwP7Q,246453,4,handpicked_faber.csv
0.592,0.606,4,-6.93,0,0.0364,0.429,1.68e-06,0.101,0.516,99.058,audio_features,5oaBqJf0ZsJWaPuhUOOBCZ,spotify:track:5oaBqJf0ZsJWaPuhUOOBCZ,https://api.spotify.com/v1/tracks/5oaBqJf0ZsJWaPuhUOOBCZ,https://api.spotify.com/v1/audio-analysis/5oaBqJf0ZsJWaPuhUOOBCZ,239887,4,handpicked_faber.csv
