danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.474,0.294,3,-18.419,0,0.0319,0.733,0.728,0.0597,0.149,78.024,audio_features,2fEFGVy5lomrzCo2imd4AQ,spotify:track:2fEFGVy5lomrzCo2imd4AQ,https://api.spotify.com/v1/tracks/2fEFGVy5lomrzCo2imd4AQ,https://api.spotify.com/v1/audio-analysis/2fEFGVy5lomrzCo2imd4AQ,211374,4,handpicked_gisbert.csv
0.396,0.558,7,-10.448,1,0.0308,0.487,0.00817,0.135,0.184,90.748,audio_features,5I7mPZJBW6ChLdullHAdsd,spotify:track:5I7mPZJBW6ChLdullHAdsd,https://api.spotify.com/v1/tracks/5I7mPZJBW6ChLdullHAdsd,https://api.spotify.com/v1/audio-analysis/5I7mPZJBW6ChLdullHAdsd,255118,3,handpicked_gisbert.csv
0.509,0.238,8,-12.979,1,0.043,0.659,0.157,0.616,0.209,135.65,audio_features,483iC7UUG1wPUt8hRrpj12,spotify:track:483iC7UUG1wPUt8hRrpj12,https://api.spotify.com/v1/tracks/483iC7UUG1wPUt8hRrpj12,https://api.spotify.com/v1/audio-analysis/483iC7UUG1wPUt8hRrpj12,262547,4,handpicked_gisbert.csv
0.45,0.15,0,-13.725,1,0.0392,0.881,8.48e-05,0.0961,0.146,129.805,audio_features,5Tsz1tx46oqoKCrCFUBz9S,spotify:track:5Tsz1tx46oqoKCrCFUBz9S,https://api.spotify.com/v1/tracks/5Tsz1tx46oqoKCrCFUBz9S,https://api.spotify.com/v1/audio-analysis/5Tsz1tx46oqoKCrCFUBz9S,220933,4,handpicked_gisbert.csv
0.488,0.584,0,-8.329,1,0.0288,0.342,0.00947,0.367,0.592,80.516,audio_features,3zNSBQ6bMfQa0MIWQvM8WZ,spotify:track:3zNSBQ6bMfQa0MIWQvM8WZ,https://api.spotify.com/v1/tracks/3zNSBQ6bMfQa0MIWQvM8WZ,https://api.spotify.com/v1/audio-analysis/3zNSBQ6bMfQa0MIWQvM8WZ,190080,4,handpicked_gisbert.csv
0.553,0.758,7,-8.488,1,0.03,0.165,0.00843,0.129,0.921,124.783,audio_features,62VnUKoopfNShuyDhUoTc8,spotify:track:62VnUKoopfNShuyDhUoTc8,https://api.spotify.com/v1/tracks/62VnUKoopfNShuyDhUoTc8,https://api.spotify.com/v1/audio-analysis/62VnUKoopfNShuyDhUoTc8,133907,4,handpicked_gisbert.csv
0.345,0.559,11,-12.224,0,0.0962,0.575,0.00132,0.0929,0.394,169.658,audio_features,2moy1dsuecUB0T8RaNPQXE,spotify:track:2moy1dsuecUB0T8RaNPQXE,https://api.spotify.com/v1/tracks/2moy1dsuecUB0T8RaNPQXE,https://api.spotify.com/v1/audio-analysis/2moy1dsuecUB0T8RaNPQXE,267787,4,handpicked_gisbert.csv
0.497,0.455,7,-9.941,1,0.0283,0.0903,0.0161,0.119,0.338,75.207,audio_features,422V4qePkMJups4AfvPIz7,spotify:track:422V4qePkMJups4AfvPIz7,https://api.spotify.com/v1/tracks/422V4qePkMJups4AfvPIz7,https://api.spotify.com/v1/audio-analysis/422V4qePkMJups4AfvPIz7,213467,4,handpicked_gisbert.csv
0.637,0.706,11,-10.353,0,0.0285,0.0207,0.0155,0.208,0.49,94.013,audio_features,3sjBYzJwRXPZrsncjWUw4Q,spotify:track:3sjBYzJwRXPZrsncjWUw4Q,https://api.spotify.com/v1/tracks/3sjBYzJwRXPZrsncjWUw4Q,https://api.spotify.com/v1/audio-analysis/3sjBYzJwRXPZrsncjWUw4Q,231307,4,handpicked_gisbert.csv
0.572,0.679,9,-8.841,0,0.0284,0.377,2.78e-06,0.29,0.715,123.534,audio_features,13qxPMIWcmTGPmn5z8Brs2,spotify:track:13qxPMIWcmTGPmn5z8Brs2,https://api.spotify.com/v1/tracks/13qxPMIWcmTGPmn5z8Brs2,https://api.spotify.com/v1/audio-analysis/13qxPMIWcmTGPmn5z8Brs2,152013,4,handpicked_gisbert.csv
