danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.775,0.609,5,-8.605,0,0.114,0.0471,0.862,0.0718,0.385,127.993,audio_features,3MA6XtTJ7pEAWgJymWlyaZ,spotify:track:3MA6XtTJ7pEAWgJymWlyaZ,https://api.spotify.com/v1/tracks/3MA6XtTJ7pEAWgJymWlyaZ,https://api.spotify.com/v1/audio-analysis/3MA6XtTJ7pEAWgJymWlyaZ,450016,4,handpicked_hungry_music.csv
0.709,0.473,7,-11.167,0,0.0345,0.00711,0.863,0.102,0.0786,126.035,audio_features,0sYcjK5OsztfAO3bfuqIdk,spotify:track:0sYcjK5OsztfAO3bfuqIdk,https://api.spotify.com/v1/tracks/0sYcjK5OsztfAO3bfuqIdk,https://api.spotify.com/v1/audio-analysis/0sYcjK5OsztfAO3bfuqIdk,510476,4,handpicked_hungry_music.csv
0.69,0.519,7,-9.776,1,0.0381,0.0017,0.589,0.111,0.181,121.018,audio_features,5lMswykZyIMO6M33LTfIh1,spotify:track:5lMswykZyIMO6M33LTfIh1,https://api.spotify.com/v1/tracks/5lMswykZyIMO6M33LTfIh1,https://api.spotify.com/v1/audio-analysis/5lMswykZyIMO6M33LTfIh1,339174,3,handpicked_hungry_music.csv
0.75,0.604,7,-9.003,0,0.0381,0.0686,0.861,0.161,0.233,124.002,audio_features,4B4vJppxKZTnqb6qyS6e8h,spotify:track:4B4vJppxKZTnqb6qyS6e8h,https://api.spotify.com/v1/tracks/4B4vJppxKZTnqb6qyS6e8h,https://api.spotify.com/v1/audio-analysis/4B4vJppxKZTnqb6qyS6e8h,466225,4,handpicked_hungry_music.csv
0.879,0.456,9,-9.695,0,0.112,0.00551,0.865,0.0819,0.238,120.991,audio_features,3H0ZT9YkGlYH9rNIcB4ysg,spotify:track:3H0ZT9YkGlYH9rNIcB4ysg,https://api.spotify.com/v1/tracks/3H0ZT9YkGlYH9rNIcB4ysg,https://api.spotify.com/v1/audio-analysis/3H0ZT9YkGlYH9rNIcB4ysg,408595,4,handpicked_hungry_music.csv
0.77,0.652,1,-10.126,0,0.0514,0.0166,0.702,0.152,0.319,124.006,audio_features,5vV37jvEgLmupJNa6SB5wd,spotify:track:5vV37jvEgLmupJNa6SB5wd,https://api.spotify.com/v1/tracks/5vV37jvEgLmupJNa6SB5wd,https://api.spotify.com/v1/audio-analysis/5vV37jvEgLmupJNa6SB5wd,442734,4,handpicked_hungry_music.csv
0.788,0.516,9,-9.594,0,0.0379,0.064,0.907,0.0499,0.0998,125.993,audio_features,2rNUCjocmu9sBCI4Ab9vOP,spotify:track:2rNUCjocmu9sBCI4Ab9vOP,https://api.spotify.com/v1/tracks/2rNUCjocmu9sBCI4Ab9vOP,https://api.spotify.com/v1/audio-analysis/2rNUCjocmu9sBCI4Ab9vOP,419048,4,handpicked_hungry_music.csv
0.799,0.484,2,-10.484,0,0.0409,0.564,0.93,0.0863,0.136,128.006,audio_features,1uXUZfJykefWuwj9VtyxIq,spotify:track:1uXUZfJykefWuwj9VtyxIq,https://api.spotify.com/v1/tracks/1uXUZfJykefWuwj9VtyxIq,https://api.spotify.com/v1/audio-analysis/1uXUZfJykefWuwj9VtyxIq,600122,4,handpicked_hungry_music.csv
0.833,0.418,8,-8.427,1,0.0563,0.000211,0.483,0.0744,0.208,122.005,audio_features,4vSdzR1NwYqwTI21dXxC51,spotify:track:4vSdzR1NwYqwTI21dXxC51,https://api.spotify.com/v1/tracks/4vSdzR1NwYqwTI21dXxC51,https://api.spotify.com/v1/audio-analysis/4vSdzR1NwYqwTI21dXxC51,395410,4,handpicked_hungry_music.csv
0.716,0.534,6,-9.327,1,0.0531,0.00729,0.74,0.0682,0.271,123.003,audio_features,18MlLrfCkYOnKutil99GwY,spotify:track:18MlLrfCkYOnKutil99GwY,https://api.spotify.com/v1/tracks/18MlLrfCkYOnKutil99GwY,https://api.spotify.com/v1/audio-analysis/18MlLrfCkYOnKutil99GwY,444878,4,handpicked_hungry_music.csv
0.748,0.558,6,-9.648,1,0.0462,0.00175,0.913,0.102,0.134,124.007,audio_features,7q7MXZtZD45z0fWz2T7mKU,spotify:track:7q7MXZtZD45z0fWz2T7mKU,https://api.spotify.com/v1/tracks/7q7MXZtZD45z0fWz2T7mKU,https://api.spotify.com/v1/audio-analysis/7q7MXZtZD45z0fWz2T7mKU,379355,4,handpicked_hungry_music.csv
0.747,0.619,8,-8.495,0,0.0794,0.024,0.914,0.0939,0.0849,125.984,audio_features,0UGnBpec9mkSga3hvpawP0,spotify:track:0UGnBpec9mkSga3hvpawP0,https://api.spotify.com/v1/tracks/0UGnBpec9mkSga3hvpawP0,https://api.spotify.com/v1/audio-analysis/0UGnBpec9mkSga3hvpawP0,431507,4,handpicked_hungry_music.csv
0.752,0.465,6,-11.68,1,0.052,0.00561,0.786,0.163,0.179,120.008,audio_features,1FhP2PsWinalEoKWXuhHFz,spotify:track:1FhP2PsWinalEoKWXuhHFz,https://api.spotify.com/v1/tracks/1FhP2PsWinalEoKWXuhHFz,https://api.spotify.com/v1/audio-analysis/1FhP2PsWinalEoKWXuhHFz,408000,4,handpicked_hungry_music.csv
0.811,0.649,7,-8.963,0,0.0323,0.00123,0.909,0.115,0.271,127.013,audio_features,0edyHXwgPYS6EwwVa02F3n,spotify:track:0edyHXwgPYS6EwwVa02F3n,https://api.spotify.com/v1/tracks/0edyHXwgPYS6EwwVa02F3n,https://api.spotify.com/v1/audio-analysis/0edyHXwgPYS6EwwVa02F3n,298583,4,handpicked_hungry_music.csv
0.662,0.429,4,-12.522,1,0.0437,0.0418,0.882,0.105,0.15,121.034,audio_features,5WL6VbqrAs7qYsMkCvShoN,spotify:track:5WL6VbqrAs7qYsMkCvShoN,https://api.spotify.com/v1/tracks/5WL6VbqrAs7qYsMkCvShoN,https://api.spotify.com/v1/audio-analysis/5WL6VbqrAs7qYsMkCvShoN,257851,4,handpicked_hungry_music.csv
0.466,0.504,11,-8.936,0,0.053,0.000255,0.897,0.0936,0.3,125.999,audio_features,0QN5omDLKQj8Mdg3cajMuN,spotify:track:0QN5omDLKQj8Mdg3cajMuN,https://api.spotify.com/v1/tracks/0QN5omDLKQj8Mdg3cajMuN,https://api.spotify.com/v1/audio-analysis/0QN5omDLKQj8Mdg3cajMuN,548571,4,handpicked_hungry_music.csv
0.8,0.699,7,-8.639,1,0.0353,0.0714,0.902,0.0927,0.282,123.997,audio_features,1fhcMMxjn3Gvin19Akf3Ig,spotify:track:1fhcMMxjn3Gvin19Akf3Ig,https://api.spotify.com/v1/tracks/1fhcMMxjn3Gvin19Akf3Ig,https://api.spotify.com/v1/audio-analysis/1fhcMMxjn3Gvin19Akf3Ig,380323,4,handpicked_hungry_music.csv
0.443,0.517,6,-10.019,0,0.0542,0.0372,0.895,0.0702,0.0739,123.978,audio_features,6T5hiZikP7CNI2uXdWYlCg,spotify:track:6T5hiZikP7CNI2uXdWYlCg,https://api.spotify.com/v1/tracks/6T5hiZikP7CNI2uXdWYlCg,https://api.spotify.com/v1/audio-analysis/6T5hiZikP7CNI2uXdWYlCg,421935,4,handpicked_hungry_music.csv
