danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.403,0.692,10,-3.568,1,0.0351,0.131,0.00102,0.0903,0.0981,106.976,audio_features,6hTyRdt5oL4jhPnOMQNqsQ,spotify:track:6hTyRdt5oL4jhPnOMQNqsQ,https://api.spotify.com/v1/tracks/6hTyRdt5oL4jhPnOMQNqsQ,https://api.spotify.com/v1/audio-analysis/6hTyRdt5oL4jhPnOMQNqsQ,342027,4,handpicked_indie_melody.csv
0.528,0.904,0,-7.273,1,0.0444,0.0343,0.00546,0.111,0.677,98.035,audio_features,4Bu0XuiecALTHX3YWHOLml,spotify:track:4Bu0XuiecALTHX3YWHOLml,https://api.spotify.com/v1/tracks/4Bu0XuiecALTHX3YWHOLml,https://api.spotify.com/v1/audio-analysis/4Bu0XuiecALTHX3YWHOLml,247373,4,handpicked_indie_melody.csv
0.357,0.866,4,-6.324,1,0.0411,0.00191,0.114,0.0815,0.721,129.071,audio_features,5ikdUUm6JbnEVnp35c7dvy,spotify:track:5ikdUUm6JbnEVnp35c7dvy,https://api.spotify.com/v1/tracks/5ikdUUm6JbnEVnp35c7dvy,https://api.spotify.com/v1/audio-analysis/5ikdUUm6JbnEVnp35c7dvy,492947,4,handpicked_indie_melody.csv
0.542,0.905,9,-4.215,1,0.0493,0.0212,0.000428,0.377,0.502,120.007,audio_features,1AsQFm7ORbr4NEZ0dUltOY,spotify:track:1AsQFm7ORbr4NEZ0dUltOY,https://api.spotify.com/v1/tracks/1AsQFm7ORbr4NEZ0dUltOY,https://api.spotify.com/v1/audio-analysis/1AsQFm7ORbr4NEZ0dUltOY,245456,4,handpicked_indie_melody.csv
0.645,0.732,8,-5.021,1,0.0315,0.0198,7.98e-05,0.134,0.427,87.989,audio_features,5P2hEcHjoNMh33EsFPPOJE,spotify:track:5P2hEcHjoNMh33EsFPPOJE,https://api.spotify.com/v1/tracks/5P2hEcHjoNMh33EsFPPOJE,https://api.spotify.com/v1/audio-analysis/5P2hEcHjoNMh33EsFPPOJE,231828,4,handpicked_indie_melody.csv
0.278,0.494,7,-7.853,0,0.029,0.157,0.000407,0.173,0.527,169.661,audio_features,7oOEFDLSQscl0uGulnIEmG,spotify:track:7oOEFDLSQscl0uGulnIEmG,https://api.spotify.com/v1/tracks/7oOEFDLSQscl0uGulnIEmG,https://api.spotify.com/v1/audio-analysis/7oOEFDLSQscl0uGulnIEmG,427093,4,handpicked_indie_melody.csv
0.528,0.73,7,-5.343,1,0.0385,0.459,0.0,0.116,0.358,119.938,audio_features,7C9XoMfFqmYoKQtWN7OCEH,spotify:track:7C9XoMfFqmYoKQtWN7OCEH,https://api.spotify.com/v1/tracks/7C9XoMfFqmYoKQtWN7OCEH,https://api.spotify.com/v1/audio-analysis/7C9XoMfFqmYoKQtWN7OCEH,241467,4,handpicked_indie_melody.csv
0.823,0.526,10,-8.393,0,0.0382,0.00101,0.000174,0.0585,0.631,118.957,audio_features,5rvIhvcSN2K5cdsu7NqOhM,spotify:track:5rvIhvcSN2K5cdsu7NqOhM,https://api.spotify.com/v1/tracks/5rvIhvcSN2K5cdsu7NqOhM,https://api.spotify.com/v1/audio-analysis/5rvIhvcSN2K5cdsu7NqOhM,256267,4,handpicked_indie_melody.csv
0.465,0.633,7,-9.119,0,0.0327,0.00279,0.0613,0.0676,0.393,144.948,audio_features,7BTaDw9yXTknLItNtuZFgF,spotify:track:7BTaDw9yXTknLItNtuZFgF,https://api.spotify.com/v1/tracks/7BTaDw9yXTknLItNtuZFgF,https://api.spotify.com/v1/audio-analysis/7BTaDw9yXTknLItNtuZFgF,205587,5,handpicked_indie_melody.csv
0.402,0.577,5,-6.123,1,0.0341,0.0899,0.0,0.113,0.539,95.371,audio_features,3JnWgwQPW2bIqehd4FFYXT,spotify:track:3JnWgwQPW2bIqehd4FFYXT,https://api.spotify.com/v1/tracks/3JnWgwQPW2bIqehd4FFYXT,https://api.spotify.com/v1/audio-analysis/3JnWgwQPW2bIqehd4FFYXT,208653,4,handpicked_indie_melody.csv
