danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.68,0.594,6,-6.417,0,0.0688,0.469,0.0,0.431,0.774,85.04,audio_features,51R2M1JgyFfRS3e6v5wCt3,spotify:track:51R2M1JgyFfRS3e6v5wCt3,https://api.spotify.com/v1/tracks/51R2M1JgyFfRS3e6v5wCt3,https://api.spotify.com/v1/audio-analysis/51R2M1JgyFfRS3e6v5wCt3,149173,4,handpicked_manu_chao.csv
0.591,0.627,9,-6.903,0,0.0935,0.669,0.0,0.127,0.741,191.944,audio_features,5Hc7O2dX51NI4YcHPuoOpw,spotify:track:5Hc7O2dX51NI4YcHPuoOpw,https://api.spotify.com/v1/tracks/5Hc7O2dX51NI4YcHPuoOpw,https://api.spotify.com/v1/audio-analysis/5Hc7O2dX51NI4YcHPuoOpw,227160,4,handpicked_manu_chao.csv
0.755,0.545,9,-10.027,0,0.0646,0.944,0.000118,0.144,0.964,149.807,audio_features,00SmB7n85SKROGjybsyq5i,spotify:track:00SmB7n85SKROGjybsyq5i,https://api.spotify.com/v1/tracks/00SmB7n85SKROGjybsyq5i,https://api.spotify.com/v1/audio-analysis/00SmB7n85SKROGjybsyq5i,158427,4,handpicked_manu_chao.csv
0.604,0.579,5,-8.3,0,0.045,0.474,8.9e-06,0.531,0.793,75.942,audio_features,59hH7GJFrSd5v9FwgSZEw8,spotify:track:59hH7GJFrSd5v9FwgSZEw8,https://api.spotify.com/v1/tracks/59hH7GJFrSd5v9FwgSZEw8,https://api.spotify.com/v1/audio-analysis/59hH7GJFrSd5v9FwgSZEw8,277013,4,handpicked_manu_chao.csv
0.701,0.824,9,-7.06,1,0.0412,0.763,3.36e-05,0.111,0.711,96.058,audio_features,5VEbIsn42Z8D3bz3RsjQcV,spotify:track:5VEbIsn42Z8D3bz3RsjQcV,https://api.spotify.com/v1/tracks/5VEbIsn42Z8D3bz3RsjQcV,https://api.spotify.com/v1/audio-analysis/5VEbIsn42Z8D3bz3RsjQcV,177573,4,handpicked_manu_chao.csv
0.606,0.895,9,-6.369,0,0.0548,0.517,0.0769,0.436,0.573,121.986,audio_features,3LM9Fim1brf4l7AbLHK5bL,spotify:track:3LM9Fim1brf4l7AbLHK5bL,https://api.spotify.com/v1/tracks/3LM9Fim1brf4l7AbLHK5bL,https://api.spotify.com/v1/audio-analysis/3LM9Fim1brf4l7AbLHK5bL,187307,4,handpicked_manu_chao.csv
0.728,0.628,10,-12.02,0,0.129,0.457,3.05e-05,0.687,0.971,78.957,audio_features,4s85QjFYaW2mODjqjriyzw,spotify:track:4s85QjFYaW2mODjqjriyzw,https://api.spotify.com/v1/tracks/4s85QjFYaW2mODjqjriyzw,https://api.spotify.com/v1/audio-analysis/4s85QjFYaW2mODjqjriyzw,141413,4,handpicked_manu_chao.csv
0.642,0.539,2,-9.164,0,0.0584,0.51,5.68e-05,0.0896,0.694,142.006,audio_features,15boojE8lD9VfJku7h4rpB,spotify:track:15boojE8lD9VfJku7h4rpB,https://api.spotify.com/v1/tracks/15boojE8lD9VfJku7h4rpB,https://api.spotify.com/v1/audio-analysis/15boojE8lD9VfJku7h4rpB,244093,4,handpicked_manu_chao.csv
0.766,0.321,4,-10.803,0,0.0505,0.796,1.78e-06,0.679,0.824,122.06,audio_features,6HisCl5XBGJMw9hZorXlmm,spotify:track:6HisCl5XBGJMw9hZorXlmm,https://api.spotify.com/v1/tracks/6HisCl5XBGJMw9hZorXlmm,https://api.spotify.com/v1/audio-analysis/6HisCl5XBGJMw9hZorXlmm,90133,4,handpicked_manu_chao.csv
0.685,0.888,9,-8.396,0,0.0891,0.153,0.0163,0.364,0.598,121.972,audio_features,7CU9coD7J9xunQCvKEHrOf,spotify:track:7CU9coD7J9xunQCvKEHrOf,https://api.spotify.com/v1/tracks/7CU9coD7J9xunQCvKEHrOf,https://api.spotify.com/v1/audio-analysis/7CU9coD7J9xunQCvKEHrOf,175280,4,handpicked_manu_chao.csv
0.696,0.613,5,-8.887,0,0.042,0.786,7.88e-05,0.104,0.592,157.876,audio_features,3yM2nErrfkUTNomdVlmL9V,spotify:track:3yM2nErrfkUTNomdVlmL9V,https://api.spotify.com/v1/tracks/3yM2nErrfkUTNomdVlmL9V,https://api.spotify.com/v1/audio-analysis/3yM2nErrfkUTNomdVlmL9V,180573,3,handpicked_manu_chao.csv
0.68,0.594,6,-6.417,0,0.0688,0.469,0.0,0.431,0.774,85.04,audio_features,51R2M1JgyFfRS3e6v5wCt3,spotify:track:51R2M1JgyFfRS3e6v5wCt3,https://api.spotify.com/v1/tracks/51R2M1JgyFfRS3e6v5wCt3,https://api.spotify.com/v1/audio-analysis/51R2M1JgyFfRS3e6v5wCt3,149173,4,handpicked_manu_chao.csv
0.728,0.628,10,-12.02,0,0.129,0.457,3.05e-05,0.687,0.971,78.957,audio_features,4s85QjFYaW2mODjqjriyzw,spotify:track:4s85QjFYaW2mODjqjriyzw,https://api.spotify.com/v1/tracks/4s85QjFYaW2mODjqjriyzw,https://api.spotify.com/v1/audio-analysis/4s85QjFYaW2mODjqjriyzw,141413,4,handpicked_manu_chao.csv
0.686,0.364,4,-12.239,1,0.0631,0.891,0.000109,0.532,0.567,128.538,audio_features,1FTP6uQPIugYxEg2jxwEKO,spotify:track:1FTP6uQPIugYxEg2jxwEKO,https://api.spotify.com/v1/tracks/1FTP6uQPIugYxEg2jxwEKO,https://api.spotify.com/v1/audio-analysis/1FTP6uQPIugYxEg2jxwEKO,148840,4,handpicked_manu_chao.csv
0.638,0.877,7,-8.208,0,0.252,0.438,0.00474,0.134,0.894,164.039,audio_features,1GsVEQfNpSuDZdz1yntZQa,spotify:track:1GsVEQfNpSuDZdz1yntZQa,https://api.spotify.com/v1/tracks/1GsVEQfNpSuDZdz1yntZQa,https://api.spotify.com/v1/audio-analysis/1GsVEQfNpSuDZdz1yntZQa,216067,4,handpicked_manu_chao.csv
