danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.796,0.865,9,-6.76,0,0.0801,0.179,0.0114,0.0852,0.768,130.012,audio_features,5qQLBOEAelSN7JWqX3RIIv,spotify:track:5qQLBOEAelSN7JWqX3RIIv,https://api.spotify.com/v1/tracks/5qQLBOEAelSN7JWqX3RIIv,https://api.spotify.com/v1/audio-analysis/5qQLBOEAelSN7JWqX3RIIv,136988,4,handpicked_modus_mio.csv
0.776,0.714,1,-5.705,1,0.335,0.0283,0.0,0.227,0.433,161.015,audio_features,4rSmXn2TIKt6iBeBDM4uOs,spotify:track:4rSmXn2TIKt6iBeBDM4uOs,https://api.spotify.com/v1/tracks/4rSmXn2TIKt6iBeBDM4uOs,https://api.spotify.com/v1/audio-analysis/4rSmXn2TIKt6iBeBDM4uOs,149444,4,handpicked_modus_mio.csv
0.96,0.67,3,-7.035,0,0.315,0.0598,1.57e-05,0.171,0.8,133.966,audio_features,6R5iuYqG0HsnC41RT3lzqX,spotify:track:6R5iuYqG0HsnC41RT3lzqX,https://api.spotify.com/v1/tracks/6R5iuYqG0HsnC41RT3lzqX,https://api.spotify.com/v1/audio-analysis/6R5iuYqG0HsnC41RT3lzqX,174232,4,handpicked_modus_mio.csv
0.752,0.571,2,-6.422,1,0.051,0.0723,0.529,0.314,0.492,169.155,audio_features,6FGPpwHlUBnl0TLGKyN4Nl,spotify:track:6FGPpwHlUBnl0TLGKyN4Nl,https://api.spotify.com/v1/tracks/6FGPpwHlUBnl0TLGKyN4Nl,https://api.spotify.com/v1/audio-analysis/6FGPpwHlUBnl0TLGKyN4Nl,83672,4,handpicked_modus_mio.csv
0.774,0.7,1,-7.334,1,0.266,0.163,3.24e-05,0.169,0.624,81.99,audio_features,3ilgxZl5g7MOQCUiky3VOG,spotify:track:3ilgxZl5g7MOQCUiky3VOG,https://api.spotify.com/v1/tracks/3ilgxZl5g7MOQCUiky3VOG,https://api.spotify.com/v1/audio-analysis/3ilgxZl5g7MOQCUiky3VOG,147587,4,handpicked_modus_mio.csv
0.815,0.666,3,-7.087,0,0.109,0.0987,0.00353,0.102,0.533,119.964,audio_features,0qo8YDKpPXlUQqp0vesiln,spotify:track:0qo8YDKpPXlUQqp0vesiln,https://api.spotify.com/v1/tracks/0qo8YDKpPXlUQqp0vesiln,https://api.spotify.com/v1/audio-analysis/0qo8YDKpPXlUQqp0vesiln,146040,4,handpicked_modus_mio.csv
0.91,0.712,10,-7.934,0,0.169,0.0248,2.36e-05,0.0755,0.399,115.023,audio_features,0fvt4b25fFbUPMdmj52PUB,spotify:track:0fvt4b25fFbUPMdmj52PUB,https://api.spotify.com/v1/tracks/0fvt4b25fFbUPMdmj52PUB,https://api.spotify.com/v1/audio-analysis/0fvt4b25fFbUPMdmj52PUB,146417,4,handpicked_modus_mio.csv
0.819,0.538,4,-6.811,0,0.292,0.141,0.00209,0.138,0.542,125.026,audio_features,5jGcOhXpPE07vrSe23198B,spotify:track:5jGcOhXpPE07vrSe23198B,https://api.spotify.com/v1/tracks/5jGcOhXpPE07vrSe23198B,https://api.spotify.com/v1/audio-analysis/5jGcOhXpPE07vrSe23198B,173480,4,handpicked_modus_mio.csv
0.74,0.469,8,-9.876,0,0.157,0.64,0.00026,0.137,0.657,141.998,audio_features,5DD9Y2IEZAvkUMpnVqg4gm,spotify:track:5DD9Y2IEZAvkUMpnVqg4gm,https://api.spotify.com/v1/tracks/5DD9Y2IEZAvkUMpnVqg4gm,https://api.spotify.com/v1/audio-analysis/5DD9Y2IEZAvkUMpnVqg4gm,165834,4,handpicked_modus_mio.csv
0.779,0.463,1,-8.505,1,0.325,0.0137,2.02e-06,0.117,0.688,94.909,audio_features,1TcPzAOy7RjHtLVV2uJgo5,spotify:track:1TcPzAOy7RjHtLVV2uJgo5,https://api.spotify.com/v1/tracks/1TcPzAOy7RjHtLVV2uJgo5,https://api.spotify.com/v1/audio-analysis/1TcPzAOy7RjHtLVV2uJgo5,132632,4,handpicked_modus_mio.csv
0.878,0.567,1,-7.132,1,0.442,0.0177,0.0,0.0848,0.602,155.874,audio_features,1F1I723SHQdXwyekuEvVvc,spotify:track:1F1I723SHQdXwyekuEvVvc,https://api.spotify.com/v1/tracks/1F1I723SHQdXwyekuEvVvc,https://api.spotify.com/v1/audio-analysis/1F1I723SHQdXwyekuEvVvc,130426,4,handpicked_modus_mio.csv
0.753,0.595,9,-7.718,0,0.161,0.203,0.0,0.107,0.533,95.988,audio_features,3ThmZJ7LQ3C20FpxU5kXJB,spotify:track:3ThmZJ7LQ3C20FpxU5kXJB,https://api.spotify.com/v1/tracks/3ThmZJ7LQ3C20FpxU5kXJB,https://api.spotify.com/v1/audio-analysis/3ThmZJ7LQ3C20FpxU5kXJB,140508,4,handpicked_modus_mio.csv
0.862,0.729,0,-6.383,0,0.109,0.14,0.0,0.382,0.741,121.991,audio_features,6HEto05GbTMwdbE68M3kXU,spotify:track:6HEto05GbTMwdbE68M3kXU,https://api.spotify.com/v1/tracks/6HEto05GbTMwdbE68M3kXU,https://api.spotify.com/v1/audio-analysis/6HEto05GbTMwdbE68M3kXU,162295,4,handpicked_modus_mio.csv
0.8,0.761,5,-4.608,0,0.202,0.124,0.0,0.142,0.704,97.037,audio_features,0QHtFTFvw7wYIqJUlFaLRQ,spotify:track:0QHtFTFvw7wYIqJUlFaLRQ,https://api.spotify.com/v1/tracks/0QHtFTFvw7wYIqJUlFaLRQ,https://api.spotify.com/v1/audio-analysis/0QHtFTFvw7wYIqJUlFaLRQ,166198,4,handpicked_modus_mio.csv
0.804,0.639,1,-7.951,0,0.0719,0.344,0.0205,0.0692,0.526,92.011,audio_features,4qXCzGbyq8OlFIGfcQF17O,spotify:track:4qXCzGbyq8OlFIGfcQF17O,https://api.spotify.com/v1/tracks/4qXCzGbyq8OlFIGfcQF17O,https://api.spotify.com/v1/audio-analysis/4qXCzGbyq8OlFIGfcQF17O,165000,4,handpicked_modus_mio.csv
0.823,0.567,2,-9.571,1,0.216,0.123,0.000272,0.113,0.545,136.006,audio_features,001TLpmtuQMWJYyE7q9ayM,spotify:track:001TLpmtuQMWJYyE7q9ayM,https://api.spotify.com/v1/tracks/001TLpmtuQMWJYyE7q9ayM,https://api.spotify.com/v1/audio-analysis/001TLpmtuQMWJYyE7q9ayM,190954,4,handpicked_modus_mio.csv
0.8,0.636,11,-9.242,0,0.281,0.0275,0.000156,0.166,0.527,86.019,audio_features,3gro2tfkybWGoK9MflVLWs,spotify:track:3gro2tfkybWGoK9MflVLWs,https://api.spotify.com/v1/tracks/3gro2tfkybWGoK9MflVLWs,https://api.spotify.com/v1/audio-analysis/3gro2tfkybWGoK9MflVLWs,149799,4,handpicked_modus_mio.csv
0.499,0.574,5,-5.67,1,0.288,0.308,0.0,0.288,0.451,77.034,audio_features,6wm7nuIQTOjviSpkk22F87,spotify:track:6wm7nuIQTOjviSpkk22F87,https://api.spotify.com/v1/tracks/6wm7nuIQTOjviSpkk22F87,https://api.spotify.com/v1/audio-analysis/6wm7nuIQTOjviSpkk22F87,180140,4,handpicked_modus_mio.csv
0.622,0.715,1,-6.363,0,0.088,0.0502,1.25e-05,0.0766,0.306,147.106,audio_features,3wlFVKpDLDADlWXTNl9gGN,spotify:track:3wlFVKpDLDADlWXTNl9gGN,https://api.spotify.com/v1/tracks/3wlFVKpDLDADlWXTNl9gGN,https://api.spotify.com/v1/audio-analysis/3wlFVKpDLDADlWXTNl9gGN,172137,4,handpicked_modus_mio.csv
0.819,0.521,10,-7.045,0,0.113,0.111,0.0,0.129,0.599,121.0,audio_features,0N9RX5PKyLlOKklH5bYtNH,spotify:track:0N9RX5PKyLlOKklH5bYtNH,https://api.spotify.com/v1/tracks/0N9RX5PKyLlOKklH5bYtNH,https://api.spotify.com/v1/audio-analysis/0N9RX5PKyLlOKklH5bYtNH,118000,4,handpicked_modus_mio.csv
0.893,0.657,8,-8.388,1,0.0891,0.0643,0.00848,0.0658,0.417,109.978,audio_features,5TfBut13yg4mQ1HFfHIOt5,spotify:track:5TfBut13yg4mQ1HFfHIOt5,https://api.spotify.com/v1/tracks/5TfBut13yg4mQ1HFfHIOt5,https://api.spotify.com/v1/audio-analysis/5TfBut13yg4mQ1HFfHIOt5,159673,4,handpicked_modus_mio.csv
0.828,0.785,5,-5.719,1,0.0585,0.275,0.00928,0.0952,0.575,145.044,audio_features,2AQjQLPLY5EZ667L2Z9M0D,spotify:track:2AQjQLPLY5EZ667L2Z9M0D,https://api.spotify.com/v1/tracks/2AQjQLPLY5EZ667L2Z9M0D,https://api.spotify.com/v1/audio-analysis/2AQjQLPLY5EZ667L2Z9M0D,187790,4,handpicked_modus_mio.csv
0.643,0.602,2,-6.211,1,0.381,0.25,5.98e-05,0.245,0.356,120.875,audio_features,2DynufiRAu0Nyn5TM1Cdpx,spotify:track:2DynufiRAu0Nyn5TM1Cdpx,https://api.spotify.com/v1/tracks/2DynufiRAu0Nyn5TM1Cdpx,https://api.spotify.com/v1/audio-analysis/2DynufiRAu0Nyn5TM1Cdpx,146526,5,handpicked_modus_mio.csv
0.84,0.707,10,-7.137,0,0.203,0.0468,0.147,0.303,0.708,139.981,audio_features,6tJxEvSIBU46PrbcK5TDnM,spotify:track:6tJxEvSIBU46PrbcK5TDnM,https://api.spotify.com/v1/tracks/6tJxEvSIBU46PrbcK5TDnM,https://api.spotify.com/v1/audio-analysis/6tJxEvSIBU46PrbcK5TDnM,143572,4,handpicked_modus_mio.csv
0.87,0.626,6,-8.621,0,0.394,0.00852,0.00128,0.0934,0.812,125.024,audio_features,4Ww41FseIYOCL0qP6MIGG5,spotify:track:4Ww41FseIYOCL0qP6MIGG5,https://api.spotify.com/v1/tracks/4Ww41FseIYOCL0qP6MIGG5,https://api.spotify.com/v1/audio-analysis/4Ww41FseIYOCL0qP6MIGG5,153600,4,handpicked_modus_mio.csv
0.828,0.438,2,-12.101,1,0.193,0.0794,0.0001,0.0878,0.619,107.089,audio_features,7Mn6Tisa1wVvYusahnvjE5,spotify:track:7Mn6Tisa1wVvYusahnvjE5,https://api.spotify.com/v1/tracks/7Mn6Tisa1wVvYusahnvjE5,https://api.spotify.com/v1/audio-analysis/7Mn6Tisa1wVvYusahnvjE5,96638,4,handpicked_modus_mio.csv
0.92,0.443,1,-9.178,0,0.293,0.00746,0.00175,0.112,0.477,100.012,audio_features,3J3hOsR7G49Wz9abNiaCDi,spotify:track:3J3hOsR7G49Wz9abNiaCDi,https://api.spotify.com/v1/tracks/3J3hOsR7G49Wz9abNiaCDi,https://api.spotify.com/v1/audio-analysis/3J3hOsR7G49Wz9abNiaCDi,132000,4,handpicked_modus_mio.csv
0.592,0.571,8,-9.132,1,0.344,0.1,0.0,0.289,0.6,96.764,audio_features,78ZmN4UVnpEedKiGqyzzDd,spotify:track:78ZmN4UVnpEedKiGqyzzDd,https://api.spotify.com/v1/tracks/78ZmN4UVnpEedKiGqyzzDd,https://api.spotify.com/v1/audio-analysis/78ZmN4UVnpEedKiGqyzzDd,116667,4,handpicked_modus_mio.csv
0.734,0.585,7,-9.24,1,0.435,0.147,0.0,0.173,0.323,119.969,audio_features,2Li8V6Mg4O50vCODrVK8Pj,spotify:track:2Li8V6Mg4O50vCODrVK8Pj,https://api.spotify.com/v1/tracks/2Li8V6Mg4O50vCODrVK8Pj,https://api.spotify.com/v1/audio-analysis/2Li8V6Mg4O50vCODrVK8Pj,176416,4,handpicked_modus_mio.csv
0.71,0.383,9,-16.201,0,0.247,0.245,0.0,0.146,0.406,143.103,audio_features,7jmSuVVemJ0ixY1Xcd3F3t,spotify:track:7jmSuVVemJ0ixY1Xcd3F3t,https://api.spotify.com/v1/tracks/7jmSuVVemJ0ixY1Xcd3F3t,https://api.spotify.com/v1/audio-analysis/7jmSuVVemJ0ixY1Xcd3F3t,201441,4,handpicked_modus_mio.csv
0.682,0.776,6,-3.971,0,0.21,0.0573,5.54e-06,0.202,0.714,91.484,audio_features,5rmYK9fuGCudePoqMlZeA3,spotify:track:5rmYK9fuGCudePoqMlZeA3,https://api.spotify.com/v1/tracks/5rmYK9fuGCudePoqMlZeA3,https://api.spotify.com/v1/audio-analysis/5rmYK9fuGCudePoqMlZeA3,168994,4,handpicked_modus_mio.csv
0.712,0.715,6,-7.553,0,0.28,0.0391,1.85e-06,0.137,0.588,92.563,audio_features,5cHPMo64nOHGBORMiHRAHk,spotify:track:5cHPMo64nOHGBORMiHRAHk,https://api.spotify.com/v1/tracks/5cHPMo64nOHGBORMiHRAHk,https://api.spotify.com/v1/audio-analysis/5cHPMo64nOHGBORMiHRAHk,135484,4,handpicked_modus_mio.csv
0.838,0.664,7,-8.195,1,0.203,0.48,0.000334,0.103,0.566,104.952,audio_features,5XPaWP5DuWbNuFg93khv60,spotify:track:5XPaWP5DuWbNuFg93khv60,https://api.spotify.com/v1/tracks/5XPaWP5DuWbNuFg93khv60,https://api.spotify.com/v1/audio-analysis/5XPaWP5DuWbNuFg93khv60,149304,4,handpicked_modus_mio.csv
0.706,0.505,1,-8.242,1,0.0505,0.299,0.00578,0.101,0.227,132.58,audio_features,0oa3yysoeOsHiB0PBRHzG8,spotify:track:0oa3yysoeOsHiB0PBRHzG8,https://api.spotify.com/v1/tracks/0oa3yysoeOsHiB0PBRHzG8,https://api.spotify.com/v1/audio-analysis/0oa3yysoeOsHiB0PBRHzG8,195500,4,handpicked_modus_mio.csv
0.795,0.732,0,-6.772,0,0.334,0.152,0.0,0.469,0.536,145.044,audio_features,7H3DGTl4bKZAwxyhE5AflC,spotify:track:7H3DGTl4bKZAwxyhE5AflC,https://api.spotify.com/v1/tracks/7H3DGTl4bKZAwxyhE5AflC,https://api.spotify.com/v1/audio-analysis/7H3DGTl4bKZAwxyhE5AflC,120744,4,handpicked_modus_mio.csv
0.879,0.805,10,-5.432,0,0.264,0.043,0.0,0.272,0.644,107.002,audio_features,1Sne2aMf2LwLlL5oAXZfuV,spotify:track:1Sne2aMf2LwLlL5oAXZfuV,https://api.spotify.com/v1/tracks/1Sne2aMf2LwLlL5oAXZfuV,https://api.spotify.com/v1/audio-analysis/1Sne2aMf2LwLlL5oAXZfuV,135876,4,handpicked_modus_mio.csv
0.739,0.668,1,-7.237,0,0.0471,0.0262,0.251,0.248,0.579,114.045,audio_features,0ya0fBUHF1TKookyKM5ZVQ,spotify:track:0ya0fBUHF1TKookyKM5ZVQ,https://api.spotify.com/v1/tracks/0ya0fBUHF1TKookyKM5ZVQ,https://api.spotify.com/v1/audio-analysis/0ya0fBUHF1TKookyKM5ZVQ,172105,4,handpicked_modus_mio.csv
0.755,0.642,1,-6.009,1,0.262,0.0141,0.000252,0.171,0.322,141.893,audio_features,2cEklOsQ4yr4SgtXZtHwvN,spotify:track:2cEklOsQ4yr4SgtXZtHwvN,https://api.spotify.com/v1/tracks/2cEklOsQ4yr4SgtXZtHwvN,https://api.spotify.com/v1/audio-analysis/2cEklOsQ4yr4SgtXZtHwvN,178399,4,handpicked_modus_mio.csv
0.816,0.668,2,-8.387,1,0.0448,0.0105,0.000998,0.1,0.496,112.99,audio_features,5InAC9tRIs45iRXF2ypQ4N,spotify:track:5InAC9tRIs45iRXF2ypQ4N,https://api.spotify.com/v1/tracks/5InAC9tRIs45iRXF2ypQ4N,https://api.spotify.com/v1/audio-analysis/5InAC9tRIs45iRXF2ypQ4N,184790,4,handpicked_modus_mio.csv
0.743,0.606,1,-8.774,0,0.161,0.0861,0.0,0.0913,0.292,93.123,audio_features,2LCoh1sop5AYzRBVDHFoiK,spotify:track:2LCoh1sop5AYzRBVDHFoiK,https://api.spotify.com/v1/tracks/2LCoh1sop5AYzRBVDHFoiK,https://api.spotify.com/v1/audio-analysis/2LCoh1sop5AYzRBVDHFoiK,146368,4,handpicked_modus_mio.csv
0.849,0.61,10,-7.937,0,0.118,0.231,2.88e-05,0.145,0.286,120.961,audio_features,6rcz59uAJ37rbEGJza8Is8,spotify:track:6rcz59uAJ37rbEGJza8Is8,https://api.spotify.com/v1/tracks/6rcz59uAJ37rbEGJza8Is8,https://api.spotify.com/v1/audio-analysis/6rcz59uAJ37rbEGJza8Is8,197129,4,handpicked_modus_mio.csv
0.649,0.843,4,-6.745,0,0.051,0.25,0.0015,0.121,0.33,142.001,audio_features,565OBXlZlMmtddb3I2yxBn,spotify:track:565OBXlZlMmtddb3I2yxBn,https://api.spotify.com/v1/tracks/565OBXlZlMmtddb3I2yxBn,https://api.spotify.com/v1/audio-analysis/565OBXlZlMmtddb3I2yxBn,156395,4,handpicked_modus_mio.csv
0.563,0.577,6,-7.949,0,0.14,0.171,0.000471,0.194,0.254,135.225,audio_features,6susW8spInEVk0vKE33aWd,spotify:track:6susW8spInEVk0vKE33aWd,https://api.spotify.com/v1/tracks/6susW8spInEVk0vKE33aWd,https://api.spotify.com/v1/audio-analysis/6susW8spInEVk0vKE33aWd,161307,5,handpicked_modus_mio.csv
