danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.736,0.716,2,-3.861,0,0.331,0.421,0.0,0.125,0.606,146.1,audio_features,6sxVoI130Q7snlzULMt3Iv,spotify:track:6sxVoI130Q7snlzULMt3Iv,https://api.spotify.com/v1/tracks/6sxVoI130Q7snlzULMt3Iv,https://api.spotify.com/v1/audio-analysis/6sxVoI130Q7snlzULMt3Iv,238013,4,handpicked_money_boy.csv
0.723,0.605,7,-10.789,1,0.149,0.226,0.0,0.457,0.125,91.063,audio_features,2uuXKTgNVT6KU6w5aTpW3A,spotify:track:2uuXKTgNVT6KU6w5aTpW3A,https://api.spotify.com/v1/tracks/2uuXKTgNVT6KU6w5aTpW3A,https://api.spotify.com/v1/audio-analysis/2uuXKTgNVT6KU6w5aTpW3A,192527,4,handpicked_money_boy.csv
0.923,0.758,5,-6.686,0,0.26,0.0943,0.0,0.111,0.386,95.523,audio_features,2k3ZbF0ETEuoNrkStB7oGa,spotify:track:2k3ZbF0ETEuoNrkStB7oGa,https://api.spotify.com/v1/tracks/2k3ZbF0ETEuoNrkStB7oGa,https://api.spotify.com/v1/audio-analysis/2k3ZbF0ETEuoNrkStB7oGa,165000,4,handpicked_money_boy.csv
0.951,0.485,8,-7.027,1,0.403,0.0575,0.0,0.0512,0.486,105.981,audio_features,3tYFg2dWpmtYwgCJ5Rjl7q,spotify:track:3tYFg2dWpmtYwgCJ5Rjl7q,https://api.spotify.com/v1/tracks/3tYFg2dWpmtYwgCJ5Rjl7q,https://api.spotify.com/v1/audio-analysis/3tYFg2dWpmtYwgCJ5Rjl7q,207000,4,handpicked_money_boy.csv
0.912,0.592,9,-8.658,1,0.368,0.0279,1.03e-05,0.0969,0.213,136.049,audio_features,2qBl6nPXhJMTN7A5R9KvqM,spotify:track:2qBl6nPXhJMTN7A5R9KvqM,https://api.spotify.com/v1/tracks/2qBl6nPXhJMTN7A5R9KvqM,https://api.spotify.com/v1/audio-analysis/2qBl6nPXhJMTN7A5R9KvqM,134586,4,handpicked_money_boy.csv
0.886,0.688,7,-5.445,1,0.422,0.349,0.0,0.141,0.695,93.792,audio_features,6lZxuTewNnYsUP6RNXVFSJ,spotify:track:6lZxuTewNnYsUP6RNXVFSJ,https://api.spotify.com/v1/tracks/6lZxuTewNnYsUP6RNXVFSJ,https://api.spotify.com/v1/audio-analysis/6lZxuTewNnYsUP6RNXVFSJ,197000,4,handpicked_money_boy.csv
0.863,0.439,10,-11.261,0,0.538,0.128,0.0,0.276,0.391,120.391,audio_features,7KcJIsYjcn9EieYCswtxoc,spotify:track:7KcJIsYjcn9EieYCswtxoc,https://api.spotify.com/v1/tracks/7KcJIsYjcn9EieYCswtxoc,https://api.spotify.com/v1/audio-analysis/7KcJIsYjcn9EieYCswtxoc,243333,5,handpicked_money_boy.csv
0.766,0.579,10,-6.499,0,0.387,0.594,0.0,0.121,0.668,92.906,audio_features,0Rn3780Db9pexTSBg1a6Ao,spotify:track:0Rn3780Db9pexTSBg1a6Ao,https://api.spotify.com/v1/tracks/0Rn3780Db9pexTSBg1a6Ao,https://api.spotify.com/v1/audio-analysis/0Rn3780Db9pexTSBg1a6Ao,218125,4,handpicked_money_boy.csv
0.881,0.352,2,-9.079,0,0.25,0.0599,1.71e-05,0.0881,0.263,114.026,audio_features,4EYrzeA3hKCFneD0Pm4E9X,spotify:track:4EYrzeA3hKCFneD0Pm4E9X,https://api.spotify.com/v1/tracks/4EYrzeA3hKCFneD0Pm4E9X,https://api.spotify.com/v1/audio-analysis/4EYrzeA3hKCFneD0Pm4E9X,173000,4,handpicked_money_boy.csv
0.75,0.637,7,-7.758,1,0.0812,0.395,0.0,0.105,0.588,140.001,audio_features,1qk1yT0sAxXPtOWOjfchky,spotify:track:1qk1yT0sAxXPtOWOjfchky,https://api.spotify.com/v1/tracks/1qk1yT0sAxXPtOWOjfchky,https://api.spotify.com/v1/audio-analysis/1qk1yT0sAxXPtOWOjfchky,224467,4,handpicked_money_boy.csv
0.745,0.863,10,-4.988,1,0.304,0.241,0.0,0.05,0.638,140.192,audio_features,1TA7uvfW1GmrfJ064TIjie,spotify:track:1TA7uvfW1GmrfJ064TIjie,https://api.spotify.com/v1/tracks/1TA7uvfW1GmrfJ064TIjie,https://api.spotify.com/v1/audio-analysis/1TA7uvfW1GmrfJ064TIjie,138125,4,handpicked_money_boy.csv
0.573,0.856,5,-5.099,0,0.17,0.235,0.0,0.305,0.232,135.916,audio_features,3BBFEFtHrr6mcsHF1RhgoS,spotify:track:3BBFEFtHrr6mcsHF1RhgoS,https://api.spotify.com/v1/tracks/3BBFEFtHrr6mcsHF1RhgoS,https://api.spotify.com/v1/audio-analysis/3BBFEFtHrr6mcsHF1RhgoS,226250,4,handpicked_money_boy.csv
0.709,0.628,2,-6.654,1,0.0623,0.441,0.0,0.102,0.304,143.901,audio_features,7eCIvLak7WNgHrGblEX9WY,spotify:track:7eCIvLak7WNgHrGblEX9WY,https://api.spotify.com/v1/tracks/7eCIvLak7WNgHrGblEX9WY,https://api.spotify.com/v1/audio-analysis/7eCIvLak7WNgHrGblEX9WY,134000,4,handpicked_money_boy.csv
