danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.811,0.816,8,-4.887,1,0.129,0.186,0.0,0.629,0.313,133.876,audio_features,5hqxBvQJ3XJDSbxT9vyyqA,spotify:track:5hqxBvQJ3XJDSbxT9vyyqA,https://api.spotify.com/v1/tracks/5hqxBvQJ3XJDSbxT9vyyqA,https://api.spotify.com/v1/audio-analysis/5hqxBvQJ3XJDSbxT9vyyqA,260093,4,handpicked_peter_fox_radio.csv
0.891,0.701,5,-6.289,0,0.094,0.0316,0.0,0.0901,0.751,127.942,audio_features,60SsWvr9QKRUUTea99SZUN,spotify:track:60SsWvr9QKRUUTea99SZUN,https://api.spotify.com/v1/tracks/60SsWvr9QKRUUTea99SZUN,https://api.spotify.com/v1/audio-analysis/60SsWvr9QKRUUTea99SZUN,214853,4,handpicked_peter_fox_radio.csv
0.8,0.695,7,-5.205,1,0.0554,0.225,0.0,0.112,0.641,95.013,audio_features,35KgkjUBqbU6haT6aEuDws,spotify:track:35KgkjUBqbU6haT6aEuDws,https://api.spotify.com/v1/tracks/35KgkjUBqbU6haT6aEuDws,https://api.spotify.com/v1/audio-analysis/35KgkjUBqbU6haT6aEuDws,199467,4,handpicked_peter_fox_radio.csv
0.633,0.824,7,-5.426,1,0.163,0.0645,0.0,0.919,0.596,139.909,audio_features,14ZdGRgEojosST783o66CX,spotify:track:14ZdGRgEojosST783o66CX,https://api.spotify.com/v1/tracks/14ZdGRgEojosST783o66CX,https://api.spotify.com/v1/audio-analysis/14ZdGRgEojosST783o66CX,265495,4,handpicked_peter_fox_radio.csv
0.818,0.564,2,-6.312,1,0.186,0.0513,0.0,0.0672,0.535,95.023,audio_features,3jd4ya9vCwExxTVOjPcqsf,spotify:track:3jd4ya9vCwExxTVOjPcqsf,https://api.spotify.com/v1/tracks/3jd4ya9vCwExxTVOjPcqsf,https://api.spotify.com/v1/audio-analysis/3jd4ya9vCwExxTVOjPcqsf,206560,4,handpicked_peter_fox_radio.csv
0.868,0.536,7,-7.684,1,0.328,0.422,1.01e-06,0.195,0.686,138.007,audio_features,60jQoHwEzJByhXP8bl9A86,spotify:track:60jQoHwEzJByhXP8bl9A86,https://api.spotify.com/v1/tracks/60jQoHwEzJByhXP8bl9A86,https://api.spotify.com/v1/audio-analysis/60jQoHwEzJByhXP8bl9A86,182396,4,handpicked_peter_fox_radio.csv
0.887,0.862,5,-6.297,0,0.152,0.453,0.0,0.316,0.961,99.12,audio_features,2gIko4hI8B2fepsOCo2yBb,spotify:track:2gIko4hI8B2fepsOCo2yBb,https://api.spotify.com/v1/tracks/2gIko4hI8B2fepsOCo2yBb,https://api.spotify.com/v1/audio-analysis/2gIko4hI8B2fepsOCo2yBb,215493,4,handpicked_peter_fox_radio.csv
0.749,0.886,1,-4.887,1,0.122,0.0442,6.02e-05,0.118,0.479,99.524,audio_features,22f8RBGm0xklH4wSh36J3w,spotify:track:22f8RBGm0xklH4wSh36J3w,https://api.spotify.com/v1/tracks/22f8RBGm0xklH4wSh36J3w,https://api.spotify.com/v1/audio-analysis/22f8RBGm0xklH4wSh36J3w,354133,4,handpicked_peter_fox_radio.csv
0.667,0.909,9,-3.192,1,0.137,0.684,0.0,0.68,0.725,99.967,audio_features,3HNCHDA7VVoMKtXP0AFjwu,spotify:track:3HNCHDA7VVoMKtXP0AFjwu,https://api.spotify.com/v1/tracks/3HNCHDA7VVoMKtXP0AFjwu,https://api.spotify.com/v1/audio-analysis/3HNCHDA7VVoMKtXP0AFjwu,199889,4,handpicked_peter_fox_radio.csv
0.647,0.872,1,-4.657,1,0.0347,0.153,2.39e-05,0.531,0.39,143.958,audio_features,2y9woPM180Da3Tgf1bBE2K,spotify:track:2y9woPM180Da3Tgf1bBE2K,https://api.spotify.com/v1/tracks/2y9woPM180Da3Tgf1bBE2K,https://api.spotify.com/v1/audio-analysis/2y9woPM180Da3Tgf1bBE2K,204293,4,handpicked_peter_fox_radio.csv
0.781,0.393,1,-12.423,0,0.0343,0.389,0.00888,0.0954,0.603,116.977,audio_features,6RxnOMdjeegcAnHoeecudU,spotify:track:6RxnOMdjeegcAnHoeecudU,https://api.spotify.com/v1/tracks/6RxnOMdjeegcAnHoeecudU,https://api.spotify.com/v1/audio-analysis/6RxnOMdjeegcAnHoeecudU,237858,4,handpicked_peter_fox_radio.csv
0.8,0.62,1,-4.673,0,0.0685,0.0414,2.33e-06,0.0662,0.751,80.795,audio_features,7BgwSiFLgF7iPryVWc6EkD,spotify:track:7BgwSiFLgF7iPryVWc6EkD,https://api.spotify.com/v1/tracks/7BgwSiFLgF7iPryVWc6EkD,https://api.spotify.com/v1/audio-analysis/7BgwSiFLgF7iPryVWc6EkD,233413,4,handpicked_peter_fox_radio.csv
0.802,0.821,9,-4.987,1,0.0824,0.0327,0.0,0.13,0.595,100.113,audio_features,3vaBHxfz5WPBLLPt1hTUvI,spotify:track:3vaBHxfz5WPBLLPt1hTUvI,https://api.spotify.com/v1/tracks/3vaBHxfz5WPBLLPt1hTUvI,https://api.spotify.com/v1/audio-analysis/3vaBHxfz5WPBLLPt1hTUvI,209453,4,handpicked_peter_fox_radio.csv
0.883,0.859,1,-5.311,1,0.0823,0.0839,0.0,0.247,0.605,124.963,audio_features,2XM4XmvoWRmg2y1uY4LF9z,spotify:track:2XM4XmvoWRmg2y1uY4LF9z,https://api.spotify.com/v1/tracks/2XM4XmvoWRmg2y1uY4LF9z,https://api.spotify.com/v1/audio-analysis/2XM4XmvoWRmg2y1uY4LF9z,165067,4,handpicked_peter_fox_radio.csv
0.815,0.718,6,-8.517,0,0.122,0.151,0.0114,0.557,0.567,107.989,audio_features,0lIX2ce3jiQ0uQg5ABbAsX,spotify:track:0lIX2ce3jiQ0uQg5ABbAsX,https://api.spotify.com/v1/tracks/0lIX2ce3jiQ0uQg5ABbAsX,https://api.spotify.com/v1/audio-analysis/0lIX2ce3jiQ0uQg5ABbAsX,239444,4,handpicked_peter_fox_radio.csv
0.699,0.778,8,-3.877,0,0.0385,0.0535,0.0,0.146,0.753,107.031,audio_features,4SN5MyYZbiYhNHEQC51gh3,spotify:track:4SN5MyYZbiYhNHEQC51gh3,https://api.spotify.com/v1/tracks/4SN5MyYZbiYhNHEQC51gh3,https://api.spotify.com/v1/audio-analysis/4SN5MyYZbiYhNHEQC51gh3,177818,4,handpicked_peter_fox_radio.csv
0.701,0.922,0,-3.974,1,0.205,0.0496,0.0,0.337,0.803,91.988,audio_features,6c2X8MuwEsYe8v5gypkjiJ,spotify:track:6c2X8MuwEsYe8v5gypkjiJ,https://api.spotify.com/v1/tracks/6c2X8MuwEsYe8v5gypkjiJ,https://api.spotify.com/v1/audio-analysis/6c2X8MuwEsYe8v5gypkjiJ,206200,4,handpicked_peter_fox_radio.csv
0.878,0.822,9,-5.844,1,0.207,0.435,0.0,0.148,0.738,101.884,audio_features,2r7HmXMFclIkDSPs5LzjAE,spotify:track:2r7HmXMFclIkDSPs5LzjAE,https://api.spotify.com/v1/tracks/2r7HmXMFclIkDSPs5LzjAE,https://api.spotify.com/v1/audio-analysis/2r7HmXMFclIkDSPs5LzjAE,224013,4,handpicked_peter_fox_radio.csv
0.643,0.794,7,-5.958,1,0.417,0.133,0.0,0.709,0.513,97.753,audio_features,4eRmCZWJoEtLl0wy7EJPwd,spotify:track:4eRmCZWJoEtLl0wy7EJPwd,https://api.spotify.com/v1/tracks/4eRmCZWJoEtLl0wy7EJPwd,https://api.spotify.com/v1/audio-analysis/4eRmCZWJoEtLl0wy7EJPwd,284906,4,handpicked_peter_fox_radio.csv
0.829,0.557,11,-6.153,0,0.11,0.00312,3.78e-06,0.0598,0.953,134.981,audio_features,5gYb9B6N8ygZ6xoZqtX1YB,spotify:track:5gYb9B6N8ygZ6xoZqtX1YB,https://api.spotify.com/v1/tracks/5gYb9B6N8ygZ6xoZqtX1YB,https://api.spotify.com/v1/audio-analysis/5gYb9B6N8ygZ6xoZqtX1YB,230293,4,handpicked_peter_fox_radio.csv
0.672,0.676,9,-6.508,1,0.0381,0.0965,1.54e-05,0.735,0.442,120.07,audio_features,2symqUHJ3DgIYCyinDBpd3,spotify:track:2symqUHJ3DgIYCyinDBpd3,https://api.spotify.com/v1/tracks/2symqUHJ3DgIYCyinDBpd3,https://api.spotify.com/v1/audio-analysis/2symqUHJ3DgIYCyinDBpd3,228213,4,handpicked_peter_fox_radio.csv
0.676,0.471,4,-5.884,0,0.0393,0.375,0.0,0.25,0.706,111.988,audio_features,7I634HEa6tNZEa6rWtuQt3,spotify:track:7I634HEa6tNZEa6rWtuQt3,https://api.spotify.com/v1/tracks/7I634HEa6tNZEa6rWtuQt3,https://api.spotify.com/v1/audio-analysis/7I634HEa6tNZEa6rWtuQt3,216853,4,handpicked_peter_fox_radio.csv
0.788,0.623,9,-5.798,0,0.0301,0.0614,1.56e-06,0.182,0.825,110.029,audio_features,33gdLVI82YjkXpYYCiJini,spotify:track:33gdLVI82YjkXpYYCiJini,https://api.spotify.com/v1/tracks/33gdLVI82YjkXpYYCiJini,https://api.spotify.com/v1/audio-analysis/33gdLVI82YjkXpYYCiJini,117540,4,handpicked_peter_fox_radio.csv
0.637,0.604,8,-5.197,1,0.329,0.0194,0.0,0.108,0.238,162.088,audio_features,1Fjz0ME9pzk553wH86m3ZZ,spotify:track:1Fjz0ME9pzk553wH86m3ZZ,https://api.spotify.com/v1/tracks/1Fjz0ME9pzk553wH86m3ZZ,https://api.spotify.com/v1/audio-analysis/1Fjz0ME9pzk553wH86m3ZZ,215800,4,handpicked_peter_fox_radio.csv
0.843,0.8,1,-4.061,1,0.0336,0.179,0.0,0.118,0.961,133.026,audio_features,3RM5RpRDDdST1njqOMG141,spotify:track:3RM5RpRDDdST1njqOMG141,https://api.spotify.com/v1/tracks/3RM5RpRDDdST1njqOMG141,https://api.spotify.com/v1/audio-analysis/3RM5RpRDDdST1njqOMG141,196120,4,handpicked_peter_fox_radio.csv
0.664,0.921,9,-3.803,0,0.104,0.0251,0.0,0.175,0.766,158.381,audio_features,1rbnDRx6VuKAGS36CmiyQD,spotify:track:1rbnDRx6VuKAGS36CmiyQD,https://api.spotify.com/v1/tracks/1rbnDRx6VuKAGS36CmiyQD,https://api.spotify.com/v1/audio-analysis/1rbnDRx6VuKAGS36CmiyQD,241667,4,handpicked_peter_fox_radio.csv
0.671,0.842,2,-6.679,1,0.164,0.566,0.0012,0.102,0.814,143.028,audio_features,310tsfkUp6oFdFYZUgaXuh,spotify:track:310tsfkUp6oFdFYZUgaXuh,https://api.spotify.com/v1/tracks/310tsfkUp6oFdFYZUgaXuh,https://api.spotify.com/v1/audio-analysis/310tsfkUp6oFdFYZUgaXuh,232467,4,handpicked_peter_fox_radio.csv
0.741,0.806,4,-4.08,1,0.059,0.0847,0.0,0.0987,0.598,129.001,audio_features,4DO9VPVOcGDhvMalJw3FSg,spotify:track:4DO9VPVOcGDhvMalJw3FSg,https://api.spotify.com/v1/tracks/4DO9VPVOcGDhvMalJw3FSg,https://api.spotify.com/v1/audio-analysis/4DO9VPVOcGDhvMalJw3FSg,233400,4,handpicked_peter_fox_radio.csv
0.516,0.638,0,-8.403,0,0.0515,0.147,0.0,0.129,0.727,118.103,audio_features,0BLmi9RfDyv9UMxVM0m2EN,spotify:track:0BLmi9RfDyv9UMxVM0m2EN,https://api.spotify.com/v1/tracks/0BLmi9RfDyv9UMxVM0m2EN,https://api.spotify.com/v1/audio-analysis/0BLmi9RfDyv9UMxVM0m2EN,243264,4,handpicked_peter_fox_radio.csv
0.949,0.679,1,-6.502,1,0.0682,0.0467,0.0053,0.097,0.126,121.025,audio_features,7q08I7aOt87YE7tTLMsJW3,spotify:track:7q08I7aOt87YE7tTLMsJW3,https://api.spotify.com/v1/tracks/7q08I7aOt87YE7tTLMsJW3,https://api.spotify.com/v1/audio-analysis/7q08I7aOt87YE7tTLMsJW3,224445,4,handpicked_peter_fox_radio.csv
0.628,0.833,2,-4.679,1,0.0258,0.0791,0.0,0.202,0.5,129.978,audio_features,28VHPpOFGdY2PByaTe10ZX,spotify:track:28VHPpOFGdY2PByaTe10ZX,https://api.spotify.com/v1/tracks/28VHPpOFGdY2PByaTe10ZX,https://api.spotify.com/v1/audio-analysis/28VHPpOFGdY2PByaTe10ZX,260773,4,handpicked_peter_fox_radio.csv
0.629,0.568,4,-4.231,1,0.0335,0.162,4.88e-06,0.162,0.393,95.077,audio_features,58zHoX9U5VlSXLUUmWTfe2,spotify:track:58zHoX9U5VlSXLUUmWTfe2,https://api.spotify.com/v1/tracks/58zHoX9U5VlSXLUUmWTfe2,https://api.spotify.com/v1/audio-analysis/58zHoX9U5VlSXLUUmWTfe2,197987,4,handpicked_peter_fox_radio.csv
0.733,0.751,11,-6.171,1,0.0829,0.631,0.0,0.149,0.701,126.018,audio_features,3FcqFCeCD6QRtRo6WGLCnC,spotify:track:3FcqFCeCD6QRtRo6WGLCnC,https://api.spotify.com/v1/tracks/3FcqFCeCD6QRtRo6WGLCnC,https://api.spotify.com/v1/audio-analysis/3FcqFCeCD6QRtRo6WGLCnC,218964,4,handpicked_peter_fox_radio.csv
0.712,0.73,9,-5.445,0,0.049,0.000953,0.0,0.178,0.546,126.947,audio_features,4PCJoByUtSQLPJ1R92W4Lu,spotify:track:4PCJoByUtSQLPJ1R92W4Lu,https://api.spotify.com/v1/tracks/4PCJoByUtSQLPJ1R92W4Lu,https://api.spotify.com/v1/audio-analysis/4PCJoByUtSQLPJ1R92W4Lu,228347,4,handpicked_peter_fox_radio.csv
0.671,0.774,1,-4.804,1,0.0509,0.0283,0.0,0.349,0.71,135.916,audio_features,28nGdf4q5UAJgRJZQuO9J2,spotify:track:28nGdf4q5UAJgRJZQuO9J2,https://api.spotify.com/v1/tracks/28nGdf4q5UAJgRJZQuO9J2,https://api.spotify.com/v1/audio-analysis/28nGdf4q5UAJgRJZQuO9J2,259307,4,handpicked_peter_fox_radio.csv
0.897,0.71,5,-10.681,0,0.3,0.432,0.0269,0.338,0.846,139.986,audio_features,0DNigyLOW1N8l5Q5trIUuS,spotify:track:0DNigyLOW1N8l5Q5trIUuS,https://api.spotify.com/v1/tracks/0DNigyLOW1N8l5Q5trIUuS,https://api.spotify.com/v1/audio-analysis/0DNigyLOW1N8l5Q5trIUuS,214671,4,handpicked_peter_fox_radio.csv
0.552,0.577,5,-7.107,1,0.0929,0.0122,0.000139,0.121,0.763,87.554,audio_features,1IivtUqnUfW9jH3pM08D8U,spotify:track:1IivtUqnUfW9jH3pM08D8U,https://api.spotify.com/v1/tracks/1IivtUqnUfW9jH3pM08D8U,https://api.spotify.com/v1/audio-analysis/1IivtUqnUfW9jH3pM08D8U,219013,4,handpicked_peter_fox_radio.csv
0.666,0.627,1,-8.356,1,0.485,0.174,0.0,0.353,0.493,85.487,audio_features,6b2vkaiDawOcupyDxNNCba,spotify:track:6b2vkaiDawOcupyDxNNCba,https://api.spotify.com/v1/tracks/6b2vkaiDawOcupyDxNNCba,https://api.spotify.com/v1/audio-analysis/6b2vkaiDawOcupyDxNNCba,192453,4,handpicked_peter_fox_radio.csv
0.738,0.686,11,-7.295,1,0.0574,0.618,1.11e-05,0.103,0.836,90.018,audio_features,2Dokmx5wUHX0jwfoYdbWHA,spotify:track:2Dokmx5wUHX0jwfoYdbWHA,https://api.spotify.com/v1/tracks/2Dokmx5wUHX0jwfoYdbWHA,https://api.spotify.com/v1/audio-analysis/2Dokmx5wUHX0jwfoYdbWHA,270240,4,handpicked_peter_fox_radio.csv
