danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.534,0.881,0,-8.401,1,0.0334,0.0045,0.446,0.166,0.941,84.079,audio_features,5aGbMA00wvLQAosD3Td1CO,spotify:track:5aGbMA00wvLQAosD3Td1CO,https://api.spotify.com/v1/tracks/5aGbMA00wvLQAosD3Td1CO,https://api.spotify.com/v1/audio-analysis/5aGbMA00wvLQAosD3Td1CO,187587,4,handpicked_peter_licht.csv
0.341,0.58,9,-12.707,0,0.0649,0.406,0.000338,0.276,0.227,77.944,audio_features,0l2gD1pkHIU7NlRnfhCBxQ,spotify:track:0l2gD1pkHIU7NlRnfhCBxQ,https://api.spotify.com/v1/tracks/0l2gD1pkHIU7NlRnfhCBxQ,https://api.spotify.com/v1/audio-analysis/0l2gD1pkHIU7NlRnfhCBxQ,213120,4,handpicked_peter_licht.csv
0.642,0.894,1,-5.643,0,0.0279,0.0627,0.000244,0.131,0.485,128.478,audio_features,5awb61XNSqzLTBDjPnToI6,spotify:track:5awb61XNSqzLTBDjPnToI6,https://api.spotify.com/v1/tracks/5awb61XNSqzLTBDjPnToI6,https://api.spotify.com/v1/audio-analysis/5awb61XNSqzLTBDjPnToI6,259907,4,handpicked_peter_licht.csv
0.552,0.645,0,-6.815,1,0.0268,0.409,1.1e-06,0.163,0.573,155.024,audio_features,7GFteQz0Y6FFaJhCfj0I9X,spotify:track:7GFteQz0Y6FFaJhCfj0I9X,https://api.spotify.com/v1/tracks/7GFteQz0Y6FFaJhCfj0I9X,https://api.spotify.com/v1/audio-analysis/7GFteQz0Y6FFaJhCfj0I9X,229425,4,handpicked_peter_licht.csv
0.699,0.719,5,-6.583,1,0.0696,0.291,0.0074,0.144,0.619,148.997,audio_features,149ep4M9zJE9gNXIgplXa4,spotify:track:149ep4M9zJE9gNXIgplXa4,https://api.spotify.com/v1/tracks/149ep4M9zJE9gNXIgplXa4,https://api.spotify.com/v1/audio-analysis/149ep4M9zJE9gNXIgplXa4,217560,4,handpicked_peter_licht.csv
0.466,0.799,2,-6.819,1,0.0374,0.164,0.0227,0.221,0.122,168.05,audio_features,05lOIK2uSNy1ZlVSxFUnB7,spotify:track:05lOIK2uSNy1ZlVSxFUnB7,https://api.spotify.com/v1/tracks/05lOIK2uSNy1ZlVSxFUnB7,https://api.spotify.com/v1/audio-analysis/05lOIK2uSNy1ZlVSxFUnB7,270200,4,handpicked_peter_licht.csv
0.715,0.321,4,-14.563,1,0.0567,0.385,0.000429,0.396,0.525,157.998,audio_features,0LcuxJ5tHhr9QbnH2eGOY2,spotify:track:0LcuxJ5tHhr9QbnH2eGOY2,https://api.spotify.com/v1/tracks/0LcuxJ5tHhr9QbnH2eGOY2,https://api.spotify.com/v1/audio-analysis/0LcuxJ5tHhr9QbnH2eGOY2,243799,4,handpicked_peter_licht.csv
0.382,0.94,6,-6.667,1,0.0518,0.000715,0.00423,0.0955,0.368,169.005,audio_features,4TOm6L5Wi0rIJisRmQenan,spotify:track:4TOm6L5Wi0rIJisRmQenan,https://api.spotify.com/v1/tracks/4TOm6L5Wi0rIJisRmQenan,https://api.spotify.com/v1/audio-analysis/4TOm6L5Wi0rIJisRmQenan,220160,4,handpicked_peter_licht.csv
0.324,0.932,5,-4.364,1,0.0406,0.0138,0.000806,0.0839,0.566,172.395,audio_features,3cDYaxzXr6gblJlUey5Dpq,spotify:track:3cDYaxzXr6gblJlUey5Dpq,https://api.spotify.com/v1/tracks/3cDYaxzXr6gblJlUey5Dpq,https://api.spotify.com/v1/audio-analysis/3cDYaxzXr6gblJlUey5Dpq,212160,4,handpicked_peter_licht.csv
0.72,0.554,4,-8.512,1,0.0415,0.529,5.88e-05,0.256,0.318,140.011,audio_features,5UhYbOKQt2m29uV4mGNBur,spotify:track:5UhYbOKQt2m29uV4mGNBur,https://api.spotify.com/v1/tracks/5UhYbOKQt2m29uV4mGNBur,https://api.spotify.com/v1/audio-analysis/5UhYbOKQt2m29uV4mGNBur,174267,4,handpicked_peter_licht.csv
