danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.544,0.102,5,-21.917,0,0.0373,0.992,0.95,0.1,0.242,81.997,audio_features,2OUZiXA4KErpN97iLeXZHs,spotify:track:2OUZiXA4KErpN97iLeXZHs,https://api.spotify.com/v1/tracks/2OUZiXA4KErpN97iLeXZHs,https://api.spotify.com/v1/audio-analysis/2OUZiXA4KErpN97iLeXZHs,181846,4,handpicked_slowdown_tuesday.csv
0.892,0.191,5,-14.977,0,0.0599,0.522,0.761,0.109,0.46,106.55,audio_features,6FKasUNG1KT4r9TR9rKdll,spotify:track:6FKasUNG1KT4r9TR9rKdll,https://api.spotify.com/v1/tracks/6FKasUNG1KT4r9TR9rKdll,https://api.spotify.com/v1/audio-analysis/6FKasUNG1KT4r9TR9rKdll,231107,4,handpicked_slowdown_tuesday.csv
0.498,0.663,9,-5.233,0,0.0269,0.76,0.185,0.623,0.861,108.394,audio_features,0aw3QgGJctWDMCz5qZCrjO,spotify:track:0aw3QgGJctWDMCz5qZCrjO,https://api.spotify.com/v1/tracks/0aw3QgGJctWDMCz5qZCrjO,https://api.spotify.com/v1/audio-analysis/0aw3QgGJctWDMCz5qZCrjO,158013,4,handpicked_slowdown_tuesday.csv
0.531,0.456,3,-10.012,1,0.0493,0.822,0.000196,0.405,0.691,100.404,audio_features,4finzb7TgPtStLBcXDw1nj,spotify:track:4finzb7TgPtStLBcXDw1nj,https://api.spotify.com/v1/tracks/4finzb7TgPtStLBcXDw1nj,https://api.spotify.com/v1/audio-analysis/4finzb7TgPtStLBcXDw1nj,147043,3,handpicked_slowdown_tuesday.csv
0.512,0.369,2,-11.22,1,0.0308,0.886,0.000128,0.118,0.324,103.979,audio_features,52mdL9k7mOCbKfL54Bw8Tq,spotify:track:52mdL9k7mOCbKfL54Bw8Tq,https://api.spotify.com/v1/tracks/52mdL9k7mOCbKfL54Bw8Tq,https://api.spotify.com/v1/audio-analysis/52mdL9k7mOCbKfL54Bw8Tq,232293,4,handpicked_slowdown_tuesday.csv
0.478,0.454,7,-12.279,1,0.0757,0.886,0.427,0.129,0.501,144.771,audio_features,59ZID7biPsWrUYDDnhzUSB,spotify:track:59ZID7biPsWrUYDDnhzUSB,https://api.spotify.com/v1/tracks/59ZID7biPsWrUYDDnhzUSB,https://api.spotify.com/v1/audio-analysis/59ZID7biPsWrUYDDnhzUSB,151028,4,handpicked_slowdown_tuesday.csv
0.833,0.435,6,-8.481,0,0.0775,0.142,0.00182,0.242,0.353,120.071,audio_features,0AXuoxP1Wbig33nTtgnSm3,spotify:track:0AXuoxP1Wbig33nTtgnSm3,https://api.spotify.com/v1/tracks/0AXuoxP1Wbig33nTtgnSm3,https://api.spotify.com/v1/audio-analysis/0AXuoxP1Wbig33nTtgnSm3,210227,4,handpicked_slowdown_tuesday.csv
0.788,0.415,3,-7.359,0,0.0439,0.534,0.438,0.103,0.575,125.004,audio_features,602pXS2dkEPNLbiPjyMokg,spotify:track:602pXS2dkEPNLbiPjyMokg,https://api.spotify.com/v1/tracks/602pXS2dkEPNLbiPjyMokg,https://api.spotify.com/v1/audio-analysis/602pXS2dkEPNLbiPjyMokg,362692,4,handpicked_slowdown_tuesday.csv
0.703,0.711,4,-4.675,0,0.0706,0.342,0.0,0.347,0.531,119.956,audio_features,5KEtEtJOqsLFpxiWCh6b5P,spotify:track:5KEtEtJOqsLFpxiWCh6b5P,https://api.spotify.com/v1/tracks/5KEtEtJOqsLFpxiWCh6b5P,https://api.spotify.com/v1/audio-analysis/5KEtEtJOqsLFpxiWCh6b5P,172021,4,handpicked_slowdown_tuesday.csv
0.685,0.176,5,-15.977,0,0.0365,0.943,0.000849,0.102,0.204,100.02,audio_features,1EDXwEk3ARfhH3gl5t6FOD,spotify:track:1EDXwEk3ARfhH3gl5t6FOD,https://api.spotify.com/v1/tracks/1EDXwEk3ARfhH3gl5t6FOD,https://api.spotify.com/v1/audio-analysis/1EDXwEk3ARfhH3gl5t6FOD,259200,4,handpicked_slowdown_tuesday.csv
0.757,0.562,7,-6.585,0,0.0549,0.754,4.54e-06,0.0885,0.696,80.033,audio_features,7GyW4CUFwWxw74CEDupGxB,spotify:track:7GyW4CUFwWxw74CEDupGxB,https://api.spotify.com/v1/tracks/7GyW4CUFwWxw74CEDupGxB,https://api.spotify.com/v1/audio-analysis/7GyW4CUFwWxw74CEDupGxB,233342,4,handpicked_slowdown_tuesday.csv
0.824,0.643,1,-9.73,0,0.0522,0.567,0.951,0.0965,0.105,120.018,audio_features,6q8dvx4QRWehR7CcQOJZ5H,spotify:track:6q8dvx4QRWehR7CcQOJZ5H,https://api.spotify.com/v1/tracks/6q8dvx4QRWehR7CcQOJZ5H,https://api.spotify.com/v1/audio-analysis/6q8dvx4QRWehR7CcQOJZ5H,216433,4,handpicked_slowdown_tuesday.csv
0.807,0.476,11,-9.464,1,0.0305,0.921,1.62e-05,0.121,0.324,101.037,audio_features,3FiddL21VmSsyAPYRCkDnV,spotify:track:3FiddL21VmSsyAPYRCkDnV,https://api.spotify.com/v1/tracks/3FiddL21VmSsyAPYRCkDnV,https://api.spotify.com/v1/audio-analysis/3FiddL21VmSsyAPYRCkDnV,198453,4,handpicked_slowdown_tuesday.csv
