danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.473,0.798,9,-4.896,1,0.0309,0.00125,0.00152,0.151,0.398,142.976,audio_features,6ils0MP8LKD0waD7k8dLrZ,spotify:track:6ils0MP8LKD0waD7k8dLrZ,https://api.spotify.com/v1/tracks/6ils0MP8LKD0waD7k8dLrZ,https://api.spotify.com/v1/audio-analysis/6ils0MP8LKD0waD7k8dLrZ,162920,4,handpicked_sonne_mond_sterne.csv
0.865,0.526,9,-7.829,0,0.0693,0.00675,0.366,0.0782,0.742,126.988,audio_features,2O7SxFi2v8se2MzPJOY2PW,spotify:track:2O7SxFi2v8se2MzPJOY2PW,https://api.spotify.com/v1/tracks/2O7SxFi2v8se2MzPJOY2PW,https://api.spotify.com/v1/audio-analysis/2O7SxFi2v8se2MzPJOY2PW,356880,4,handpicked_sonne_mond_sterne.csv
0.584,0.76,0,-7.369,0,0.0359,0.0205,7.25e-06,0.1,0.325,104.101,audio_features,6FRtjadDsEhZIQIlh1loEM,spotify:track:6FRtjadDsEhZIQIlh1loEM,https://api.spotify.com/v1/tracks/6FRtjadDsEhZIQIlh1loEM,https://api.spotify.com/v1/audio-analysis/6FRtjadDsEhZIQIlh1loEM,341067,4,handpicked_sonne_mond_sterne.csv
0.465,0.496,0,-8.447,0,0.0577,0.221,0.0018,0.95,0.229,126.195,audio_features,58lHle3Slf7DlGkGHaJjA1,spotify:track:58lHle3Slf7DlGkGHaJjA1,https://api.spotify.com/v1/tracks/58lHle3Slf7DlGkGHaJjA1,https://api.spotify.com/v1/audio-analysis/58lHle3Slf7DlGkGHaJjA1,265931,4,handpicked_sonne_mond_sterne.csv
0.849,0.301,8,-16.468,0,0.0801,0.117,0.847,0.0946,0.197,125.005,audio_features,4aPYNWosFZjUYIXV9cJx92,spotify:track:4aPYNWosFZjUYIXV9cJx92,https://api.spotify.com/v1/tracks/4aPYNWosFZjUYIXV9cJx92,https://api.spotify.com/v1/audio-analysis/4aPYNWosFZjUYIXV9cJx92,365599,4,handpicked_sonne_mond_sterne.csv
0.512,0.422,0,-10.04,1,0.0454,0.299,0.0122,0.112,0.75,80.499,audio_features,6rX5YfiCNdE24lyzne6y6q,spotify:track:6rX5YfiCNdE24lyzne6y6q,https://api.spotify.com/v1/tracks/6rX5YfiCNdE24lyzne6y6q,https://api.spotify.com/v1/audio-analysis/6rX5YfiCNdE24lyzne6y6q,165933,4,handpicked_sonne_mond_sterne.csv
0.683,0.867,9,-5.162,0,0.0423,0.0256,0.00208,0.158,0.665,130.032,audio_features,178jKm2f1EvdWBtgU8lz4p,spotify:track:178jKm2f1EvdWBtgU8lz4p,https://api.spotify.com/v1/tracks/178jKm2f1EvdWBtgU8lz4p,https://api.spotify.com/v1/audio-analysis/178jKm2f1EvdWBtgU8lz4p,267733,4,handpicked_sonne_mond_sterne.csv
0.604,0.577,4,-10.098,1,0.161,0.697,0.00358,0.094,0.509,190.133,audio_features,6S7ZdwmVM5mG1rJdtYVUaj,spotify:track:6S7ZdwmVM5mG1rJdtYVUaj,https://api.spotify.com/v1/tracks/6S7ZdwmVM5mG1rJdtYVUaj,https://api.spotify.com/v1/audio-analysis/6S7ZdwmVM5mG1rJdtYVUaj,181259,4,handpicked_sonne_mond_sterne.csv
0.53,0.352,3,-10.206,0,0.0258,0.742,1.5e-06,0.104,0.127,109.021,audio_features,0kSfVwPhcsGlKENaEzfnXn,spotify:track:0kSfVwPhcsGlKENaEzfnXn,https://api.spotify.com/v1/tracks/0kSfVwPhcsGlKENaEzfnXn,https://api.spotify.com/v1/audio-analysis/0kSfVwPhcsGlKENaEzfnXn,249320,4,handpicked_sonne_mond_sterne.csv
0.55,0.874,4,-4.046,1,0.0321,0.000436,1.02e-05,0.206,0.318,121.61,audio_features,3skn2lauGk7Dx6bVIt5DVj,spotify:track:3skn2lauGk7Dx6bVIt5DVj,https://api.spotify.com/v1/tracks/3skn2lauGk7Dx6bVIt5DVj,https://api.spotify.com/v1/audio-analysis/3skn2lauGk7Dx6bVIt5DVj,240213,4,handpicked_sonne_mond_sterne.csv
