danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.644,0.719,1,-9.665,1,0.228,0.315,5.49e-05,0.11,0.189,132.87,audio_features,6cqcmtaxNL7YCKKsuYAPJo,spotify:track:6cqcmtaxNL7YCKKsuYAPJo,https://api.spotify.com/v1/tracks/6cqcmtaxNL7YCKKsuYAPJo,https://api.spotify.com/v1/audio-analysis/6cqcmtaxNL7YCKKsuYAPJo,264098,4,handpicked_the_streets.csv
0.68,0.844,6,-1.729,1,0.299,0.23,0.0,0.0305,0.895,172.302,audio_features,312A8WfROSLvZbMDHBUPDp,spotify:track:312A8WfROSLvZbMDHBUPDp,https://api.spotify.com/v1/tracks/312A8WfROSLvZbMDHBUPDp,https://api.spotify.com/v1/audio-analysis/312A8WfROSLvZbMDHBUPDp,254267,4,handpicked_the_streets.csv
0.816,0.879,11,-3.082,0,0.326,0.0488,1.67e-06,0.0494,0.926,88.096,audio_features,5UjccMIJkNhont0TGSU0iD,spotify:track:5UjccMIJkNhont0TGSU0iD,https://api.spotify.com/v1/tracks/5UjccMIJkNhont0TGSU0iD,https://api.spotify.com/v1/audio-analysis/5UjccMIJkNhont0TGSU0iD,186825,4,handpicked_the_streets.csv
0.668,0.854,1,-4.577,0,0.397,0.00436,0.0,0.314,0.903,130.072,audio_features,35zEswqAFI1D41cmoBXOFK,spotify:track:35zEswqAFI1D41cmoBXOFK,https://api.spotify.com/v1/tracks/35zEswqAFI1D41cmoBXOFK,https://api.spotify.com/v1/audio-analysis/35zEswqAFI1D41cmoBXOFK,245200,4,handpicked_the_streets.csv
0.533,0.503,5,-6.407,0,0.176,0.159,0.0,0.131,0.277,139.93,audio_features,4SNVYQCW5yopk5uUluli3c,spotify:track:4SNVYQCW5yopk5uUluli3c,https://api.spotify.com/v1/tracks/4SNVYQCW5yopk5uUluli3c,https://api.spotify.com/v1/audio-analysis/4SNVYQCW5yopk5uUluli3c,200571,4,handpicked_the_streets.csv
0.599,0.701,9,-5.718,0,0.568,0.315,0.0,0.102,0.669,133.046,audio_features,6DoenX36UcAKSp6wR9UKxM,spotify:track:6DoenX36UcAKSp6wR9UKxM,https://api.spotify.com/v1/tracks/6DoenX36UcAKSp6wR9UKxM,https://api.spotify.com/v1/audio-analysis/6DoenX36UcAKSp6wR9UKxM,284600,4,handpicked_the_streets.csv
0.767,0.493,1,-6.057,1,0.175,0.0999,1.29e-06,0.113,0.55,130.254,audio_features,4aHi701FKuFYj7QSeSEftV,spotify:track:4aHi701FKuFYj7QSeSEftV,https://api.spotify.com/v1/tracks/4aHi701FKuFYj7QSeSEftV,https://api.spotify.com/v1/audio-analysis/4aHi701FKuFYj7QSeSEftV,185615,4,handpicked_the_streets.csv
0.386,0.683,7,-7.317,1,0.233,0.0329,0.0,0.344,0.527,61.113,audio_features,42F4K181FFdhkbDAaoxDye,spotify:track:42F4K181FFdhkbDAaoxDye,https://api.spotify.com/v1/tracks/42F4K181FFdhkbDAaoxDye,https://api.spotify.com/v1/audio-analysis/42F4K181FFdhkbDAaoxDye,195427,4,handpicked_the_streets.csv
0.825,0.552,5,-6.82,0,0.0892,0.0697,0.0,0.181,0.509,119.994,audio_features,37OMb2IjwLPJT7iDpYpowk,spotify:track:37OMb2IjwLPJT7iDpYpowk,https://api.spotify.com/v1/tracks/37OMb2IjwLPJT7iDpYpowk,https://api.spotify.com/v1/audio-analysis/37OMb2IjwLPJT7iDpYpowk,176000,4,handpicked_the_streets.csv
0.684,0.467,9,-7.829,1,0.239,0.56,0.0,0.0942,0.445,80.019,audio_features,3PEx44by2Pe7E6M8tgqE5N,spotify:track:3PEx44by2Pe7E6M8tgqE5N,https://api.spotify.com/v1/tracks/3PEx44by2Pe7E6M8tgqE5N,https://api.spotify.com/v1/audio-analysis/3PEx44by2Pe7E6M8tgqE5N,271240,4,handpicked_the_streets.csv
