danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.634,0.401,9,-9.094,0,0.0338,0.00116,0.898,0.0899,0.268,126.02,audio_features,4N00LsQe2f9SmJEq393HKf,spotify:track:4N00LsQe2f9SmJEq393HKf,https://api.spotify.com/v1/tracks/4N00LsQe2f9SmJEq393HKf,https://api.spotify.com/v1/audio-analysis/4N00LsQe2f9SmJEq393HKf,206055,4,handpicked_worakls.csv
0.678,0.713,8,-6.451,1,0.0487,0.00136,0.865,0.0837,0.19,127.993,audio_features,77cHi3HzlrS8XDgue2WT8y,spotify:track:77cHi3HzlrS8XDgue2WT8y,https://api.spotify.com/v1/tracks/77cHi3HzlrS8XDgue2WT8y,https://api.spotify.com/v1/audio-analysis/77cHi3HzlrS8XDgue2WT8y,330000,4,handpicked_worakls.csv
0.847,0.346,7,-11.243,1,0.0936,0.00339,0.918,0.0704,0.404,126.009,audio_features,2uTPHrN8zqYnHUb6Wuz1FC,spotify:track:2uTPHrN8zqYnHUb6Wuz1FC,https://api.spotify.com/v1/tracks/2uTPHrN8zqYnHUb6Wuz1FC,https://api.spotify.com/v1/audio-analysis/2uTPHrN8zqYnHUb6Wuz1FC,436150,4,handpicked_worakls.csv
0.588,0.492,9,-9.111,0,0.0931,0.000573,0.726,0.256,0.328,123.991,audio_features,6zDoJPNO6ma2VPaRhNQOKe,spotify:track:6zDoJPNO6ma2VPaRhNQOKe,https://api.spotify.com/v1/tracks/6zDoJPNO6ma2VPaRhNQOKe,https://api.spotify.com/v1/audio-analysis/6zDoJPNO6ma2VPaRhNQOKe,358588,4,handpicked_worakls.csv
0.669,0.54,9,-11.809,0,0.0455,0.549,0.901,0.0748,0.0402,115.006,audio_features,5vDsrWr8An3AMedExXTXO0,spotify:track:5vDsrWr8An3AMedExXTXO0,https://api.spotify.com/v1/tracks/5vDsrWr8An3AMedExXTXO0,https://api.spotify.com/v1/audio-analysis/5vDsrWr8An3AMedExXTXO0,380679,4,handpicked_worakls.csv
0.81,0.555,11,-9.895,0,0.0482,0.00851,0.919,0.0626,0.0916,126.012,audio_features,5NuS3ktpMOyhfO8CrUqQhB,spotify:track:5NuS3ktpMOyhfO8CrUqQhB,https://api.spotify.com/v1/tracks/5NuS3ktpMOyhfO8CrUqQhB,https://api.spotify.com/v1/audio-analysis/5NuS3ktpMOyhfO8CrUqQhB,428946,4,handpicked_worakls.csv
0.75,0.604,7,-9.003,0,0.0381,0.0686,0.861,0.161,0.233,124.002,audio_features,4B4vJppxKZTnqb6qyS6e8h,spotify:track:4B4vJppxKZTnqb6qyS6e8h,https://api.spotify.com/v1/tracks/4B4vJppxKZTnqb6qyS6e8h,https://api.spotify.com/v1/audio-analysis/4B4vJppxKZTnqb6qyS6e8h,466225,4,handpicked_worakls.csv
0.306,0.135,0,-13.112,0,0.035,0.153,0.954,0.114,0.0744,150.333,audio_features,6CCTGS8wYNCFTUHiAZQ5Hc,spotify:track:6CCTGS8wYNCFTUHiAZQ5Hc,https://api.spotify.com/v1/tracks/6CCTGS8wYNCFTUHiAZQ5Hc,https://api.spotify.com/v1/audio-analysis/6CCTGS8wYNCFTUHiAZQ5Hc,91264,3,handpicked_worakls.csv
0.752,0.23,0,-12.49,1,0.0378,0.0117,0.714,0.0911,0.195,124.993,audio_features,716vLwPfdagrP3kGrYPmTh,spotify:track:716vLwPfdagrP3kGrYPmTh,https://api.spotify.com/v1/tracks/716vLwPfdagrP3kGrYPmTh,https://api.spotify.com/v1/audio-analysis/716vLwPfdagrP3kGrYPmTh,372640,4,handpicked_worakls.csv
0.788,0.516,9,-9.594,0,0.0379,0.064,0.907,0.0499,0.0998,125.993,audio_features,7kyiQ2oxgT0XX8yhzBWE6t,spotify:track:7kyiQ2oxgT0XX8yhzBWE6t,https://api.spotify.com/v1/tracks/7kyiQ2oxgT0XX8yhzBWE6t,https://api.spotify.com/v1/audio-analysis/7kyiQ2oxgT0XX8yhzBWE6t,419048,4,handpicked_worakls.csv
