cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.03,0.45,0.86,0.05,0.2,0.08,135.0,0.37,242865.66,-5.61,0.57,3.97
1,0.06,0.61,0.7,0.79,0.16,0.06,123.08,0.22,313883.11,-9.11,0.5,3.93
2,0.8,0.52,0.31,0.03,0.17,0.07,113.95,0.34,227497.42,-12.56,0.68,3.8
3,0.12,0.78,0.63,0.02,0.13,0.11,113.85,0.77,220649.73,-7.7,0.53,4.0
4,0.08,0.72,0.75,0.72,0.15,0.07,125.09,0.67,273924.76,-8.36,0.56,3.99
5,0.31,0.55,0.52,0.03,0.17,0.07,120.4,0.27,244699.71,-8.81,0.58,3.9
6,0.81,0.33,0.22,0.83,0.13,0.04,107.37,0.17,300429.62,-18.18,0.58,3.73
7,0.07,0.67,0.86,0.02,0.17,0.08,126.48,0.77,218903.69,-5.61,0.57,3.99
8,0.53,0.7,0.63,0.01,0.16,0.13,118.62,0.73,211045.59,-7.68,0.55,3.98
9,0.14,0.64,0.78,0.03,0.64,0.14,120.57,0.63,229693.63,-6.36,0.59,4.0
10,0.19,0.74,0.61,0.01,0.16,0.37,128.3,0.51,196051.11,-7.7,0.51,4.05
11,0.07,0.71,0.66,0.02,0.17,0.09,115.37,0.38,224327.14,-6.74,0.56,3.99
