cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.14,0.75,0.75,0.05,0.14,0.08,117.47,0.76,215241.57,-6.54,1.0,4.0
1,0.83,0.26,0.15,0.67,0.13,0.05,107.16,0.13,794717.45,-20.25,0.57,3.72
2,0.07,0.67,0.69,0.79,0.14,0.06,122.45,0.37,325616.39,-9.25,0.5,3.99
3,0.23,0.74,0.62,0.01,0.17,0.36,124.5,0.54,192769.32,-7.65,0.5,4.08
4,0.13,0.75,0.75,0.04,0.16,0.09,116.69,0.73,217125.77,-6.31,0.0,4.0
5,0.1,0.47,0.8,0.07,0.18,0.09,168.75,0.54,227879.77,-5.99,0.67,4.0
6,0.4,0.48,0.52,0.16,0.18,0.1,126.13,0.38,227673.73,-9.38,0.64,2.81
7,0.18,0.63,0.75,0.08,0.65,0.12,120.3,0.59,233890.93,-6.79,0.59,3.99
8,0.8,0.32,0.19,0.73,0.13,0.04,104.56,0.16,232823.41,-18.88,0.59,3.83
9,0.08,0.59,0.73,0.05,0.19,0.07,112.65,0.38,240047.54,-6.53,1.0,4.01
10,0.11,0.58,0.72,0.05,0.18,0.07,116.48,0.35,237387.78,-6.67,0.0,4.01
11,0.66,0.59,0.38,0.05,0.15,0.06,113.75,0.42,225556.8,-11.59,0.7,4.01
