cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.03,0.42,0.88,0.04,0.18,0.09,133.74,0.3,246654.98,-5.26,0.55,3.97
1,0.12,0.75,0.54,0.02,0.14,0.09,111.69,0.52,227134.81,-8.43,0.53,3.98
2,0.08,0.72,0.85,0.01,0.16,0.07,121.46,0.85,216903.51,-5.48,0.56,3.99
3,0.05,0.72,0.81,0.42,0.17,0.06,124.01,0.67,249319.95,-7.37,0.55,4.0
4,0.84,0.26,0.18,0.85,0.12,0.04,104.36,0.12,312420.91,-19.26,0.58,3.65
5,0.03,0.55,0.86,0.77,0.2,0.06,127.07,0.24,279533.45,-7.01,0.51,3.95
6,0.14,0.77,0.69,0.0,0.16,0.32,116.72,0.7,201024.91,-6.54,0.48,4.04
7,0.06,0.68,0.82,0.01,0.11,0.08,116.5,0.55,222019.33,-5.49,0.55,4.0
8,0.5,0.58,0.5,0.02,0.16,0.06,119.43,0.31,234984.99,-8.9,0.62,3.87
9,0.78,0.63,0.39,0.02,0.16,0.09,115.92,0.62,208410.37,-11.19,0.67,3.88
10,0.11,0.77,0.6,0.02,0.12,0.07,115.24,0.82,226752.12,-8.6,0.56,3.99
11,0.56,0.65,0.47,0.78,0.14,0.06,120.24,0.47,268516.86,-12.44,0.54,3.98
12,0.2,0.7,0.78,0.02,0.63,0.15,118.2,0.8,217863.41,-6.4,0.57,3.99
13,0.07,0.62,0.82,0.01,0.34,0.08,115.58,0.59,224147.61,-5.79,0.58,4.0
14,0.46,0.71,0.69,0.01,0.15,0.1,115.12,0.77,215651.23,-6.93,0.55,4.0
15,0.84,0.46,0.24,0.04,0.13,0.05,114.88,0.23,241620.43,-14.09,0.67,3.81
16,0.11,0.73,0.56,0.01,0.17,0.35,128.29,0.36,196049.78,-8.0,0.52,4.04
17,0.07,0.49,0.83,0.02,0.17,0.09,163.55,0.69,220328.29,-6.03,0.65,3.95
18,0.08,0.72,0.67,0.03,0.18,0.09,119.63,0.25,223467.3,-6.6,0.54,3.99
19,0.07,0.67,0.55,0.79,0.12,0.06,119.31,0.22,340131.9,-10.91,0.5,3.93
20,0.05,0.73,0.75,0.8,0.15,0.06,125.78,0.7,287603.74,-8.38,0.56,3.98
21,0.67,0.51,0.46,0.05,0.68,0.11,111.08,0.39,237593.97,-10.92,0.65,3.85
22,0.48,0.73,0.59,0.01,0.15,0.38,130.47,0.56,190659.91,-8.19,0.46,4.0
23,0.14,0.46,0.55,0.03,0.16,0.05,124.41,0.25,264946.65,-8.44,0.61,3.9
24,0.07,0.56,0.79,0.04,0.68,0.12,124.14,0.41,237421.18,-6.11,0.59,3.97
