cluster,playlist,id
0,best_of_soundtrack1.csv,34
0,best_of_soundtrack2.csv,26
0,best_of_new_age.csv,16
0,best_of_trip_hop.csv,16
0,best_of-classic.csv,14
0,handpicked_worakls.csv,12
0,handpicked_indie_melody.csv,11
0,handpicked_berlin.csv,10
0,handpicked_slowdown_tuesday.csv,6
0,best_of_dreampop.csv,4
0,best_of_folk.csv,3
0,best_of_jazz.csv,3
0,handpicked_gisbert.csv,3
0,handpicked_billie_eilish.csv,3
0,best_of-blues.csv,2
0,handpicked_be_svendsen.csv,2
0,best_of_world.csv,2
0,handpicked_afterlife.csv,1
0,handpicked_bravo_hits.csv,1
0,handpicked_faber.csv,1
0,best_of_trap.csv,1
0,best_of_melodic_death_metal.csv,1
0,best_of_house.csv,1
0,handpicked_sonne_mond_sterne.csv,1
1,best_of_rock.csv,46
1,best_of_eurodance.csv,43
1,1970s.csv,35
1,handpicked_indie_melody.csv,29
1,handpicked_berlin.csv,25
1,best_of_reggae.csv,24
1,handpicked_bravo_hits.csv,22
1,best_of_trip_hop.csv,18
1,best_of_neue_deutsche_welle.csv,13
1,best_of-blues.csv,13
1,1980s.csv,12
1,best_of_soul.csv,11
1,best_of-country.csv,10
1,best_of_trap.csv,9
1,best_of_rnb.csv,8
1,best_of_ska.csv,7
1,best_of_britpop.csv,6
1,1990s.csv,5
1,handpicked_karaoke.csv,5
1,handpicked_bremer_partymix.csv,5
1,best_of_rap.csv,4
1,best_of_deep_house.csv,4
1,best_of_reggaeton.csv,4
1,handpicked_peter_licht.csv,3
1,best_of_electro_swing.csv,3
1,2023_house_techno.csv,3
1,best_of_dreampop.csv,3
1,best_of_afrobeats.csv,3
1,best_of_electronic.csv,2
1,best_of_punk.csv,2
1,best_of_house.csv,2
1,best_of_drill.csv,2
1,handpicked_gisbert.csv,2
1,2023_tech_house.csv,2
1,handpicked_peter_fox_radio.csv,2
1,handpicked_slowdown_tuesday.csv,2
1,best_of_world.csv,2
1,handpicked_faber.csv,1
1,handpicked_money_boy.csv,1
1,handpicked_billie_eilish.csv,1
1,best_of_pop.csv,1
1,handpicked_be_svendsen.csv,1
1,best_of_synthwave.csv,1
1,best_of_jazz.csv,1
1,best_of_hiphop.csv,1
1,best_of_grime.csv,1
1,best_of-blues_jazz_soul.csv,1
1,2023_the_dome.csv,1
1,2023_deutschrap.csv,1
1,2023_bravohits.csv,1
1,2023_best_of.csv,1
1,2020s.csv,1
1,2010s.csv,1
1,handpicked_sonne_mond_sterne.csv,1
2,handpicked_berlin.csv,32
2,best_of_world.csv,18
2,best_of_afrobeats.csv,18
2,best_of-country.csv,17
2,best_of-blues.csv,17
2,1970s.csv,15
2,handpicked_indie_melody.csv,13
2,handpicked_bravo_hits.csv,13
2,best_of_soul.csv,13
2,best_of_rock.csv,12
2,handpicked_slowdown_tuesday.csv,11
2,2023_best_of.csv,11
2,best_of_pop.csv,10
2,handpicked_gisbert.csv,9
2,best_of_electronic.csv,9
2,best_of_trap.csv,9
2,best_of_grime.csv,8
2,best_of_reggae.csv,8
2,best_of_folk.csv,8
2,handpicked_manu_chao.csv,7
2,best_of_kpop.csv,7
2,best_of_trip_hop.csv,6
2,best_of_rap.csv,6
2,best_of-blues_jazz_soul.csv,6
2,2023_hiphop_mixtape.csv,5
2,handpicked_bremer_partymix.csv,5
2,handpicked_karaoke.csv,5
2,best_of_rnb.csv,5
2,handpicked_peter_fox_radio.csv,4
2,2023_deutschrap.csv,4
2,handpicked_faber.csv,4
2,best_of_neue_deutsche_welle.csv,4
2,2020s.csv,4
2,best_of_drill.csv,4
2,best_of_reggaeton.csv,4
2,1980s.csv,3
2,best_of_dancehall.csv,3
2,handpicked_money_boy.csv,3
2,best_of_hiphop.csv,3
2,2000s.csv,3
2,best_of_electro_swing.csv,3
2,handpicked_billie_eilish.csv,3
2,handpicked_modus_mio.csv,2
2,best_of_ska.csv,2
2,best_of_soundtrack2.csv,2
2,2023_the_dome.csv,2
2,best_of_new_age.csv,2
2,best_of_house.csv,2
2,handpicked_the_streets.csv,2
2,2023_bravohits.csv,1
2,2010s.csv,1
2,best_of_punk.csv,1
2,best_of_latin.csv,1
2,best_of_jazz.csv,1
2,handpicked_peter_licht.csv,1
2,best_of_eurodance.csv,1
2,handpicked_sonne_mond_sterne.csv,1
3,2023_tech_house.csv,78
3,handpicked_indie_melody.csv,58
3,best_of_eurodance.csv,42
3,best_of_electro_swing.csv,35
3,best_of_trip_hop.csv,26
3,handpicked_bravo_hits.csv,15
3,2023_house_techno.csv,11
3,best_of_organic_house.csv,7
3,handpicked_berlin.csv,5
3,best_of_new_age.csv,5
3,best_of_rock.csv,4
3,best_of_deep_house.csv,4
3,best_of_ska.csv,3
3,best_of_punk.csv,3
3,handpicked_afterlife.csv,3
3,best_of_soul.csv,3
3,best_of_house.csv,2
