playlist,cluster,id
1970s.csv,1,35
1970s.csv,9,19
1970s.csv,8,18
1970s.csv,2,15
1970s.csv,14,13
1970s.csv,15,12
1970s.csv,16,7
1970s.csv,22,5
1970s.csv,13,5
1970s.csv,4,5
1970s.csv,10,3
1970s.csv,5,3
1970s.csv,19,3
1970s.csv,18,2
1970s.csv,23,2
1970s.csv,11,1
1970s.csv,6,1
1970s.csv,24,1
1980s.csv,9,14
1980s.csv,1,12
1980s.csv,22,9
1980s.csv,15,8
1980s.csv,16,5
1980s.csv,10,4
1980s.csv,2,3
1980s.csv,4,3
1980s.csv,13,3
1980s.csv,23,3
1980s.csv,8,2
1980s.csv,14,2
1980s.csv,18,2
1980s.csv,19,1
1980s.csv,24,1
1990s.csv,9,14
1990s.csv,15,9
1990s.csv,19,9
1990s.csv,22,9
1990s.csv,1,5
1990s.csv,23,5
1990s.csv,8,4
1990s.csv,13,4
1990s.csv,16,3
1990s.csv,4,2
1990s.csv,6,2
1990s.csv,14,2
1990s.csv,3,1
1990s.csv,5,1
1990s.csv,10,1
1990s.csv,18,1
2000s.csv,9,17
2000s.csv,19,15
2000s.csv,4,9
2000s.csv,22,7
2000s.csv,6,5
2000s.csv,23,5
2000s.csv,5,4
2000s.csv,2,3
2000s.csv,10,2
2000s.csv,13,2
2000s.csv,15,2
2000s.csv,14,1
2000s.csv,24,1
2010s.csv,9,19
2010s.csv,4,16
2010s.csv,22,10
2010s.csv,24,8
2010s.csv,19,8
2010s.csv,6,6
2010s.csv,23,5
2010s.csv,10,5
2010s.csv,13,5
2010s.csv,15,3
2010s.csv,16,2
2010s.csv,14,2
2010s.csv,21,1
2010s.csv,1,1
2010s.csv,2,1
2010s.csv,8,1
2010s.csv,5,1
2010s.csv,3,1
2010s.csv,11,1
2020s.csv,9,11
2020s.csv,24,10
2020s.csv,19,9
2020s.csv,15,5
2020s.csv,22,5
2020s.csv,2,4
2020s.csv,13,3
2020s.csv,14,2
2020s.csv,23,2
2020s.csv,1,1
2020s.csv,4,1
2020s.csv,5,1
2020s.csv,6,1
2020s.csv,8,1
2020s.csv,16,1
2023_best_of.csv,24,37
2023_best_of.csv,22,17
2023_best_of.csv,9,16
2023_best_of.csv,4,13
2023_best_of.csv,8,13
2023_best_of.csv,19,12
2023_best_of.csv,2,11
2023_best_of.csv,15,11
2023_best_of.csv,13,8
2023_best_of.csv,14,7
2023_best_of.csv,5,5
2023_best_of.csv,23,5
2023_best_of.csv,6,4
2023_best_of.csv,10,3
2023_best_of.csv,11,2
2023_best_of.csv,21,2
2023_best_of.csv,3,2
2023_best_of.csv,16,1
2023_best_of.csv,17,1
2023_best_of.csv,1,1
2023_bravohits.csv,24,10
2023_bravohits.csv,9,5
2023_bravohits.csv,13,5
2023_bravohits.csv,22,5
2023_bravohits.csv,11,4
2023_bravohits.csv,4,3
2023_bravohits.csv,6,3
2023_bravohits.csv,15,2
2023_bravohits.csv,19,2
2023_bravohits.csv,1,1
2023_bravohits.csv,2,1
2023_bravohits.csv,3,1
2023_bravohits.csv,5,1
2023_bravohits.csv,8,1
2023_bravohits.csv,10,1
2023_bravohits.csv,23,1
2023_deutschrap.csv,24,17
2023_deutschrap.csv,11,14
2023_deutschrap.csv,6,13
2023_deutschrap.csv,5,10
2023_deutschrap.csv,19,8
2023_deutschrap.csv,9,6
2023_deutschrap.csv,2,4
2023_deutschrap.csv,17,4
2023_deutschrap.csv,13,3
2023_deutschrap.csv,3,2
2023_deutschrap.csv,22,2
2023_deutschrap.csv,1,1
2023_deutschrap.csv,10,1
2023_deutschrap.csv,14,1
2023_hiphop_mixtape.csv,24,15
2023_hiphop_mixtape.csv,5,11
2023_hiphop_mixtape.csv,11,10
2023_hiphop_mixtape.csv,6,8
2023_hiphop_mixtape.csv,19,7
2023_hiphop_mixtape.csv,2,5
2023_hiphop_mixtape.csv,15,3
2023_hiphop_mixtape.csv,4,1
2023_hiphop_mixtape.csv,7,1
2023_hiphop_mixtape.csv,10,1
2023_hiphop_mixtape.csv,13,1
2023_hiphop_mixtape.csv,17,1
2023_hiphop_mixtape.csv,23,1
2023_house_techno.csv,22,13
2023_house_techno.csv,3,11
2023_house_techno.csv,24,10
2023_house_techno.csv,9,8
2023_house_techno.csv,7,4
2023_house_techno.csv,1,3
2023_house_techno.csv,21,3
2023_house_techno.csv,10,2
2023_house_techno.csv,16,2
2023_house_techno.csv,19,2
2023_house_techno.csv,13,1
2023_tech_house.csv,3,78
2023_tech_house.csv,9,33
2023_tech_house.csv,21,17
2023_tech_house.csv,22,11
2023_tech_house.csv,24,9
2023_tech_house.csv,10,5
2023_tech_house.csv,4,4
2023_tech_house.csv,7,3
2023_tech_house.csv,1,2
2023_tech_house.csv,19,2
2023_the_dome.csv,11,4
2023_the_dome.csv,6,3
2023_the_dome.csv,19,3
2023_the_dome.csv,24,3
2023_the_dome.csv,2,2
2023_the_dome.csv,1,1
2023_the_dome.csv,5,1
2023_the_dome.csv,10,1
2023_the_dome.csv,14,1
2023_the_dome.csv,23,1
best_of-blues.csv,2,17
best_of-blues.csv,1,13
best_of-blues.csv,14,9
best_of-blues.csv,8,8
best_of-blues.csv,13,5
best_of-blues.csv,15,4
best_of-blues.csv,0,2
best_of-blues.csv,16,2
best_of-blues.csv,18,2
best_of-blues.csv,23,2
best_of-blues.csv,3,1
best_of-blues.csv,4,1
best_of-blues.csv,7,1
best_of-blues.csv,11,1
best_of-blues.csv,24,1
best_of-blues_jazz_soul.csv,2,6
best_of-blues_jazz_soul.csv,14,6
best_of-blues_jazz_soul.csv,8,4
best_of-blues_jazz_soul.csv,1,1
best_of-blues_jazz_soul.csv,7,1
best_of-blues_jazz_soul.csv,9,1
best_of-blues_jazz_soul.csv,15,1
best_of-blues_jazz_soul.csv,18,1
best_of-blues_jazz_soul.csv,19,1
best_of-classic.csv,20,43
best_of-classic.csv,12,23
best_of-classic.csv,0,14
best_of-classic.csv,14,2
best_of-classic.csv,8,1
best_of-country.csv,2,17
best_of-country.csv,8,13
best_of-country.csv,15,13
best_of-country.csv,1,10
best_of-country.csv,9,9
best_of-country.csv,14,9
best_of-country.csv,22,6
best_of-country.csv,13,5
best_of-country.csv,4,4
best_of-country.csv,23,4
best_of-country.csv,19,3
best_of-country.csv,24,2
best_of-country.csv,10,1
best_of-country.csv,17,1
best_of-country.csv,18,1
best_of_afrobeats.csv,19,60
best_of_afrobeats.csv,9,41
best_of_afrobeats.csv,2,18
best_of_afrobeats.csv,22,18
best_of_afrobeats.csv,6,15
best_of_afrobeats.csv,4,6
best_of_afrobeats.csv,5,6
best_of_afrobeats.csv,13,6
best_of_afrobeats.csv,1,3
best_of_afrobeats.csv,8,3
best_of_afrobeats.csv,10,2
best_of_afrobeats.csv,11,2
best_of_afrobeats.csv,14,2
best_of_afrobeats.csv,17,2
best_of_afrobeats.csv,18,2
best_of_afrobeats.csv,24,1
best_of_britpop.csv,4,9
best_of_britpop.csv,23,8
best_of_britpop.csv,1,6
best_of_britpop.csv,22,5
best_of_britpop.csv,13,4
best_of_britpop.csv,15,4
best_of_britpop.csv,9,3
best_of_britpop.csv,10,3
best_of_britpop.csv,8,2
best_of_britpop.csv,24,2
best_of_britpop.csv,3,1
best_of_britpop.csv,16,1
best_of_britpop.csv,21,1
best_of_dancehall.csv,6,40
best_of_dancehall.csv,19,23
best_of_dancehall.csv,5,10
best_of_dancehall.csv,9,6
best_of_dancehall.csv,11,5
best_of_dancehall.csv,22,4
best_of_dancehall.csv,2,3
best_of_dancehall.csv,10,3
best_of_dancehall.csv,17,3
best_of_dancehall.csv,24,2
best_of_dancehall.csv,4,1
best_of_dancehall.csv,13,1
