cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.05,0.5,0.82,0.04,0.23,0.08,129.67,0.37,242301.31,-5.82,0.0,3.98
1,0.12,0.78,0.62,0.01,0.15,0.22,118.39,0.56,211995.06,-7.44,1.0,4.02
2,0.07,0.61,0.69,0.78,0.16,0.06,121.73,0.24,302414.94,-9.22,1.0,3.95
3,0.09,0.7,0.8,0.02,0.16,0.08,123.59,0.81,217135.39,-6.27,1.0,3.99
4,0.47,0.72,0.64,0.01,0.18,0.19,119.87,0.71,206587.39,-7.31,0.0,4.0
5,0.07,0.66,0.71,0.77,0.15,0.06,124.12,0.37,313513.49,-8.8,0.0,3.94
6,0.82,0.32,0.2,0.83,0.13,0.04,104.6,0.16,310243.29,-19.05,1.0,3.7
7,0.76,0.52,0.32,0.03,0.18,0.08,114.59,0.34,230317.37,-12.33,1.0,3.79
8,0.5,0.7,0.62,0.01,0.16,0.12,119.75,0.72,213386.65,-7.99,1.0,3.98
9,0.14,0.72,0.59,0.02,0.16,0.17,119.12,0.4,213659.42,-7.63,0.0,4.0
10,0.04,0.5,0.85,0.04,0.19,0.08,131.93,0.44,235999.37,-5.53,1.0,3.97
11,0.08,0.73,0.78,0.03,0.18,0.1,120.54,0.77,221187.68,-6.25,0.0,4.0
12,0.08,0.71,0.76,0.72,0.16,0.07,125.71,0.69,263102.51,-8.19,1.0,3.99
13,0.77,0.34,0.25,0.83,0.13,0.05,111.06,0.17,285003.8,-17.18,0.0,3.74
14,0.16,0.62,0.57,0.02,0.17,0.09,118.42,0.27,237702.3,-7.99,1.0,3.95
15,0.15,0.62,0.78,0.03,0.62,0.13,121.8,0.63,231172.66,-6.62,1.0,4.0
16,0.7,0.55,0.37,0.03,0.18,0.08,115.66,0.32,230512.96,-11.46,0.0,3.85
