playlist,cluster,id
1970s.csv,10,40
1970s.csv,7,30
1970s.csv,13,18
1970s.csv,1,12
1970s.csv,9,11
1970s.csv,6,10
1970s.csv,4,8
1970s.csv,0,7
1970s.csv,5,5
1970s.csv,14,4
1970s.csv,11,3
1970s.csv,2,1
1970s.csv,8,1
1980s.csv,10,16
1980s.csv,13,16
1980s.csv,6,10
1980s.csv,1,7
1980s.csv,4,6
1980s.csv,5,6
1980s.csv,9,4
1980s.csv,0,3
1980s.csv,7,3
1980s.csv,14,1
1990s.csv,1,13
1990s.csv,4,11
1990s.csv,0,10
1990s.csv,10,10
1990s.csv,13,9
1990s.csv,9,6
1990s.csv,7,3
1990s.csv,5,2
1990s.csv,6,2
1990s.csv,14,2
1990s.csv,2,1
1990s.csv,8,1
1990s.csv,11,1
1990s.csv,12,1
2000s.csv,13,19
2000s.csv,1,10
2000s.csv,9,9
2000s.csv,0,7
2000s.csv,6,5
2000s.csv,10,5
2000s.csv,2,4
2000s.csv,4,4
2000s.csv,5,3
2000s.csv,11,3
2000s.csv,7,2
2000s.csv,12,1
2000s.csv,16,1
2010s.csv,13,24
2010s.csv,9,18
2010s.csv,4,10
2010s.csv,0,8
2010s.csv,1,7
2010s.csv,6,7
2010s.csv,5,5
2010s.csv,11,4
2010s.csv,16,4
2010s.csv,2,3
2010s.csv,7,2
2010s.csv,8,2
2010s.csv,10,2
2020s.csv,13,12
2020s.csv,9,10
2020s.csv,6,8
2020s.csv,10,7
2020s.csv,0,4
2020s.csv,1,4
2020s.csv,7,4
2020s.csv,4,3
2020s.csv,2,2
2020s.csv,11,1
2020s.csv,12,1
2020s.csv,14,1
2023_best_of.csv,6,25
2023_best_of.csv,1,21
2023_best_of.csv,13,21
2023_best_of.csv,9,20
2023_best_of.csv,4,16
2023_best_of.csv,7,14
2023_best_of.csv,10,13
2023_best_of.csv,14,11
2023_best_of.csv,0,10
2023_best_of.csv,11,7
2023_best_of.csv,2,4
2023_best_of.csv,5,4
2023_best_of.csv,8,3
2023_best_of.csv,12,1
2023_best_of.csv,16,1
2023_bravohits.csv,9,8
2023_bravohits.csv,4,7
2023_bravohits.csv,13,7
2023_bravohits.csv,6,5
2023_bravohits.csv,10,5
2023_bravohits.csv,2,4
2023_bravohits.csv,1,3
2023_bravohits.csv,11,3
2023_bravohits.csv,0,2
2023_bravohits.csv,5,1
2023_bravohits.csv,8,1
2023_deutschrap.csv,2,25
2023_deutschrap.csv,1,17
2023_deutschrap.csv,11,11
2023_deutschrap.csv,6,9
2023_deutschrap.csv,4,8
2023_deutschrap.csv,9,4
2023_deutschrap.csv,16,4
2023_deutschrap.csv,0,2
2023_deutschrap.csv,10,2
2023_deutschrap.csv,5,1
2023_deutschrap.csv,7,1
2023_deutschrap.csv,8,1
2023_deutschrap.csv,13,1
2023_hiphop_mixtape.csv,11,15
2023_hiphop_mixtape.csv,1,13
2023_hiphop_mixtape.csv,6,8
2023_hiphop_mixtape.csv,2,7
2023_hiphop_mixtape.csv,9,5
2023_hiphop_mixtape.csv,10,5
2023_hiphop_mixtape.csv,16,3
2023_hiphop_mixtape.csv,4,2
2023_hiphop_mixtape.csv,14,2
2023_hiphop_mixtape.csv,0,1
2023_hiphop_mixtape.csv,5,1
2023_hiphop_mixtape.csv,7,1
2023_hiphop_mixtape.csv,8,1
2023_hiphop_mixtape.csv,13,1
2023_house_techno.csv,13,16
2023_house_techno.csv,4,13
2023_house_techno.csv,8,8
2023_house_techno.csv,1,6
2023_house_techno.csv,6,6
2023_house_techno.csv,9,4
2023_house_techno.csv,5,3
2023_house_techno.csv,10,2
2023_house_techno.csv,0,1
2023_tech_house.csv,8,58
2023_tech_house.csv,13,55
2023_tech_house.csv,4,22
2023_tech_house.csv,9,9
2023_tech_house.csv,5,7
2023_tech_house.csv,1,5
2023_tech_house.csv,6,5
2023_tech_house.csv,10,2
2023_tech_house.csv,11,1
2023_the_dome.csv,2,6
2023_the_dome.csv,10,3
2023_the_dome.csv,1,2
2023_the_dome.csv,11,2
2023_the_dome.csv,0,1
2023_the_dome.csv,4,1
2023_the_dome.csv,5,1
2023_the_dome.csv,6,1
2023_the_dome.csv,7,1
2023_the_dome.csv,13,1
2023_the_dome.csv,16,1
best_of-blues.csv,7,19
best_of-blues.csv,10,19
best_of-blues.csv,14,14
best_of-blues.csv,4,4
best_of-blues.csv,6,3
best_of-blues.csv,0,2
best_of-blues.csv,1,2
best_of-blues.csv,5,2
best_of-blues.csv,13,2
best_of-blues.csv,3,1
best_of-blues.csv,12,1
best_of-blues_jazz_soul.csv,14,12
best_of-blues_jazz_soul.csv,10,4
best_of-blues_jazz_soul.csv,7,3
best_of-blues_jazz_soul.csv,5,1
best_of-blues_jazz_soul.csv,8,1
best_of-blues_jazz_soul.csv,13,1
best_of-classic.csv,3,54
best_of-classic.csv,15,25
best_of-classic.csv,7,3
best_of-classic.csv,14,1
best_of-country.csv,10,29
best_of-country.csv,13,18
best_of-country.csv,9,16
best_of-country.csv,7,13
best_of-country.csv,14,10
best_of-country.csv,0,9
best_of-country.csv,5,2
best_of-country.csv,6,1
best_of_afrobeats.csv,1,58
best_of_afrobeats.csv,13,40
best_of_afrobeats.csv,10,24
best_of_afrobeats.csv,4,16
best_of_afrobeats.csv,16,13
best_of_afrobeats.csv,14,10
best_of_afrobeats.csv,2,5
best_of_afrobeats.csv,11,5
best_of_afrobeats.csv,5,4
best_of_afrobeats.csv,6,4
best_of_afrobeats.csv,7,4
best_of_afrobeats.csv,0,2
best_of_afrobeats.csv,9,2
best_of_britpop.csv,0,10
best_of_britpop.csv,9,9
best_of_britpop.csv,13,8
best_of_britpop.csv,4,6
best_of_britpop.csv,6,6
best_of_britpop.csv,10,3
best_of_britpop.csv,5,2
best_of_britpop.csv,14,2
best_of_britpop.csv,1,1
best_of_britpop.csv,8,1
best_of_britpop.csv,16,1
best_of_dancehall.csv,11,25
best_of_dancehall.csv,2,21
best_of_dancehall.csv,1,17
best_of_dancehall.csv,16,15
best_of_dancehall.csv,13,12
best_of_dancehall.csv,5,3
best_of_dancehall.csv,14,3
best_of_dancehall.csv,4,2
best_of_dancehall.csv,10,2
best_of_dancehall.csv,6,1
best_of_deep_house.csv,8,43
best_of_deep_house.csv,1,5
best_of_deep_house.csv,5,3
best_of_deep_house.csv,10,3
best_of_deep_house.csv,6,1
best_of_deep_house.csv,9,1
best_of_deep_house.csv,11,1
best_of_dreampop.csv,8,16
best_of_dreampop.csv,7,6
best_of_dreampop.csv,9,6
best_of_dreampop.csv,6,5
best_of_dreampop.csv,0,4
best_of_dreampop.csv,4,4
best_of_dreampop.csv,14,4
best_of_dreampop.csv,3,2
best_of_dreampop.csv,1,1
best_of_dreampop.csv,10,1
best_of_dreampop.csv,13,1
best_of_drill.csv,11,47
best_of_drill.csv,2,34
best_of_drill.csv,5,4
best_of_drill.csv,13,4
best_of_drill.csv,16,3
best_of_drill.csv,1,2
best_of_drill.csv,9,2
best_of_drill.csv,4,1
best_of_drill.csv,10,1
best_of_drill.csv,12,1
best_of_drill.csv,14,1
best_of_electro_swing.csv,13,38
best_of_electro_swing.csv,1,32
best_of_electro_swing.csv,4,30
best_of_electro_swing.csv,8,17
best_of_electro_swing.csv,10,10
best_of_electro_swing.csv,5,7
best_of_electro_swing.csv,11,7
best_of_electro_swing.csv,2,3
best_of_electro_swing.csv,6,3
best_of_electro_swing.csv,14,2
best_of_electro_swing.csv,0,1
best_of_electro_swing.csv,9,1
best_of_electronic.csv,1,18
best_of_electronic.csv,4,18
best_of_electronic.csv,6,18
best_of_electronic.csv,13,17
best_of_electronic.csv,9,8
best_of_electronic.csv,0,5
best_of_electronic.csv,10,5
best_of_electronic.csv,5,3
best_of_electronic.csv,8,3
best_of_electronic.csv,11,2
best_of_electronic.csv,2,1
best_of_eurodance.csv,4,100
best_of_eurodance.csv,13,76
best_of_eurodance.csv,8,49
best_of_eurodance.csv,1,20
best_of_eurodance.csv,6,12
best_of_eurodance.csv,5,11
best_of_eurodance.csv,0,10
best_of_eurodance.csv,10,10
best_of_eurodance.csv,9,7
best_of_eurodance.csv,11,1
best_of_eurodance.csv,16,1
best_of_folk.csv,7,32
best_of_folk.csv,3,5
best_of_folk.csv,5,4
best_of_folk.csv,10,4
best_of_folk.csv,1,3
best_of_folk.csv,9,3
best_of_folk.csv,0,2
best_of_folk.csv,6,2
best_of_folk.csv,13,2
best_of_folk.csv,14,2
best_of_folk.csv,4,1
best_of_grime.csv,2,117
best_of_grime.csv,11,97
best_of_grime.csv,16,38
best_of_grime.csv,6,12
best_of_grime.csv,1,11
best_of_grime.csv,5,11
best_of_grime.csv,14,8
best_of_grime.csv,10,7
best_of_grime.csv,7,4
best_of_grime.csv,0,3
best_of_grime.csv,4,3
best_of_grime.csv,13,3
best_of_grime.csv,9,2
best_of_grime.csv,12,1
best_of_hiphop.csv,11,20
best_of_hiphop.csv,9,17
best_of_hiphop.csv,2,12
best_of_hiphop.csv,13,10
best_of_hiphop.csv,1,8
best_of_hiphop.csv,5,8
best_of_hiphop.csv,10,8
best_of_hiphop.csv,6,6
best_of_hiphop.csv,0,2
best_of_hiphop.csv,4,2
best_of_hiphop.csv,7,1
best_of_house.csv,9,18
best_of_house.csv,8,15
best_of_house.csv,6,12
best_of_house.csv,1,7
best_of_house.csv,13,6
best_of_house.csv,4,5
best_of_house.csv,5,3
best_of_house.csv,10,3
best_of_house.csv,7,1
best_of_house.csv,14,1
best_of_jazz.csv,7,8
best_of_jazz.csv,3,4
best_of_jazz.csv,10,2
best_of_jazz.csv,15,2
best_of_jazz.csv,8,1
best_of_jazz.csv,12,1
best_of_jazz.csv,14,1
best_of_kpop.csv,13,101
best_of_kpop.csv,4,73
best_of_kpop.csv,1,40
best_of_kpop.csv,6,24
best_of_kpop.csv,0,18
best_of_kpop.csv,9,17
best_of_kpop.csv,5,11
best_of_kpop.csv,2,8
best_of_kpop.csv,10,7
best_of_kpop.csv,11,7
best_of_kpop.csv,14,6
best_of_kpop.csv,7,4
best_of_kpop.csv,16,1
best_of_latin.csv,1,20
best_of_latin.csv,13,15
best_of_latin.csv,4,9
best_of_latin.csv,0,4
best_of_latin.csv,10,4
best_of_latin.csv,2,3
best_of_latin.csv,6,3
best_of_latin.csv,9,3
best_of_latin.csv,5,1
best_of_latin.csv,11,1
best_of_latin.csv,14,1
best_of_melodic_death_metal.csv,6,27
best_of_melodic_death_metal.csv,8,25
best_of_melodic_death_metal.csv,9,25
best_of_melodic_death_metal.csv,0,23
best_of_melodic_death_metal.csv,14,18
best_of_melodic_death_metal.csv,5,7
best_of_melodic_death_metal.csv,13,2
best_of_melodic_death_metal.csv,3,1
best_of_melodic_death_metal.csv,4,1
best_of_metal.csv,0,57
best_of_metal.csv,9,49
best_of_metal.csv,6,47
best_of_metal.csv,4,10
best_of_metal.csv,5,10
best_of_metal.csv,13,7
best_of_metal.csv,14,7
best_of_metal.csv,8,6
best_of_metal.csv,2,1
best_of_metal.csv,12,1
best_of_neue_deutsche_welle.csv,10,12
best_of_neue_deutsche_welle.csv,13,9
best_of_neue_deutsche_welle.csv,0,7
best_of_neue_deutsche_welle.csv,1,6
best_of_neue_deutsche_welle.csv,4,5
best_of_neue_deutsche_welle.csv,9,4
best_of_neue_deutsche_welle.csv,5,3
best_of_neue_deutsche_welle.csv,7,3
best_of_neue_deutsche_welle.csv,8,1
best_of_new_age.csv,8,33
best_of_new_age.csv,6,20
best_of_new_age.csv,9,12
best_of_new_age.csv,3,8
best_of_new_age.csv,7,8
best_of_new_age.csv,1,4
best_of_new_age.csv,0,3
best_of_new_age.csv,5,2
best_of_new_age.csv,14,2
best_of_new_age.csv,10,1
best_of_new_age.csv,15,1
best_of_organic_house.csv,8,50
best_of_pop.csv,13,31
best_of_pop.csv,9,19
best_of_pop.csv,1,18
best_of_pop.csv,6,17
best_of_pop.csv,7,14
best_of_pop.csv,4,13
best_of_pop.csv,10,9
best_of_pop.csv,14,8
best_of_pop.csv,0,5
best_of_pop.csv,2,4
best_of_pop.csv,5,3
best_of_pop.csv,11,2
best_of_pop.csv,16,2
best_of_punk.csv,0,32
best_of_punk.csv,13,18
best_of_punk.csv,9,16
best_of_punk.csv,6,8
best_of_punk.csv,5,6
best_of_punk.csv,4,5
best_of_punk.csv,10,4
best_of_punk.csv,14,4
best_of_punk.csv,1,1
best_of_punk.csv,8,1
best_of_rap.csv,2,67
best_of_rap.csv,11,65
best_of_rap.csv,1,41
best_of_rap.csv,9,24
best_of_rap.csv,5,19
best_of_rap.csv,13,17
best_of_rap.csv,6,14
best_of_rap.csv,4,11
best_of_rap.csv,10,11
best_of_rap.csv,0,6
best_of_rap.csv,14,4
best_of_rap.csv,16,3
best_of_rap.csv,7,2
best_of_rap.csv,12,1
best_of_reggae.csv,10,34
best_of_reggae.csv,1,20
best_of_reggae.csv,11,8
best_of_reggae.csv,4,6
best_of_reggae.csv,2,5
best_of_reggae.csv,13,5
best_of_reggae.csv,7,2
best_of_reggae.csv,14,1
best_of_reggaeton.csv,1,30
best_of_reggaeton.csv,13,25
best_of_reggaeton.csv,11,8
best_of_reggaeton.csv,10,6
best_of_reggaeton.csv,0,5
best_of_reggaeton.csv,4,5
best_of_reggaeton.csv,5,5
best_of_reggaeton.csv,9,3
best_of_reggaeton.csv,2,2
best_of_reggaeton.csv,6,2
best_of_rnb.csv,1,53
best_of_rnb.csv,13,21
best_of_rnb.csv,5,15
best_of_rnb.csv,9,15
best_of_rnb.csv,11,14
best_of_rnb.csv,10,13
best_of_rnb.csv,2,12
best_of_rnb.csv,6,12
best_of_rnb.csv,4,7
best_of_rnb.csv,0,5
best_of_rnb.csv,16,3
best_of_rnb.csv,7,2
best_of_rnb.csv,14,2
best_of_rock.csv,9,60
best_of_rock.csv,10,51
best_of_rock.csv,13,44
best_of_rock.csv,0,21
best_of_rock.csv,6,17
