cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.55,0.7,0.61,0.02,0.17,0.15,119.96,0.7,208338.58,-7.82,0.0,3.98
1,0.04,0.44,0.82,0.05,0.19,0.08,127.62,0.27,254745.73,-5.64,1.0,3.96
2,0.39,0.54,0.5,0.02,0.17,0.06,121.65,0.3,241532.48,-9.18,1.0,3.85
3,0.18,0.65,0.48,0.78,0.13,0.06,117.82,0.31,311818.35,-12.08,1.0,3.95
4,0.06,0.6,0.72,0.79,0.16,0.06,123.94,0.19,322340.54,-8.86,0.0,3.92
5,0.12,0.76,0.57,0.02,0.13,0.08,113.21,0.76,224709.76,-8.88,1.0,3.99
6,0.85,0.29,0.18,0.84,0.13,0.04,103.07,0.14,318711.86,-19.44,1.0,3.65
7,0.76,0.52,0.34,0.03,0.17,0.07,114.04,0.29,231438.58,-12.04,0.0,3.81
8,0.09,0.72,0.84,0.03,0.16,0.08,124.75,0.84,213953.72,-5.66,1.0,3.99
9,0.8,0.34,0.24,0.84,0.13,0.05,111.27,0.17,288388.81,-17.3,0.0,3.75
10,0.04,0.58,0.82,0.78,0.18,0.06,125.22,0.24,285988.74,-7.45,1.0,3.97
11,0.06,0.66,0.86,0.03,0.18,0.07,128.91,0.77,224811.95,-5.76,0.0,4.0
12,0.79,0.62,0.35,0.01,0.19,0.12,106.75,0.51,207411.2,-11.9,1.0,3.86
13,0.08,0.73,0.7,0.73,0.14,0.07,124.46,0.62,294514.71,-8.83,0.0,3.98
14,0.83,0.43,0.25,0.04,0.16,0.05,120.64,0.21,250635.35,-14.01,1.0,3.74
15,0.18,0.62,0.57,0.02,0.17,0.08,121.64,0.24,227593.11,-7.88,0.0,3.98
16,0.04,0.47,0.86,0.04,0.19,0.08,133.07,0.35,245636.1,-5.71,0.0,3.98
17,0.19,0.73,0.58,0.01,0.15,0.37,131.33,0.47,194082.75,-8.05,0.0,4.05
18,0.05,0.47,0.86,0.02,0.22,0.08,150.73,0.64,223282.01,-5.84,1.0,3.96
19,0.15,0.62,0.79,0.03,0.67,0.13,119.38,0.63,234810.27,-6.64,1.0,3.99
20,0.06,0.72,0.79,0.72,0.16,0.07,125.73,0.71,263008.05,-7.94,1.0,3.99
21,0.09,0.73,0.69,0.02,0.16,0.1,112.0,0.53,220756.06,-6.59,0.0,3.98
22,0.14,0.79,0.68,0.01,0.13,0.14,113.23,0.83,219064.87,-6.79,0.0,4.01
23,0.08,0.74,0.57,0.02,0.18,0.14,117.22,0.28,222270.95,-7.68,1.0,4.0
24,0.18,0.74,0.64,0.01,0.17,0.36,128.87,0.57,200433.51,-7.4,1.0,4.06
25,0.07,0.68,0.79,0.02,0.16,0.08,113.94,0.52,225373.96,-5.73,1.0,3.99
26,0.51,0.71,0.66,0.01,0.17,0.11,120.11,0.76,212753.6,-7.53,1.0,3.98
27,0.13,0.67,0.77,0.02,0.63,0.15,119.98,0.64,218859.33,-5.88,0.0,4.0
