playlist,cluster,id
1970s.csv,5,24
1970s.csv,8,18
1970s.csv,26,15
1970s.csv,2,13
1970s.csv,12,13
1970s.csv,11,9
1970s.csv,0,9
1970s.csv,22,8
1970s.csv,15,6
1970s.csv,7,5
1970s.csv,14,5
1970s.csv,19,5
1970s.csv,21,5
1970s.csv,1,3
1970s.csv,18,3
1970s.csv,25,3
1970s.csv,16,2
1970s.csv,24,2
1970s.csv,10,1
1970s.csv,23,1
1980s.csv,8,11
1980s.csv,5,10
1980s.csv,11,6
1980s.csv,19,6
1980s.csv,2,5
1980s.csv,15,5
1980s.csv,18,5
1980s.csv,22,5
1980s.csv,21,4
1980s.csv,25,4
1980s.csv,26,4
1980s.csv,16,3
1980s.csv,1,1
1980s.csv,7,1
1980s.csv,20,1
1980s.csv,23,1
1990s.csv,11,11
1990s.csv,2,11
1990s.csv,8,10
1990s.csv,22,7
1990s.csv,21,7
1990s.csv,5,4
1990s.csv,18,4
1990s.csv,1,3
1990s.csv,26,3
1990s.csv,25,3
1990s.csv,14,2
1990s.csv,23,2
1990s.csv,16,1
1990s.csv,19,1
1990s.csv,15,1
1990s.csv,13,1
1990s.csv,27,1
2000s.csv,25,11
2000s.csv,22,11
2000s.csv,18,7
2000s.csv,5,7
2000s.csv,8,7
2000s.csv,11,5
2000s.csv,21,4
2000s.csv,26,4
2000s.csv,1,4
2000s.csv,24,3
2000s.csv,23,2
2000s.csv,16,2
2000s.csv,27,2
2000s.csv,19,1
2000s.csv,2,1
2000s.csv,17,1
2000s.csv,12,1
2010s.csv,25,13
2010s.csv,1,10
2010s.csv,11,10
2010s.csv,8,7
2010s.csv,23,7
2010s.csv,16,5
2010s.csv,5,5
2010s.csv,18,5
2010s.csv,26,4
2010s.csv,22,4
2010s.csv,0,4
2010s.csv,15,4
2010s.csv,27,4
2010s.csv,21,3
2010s.csv,19,2
2010s.csv,14,2
2010s.csv,24,2
2010s.csv,2,2
2010s.csv,20,1
2010s.csv,13,1
2010s.csv,4,1
2020s.csv,25,9
2020s.csv,21,8
2020s.csv,5,6
2020s.csv,2,5
2020s.csv,26,4
2020s.csv,8,3
2020s.csv,12,3
2020s.csv,15,3
2020s.csv,23,3
2020s.csv,22,3
2020s.csv,0,1
2020s.csv,24,1
2020s.csv,16,1
2020s.csv,19,1
2020s.csv,18,1
2020s.csv,1,1
2020s.csv,14,1
2020s.csv,11,1
2020s.csv,7,1
2020s.csv,27,1
2023_best_of.csv,21,20
2023_best_of.csv,15,17
2023_best_of.csv,23,13
2023_best_of.csv,8,13
2023_best_of.csv,2,12
2023_best_of.csv,16,11
2023_best_of.csv,5,10
2023_best_of.csv,11,9
2023_best_of.csv,1,8
2023_best_of.csv,22,8
2023_best_of.csv,26,7
2023_best_of.csv,0,7
2023_best_of.csv,14,6
2023_best_of.csv,7,6
2023_best_of.csv,25,6
2023_best_of.csv,18,5
2023_best_of.csv,12,4
2023_best_of.csv,19,2
2023_best_of.csv,20,2
2023_best_of.csv,4,2
2023_best_of.csv,17,1
2023_best_of.csv,24,1
2023_best_of.csv,27,1
2023_bravohits.csv,16,5
2023_bravohits.csv,25,5
2023_bravohits.csv,21,5
2023_bravohits.csv,15,4
2023_bravohits.csv,24,4
2023_bravohits.csv,2,4
2023_bravohits.csv,1,3
2023_bravohits.csv,11,3
2023_bravohits.csv,5,3
2023_bravohits.csv,18,2
2023_bravohits.csv,23,2
2023_bravohits.csv,10,1
2023_bravohits.csv,17,1
2023_bravohits.csv,8,1
2023_bravohits.csv,4,1
2023_bravohits.csv,26,1
2023_bravohits.csv,27,1
2023_deutschrap.csv,17,15
2023_deutschrap.csv,22,12
2023_deutschrap.csv,15,10
2023_deutschrap.csv,24,10
2023_deutschrap.csv,21,9
2023_deutschrap.csv,11,7
2023_deutschrap.csv,23,7
2023_deutschrap.csv,0,6
2023_deutschrap.csv,8,2
2023_deutschrap.csv,26,2
2023_deutschrap.csv,27,2
2023_deutschrap.csv,4,1
2023_deutschrap.csv,7,1
2023_deutschrap.csv,13,1
2023_deutschrap.csv,20,1
2023_hiphop_mixtape.csv,21,10
2023_hiphop_mixtape.csv,24,10
2023_hiphop_mixtape.csv,23,7
2023_hiphop_mixtape.csv,15,6
2023_hiphop_mixtape.csv,0,4
2023_hiphop_mixtape.csv,22,4
2023_hiphop_mixtape.csv,2,3
2023_hiphop_mixtape.csv,5,3
2023_hiphop_mixtape.csv,1,3
2023_hiphop_mixtape.csv,17,3
2023_hiphop_mixtape.csv,25,2
2023_hiphop_mixtape.csv,16,2
2023_hiphop_mixtape.csv,7,2
2023_hiphop_mixtape.csv,27,2
2023_hiphop_mixtape.csv,11,1
2023_hiphop_mixtape.csv,8,1
2023_hiphop_mixtape.csv,3,1
2023_hiphop_mixtape.csv,26,1
2023_house_techno.csv,11,11
2023_house_techno.csv,20,8
2023_house_techno.csv,21,7
2023_house_techno.csv,25,7
2023_house_techno.csv,4,5
2023_house_techno.csv,5,3
2023_house_techno.csv,8,3
2023_house_techno.csv,10,3
2023_house_techno.csv,13,3
2023_house_techno.csv,16,2
2023_house_techno.csv,23,2
2023_house_techno.csv,27,2
2023_house_techno.csv,3,1
2023_house_techno.csv,19,1
2023_house_techno.csv,22,1
2023_tech_house.csv,20,39
2023_tech_house.csv,10,24
2023_tech_house.csv,13,24
2023_tech_house.csv,8,20
2023_tech_house.csv,25,16
2023_tech_house.csv,4,12
2023_tech_house.csv,11,9
2023_tech_house.csv,3,4
2023_tech_house.csv,19,3
2023_tech_house.csv,21,3
2023_tech_house.csv,1,2
2023_tech_house.csv,15,2
2023_tech_house.csv,16,2
2023_tech_house.csv,22,2
2023_tech_house.csv,5,1
2023_tech_house.csv,23,1
2023_the_dome.csv,21,4
2023_the_dome.csv,15,2
2023_the_dome.csv,17,2
2023_the_dome.csv,0,1
2023_the_dome.csv,2,1
2023_the_dome.csv,5,1
2023_the_dome.csv,7,1
2023_the_dome.csv,8,1
2023_the_dome.csv,12,1
2023_the_dome.csv,16,1
2023_the_dome.csv,18,1
2023_the_dome.csv,22,1
2023_the_dome.csv,24,1
2023_the_dome.csv,26,1
2023_the_dome.csv,27,1
best_of-blues.csv,26,15
best_of-blues.csv,12,9
best_of-blues.csv,5,8
best_of-blues.csv,7,5
best_of-blues.csv,0,5
best_of-blues.csv,8,4
best_of-blues.csv,2,4
best_of-blues.csv,11,3
best_of-blues.csv,18,3
best_of-blues.csv,19,2
best_of-blues.csv,20,2
best_of-blues.csv,22,2
best_of-blues.csv,9,1
best_of-blues.csv,3,1
best_of-blues.csv,14,1
best_of-blues.csv,15,1
best_of-blues.csv,21,1
best_of-blues.csv,25,1
best_of-blues.csv,13,1
best_of-blues_jazz_soul.csv,7,6
best_of-blues_jazz_soul.csv,12,3
best_of-blues_jazz_soul.csv,26,3
best_of-blues_jazz_soul.csv,2,2
best_of-blues_jazz_soul.csv,5,2
best_of-blues_jazz_soul.csv,14,2
best_of-blues_jazz_soul.csv,8,1
best_of-blues_jazz_soul.csv,13,1
best_of-blues_jazz_soul.csv,15,1
best_of-blues_jazz_soul.csv,27,1
best_of-classic.csv,6,49
best_of-classic.csv,9,25
