cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.29,0.71,0.43,0.81,0.14,0.07,116.52,0.48,265046.69,-13.8,0.65,4.01
1,0.06,0.44,0.86,0.03,0.18,0.09,165.79,0.52,221464.59,-5.45,1.0,4.0
2,0.4,0.53,0.51,0.03,0.15,0.05,155.47,0.42,241009.03,-9.72,0.96,4.0
3,0.21,0.72,0.65,0.01,0.16,0.32,91.93,0.57,205304.09,-6.87,0.0,3.99
4,0.89,0.23,0.1,0.78,0.12,0.04,95.25,0.09,299919.92,-24.53,0.68,3.28
5,0.1,0.71,0.83,0.03,0.12,0.07,134.02,0.77,209026.09,-5.4,1.0,4.0
6,0.1,0.72,0.82,0.04,0.38,0.08,119.0,0.7,212303.98,-5.51,0.0,4.0
7,0.81,0.15,0.09,0.6,0.16,0.04,96.99,0.08,168988.09,-24.04,0.45,0.91
8,0.08,0.65,0.83,0.04,0.37,0.07,118.89,0.65,222260.11,-5.64,1.0,4.0
9,0.09,0.77,0.62,0.02,0.15,0.1,124.82,0.33,208086.99,-6.99,1.0,4.0
10,0.06,0.73,0.83,0.75,0.14,0.06,127.87,0.63,219421.35,-7.23,0.7,4.0
11,0.58,0.69,0.56,0.02,0.15,0.06,108.35,0.66,208164.03,-8.63,1.0,4.0
12,0.22,0.77,0.62,0.02,0.18,0.35,149.09,0.57,196548.03,-7.61,1.0,4.0
13,0.66,0.62,0.43,0.03,0.15,0.07,114.32,0.44,224026.04,-10.32,0.0,4.0
14,0.31,0.56,0.54,0.16,0.18,0.15,111.54,0.48,238148.67,-8.31,0.5,1.0
15,0.65,0.46,0.35,0.13,0.17,0.06,126.47,0.33,226438.14,-11.2,0.72,3.0
16,0.26,0.76,0.62,0.01,0.16,0.36,150.3,0.58,187869.45,-8.0,0.0,3.99
17,0.8,0.52,0.26,0.04,0.16,0.06,107.61,0.31,224358.17,-13.76,0.89,4.02
18,0.87,0.24,0.17,0.76,0.13,0.05,106.55,0.11,922830.23,-18.91,0.62,3.69
19,0.21,0.61,0.73,0.07,0.73,0.13,119.41,0.56,238090.9,-7.23,0.65,3.99
20,0.04,0.47,0.83,0.79,0.19,0.06,126.17,0.23,251618.95,-7.3,0.51,4.0
21,0.12,0.72,0.58,0.04,0.12,0.06,112.47,0.76,243882.54,-11.01,1.0,4.0
22,0.08,0.51,0.77,0.05,0.18,0.06,101.99,0.35,260125.3,-6.15,0.0,4.0
23,0.06,0.72,0.65,0.73,0.13,0.06,120.49,0.31,411808.77,-9.54,1.0,3.99
24,0.08,0.5,0.75,0.05,0.17,0.05,106.17,0.32,259645.35,-6.42,1.0,4.0
25,0.08,0.44,0.81,0.05,0.2,0.09,164.12,0.39,240088.78,-5.83,0.0,4.0
26,0.07,0.66,0.85,0.04,0.13,0.06,136.73,0.71,220281.69,-5.53,0.0,4.0
27,0.07,0.71,0.65,0.77,0.13,0.05,121.96,0.32,402480.56,-9.64,0.0,3.98
28,0.21,0.7,0.65,0.0,0.17,0.34,91.31,0.53,206599.97,-7.14,1.0,3.97
29,0.14,0.51,0.73,0.19,0.21,0.12,130.65,0.45,235363.57,-6.67,0.58,3.0
30,0.76,0.31,0.24,0.81,0.13,0.04,106.32,0.15,224853.92,-17.12,0.53,4.07
31,0.21,0.6,0.67,0.01,0.19,0.31,120.46,0.55,203200.97,-6.64,0.48,5.0
32,0.13,0.75,0.77,0.01,0.12,0.09,99.87,0.71,217209.46,-5.24,1.0,4.0
33,0.14,0.74,0.62,0.03,0.15,0.09,126.25,0.34,195325.93,-6.91,0.0,4.0
34,0.16,0.79,0.73,0.01,0.11,0.08,106.39,0.76,210145.14,-5.75,0.0,4.0
35,0.11,0.7,0.6,0.07,0.15,0.06,123.24,0.7,286767.14,-11.2,0.0,4.0
