cluster,playlist,id
0,best_of_trip_hop.csv,58
0,handpicked_indie_melody.csv,16
0,handpicked_berlin.csv,7
0,handpicked_slowdown_tuesday.csv,6
0,best_of_new_age.csv,5
0,2023_tech_house.csv,3
0,best_of_world.csv,3
0,best_of_dreampop.csv,3
0,best_of_soundtrack2.csv,3
0,best_of_soul.csv,2
0,handpicked_billie_eilish.csv,2
0,handpicked_worakls.csv,2
0,best_of_organic_house.csv,2
0,handpicked_be_svendsen.csv,2
0,best_of-blues.csv,2
0,handpicked_afterlife.csv,2
0,handpicked_bravo_hits.csv,1
0,handpicked_hungry_music.csv,1
0,handpicked_sonne_mond_sterne.csv,1
0,2023_hiphop_mixtape.csv,1
0,best_of_trap.csv,1
0,2023_house_techno.csv,1
0,best_of_soundtrack1.csv,1
0,best_of_jazz.csv,1
0,best_of_house.csv,1
0,best_of_eurodance.csv,1
0,best_of_electro_swing.csv,1
0,best_of_synthwave.csv,1
1,handpicked_indie_melody.csv,46
1,best_of_punk.csv,27
1,best_of_metal.csv,26
1,handpicked_bravo_hits.csv,25
1,best_of_ska.csv,17
1,best_of_kpop.csv,11
1,handpicked_berlin.csv,10
1,best_of_rock.csv,8
1,2000s.csv,7
1,2023_best_of.csv,7
1,best_of_britpop.csv,7
1,best_of_melodic_death_metal.csv,6
1,best_of_neue_deutsche_welle.csv,6
1,handpicked_peter_licht.csv,6
1,2010s.csv,6
1,handpicked_bremer_partymix.csv,5
1,1990s.csv,5
1,best_of_trap.csv,4
1,handpicked_gisbert.csv,4
1,handpicked_karaoke.csv,4
1,2020s.csv,4
1,best_of_eurodance.csv,4
1,best_of_electronic.csv,3
1,best_of-country.csv,3
1,1980s.csv,3
1,best_of_pop.csv,3
1,best_of_rap.csv,3
1,handpicked_faber.csv,2
1,1970s.csv,2
1,best_of_synthwave.csv,2
1,best_of_reggaeton.csv,2
1,best_of_trip_hop.csv,1
1,handpicked_billie_eilish.csv,1
1,best_of_latin.csv,1
1,best_of_hiphop.csv,1
1,best_of_folk.csv,1
1,best_of_electro_swing.csv,1
1,best_of_dreampop.csv,1
1,best_of_afrobeats.csv,1
1,handpicked_peter_fox_radio.csv,1
1,2023_bravohits.csv,1
1,handpicked_slowdown_tuesday.csv,1
1,handpicked_sonne_mond_sterne.csv,1
2,best_of_rock.csv,25
2,1970s.csv,15
2,best_of-country.csv,15
