playlist,cluster,id
1970s.csv,21,29
1970s.csv,2,15
1970s.csv,17,12
1970s.csv,5,12
1970s.csv,11,11
1970s.csv,35,11
1970s.csv,13,9
1970s.csv,24,7
1970s.csv,34,6
1970s.csv,26,6
1970s.csv,15,4
1970s.csv,19,4
1970s.csv,8,4
1970s.csv,22,3
1970s.csv,12,3
1970s.csv,32,3
1970s.csv,25,3
1970s.csv,1,2
1970s.csv,23,1
1970s.csv,3,1
1970s.csv,6,1
1970s.csv,33,1
1970s.csv,16,1
1970s.csv,9,1
1980s.csv,21,12
1980s.csv,8,8
1980s.csv,35,7
1980s.csv,5,6
1980s.csv,34,6
1980s.csv,22,5
1980s.csv,32,4
1980s.csv,19,4
1980s.csv,2,3
1980s.csv,1,3
1980s.csv,11,3
1980s.csv,24,2
1980s.csv,26,2
1980s.csv,17,2
1980s.csv,15,1
1980s.csv,13,1
1980s.csv,25,1
1980s.csv,9,1
1980s.csv,6,1
1990s.csv,34,9
1990s.csv,26,6
1990s.csv,21,6
1990s.csv,1,5
1990s.csv,2,5
1990s.csv,5,5
1990s.csv,6,5
1990s.csv,32,5
1990s.csv,24,5
1990s.csv,8,4
1990s.csv,35,3
1990s.csv,19,2
1990s.csv,15,2
1990s.csv,22,2
1990s.csv,16,1
1990s.csv,14,1
1990s.csv,25,1
1990s.csv,11,1
1990s.csv,28,1
1990s.csv,10,1
1990s.csv,3,1
1990s.csv,17,1
2000s.csv,34,11
2000s.csv,32,9
2000s.csv,24,8
2000s.csv,1,7
2000s.csv,5,7
2000s.csv,8,5
2000s.csv,22,4
2000s.csv,9,3
2000s.csv,3,3
2000s.csv,6,2
2000s.csv,11,2
2000s.csv,21,2
2000s.csv,26,1
2000s.csv,31,1
2000s.csv,28,1
2000s.csv,19,1
2000s.csv,25,1
2000s.csv,17,1
2000s.csv,16,1
2000s.csv,14,1
2000s.csv,12,1
2000s.csv,35,1
2010s.csv,5,13
2010s.csv,24,10
2010s.csv,34,8
2010s.csv,32,7
2010s.csv,8,7
2010s.csv,9,6
2010s.csv,1,6
2010s.csv,6,6
2010s.csv,26,5
2010s.csv,25,4
2010s.csv,31,4
2010s.csv,22,3
2010s.csv,28,3
2010s.csv,19,3
2010s.csv,17,2
2010s.csv,3,2
2010s.csv,33,2
2010s.csv,10,1
2010s.csv,11,1
2010s.csv,12,1
2010s.csv,2,1
2010s.csv,20,1
2020s.csv,5,7
2020s.csv,32,7
2020s.csv,33,6
2020s.csv,9,5
2020s.csv,11,5
2020s.csv,1,4
2020s.csv,34,4
2020s.csv,8,4
2020s.csv,24,3
2020s.csv,26,2
2020s.csv,3,2
2020s.csv,13,1
2020s.csv,2,1
2020s.csv,15,1
2020s.csv,17,1
2020s.csv,23,1
2020s.csv,25,1
2020s.csv,6,1
2020s.csv,14,1
2023_best_of.csv,33,18
2023_best_of.csv,9,17
2023_best_of.csv,6,14
2023_best_of.csv,34,12
2023_best_of.csv,5,11
2023_best_of.csv,26,11
2023_best_of.csv,15,8
2023_best_of.csv,2,7
2023_best_of.csv,1,7
2023_best_of.csv,22,6
2023_best_of.csv,24,6
2023_best_of.csv,32,6
2023_best_of.csv,17,6
2023_best_of.csv,11,6
2023_best_of.csv,8,5
2023_best_of.csv,13,4
2023_best_of.csv,12,4
2023_best_of.csv,16,3
2023_best_of.csv,19,3
2023_best_of.csv,29,3
2023_best_of.csv,3,3
2023_best_of.csv,10,2
2023_best_of.csv,20,2
2023_best_of.csv,21,2
2023_best_of.csv,28,2
2023_best_of.csv,25,1
2023_best_of.csv,31,1
2023_best_of.csv,14,1
2023_bravohits.csv,33,5
2023_bravohits.csv,5,5
2023_bravohits.csv,9,5
2023_bravohits.csv,26,5
2023_bravohits.csv,6,3
2023_bravohits.csv,8,3
2023_bravohits.csv,34,2
2023_bravohits.csv,22,2
2023_bravohits.csv,28,2
2023_bravohits.csv,12,2
2023_bravohits.csv,2,2
2023_bravohits.csv,24,2
2023_bravohits.csv,32,1
2023_bravohits.csv,1,1
2023_bravohits.csv,21,1
2023_bravohits.csv,16,1
2023_bravohits.csv,11,1
2023_bravohits.csv,10,1
2023_bravohits.csv,3,1
2023_bravohits.csv,13,1
2023_deutschrap.csv,33,17
2023_deutschrap.csv,16,13
2023_deutschrap.csv,3,12
2023_deutschrap.csv,34,10
2023_deutschrap.csv,9,7
2023_deutschrap.csv,12,6
2023_deutschrap.csv,26,5
2023_deutschrap.csv,31,4
2023_deutschrap.csv,6,3
2023_deutschrap.csv,10,2
2023_deutschrap.csv,11,2
2023_deutschrap.csv,28,2
2023_deutschrap.csv,2,1
2023_deutschrap.csv,5,1
2023_deutschrap.csv,13,1
2023_hiphop_mixtape.csv,33,10
2023_hiphop_mixtape.csv,12,9
2023_hiphop_mixtape.csv,34,8
2023_hiphop_mixtape.csv,28,6
2023_hiphop_mixtape.csv,9,5
2023_hiphop_mixtape.csv,16,5
2023_hiphop_mixtape.csv,31,3
2023_hiphop_mixtape.csv,22,3
2023_hiphop_mixtape.csv,3,2
2023_hiphop_mixtape.csv,29,2
2023_hiphop_mixtape.csv,24,2
2023_hiphop_mixtape.csv,26,1
2023_hiphop_mixtape.csv,32,1
2023_hiphop_mixtape.csv,0,1
2023_hiphop_mixtape.csv,25,1
2023_hiphop_mixtape.csv,2,1
2023_hiphop_mixtape.csv,19,1
2023_hiphop_mixtape.csv,13,1
2023_hiphop_mixtape.csv,11,1
2023_hiphop_mixtape.csv,5,1
2023_hiphop_mixtape.csv,21,1
2023_house_techno.csv,10,10
2023_house_techno.csv,6,9
2023_house_techno.csv,33,6
2023_house_techno.csv,8,5
2023_house_techno.csv,5,5
2023_house_techno.csv,26,5
2023_house_techno.csv,22,2
2023_house_techno.csv,9,2
2023_house_techno.csv,34,2
2023_house_techno.csv,20,2
2023_house_techno.csv,21,2
2023_house_techno.csv,23,2
2023_house_techno.csv,27,1
2023_house_techno.csv,32,1
2023_house_techno.csv,0,1
2023_house_techno.csv,25,1
2023_house_techno.csv,24,1
2023_house_techno.csv,19,1
2023_house_techno.csv,35,1
2023_tech_house.csv,10,76
2023_tech_house.csv,5,28
