cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.09,0.72,0.84,0.04,0.31,0.08,124.76,0.75,216490.33,-5.41,0.0,4.0
1,0.55,0.73,0.54,0.03,0.15,0.08,114.95,0.63,198005.44,-8.28,0.0,4.0
2,0.1,0.77,0.81,0.03,0.11,0.07,121.82,0.81,211515.77,-5.35,1.0,4.0
3,0.05,0.67,0.7,0.8,0.13,0.05,122.12,0.18,426809.33,-9.41,0.0,3.98
4,0.11,0.76,0.78,0.03,0.1,0.07,114.18,0.77,215065.61,-5.51,0.0,4.0
5,0.82,0.25,0.16,0.79,0.12,0.04,98.6,0.11,217011.66,-19.56,0.6,4.08
6,0.1,0.55,0.64,0.04,0.16,0.04,108.28,0.29,263032.08,-7.57,1.0,4.0
7,0.25,0.76,0.63,0.01,0.16,0.34,151.08,0.59,190212.01,-7.58,0.0,4.0
8,0.84,0.53,0.24,0.03,0.14,0.06,113.36,0.34,218812.67,-14.22,1.0,4.03
9,0.5,0.4,0.37,0.32,0.17,0.1,106.02,0.33,211915.34,-14.28,0.48,0.97
10,0.05,0.68,0.77,0.77,0.15,0.06,121.73,0.24,259461.42,-8.09,1.0,4.0
11,0.6,0.52,0.38,0.84,0.14,0.05,118.24,0.29,218764.57,-14.09,0.6,4.03
12,0.1,0.58,0.83,0.01,0.16,0.1,168.04,0.78,201333.18,-5.59,0.99,4.0
13,0.09,0.79,0.6,0.01,0.15,0.11,128.97,0.35,203328.69,-7.04,1.0,4.0
14,0.09,0.67,0.81,0.03,0.36,0.06,119.98,0.68,216450.26,-5.91,1.0,4.0
15,0.09,0.65,0.82,0.01,0.12,0.06,107.47,0.6,221891.55,-5.15,1.0,4.0
16,0.14,0.59,0.73,0.2,0.2,0.14,113.07,0.49,223645.66,-6.72,0.49,3.0
17,0.1,0.71,0.61,0.04,0.14,0.06,123.95,0.76,259712.55,-11.44,0.0,4.0
18,0.11,0.77,0.56,0.75,0.11,0.07,113.42,0.53,359065.48,-10.62,0.0,3.98
19,0.21,0.6,0.67,0.01,0.19,0.31,120.46,0.55,203200.97,-6.64,0.48,5.0
20,0.54,0.74,0.61,0.02,0.15,0.07,119.83,0.76,201379.54,-8.07,1.0,4.0
21,0.77,0.51,0.31,0.04,0.14,0.05,110.5,0.26,228615.84,-12.71,0.0,4.04
22,0.16,0.75,0.69,0.01,0.16,0.27,95.08,0.59,212900.17,-6.29,1.0,4.0
23,0.93,0.24,0.02,0.78,0.09,0.05,89.65,0.1,398019.92,-31.78,0.76,3.4
24,0.72,0.47,0.32,0.02,0.13,0.07,156.12,0.39,234303.18,-11.8,0.71,3.0
25,0.22,0.66,0.76,0.0,0.63,0.33,114.51,0.66,211334.05,-6.03,0.62,3.99
26,0.21,0.77,0.62,0.02,0.18,0.35,149.36,0.57,195052.14,-7.66,1.0,4.0
27,0.07,0.53,0.82,0.03,0.2,0.07,103.47,0.42,226441.84,-5.42,0.0,4.0
28,0.04,0.4,0.84,0.04,0.16,0.07,161.68,0.38,245143.4,-5.57,1.0,4.01
29,0.08,0.74,0.6,0.73,0.13,0.06,115.09,0.37,424436.81,-10.56,1.0,3.99
30,0.07,0.47,0.82,0.04,0.18,0.08,163.86,0.47,233060.49,-5.77,0.0,4.0
31,0.62,0.52,0.47,0.05,0.69,0.07,113.58,0.44,241098.87,-10.85,0.63,3.97
32,0.07,0.71,0.82,0.72,0.15,0.06,126.82,0.72,222819.98,-7.48,0.99,4.0
33,0.15,0.36,0.68,0.12,0.23,0.09,166.55,0.37,258099.62,-7.12,0.7,3.0
34,0.17,0.73,0.69,0.01,0.15,0.28,93.49,0.6,210697.68,-6.26,0.0,4.0
35,0.08,0.54,0.84,0.09,0.71,0.08,124.47,0.53,237209.56,-6.42,0.94,4.0
36,0.79,0.21,0.21,0.6,0.14,0.04,91.46,0.11,1350805.14,-17.43,0.86,3.86
37,0.38,0.69,0.48,0.02,0.15,0.48,98.29,0.42,189295.38,-10.86,0.53,3.9
38,0.55,0.59,0.46,0.04,0.14,0.06,93.37,0.4,226924.42,-9.38,1.0,4.0
39,0.12,0.72,0.58,0.03,0.12,0.06,111.58,0.76,239533.2,-11.18,1.0,4.0
40,0.05,0.68,0.82,0.74,0.16,0.05,126.69,0.43,228605.07,-7.31,0.0,4.0
41,0.13,0.74,0.61,0.01,0.16,0.09,126.14,0.34,195786.18,-6.86,0.0,4.0
42,0.03,0.3,0.84,0.77,0.2,0.08,123.16,0.25,265659.43,-6.55,0.57,3.99
43,0.15,0.63,0.5,0.71,0.18,0.1,173.72,0.45,347583.0,-13.01,0.45,4.0
44,0.03,0.45,0.9,0.06,0.22,0.09,108.26,0.39,240526.78,-4.85,1.0,4.0
45,0.85,0.31,0.19,0.72,0.13,0.05,108.6,0.16,672179.67,-17.61,0.43,3.8
46,0.14,0.54,0.62,0.05,0.15,0.05,109.77,0.33,348129.22,-8.46,0.01,4.0
47,0.11,0.73,0.78,0.09,0.67,0.09,123.63,0.64,234299.37,-5.9,0.08,4.0
48,0.63,0.49,0.36,0.03,0.19,0.05,98.19,0.32,225474.54,-10.06,0.75,3.0
49,0.43,0.53,0.5,0.02,0.15,0.06,160.27,0.43,239701.15,-9.77,0.93,4.0
50,0.75,0.27,0.24,0.81,0.14,0.04,108.99,0.13,200374.88,-16.9,0.6,3.0
